ID;CPI;Perioden;Indexcijfers1Decimaal_1;Indexcijfers0Decimalen_2;Wegingscoefficienten_3
0;0      Totaal bestedingen;1996 januari;100.6;;100000
1;0      Totaal bestedingen;1996 februari;101.0;;100000
2;0      Totaal bestedingen;1996 maart;102.0;;100000
3;0      Totaal bestedingen;1996 april;102.3;;100000
4;0      Totaal bestedingen;1996 mei;102.0;;100000
5;0      Totaal bestedingen;1996 juni;101.6;;100000
6;0      Totaal bestedingen;1996 juli;101.9;;100000
7;0      Totaal bestedingen;1996 augustus;101.7;;100000
8;0      Totaal bestedingen;1996 september;102.7;;100000
9;0      Totaal bestedingen;1996 oktober;102.9;;100000
10;0      Totaal bestedingen;1996 november;102.8;;100000
11;0      Totaal bestedingen;1996 december;102.7;;100000
12;0      Totaal bestedingen;1996;102.0;;100000
13;0      Totaal bestedingen;1997 januari;102.8;;100000
14;0      Totaal bestedingen;1997 februari;103.0;;100000
15;0      Totaal bestedingen;1997 maart;103.8;;100000
16;0      Totaal bestedingen;1997 april;103.9;;100000
17;0      Totaal bestedingen;1997 mei;104.2;;100000
18;0      Totaal bestedingen;1997 juni;103.6;;100000
19;0      Totaal bestedingen;1997 juli;104.0;;100000
20;0      Totaal bestedingen;1997 augustus;104.3;;100000
21;0      Totaal bestedingen;1997 september;105.2;;100000
22;0      Totaal bestedingen;1997 oktober;105.3;;100000
23;0      Totaal bestedingen;1997 november;105.4;;100000
24;0      Totaal bestedingen;1997 december;105.1;;100000
25;0      Totaal bestedingen;1997;104.2;;100000
26;0      Totaal bestedingen;1998 januari;104.7;;100000
27;0      Totaal bestedingen;1998 februari;105.3;;100000
28;0      Totaal bestedingen;1998 maart;106.2;;100000
29;0      Totaal bestedingen;1998 april;106.4;;100000
30;0      Totaal bestedingen;1998 mei;106.3;;100000
31;0      Totaal bestedingen;1998 juni;105.9;;100000
32;0      Totaal bestedingen;1998 juli;106.1;;100000
33;0      Totaal bestedingen;1998 augustus;106.1;;100000
34;0      Totaal bestedingen;1998 september;107.0;;100000
35;0      Totaal bestedingen;1998 oktober;107.3;;100000
36;0      Totaal bestedingen;1998 november;107.2;;100000
37;0      Totaal bestedingen;1998 december;106.9;;100000
38;0      Totaal bestedingen;1998;106.3;;100000
39;0      Totaal bestedingen;1999 januari;107.0;;100000
40;0      Totaal bestedingen;1999 februari;107.5;;100000
41;0      Totaal bestedingen;1999 maart;108.5;;100000
42;0      Totaal bestedingen;1999 april;108.7;;100000
43;0      Totaal bestedingen;1999 mei;108.7;;100000
44;0      Totaal bestedingen;1999 juni;108.3;;100000
45;0      Totaal bestedingen;1999 juli;108.3;;100000
46;0      Totaal bestedingen;1999 augustus;108.9;;100000
47;0      Totaal bestedingen;1999 september;109.4;;100000
48;0      Totaal bestedingen;1999 oktober;109.5;;100000
49;0      Totaal bestedingen;1999 november;109.6;;100000
50;0      Totaal bestedingen;1999 december;109.2;;100000
51;0      Totaal bestedingen;1999;108.6;;100000
52;0      Totaal bestedingen;2000 januari;109.1;;100000
53;0      Totaal bestedingen;2000 februari;109.6;;100000
54;0      Totaal bestedingen;2000 maart;110.6;;100000
55;0      Totaal bestedingen;2000 april;111.0;;100000
56;0      Totaal bestedingen;2000 mei;111.3;;100000
57;0      Totaal bestedingen;2000 juni;111.2;;100000
58;0      Totaal bestedingen;2000 juli;111.3;;100000
59;0      Totaal bestedingen;2000 augustus;111.6;;100000
60;0      Totaal bestedingen;2000 september;112.6;;100000
61;0      Totaal bestedingen;2000 oktober;112.9;;100000
62;0      Totaal bestedingen;2000 november;112.9;;100000
63;0      Totaal bestedingen;2000 december;112.4;;100000
64;0      Totaal bestedingen;2000;111.4;;100000
65;0      Totaal bestedingen;2001 januari;113.7;;100000
66;0      Totaal bestedingen;2001 februari;114.5;;100000
67;0      Totaal bestedingen;2001 maart;115.7;;100000
68;0      Totaal bestedingen;2001 april;116.4;;100000
69;0      Totaal bestedingen;2001 mei;116.7;;100000
70;0      Totaal bestedingen;2001 juni;116.2;;100000
71;0      Totaal bestedingen;2001 juli;116.4;;100000
