ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8607787;100.0;150;98;52
1;1;45994;0.5;0;0;0
2;2;52226;0.6;0;0;0
3;3;1581053;18.4;29;21;8
4;4;773497;9.0;14;8;6
5;5;16585;0.2;0;0;0
6;6;625968;7.3;11;6;5
7;7;108724;1.3;2;2;0
8;8;1668;0.0;0;0;0
9;9;2500;0.0;0;0;0
10;KPP;8233;0.1;0;0;0
11;NCPN;5620;0.1;0;0;0
12;NM;45219;0.5;0;0;0
13;NMP;23512;0.3;0;0;0
14;NSOV;6455;0.1;0;0;0
15;NWP;15746;0.2;0;0;0
16;PvdA;2494555;29.0;45;23;22
17;RPF;174593;2.0;3;3;0
18;S2000;36157;0.4;0;0;0
19;SGP;153583;1.8;3;3;0
20;SP;303703;3.5;5;4;1
21;VIP;7225;0.1;0;0;0
22;VVD;2124971;24.7;38;28;10
