ID;BedrijfstakkenBranchesSBI2008;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;RegelmatigVeelKrachtZetten_4;RegelmatigHardPraten_5;RegelmatigTeMakenMetTrillingen_6;GevaarlijkWerk_7;WaterigeOplossingen_8;StoffenOpUwHuid_9;AdemtStoffenIn_10;BesmettePersonen_11;InOngemakkelijkeWerkhoudingWerken_12;TijdensWerkRepeterendeBewegingMaken_13;UurPerDagAanBeeldschermVoorWerk_14;ZelfBeslissen_15;VolgordeWerkzaamhedenBepalen_16;WerktempoBepalen_17;OplossingenBedenken_18;VerlofNemen_19;EmotioneelMoeilijkeWerksituaties_20;EmotioneelVeeleisendWerk_21;EmotioneelBetrokkenBijWerk_22;VanKlanten_23;VanLeidinggevendenOfCollegaS_24;DoorKlanten_25;DoorLeidinggevendenOfCollegaS_26;DoorKlanten_27;DoorLeidinggevendenOfCollegaS_28;DoorKlanten_29;DoorLeidinggevendenOfCollegaS_30;AantalOngevallenPer100000Werknemers_31;TotaalAandeelWerknemersMetOngeval_32;OngevalZonderVerzuim_33;OngevalMetTenMinste0DagenVerzuim_34;OngevalMetTenMinste1DagVerzuim_35;OngevalMetTenMinste4DagenVerzuim_36;UitsluitendLichamelijkLetsel_37;UitsluitendGeestelijkLetsel_38;LichamelijkEnGeestelijkLetsel_39;BurnOutKlachten_40;EmotioneelUitgeput_41;LeegVoelen_42;SOchtendsMoeVoelen_43;VergtVeelOmMetMensenTeWerken_44;UitgeputDoorWerk_45;TevredenMetArbeidsomstandigheden_46;TevredenMetWerk_47;LeeftijdWillenDoorwerken_48;LeeftijdInStaatDoorwerken_49
0;A-U Alle economische activiteiten;2011;32.5;41.4;26.1;19.5;6.8;9.4;3.4;16.7;9.5;8.2;7.2;10.8;34.9;3.9;61.2;63.5;59.3;68.0;49.3;7.9;12.0;13.4;5.0;1.7;19.5;11.1;5.9;0.7;6.2;7.9;11800;6.5;3.4;3.1;2.9;2.4;4.4;1.5;0.5;12.8;12.7;26.9;15.6;9.4;12.1;74.0;77.9;62.5;61.8
1;A-U Alle economische activiteiten;2012;31.2;39.6;26.2;20.4;6.8;8.8;4.2;16.7;9.6;7.8;5.7;9.8;35.7;3.8;60.2;61.9;57.2;66.9;49.7;6.5;10.5;12.0;5.4;1.8;19.1;11.0;6.4;0.7;6.0;7.5;12800;6.7;3.5;3.2;3.0;2.3;4.6;1.5;0.6;13.1;13.3;29.2;16.7;9.5;12.3;75.6;78.2;62.7;62.1
2;A-U Alle economische activiteiten;2013;32.3;41.6;27.4;19.1;7.3;9.2;3.7;17.1;9.9;8.8;8.4;10.2;34.9;3.8;59.6;61.4;56.8;67.0;48.8;7.7;11.9;12.7;5.3;1.8;19.4;10.7;6.1;0.6;5.8;7.1;11900;6.5;3.6;2.9;2.7;2.2;4.5;1.3;0.6;12.4;12.5;26.9;15.5;8.9;12.1;73.0;77.5;63.0;62.1
3;A-F Landbouw en nijverheid;2011;31.2;39.5;23.5;25.8;17.3;21.4;6.1;16.5;11.3;16.3;6.0;16.0;39.2;3.3;65.1;65.8;64.9;70.0;58.7;5.1;6.6;12.2;1.2;1.3;7.3;11.9;1.0;0.9;2.4;10.1;11200;7.2;3.1;4.1;4.0;3.2;5.7;0.9;0.4;13.0;12.3;27.4;15.4;7.7;12.9;74.9;77.6;62.4;62.2
4;A-F Landbouw en nijverheid;2012;28.4;37.6;23.5;27.9;16.9;20.6;6.9;17.2;10.5;16.5;3.0;14.6;41.2;3.2;65.3;63.9;62.7;69.0;60.5;3.3;5.0;10.2;1.0;1.4;7.5;12.9;0.8;0.9;2.8;9.4;13500;8.4;3.6;4.9;4.7;3.9;6.5;1.2;0.7;12.9;12.0;30.3;16.9;7.9;13.6;75.2;77.9;62.9;62.6
5;A-F Landbouw en nijverheid;2013;28.8;38.7;23.8;24.7;19.1;20.6;5.9;16.7;10.8;15.5;10.3;14.5;37.8;3.2;64.1;63.8;63.3;67.8;57.6;4.3;6.4;11.0;1.4;1.8;7.2;12.0;1.0;0.8;2.4;8.6;13200;8.4;4.1;4.2;4.0;3.1;6.6;1.2;0.6;12.9;11.1;28.2;16.6;7.4;13.8;73.8;78.1;63.3;62.6
6;A Landbouw, bosbouw en visserij;2011;26.6;34.6;16.3;29.8;11.5;24.8;3.2;23.1;5.6;8.7;6.5;16.5;62.0;1.3;47.4;39.2;57.3;50.8;61.0;2.2;1.8;8.2;0.4;1.8;3.8;6.9;0.7;1.1;2.4;9.9;6400;2.6;1.2;1.5;1.5;1.5;2.0;0.0;0.7;6.2;4.2;18.8;9.4;4.5;8.5;82.7;81.6;61.1;61.7
7;A Landbouw, bosbouw en visserij;2012;26.1;33.5;19.6;32.2;11.9;17.2;1.3;20.0;3.0;7.3;4.5;13.3;53.8;1.7;51.9;43.4;56.3;47.3;61.1;2.3;4.4;11.8;0.9;1.7;8.6;12.9;2.4;1.9;3.0;6.7;11500;6.2;4.3;1.9;1.5;1.5;5.0;1.1;0.1;7.5;7.4;23.2;14.9;8.6;9.9;78.2;76.7;62.7;62.9
8;A Landbouw, bosbouw en visserij;2013;29.3;32.7;17.5;33.9;12.4;22.5;1.1;22.6;10.8;13.7;15.3;15.8;55.1;1.4;51.1;39.6;53.8;45.9;64.5;1.5;3.9;11.5;0.0;3.4;2.4;9.3;1.0;1.9;1.5;4.9;24800;11.9;4.6;7.3;7.3;4.1;10.6;0.4;0.9;10.6;7.0;23.6;16.1;5.0;11.4;72.5;70.4;63.8;62.2
9;B-F Nijverheid en energie;2011;31.5;39.9;24.0;25.5;17.7;21.2;6.3;16.0;11.7;16.8;6.0;16.0;37.6;3.5;66.3;67.6;65.5;71.4;58.5;5.3;6.9;12.4;1.2;1.2;7.5;12.2;1.0;0.9;2.4;10.1;11600;7.5;3.2;4.3;4.2;3.3;6.0;0.9;0.4;13.5;12.8;28.0;15.8;7.9;13.2;74.3;77.3;62.5;62.2
