ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
0;Aa en Hunze;19266;34.6;6659;6650;9;995;16;55;353;14;724;18;2236;200;150;1889;15.0;0.2;0.8;5.3;0.2;10.9;0.3;33.6;3.0;2.3;28.4;1680;1;22;07;03
1;Aalburg;8428;37.6;3173;3160;13;813;11;17;52;5;76;4;248;64;1510;360;25.7;0.3;0.5;1.6;0.2;2.4;0.1;7.8;2.0;47.8;11.4;0738;4;30;34;17
2;Aalsmeer;17321;29.7;5142;5127;15;1318;23;33;325;25;458;21;920;132;397;1475;25.7;0.4;0.6;6.3;0.5;8.9;0.4;17.9;2.6;7.7;28.8;0358;3;27;23;10
3;Aalten;13872;40.6;5634;5611;23;3122;15;20;147;12;418;4;779;145;393;556;55.6;0.3;0.4;2.6;0.2;7.4;0.1;13.9;2.6;7.0;9.9;0197;2;25;14;07
4;Ter Aar;6609;27.4;1808;1804;4;744;5;12;77;8;152;4;203;73;125;401;41.2;0.3;0.7;4.3;0.4;8.4;0.2;11.3;4.0;6.9;22.2;0480;3;28;28;15
5;Abcoude;6275;43.4;2726;2703;23;606;6;8;257;18;330;36;428;74;135;805;22.4;0.2;0.3;9.5;0.7;12.2;1.3;15.8;2.7;5.0;29.8;0305;3;26;17;08
6;Achtkarspelen;21138;35.3;7465;7436;29;3298;32;24;102;5;444;5;1557;245;1151;573;44.4;0.4;0.3;1.4;0.1;6.0;0.1;20.9;3.3;15.5;7.7;0059;1;21;04;02
7;Akersloot;3629;27.4;993;987;6;264;7;8;66;11;107;5;187;36;30;266;26.7;0.7;0.8;6.7;1.1;10.8;0.5;18.9;3.6;3.0;27.0;0360;3;27;19;11
8;Alblasserdam;13259;32.2;4271;4265;6;816;16;23;124;6;229;4;1053;137;1349;508;19.1;0.4;0.5;2.9;0.1;5.4;0.1;24.7;3.2;31.6;11.9;0482;3;28;30;14
9;Albrandswaard;12204;29.6;3616;3604;12;937;16;37;218;18;300;10;656;139;298;975;26.0;0.4;1.0;6.0;0.5;8.3;0.3;18.2;3.9;8.3;27.1;0613;3;28;29;14
10;Alkemade;10755;29.3;3149;3140;9;1146;17;13;117;5;301;11;395;123;35;977;36.5;0.5;0.4;3.7;0.2;9.6;0.4;12.6;3.9;1.1;31.1;0483;3;28;25;15
11;Alkmaar;68931;26.3;18122;18062;60;3174;95;140;1118;60;3290;50;4700;1724;444;3267;17.6;0.5;0.8;6.2;0.3;18.2;0.3;26.0;9.5;2.5;18.1;0361;3;27;19;11
12;Almelo;48823;25.6;12516;12464;52;3606;39;70;571;26;1361;16;3311;679;623;2162;28.9;0.3;0.6;4.6;0.2;10.9;0.1;26.6;5.4;5.0;17.3;0141;2;23;12;04
