ID;BedrijfstakkenBranchesSBI2008;Perioden;BedrijfsbestelautoS_1
0;A-U Alle economische activiteiten;2018;898271.0
1;A-U Alle economische activiteiten;2019;929107.0
2;A-U Alle economische activiteiten;2020;940541.0
3;A-U Alle economische activiteiten;2021;967921.0
4;A-U Alle economische activiteiten;2022;986883.0
5;A-U Alle economische activiteiten;2023;1019112.0
6;A Landbouw, bosbouw en visserij;2018;54865.0
7;A Landbouw, bosbouw en visserij;2019;55850.0
8;A Landbouw, bosbouw en visserij;2020;56948.0
9;A Landbouw, bosbouw en visserij;2021;57647.0
10;A Landbouw, bosbouw en visserij;2022;58184.0
11;A Landbouw, bosbouw en visserij;2023;58793.0
12;01 Landbouw;2018;53293.0
13;01 Landbouw;2019;54259.0
14;01 Landbouw;2020;55365.0
15;01 Landbouw;2021;56081.0
16;01 Landbouw;2022;56685.0
17;01 Landbouw;2023;57259.0
18;011 Teelt van eenjarige gewassen;2018;10712.0
19;011 Teelt van eenjarige gewassen;2019;10822.0
20;011 Teelt van eenjarige gewassen;2020;10868.0
21;011 Teelt van eenjarige gewassen;2021;10974.0
22;011 Teelt van eenjarige gewassen;2022;10987.0
23;011 Teelt van eenjarige gewassen;2023;11041.0
24;012 Teelt van meerjarige gewassen;2018;1947.0
25;012 Teelt van meerjarige gewassen;2019;1970.0
26;012 Teelt van meerjarige gewassen;2020;2043.0
27;012 Teelt van meerjarige gewassen;2021;2039.0
28;012 Teelt van meerjarige gewassen;2022;2019.0
29;012 Teelt van meerjarige gewassen;2023;2104.0
30;013 Teelt van bloembollen en sierplanten;2018;5502.0
31;013 Teelt van bloembollen en sierplanten;2019;5507.0
32;013 Teelt van bloembollen en sierplanten;2020;5528.0
33;013 Teelt van bloembollen en sierplanten;2021;5554.0
34;013 Teelt van bloembollen en sierplanten;2022;5551.0
35;013 Teelt van bloembollen en sierplanten;2023;5517.0
36;014 Veeteelt en fokkerijen;2018;17893.0
37;014 Veeteelt en fokkerijen;2019;18182.0
38;014 Veeteelt en fokkerijen;2020;18510.0
39;014 Veeteelt en fokkerijen;2021;18764.0
40;014 Veeteelt en fokkerijen;2022;18858.0
41;014 Veeteelt en fokkerijen;2023;18892.0
42;015 Gemengd bedrijf;2018;2427.0
43;015 Gemengd bedrijf;2019;2429.0
44;015 Gemengd bedrijf;2020;2456.0
45;015 Gemengd bedrijf;2021;2413.0
46;015 Gemengd bedrijf;2022;2402.0
47;015 Gemengd bedrijf;2023;2443.0
48;016 Dienstverlening voor de landbouw;2018;14786.0
49;016 Dienstverlening voor de landbouw;2019;15328.0
50;016 Dienstverlening voor de landbouw;2020;15933.0
51;016 Dienstverlening voor de landbouw;2021;16312.0
52;016 Dienstverlening voor de landbouw;2022;16843.0
53;016 Dienstverlening voor de landbouw;2023;17239.0
54;017 Jacht;2018;26.0
55;017 Jacht;2019;21.0
56;017 Jacht;2020;27.0
57;017 Jacht;2021;25.0
58;017 Jacht;2022;25.0
59;017 Jacht;2023;23.0
60;02 Bosbouw;2018;819.0
61;02 Bosbouw;2019;836.0
62;02 Bosbouw;2020;853.0
63;02 Bosbouw;2021;848.0
64;02 Bosbouw;2022;805.0
65;02 Bosbouw;2023;821.0
66;021 Bosbouw;2018;540.0
67;021 Bosbouw;2019;530.0
68;021 Bosbouw;2020;545.0
69;021 Bosbouw;2021;540.0
70;021 Bosbouw;2022;482.0
71;021 Bosbouw;2023;488.0
72;022 Exploitatie van bossen;2018;123.0
73;022 Exploitatie van bossen;2019;123.0
74;022 Exploitatie van bossen;2020;124.0
75;022 Exploitatie van bossen;2021;126.0
76;022 Exploitatie van bossen;2022;125.0
77;022 Exploitatie van bossen;2023;103.0
78;024 Dienstverlening voor de bosbouw;2018;156.0
79;024 Dienstverlening voor de bosbouw;2019;183.0
80;024 Dienstverlening voor de bosbouw;2020;184.0
81;024 Dienstverlening voor de bosbouw;2021;182.0
82;024 Dienstverlening voor de bosbouw;2022;198.0
83;024 Dienstverlening voor de bosbouw;2023;230.0
84;03 Visserij;2018;753.0
85;03 Visserij;2019;755.0
86;03 Visserij;2020;730.0
87;03 Visserij;2021;718.0
88;03 Visserij;2022;694.0
89;03 Visserij;2023;713.0
90;031 Visserij;2018;655.0
91;031 Visserij;2019;650.0
92;031 Visserij;2020;630.0
