ID;Perioden;TotaalVorderingen_1;ChartaalGeldEnDepositoS_2;TotaalLeningen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;TotaalAandelenEnDeelnemingen_6;BeursgenoteerdeAandelen_7;OverigeAandelenEnDeelnemingen_8;HandelskredietenTransitorischePosten_9;TotaalSchulden_10;ChartaalGeld_11;TotaalEffectenBehalveAandelen_12;KortlopendeEffecten_13;LanglopendeEffecten_14;TotaalLeningen_15;KortlopendeLeningen_16;LanglopendeLeningen_17;HandelskredietenTransitorischePosten_18
45;2008 1e kwartaal*;88560;1469;23214;6679;16535;46003;0;46003;17874;248658;590;215966;23200;192766;21875;20328;1547;10227
46;2008 2e kwartaal*;99896;6839;23594;6090;17504;51383;0;51383;18080;246701;594;214596;23508;191088;24535;23038;1497;6976
47;2008 3e kwartaal*;110456;15914;24245;6100;18145;51225;0;51225;19072;261893;594;221316;31782;189534;31281;29800;1481;8702
48;2008 4e kwartaal*;192019;4112;75431;45835;29596;88242;0;88242;24234;342655;614;293138;83735;209403;35988;24333;11655;12915
49;2008*;192019;4112;75431;45835;29596;88242;0;88242;24234;342655;614;293138;83735;209403;35988;24333;11655;12915
50;2009 1e kwartaal*;185042;953;73918;44755;29163;89120;0;89120;21051;333672;614;284399;68428;215971;42122;30500;11622;6537
51;2009 2e kwartaal*;200294;19272;51547;22017;29530;89037;0;89037;40438;370938;614;269524;54007;215517;68484;37330;31154;32316
52;2009 3e kwartaal*;179753;4539;46842;17344;29498;88017;0;88017;40355;346381;614;283868;67531;216337;58212;29144;29068;3687
53;2009 4e kwartaal*;170372;778;47751;19077;28674;81730;0;81730;40113;339923;611;280330;57564;222766;49615;20519;29096;9367
54;2009*;170372;778;47751;19077;28674;81730;0;81730;40113;339923;611;280330;57564;222766;49615;20519;29096;9367
