ID;Migratieachtergrond;Persoonskenmerken;Perioden;MeerLandVanMigratie_1;ZowelLandVanMigAlsNederland_2;MeerNederland_3;Nee_4;SomsWelEnSomsNiet_5;Ja_6;Vaak_7;Soms_8;Nooit_9;MeerMetEigenGroep_10;HalfEigenGroepHalfNederlanders_11;MeerMetNederlanders_12;Nooit_13;Soms_14;Vaak_15;Nee_16;SomsWelEnSomsNiet_17;Ja_18;MetMigratieachtergrondNederlanders_19;HalfNederlandersHalfMigratieachtergr_20;MeerMetMigratieachtergrond_21;Nooit_22;Soms_23;Vaak_24;MoeiteMetHetVoerenVanEenGesprek_25;MoeiteMetLezen_26;MoeiteMetSchrijven_27;VrouwVerantwoordelijkVoorHuishouden_28;VrouwStoptMetWerkenNaKrijgenKind_29;DeManIsVerantwoordelijkVoorHetGeld_30;GeldVerdienenBelangrijkerVoorJongens_31;OuderFamilielidHeeftMeerInvloed_32;KindMoetVaakOpBezoekBijOuders_33;KindBlijftThuisWonenTotTrouwen_34;MeerVertrouwenInFamilieDanVrienden_35;KinderenMoetenVoorOudersZorgen_36;HomoSMoetenLevenKunnenLeiden_37;HetIsGoedDatHomoSMogenTrouwen_38;KindMetPartnerZelfdeGeslachtIsProb_39;VrouwMagAbortusLatenUitvoeren_40;IemandBeslistZelfOverLevenseinde_41;GeenDoodstrafMeerIsGoed_42;BezoektActiviteitenVanVerenigingen_43;IsLidVanVereniging_44;DoetVrijwilligerswerk_45;RekentZichTotEenGodsdienstReligie_46;MinstensEenKeerPerWeek_47;ElkeMaand_48;VrijwelNooit_49;LeestVaakNederlandseDagBladen_50;LeestVaakDagBladenUitLandHerkomst_51;KijktVaakNaarNederlandseZenders_52;KijktVaakNaarZendersLandHerkomst_53;HeeftComputerMetInternetaansluiting_54;JaOfMisschien_55;Nee_56;NietStemgerechtigd_57;NietGeinteresseerd_58;EenBeetjeGeinteresseerd_59;ZeerGeinteresseerd_60
0;Turkije;1100;2006;58.0;30.0;12.0;8.0;27.0;65.0;35.0;37.0;28.0;66.0;24.0;11.0;40.0;47.0;13.0;;;;;;;;;;23.0;24.0;33.0;63.0;34.0;33.0;25.0;48.0;78.0;65.0;70.0;;;;;;;;51.0;38.0;9.0;95.0;34.0;12.0;53.0;28.0;12.0;60.0;72.0;67.0;69.0;18.0;14.0;55.0;34.0;11.0
1;Turkije;1100;2011;74.0;21.0;6.0;8.0;30.0;62.0;39.0;43.0;18.0;67.0;26.0;7.0;45.0;43.0;12.0;;;;;;;;;;23.0;21.0;26.0;;23.0;24.0;30.0;48.0;79.0;64.0;75.0;85.0;54.0;28.0;75.0;35.0;40.0;77.0;38.0;;;95.0;42.0;12.0;46.0;30.0;12.0;51.0;75.0;87.0;67.0;14.0;19.0;52.0;34.0;14.0
2;Turkije;Geslacht: mannen;2006;55.0;34.0;11.0;8.0;27.0;65.0;32.0;38.0;30.0;63.0;26.0;11.0;40.0;48.0;12.0;;;;;;;;;;18.0;21.0;30.0;63.0;39.0;36.0;27.0;52.0;78.0;64.0;74.0;;;;;;;;53.0;44.0;10.0;95.0;51.0;11.0;38.0;33.0;17.0;65.0;68.0;68.0;69.0;19.0;12.0;49.0;35.0;16.0
3;Turkije;Geslacht: mannen;2011;74.0;21.0;5.0;9.0;32.0;59.0;35.0;46.0;19.0;64.0;29.0;7.0;44.0;43.0;13.0;;;;;;;;;;17.0;16.0;19.0;;22.0;29.0;34.0;49.0;79.0;61.0;75.0;85.0;55.0;29.0;75.0;33.0;41.0;75.0;48.0;;;96.0;55.0;11.0;34.0;36.0;15.0;58.0;69.0;90.0;68.0;15.0;17.0;42.0;39.0;20.0
4;Turkije;Geslacht: vrouwen;2006;62.0;25.0;13.0;8.0;27.0;65.0;38.0;35.0;27.0;69.0;21.0;10.0;41.0;45.0;13.0;;;;;;;;;;29.0;28.0;35.0;64.0;27.0;29.0;24.0;45.0;77.0;67.0;66.0;;;;;;;;48.0;31.0;9.0;95.0;16.0;14.0;70.0;22.0;6.0;55.0;76.0;66.0;68.0;16.0;16.0;61.0;32.0;6.0
5;Turkije;Geslacht: vrouwen;2011;74.0;20.0;6.0;6.0;28.0;66.0;44.0;40.0;16.0;71.0;23.0;6.0;46.0;42.0;11.0;;;;;;;;;;29.0;27.0;33.0;;23.0;19.0;26.0;48.0;78.0;68.0;75.0;85.0;53.0;26.0;74.0;38.0;39.0;80.0;27.0;;;95.0;28.0;13.0;59.0;25.0;9.0;44.0;80.0;84.0;65.0;13.0;21.0;64.0;28.0;8.0
6;Turkije;Leeftijd: 15 tot 25 jaar;2006;45.0;36.0;19.0;2.0;22.0;75.0;19.0;32.0;48.0;56.0;29.0;16.0;35.0;48.0;17.0;;;;;;;;;;6.0;5.0;4.0;61.0;26.0;29.0;29.0;54.0;71.0;52.0;74.0;;;;;;;;58.0;49.0;9.0;93.0;37.0;10.0;52.0;37.0;7.0;70.0;60.0;80.0;51.0;22.0;27.0;55.0;36.0;9.0
7;Turkije;Leeftijd: 15 tot 25 jaar;2011;63.0;29.0;8.0;3.0;29.0;68.0;17.0;50.0;33.0;53.0;37.0;10.0;36.0;46.0;18.0;;;;;;;;;;1.0;1.0;1.0;;20.0;27.0;33.0;51.0;80.0;59.0;79.0;90.0;53.0;23.0;74.0;43.0;49.0;77.0;46.0;;;94.0;39.0;14.0;46.0;37.0;6.0;61.0;63.0;98.0;54.0;20.0;26.0;59.0;30.0;11.0
8;Turkije;Leeftijd: 25 tot 45 jaar;2006;57.0;31.0;11.0;9.0;27.0;64.0;35.0;39.0;26.0;65.0;24.0;11.0;38.0;51.0;12.0;;;;;;;;;;21.0;20.0;29.0;61.0;31.0;28.0;21.0;41.0;74.0;67.0;67.0;;;;;;;;49.0;36.0;10.0;95.0;30.0;14.0;57.0;31.0;12.0;63.0;72.0;72.0;75.0;16.0;10.0;53.0;35.0;12.0
9;Turkije;Leeftijd: 25 tot 45 jaar;2011;73.0;21.0;6.0;9.0;31.0;60.0;40.0;43.0;17.0;65.0;27.0;7.0;43.0;44.0;13.0;;;;;;;;;;18.0;16.0;20.0;;20.0;21.0;25.0;41.0;76.0;64.0;71.0;82.0;57.0;33.0;72.0;34.0;38.0;75.0;36.0;;;95.0;38.0;13.0;49.0;35.0;13.0;59.0;73.0;94.0;72.0;11.0;17.0;45.0;39.0;16.0
10;Turkije;10;2006;75.0;20.0;5.0;11.0;34.0;55.0;51.0;37.0;12.0;78.0;18.0;4.0;53.0;37.0;10.0;;;;;;;;;;47.0;56.0;72.0;71.0;47.0;46.0;31.0;59.0;91.0;77.0;73.0;;;;;;;;47.0;29.0;8.0;97.0;42.0;12.0;46.0;10.0;16.0;44.0;84.0;41.0;74.0;18.0;8.0;59.0;28.0;13.0
11;Turkije;10;2011;85.0;13.0;2.0;9.0;29.0;61.0;57.0;36.0;6.0;82.0;14.0;3.0;55.0;39.0;6.0;;;;;;;;;;50.0;48.0;59.0;;30.0;26.0;38.0;60.0;81.0;71.0;78.0;85.0;50.0;22.0;80.0;30.0;35.0;80.0;34.0;;;97.0;51.0;8.0;41.0;18.0;16.0;28.0;87.0;65.0;68.0;15.0;16.0;60.0;28.0;12.0
12;Turkije;Migratieachtergrond: 1e generatie;2006;66.0;26.0;8.0;10.0;31.0;59.0;43.0;38.0;19.0;71.0;21.0;9.0;44.0;45.0;11.0;;;;;;;;;;31.0;33.0;44.0;64.0;37.0;35.0;25.0;49.0;79.0;70.0;70.0;;;;;;;;48.0;33.0;9.0;95.0;35.0;13.0;52.0;22.0;14.0;55.0;78.0;61.0;70.0;18.0;11.0;57.0;32.0;11.0
13;Turkije;Migratieachtergrond: 1e generatie;2011;81.0;16.0;3.0;9.0;31.0;60.0;49.0;42.0;9.0;75.0;21.0;5.0;51.0;41.0;8.0;;;;;;;;;;33.0;31.0;38.0;;25.0;25.0;31.0;50.0;80.0;69.0;75.0;85.0;50.0;25.0;75.0;31.0;36.0;78.0;35.0;;;97.0;45.0;11.0;44.0;23.0;14.0;42.0;80.0;82.0;68.0;12.0;20.0;53.0;34.0;13.0
