ID;AantalMaatwerkvoorzieningen;RegioS;Perioden;ClientenMetMaatwerkvoorzieningen_1;HuishoudensMetMaatwerkvoorzieningen_2;ClientenMetMaatwerkvoorzieningen_3;HuishoudensMetMaatwerkvoorzieningen_4
0;Totaal;Aa en Hunze;1e halfjaar 2015;790.0;770.0;30.0;70.0
1;Totaal;Aa en Hunze;2e halfjaar 2015;450.0;430.0;20.0;40.0
2;Totaal;Aa en Hunze;2015;815.0;785.0;30.0;70.0
3;Totaal;Aa en Hunze;1e halfjaar 2016;675.0;630.0;26.0;56.0
4;Totaal;Aa en Hunze;2e halfjaar 2016;855.0;805.0;34.0;71.0
5;Totaal;Aa en Hunze;2016;910.0;850.0;35.0;75.0
6;Totaal;Aa en Hunze;1e halfjaar 2017;1095.0;1005.0;43.0;89.0
7;Totaal;Aa en Hunze;2e halfjaar 2017;1170.0;1070.0;46.0;94.0
8;Totaal;Aa en Hunze;2017;1270.0;1140.0;49.0;100.0
9;Totaal;Aa en Hunze;1e halfjaar 2018;1220.0;1105.0;48.0;97.0
10;Totaal;Aa en Hunze;2e halfjaar 2018;1245.0;1110.0;49.0;97.0
11;Totaal;Aa en Hunze;2018;1390.0;1225.0;54.0;107.0
12;Totaal;Aa en Hunze;1e halfjaar 2019;1440.0;1340.0;56.0;114.0
13;Totaal;Aa en Hunze;2e halfjaar 2019;1480.0;1370.0;58.0;116.0
14;Totaal;Aa en Hunze;2019;1590.0;1480.0;62.0;124.0
15;Totaal;Aa en Hunze;1e halfjaar 2020;1710.0;1545.0;67.0;132.0
16;Totaal;Aa en Hunze;2e halfjaar 2020;1735.0;1580.0;68.0;135.0
17;Totaal;Aa en Hunze;2020;1845.0;1685.0;72.0;142.0
18;Totaal;Aa en Hunze;1e halfjaar 2021;1750.0;1595.0;68.0;135.0
19;Totaal;Aa en Hunze;2e halfjaar 2021;1775.0;1615.0;69.0;137.0
20;Totaal;Aa en Hunze;2021;1915.0;1745.0;74.0;146.0
21;Totaal;Aa en Hunze;1e halfjaar 2022;1760.0;1590.0;68.0;133.0
22;Totaal;Aa en Hunze;2e halfjaar 2022;1770.0;1605.0;68.0;134.0
23;Totaal;Aa en Hunze;2022;1895.0;1720.0;72.0;141.0
24;Totaal;Aa en Hunze;1e halfjaar 2023;1770.0;1610.0;68.0;135.0
25;Totaal;Aa en Hunze;2e halfjaar 2023;1715.0;1565.0;66.0;130.0
26;Totaal;Aa en Hunze;2023;1840.0;1685.0;70.0;137.0
27;Totaal;Aalburg;1e halfjaar 2015;;;;
28;Totaal;Aalburg;2e halfjaar 2015;;;;
29;Totaal;Aalburg;2015;;;;
30;Totaal;Aalburg;1e halfjaar 2016;630.0;560.0;48.0;113.0
31;Totaal;Aalburg;2e halfjaar 2016;640.0;560.0;49.0;112.0
32;Totaal;Aalburg;2016;685.0;585.0;52.0;116.0
33;Totaal;Aalburg;1e halfjaar 2017;655.0;540.0;50.0;108.0
34;Totaal;Aalburg;2e halfjaar 2017;670.0;555.0;51.0;110.0
35;Totaal;Aalburg;2017;710.0;575.0;54.0;114.0
36;Totaal;Aalburg;1e halfjaar 2018;685.0;575.0;52.0;114.0
37;Totaal;Aalburg;2e halfjaar 2018;700.0;600.0;52.0;117.0
38;Totaal;Aalburg;2018;740.0;620.0;55.0;121.0
39;Totaal;Aalburg;1e halfjaar 2019;;;;
40;Totaal;Aalburg;2e halfjaar 2019;;;;
41;Totaal;Aalburg;2019;;;;
42;Totaal;Aalburg;1e halfjaar 2020;;;;
43;Totaal;Aalburg;2e halfjaar 2020;;;;
44;Totaal;Aalburg;2020;;;;
45;Totaal;Aalburg;1e halfjaar 2021;;;;
46;Totaal;Aalburg;2e halfjaar 2021;;;;
47;Totaal;Aalburg;2021;;;;
48;Totaal;Aalburg;1e halfjaar 2022;;;;
49;Totaal;Aalburg;2e halfjaar 2022;;;;
50;Totaal;Aalburg;2022;;;;
51;Totaal;Aalburg;1e halfjaar 2023;;;;
52;Totaal;Aalburg;2e halfjaar 2023;;;;
53;Totaal;Aalburg;2023;;;;
54;Totaal;Aalsmeer;1e halfjaar 2015;;;;
55;Totaal;Aalsmeer;2e halfjaar 2015;;;;
56;Totaal;Aalsmeer;2015;;;;
57;Totaal;Aalsmeer;1e halfjaar 2016;;;;
58;Totaal;Aalsmeer;2e halfjaar 2016;1760.0;1555.0;56.0;117.0
59;Totaal;Aalsmeer;2016;;;;
60;Totaal;Aalsmeer;1e halfjaar 2017;1825.0;1550.0;58.0;117.0
61;Totaal;Aalsmeer;2e halfjaar 2017;1795.0;1535.0;56.0;115.0
62;Totaal;Aalsmeer;2017;1940.0;1625.0;61.0;121.0
63;Totaal;Aalsmeer;1e halfjaar 2018;;;;
64;Totaal;Aalsmeer;2e halfjaar 2018;;;;
65;Totaal;Aalsmeer;2018;;;;
66;Totaal;Aalsmeer;1e halfjaar 2019;;;;
67;Totaal;Aalsmeer;2e halfjaar 2019;;;;
68;Totaal;Aalsmeer;2019;;;;
69;Totaal;Aalsmeer;1e halfjaar 2020;;;;
