ID;ClassOfVehicleAge;Periods;TotalRoadVehicles_1;PassengerCar_2;TotalCommercialVehicles_3;TotalCommercialMotorVehicles_4;DeliveryVan_5;Lorry_6;RoadTractor_7;SpecialPurposeVehicle_8;Bus_9;TotalTrailersAndSemiTrailers_10;Trailer_11;SemiTrailer_12;Motorcycle_13
0;Total;2000;7640776;6343164;883627;883627;696135;83153;56759;36374;11206;;;;413985
1;Total;2001;7926892;6539040;950074;950074;755776;83418;59804;39707;11369;;;;437778
2;Total;2002;8168344;6710595;996931;996931;797594;82706;62013;43292;11326;;;;460818
3;Total;2003;8387745;6854947;1038548;1038548;835710;81668;62889;46899;11382;;;;494250
4;Total;2004;9324217;6908890;1898932;1070214;866753;79444;63445;49228;11344;828718.0;721626.0;107092.0;516395
5;Total;2005;9521575;6991974;1992670;1098275;893455;77619;64519;51451;11231;894395.0;782035.0;112360.0;536931
6;Total;2006;9652941;7092293;2007699;1070605;862974;75924;65608;55104;10995;937094.0;820035.0;117059.0;552949
7;Total;2007;9835793;7230178;2037704;1064846;849348;75841;70544;58268;10845;972858.0;853482.0;119376.0;567911
8;Total;2008;10067576;7391903;2090469;1082523;862303;75313;72786;61030;11091;1007946.0;881919.0;126027.0;585204
9;Total;2009;10288216;7542331;2140281;1101432;876170;75112;74624;64194;11332;1038849.0;905955.0;132894.0;605604
10;Total;2010;10396746;7622353;2150951;1094211;872355;73368;71560;65294;11634;1056740.0;924118.0;132622.0;623442
11;Total;2011;10522896;7735547;2151150;1079993;861250;71386;71329;64751;11277;1071157.0;938857.0;132300.0;636199
12;Total;2012;10656190;7858712;2150483;1065799;849666;69545;71487;64115;10986;1084684.0;952350.0;132334.0;646995
13;Total;2013;10704447;7915613;2135589;1043415;832121;67096;70422;63312;10464;1092174.0;960631.0;131543.0;653245
14;Total;2014;10706674;7932290;2120393;1023614;815169;65046;71063;62414;9922;1096779.0;964889.0;131890.0;653991
15;Total;2015;10757655;7979083;2126236;1019585;814954;63356;70533;61145;9597;1106651.0;970962.0;135689.0;652336
16;Total;2016;10908581;8100864;2155173;1032819;828383;62436;72245;60344;9411;1122354.0;979377.0;142977.0;652544
17;Total;2017;11076215;8222974;2197250;1058767;852632;62155;74218;59940;9822;1138483.0;989453.0;149030.0;655991
18;Total;2018;11287017;8373244;2252134;1092291;883350;62581;77075;59371;9914;1159843.0;1002771.0;157072.0;661639
19;Total;2019;11495837;8530584;2299373;1126630;914766;62963;80078;59106;9717;1172743.0;1008731.0;164012.0;665880
20;Total;2020;11703420;8677911;2345661;1152931;939801;63081;81553;58620;9876;1192730.0;1024217.0;168513.0;679848
21;Total;2021;11864930;8793592;2371236;1171586;960130;62491;81179;58509;9277;1199650.0;1029636.0;170014.0;700102
22;Total;2022;12092508;8941456;2433445;1204665;990605;62818;83847;58337;9058;1228780.0;1051486.0;177294.0;717607
23;Younger than 1 year;2000;734075;600451;116707;116707;98472;7173;8236;2251;575;;;;16917
24;Younger than 1 year;2001;714885;583333;113456;113456;95049;7034;8539;2048;786;;;;18096
25;Younger than 1 year;2002;632629;516357;100366;100366;82359;6500;8751;2024;732;;;;15906
26;Younger than 1 year;2003;610321;500289;94150;94150;79201;5525;6941;1814;669;;;;15882
27;Younger than 1 year;2004;624622;465935;142947;88425;74435;4690;6926;1504;870;54522.0;47035.0;7487.0;15740
28;Younger than 1 year;2005;641619;472187;153369;100455;85626;4427;8122;1334;946;52914.0;43706.0;9208.0;16063
29;Younger than 1 year;2006;598999;455020;129770;79592;64408;4722;8025;1297;1140;50178.0;40186.0;9992.0;14209
30;Younger than 1 year;2007;622726;473751;135072;84028;63733;5911;11847;1760;777;51044.0;40370.0;10674.0;13903
31;Younger than 1 year;2008;662724;494904;152412;96622;79533;5129;9115;1711;1134;55790.0;41114.0;14676.0;15408
32;Younger than 1 year;2009;661001;489283;155729;103212;83074;6231;10806;1883;1218;52517.0;38402.0;14115.0;15989
33;Younger than 1 year;2010;493410;381581;98350;63477;50065;5038;5757;1450;1167;34873.0;29311.0;5562.0;13479
34;Younger than 1 year;2011;581431;477391;92685;59409;48834;3717;5107;1065;686;33276.0;27267.0;6009.0;11355
35;Younger than 1 year;2012;661984;547531;104408;69611;57061;3739;7061;1162;588;34797.0;27414.0;7383.0;10045
36;Younger than 1 year;2013;599134;492394;97458;66947;54785;3348;7024;1019;771;30511.0;23174.0;7337.0;9282
37;Younger than 1 year;2014;504160;405807;89962;61944;49152;3064;7893;1243;592;28018.0;20046.0;7972.0;8391
38;Younger than 1 year;2015;480663;379076;91991;60528;50340;2503;6187;846;652;31463.0;21511.0;9952.0;9596
39;Younger than 1 year;2016;545049;429331;105084;69385;56306;3236;8376;1133;334;35699.0;23435.0;12264.0;10634
