ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
59;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2013;;;;;;;;;;;;
60;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2014;;;;;;;;;;;;
61;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2015;;;;;;;;;;;;
62;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2016;;;;;16.0;35.0;84.0;65.0;;;;
63;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2017;;;;;15.0;32.0;85.0;68.0;;;;
64;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2018;;;;;14.0;32.0;86.0;68.0;;;;
65;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2019;;;;;13.0;29.0;87.0;71.0;;;;
66;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2020;;;;;13.0;30.0;87.0;70.0;;;;
67;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2021;;;;;13.0;30.0;87.0;70.0;;;;
68;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2022;;;;;13.0;30.0;87.0;70.0;;;;
69;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2023;;;;;15.0;32.0;85.0;68.0;;;;
70;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2010;;;;;;;;;;;;
71;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2011;;;;;56.0;74.0;44.0;26.0;;;;
72;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2012;;;;;58.0;75.0;42.0;25.0;;;;
73;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2013;;;;;;;;;;;;
74;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2014;;;;;;;;;;;;
75;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2015;;;;;;;;;;;;
76;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2016;;;;;56.0;75.0;44.0;25.0;;;;
77;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2017;;;;;53.0;71.0;47.0;29.0;;;;
78;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2018;;;;;52.0;70.0;48.0;30.0;;;;
79;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2019;;;;;50.0;67.0;50.0;33.0;;;;
80;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2020;;;;;52.0;67.0;48.0;33.0;;;;
81;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2021;;;;;50.0;68.0;50.0;32.0;;;;
82;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2022;;;;;49.0;68.0;51.0;32.0;;;;
83;Rundvee melkveehouderij (totaal);Totaal;Flevoland (PV);2023;;;;;51.0;69.0;49.0;31.0;;;;
84;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2010;;;;;;;;;;;;
85;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2011;;;;;13.0;32.0;87.0;68.0;;;;
86;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2012;;;;;13.0;33.0;87.0;67.0;;;;
87;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2013;;;;;;;;;;;;
88;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2014;;;;;;;;;;;;
89;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2015;;;;;;;;;;;;
90;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2016;;;;;17.0;39.0;83.0;61.0;;;;
91;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2017;;;;;17.0;38.0;83.0;62.0;;;;
92;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2018;;;;;16.0;37.0;84.0;63.0;;;;
93;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2019;;;;;15.0;36.0;85.0;64.0;;;;
94;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2020;;;;;15.0;36.0;85.0;64.0;;;;
95;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2021;;;;;15.0;35.0;85.0;65.0;;;;
96;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2022;;;;;16.0;36.0;84.0;64.0;;;;
97;Rundvee melkveehouderij (totaal);Totaal;Gelderland (PV);2023;;;;;16.0;36.0;84.0;64.0;;;;
98;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2010;;;;;;;;;;;;
99;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2011;;;;;6.0;19.0;94.0;81.0;;;;
100;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2012;;;;;6.0;20.0;94.0;80.0;;;;
101;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2013;;;;;;;;;;;;
102;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2014;;;;;;;;;;;;
103;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2015;;;;;;;;;;;;
104;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2016;;;;;9.0;23.0;91.0;77.0;;;;
105;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2017;;;;;9.0;22.0;91.0;78.0;;;;
106;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2018;;;;;7.0;20.0;93.0;80.0;;;;
107;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2019;;;;;7.0;19.0;93.0;81.0;;;;
108;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2020;;;;;7.0;19.0;93.0;81.0;;;;
109;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2021;;;;;6.0;20.0;94.0;80.0;;;;
110;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2022;;;;;7.0;19.0;93.0;81.0;;;;
111;Rundvee melkveehouderij (totaal);Totaal;Utrecht (PV);2023;;;;;7.0;20.0;93.0;80.0;;;;
112;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2010;;;;;;;;;;;;
113;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2011;;;;;4.0;15.0;96.0;85.0;;;;
114;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2012;;;;;4.0;15.0;96.0;85.0;;;;
115;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2013;;;;;;;;;;;;
116;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2014;;;;;;;;;;;;
117;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2015;;;;;;;;;;;;
118;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2016;;;;;5.0;17.0;95.0;83.0;;;;
119;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2017;;;;;5.0;15.0;95.0;85.0;;;;
120;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2018;;;;;4.0;15.0;96.0;85.0;;;;
121;Rundvee melkveehouderij (totaal);Totaal;Noord-Holland (PV);2019;;;;;4.0;14.0;96.0;86.0;;;;
