ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;TotalBusinessTurnoverNet_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherBusinessReturns_9;TotalBusinessCosts_10;PurchaseValueOfTurnover_11;TotalPersonnelCosts_12;GrossWagesAndSalaries_13;EmployerPaidSocialInsurancePremiums_14;PensionAndEarlyRetirementPremiums_15;OtherSocialInsuranceCosts_16;OtherPersonnelCosts_17;TotalOtherBusinessCosts_18;EnergyCosts_19;HousingCosts_20;EquipmentAndInventoryCosts_21;TransportCosts_22;SalesCosts_23;CommunicationCosts_24;ServicesProvidedByThirdParties_25;BusinessCostsNotElsewhereClassified_26;DepreciationFixedAssets_27;ProfitLoss_28;NetFinancialIncome_29;NetProvisions_30;NetExtraordinaryIncome_31;ProfitLossBeforeTax_32
31;514 Wholesale of other consumer goods;2007;114.3;98.5;101.5;87.8;72068.0;71107.0;37739.0;33368.0;961.0;67806.0;54418.0;4918.0;3542.0;398.0;290.0;54.0;633.0;7951.0;86.0;722.0;104.0;404.0;2759.0;180.0;1376.0;2320.0;519.0;4261.0;785.0;-32.0;-61.0;4953.0
32;514 Wholesale of other consumer goods;2008;120.0;103.3;105.8;91.0;76854.0;76079.0;39684.0;36395.0;775.0;72477.0;58081.0;5265.0;3785.0;452.0;311.0;61.0;656.0;8574.0;96.0;774.0;117.0;438.0;2865.0;187.0;1366.0;2731.0;556.0;4378.0;371.0;-2.0;-3.0;4744.0
33;5141a Wholesale in rest of other ..;2006;62.7;53.5;55.5;47.9;27389.0;27131.0;17081.0;10051.0;258.0;25858.0;19743.0;2383.0;1767.0;210.0;131.0;28.0;246.0;3433.0;55.0;407.0;65.0;204.0;1069.0;100.0;636.0;897.0;300.0;1531.0;159.0;-10.0;-24.0;1656.0
34;5141a Wholesale in rest of other ..;2007;66.4;56.9;58.7;50.7;32768.0;32187.0;19621.0;12567.0;580.0;30779.0;23982.0;2564.0;1870.0;222.0;134.0;24.0;315.0;3967.0;54.0;431.0;62.0;205.0;1419.0;98.0;753.0;946.0;266.0;1989.0;1010.0;-1.0;0.0;2997.0
35;5141a Wholesale in rest of other ..;2008;68.4;58.4;60.0;51.2;33907.0;33597.0;20716.0;12881.0;310.0;32189.0;25003.0;2676.0;1963.0;241.0;139.0;25.0;306.0;4216.0;59.0;461.0;70.0;229.0;1390.0;103.0;647.0;1258.0;295.0;1717.0;786.0;2.0;-14.0;2490.0
36;5142 Wholesale, clothing/footwear/..;2006;19.4;16.8;17.1;14.7;11319.0;11234.0;4656.0;6578.0;85.0;10471.0;7370.0;793.0;573.0;64.0;40.0;12.0;104.0;2192.0;16.0;124.0;17.0;45.0;1296.0;103.0;202.0;388.0;117.0;848.0;58.0;0.0;-13.0;892.0
37;5142 Wholesale, clothing/footwear/..;2007;21.2;18.3;18.8;16.0;11955.0;11845.0;4936.0;6909.0;111.0;10816.0;7731.0;866.0;605.0;65.0;63.0;11.0;122.0;2114.0;14.0;165.0;14.0;53.0;749.0;31.0;306.0;782.0;104.0;1139.0;-88.0;-9.0;-36.0;1006.0
38;5142 Wholesale, clothing/footwear/..;2008;22.2;19.1;19.4;16.6;12741.0;12634.0;5139.0;7495.0;108.0;11549.0;8185.0;940.0;649.0;79.0;64.0;17.0;131.0;2315.0;16.0;172.0;14.0;58.0;837.0;30.0;339.0;850.0;110.0;1192.0;-121.0;8.0;-9.0;1069.0
39;5146 Wholesale of pharmaceutical goods;2006;26.0;22.7;23.7;21.0;23425.0;23217.0;11691.0;11527.0;207.0;22304.0;18966.0;1368.0;985.0;105.0;96.0;19.0;163.0;1816.0;16.0;107.0;27.0;141.0;574.0;51.0;275.0;625.0;154.0;1120.0;-388.0;0.0;-8.0;724.0
40;5146 Wholesale of pharmaceutical goods;2007;26.7;23.3;24.0;21.2;27345.0;27075.0;13183.0;13892.0;270.0;26211.0;22705.0;1487.0;1068.0;111.0;93.0;18.0;196.0;1869.0;18.0;126.0;28.0;147.0;590.0;51.0;316.0;592.0;149.0;1134.0;-137.0;-22.0;-25.0;950.0
