ID;RegioS;Inkomensverdeling;AantalPersMet52WekenInkomenAbs_1;AantalPersMet52WekenInkomen_2
0;Nederland;Totaal personen met 52 weken inkomen;10805.3;100.0
1;Nederland;"1e 10%-groep; minder dan  6 700 euro";1080.5;10.0
2;Nederland;"2e 10%-groep;  6 700 tot  9 100 euro";1080.5;10.0
3;Nederland;"3e 10%-groep;  9 100 tot 11 600 euro";1080.5;10.0
4;Nederland;"4e 10%-groep; 11 600 tot 13 800 euro";1080.5;10.0
5;Nederland;"5e 10%-groep; 13 800 tot 15 800 euro";1080.5;10.0
6;Nederland;"6e 10%-groep; 15 800 tot 18 200 euro";1080.5;10.0
7;Nederland;"7e 10%-groep; 18 200 tot 20 900 euro";1080.5;10.0
8;Nederland;"8e 10%-groep; 20 900 tot 24 400 euro";1080.5;10.0
9;Nederland;"9e 10%-groep; 24 400 tot 30 400 euro";1080.5;10.0
10;Nederland;"10e 10%-groep; meer dan 30 400  euro";1080.5;10.0
11;Nederland;"1e 10%-groep; minder dan 6 700 euro";1080.5;10.0
12;Nederland;"2e-4e 10%-groep;  6 700 tot 13 800 euro";3241.6;30.0
13;Nederland;"5e-8e 10%-groep; 13 800 tot 24 400 euro";4322.1;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 24 400 euro";2161.1;20.0
15;Noord-Nederland (LD);Totaal personen met 52 weken inkomen;1122.7;100.0
16;Noord-Nederland (LD);"1e 10%-groep; minder dan  6 700 euro";115.5;10.0
17;Noord-Nederland (LD);"2e 10%-groep;  6 700 tot  9 100 euro";125.5;11.0
18;Noord-Nederland (LD);"3e 10%-groep;  9 100 tot 11 600 euro";124.9;11.0
19;Noord-Nederland (LD);"4e 10%-groep; 11 600 tot 13 800 euro";124.9;11.0
20;Noord-Nederland (LD);"5e 10%-groep; 13 800 tot 15 800 euro";119.1;11.0
21;Noord-Nederland (LD);"6e 10%-groep; 15 800 tot 18 200 euro";115.1;10.0
22;Noord-Nederland (LD);"7e 10%-groep; 18 200 tot 20 900 euro";109.9;10.0
23;Noord-Nederland (LD);"8e 10%-groep; 20 900 tot 24 400 euro";104.7;9.0
24;Noord-Nederland (LD);"9e 10%-groep; 24 400 tot 30 400 euro";98.5;9.0
25;Noord-Nederland (LD);"10e 10%-groep; meer dan 30 400  euro";84.4;8.0
26;Noord-Nederland (LD);"1e 10%-groep; minder dan 6 700 euro";115.5;10.0
27;Noord-Nederland (LD);"2e-4e 10%-groep;  6 700 tot 13 800 euro";375.4;33.0
28;Noord-Nederland (LD);"5e-8e 10%-groep; 13 800 tot 24 400 euro";448.9;40.0
29;Noord-Nederland (LD);"9e-10e 10%-groep; meer dan 24 400 euro";182.9;16.0
30;Oost-Nederland (LD);Totaal personen met 52 weken inkomen;2237.4;100.0
31;Oost-Nederland (LD);"1e 10%-groep; minder dan  6 700 euro";241.4;11.0
32;Oost-Nederland (LD);"2e 10%-groep;  6 700 tot  9 100 euro";231.6;10.0
33;Oost-Nederland (LD);"3e 10%-groep;  9 100 tot 11 600 euro";227.2;10.0
34;Oost-Nederland (LD);"4e 10%-groep; 11 600 tot 13 800 euro";229.9;10.0
35;Oost-Nederland (LD);"5e 10%-groep; 13 800 tot 15 800 euro";226.0;10.0
36;Oost-Nederland (LD);"6e 10%-groep; 15 800 tot 18 200 euro";227.6;10.0
37;Oost-Nederland (LD);"7e 10%-groep; 18 200 tot 20 900 euro";226.2;10.0
38;Oost-Nederland (LD);"8e 10%-groep; 20 900 tot 24 400 euro";219.8;10.0
39;Oost-Nederland (LD);"9e 10%-groep; 24 400 tot 30 400 euro";212.3;10.0
40;Oost-Nederland (LD);"10e 10%-groep; meer dan 30 400  euro";195.6;9.0
41;Oost-Nederland (LD);"1e 10%-groep; minder dan 6 700 euro";241.4;11.0
42;Oost-Nederland (LD);"2e-4e 10%-groep;  6 700 tot 13 800 euro";688.6;31.0
43;Oost-Nederland (LD);"5e-8e 10%-groep; 13 800 tot 24 400 euro";899.6;40.0
44;Oost-Nederland (LD);"9e-10e 10%-groep; meer dan 24 400 euro";407.8;18.0
45;West-Nederland (LD);Totaal personen met 52 weken inkomen;5055.3;100.0
46;West-Nederland (LD);"1e 10%-groep; minder dan  6 700 euro";468.1;9.0
47;West-Nederland (LD);"2e 10%-groep;  6 700 tot  9 100 euro";476.3;9.0
48;West-Nederland (LD);"3e 10%-groep;  9 100 tot 11 600 euro";485.6;10.0
49;West-Nederland (LD);"4e 10%-groep; 11 600 tot 13 800 euro";484.8;10.0
50;West-Nederland (LD);"5e 10%-groep; 13 800 tot 15 800 euro";494.1;10.0
51;West-Nederland (LD);"6e 10%-groep; 15 800 tot 18 200 euro";499.7;10.0
52;West-Nederland (LD);"7e 10%-groep; 18 200 tot 20 900 euro";508.3;10.0
53;West-Nederland (LD);"8e 10%-groep; 20 900 tot 24 400 euro";521.7;10.0
54;West-Nederland (LD);"9e 10%-groep; 24 400 tot 30 400 euro";536.2;11.0
55;West-Nederland (LD);"10e 10%-groep; meer dan 30 400  euro";580.5;12.0
56;West-Nederland (LD);"1e 10%-groep; minder dan 6 700 euro";468.1;9.0
57;West-Nederland (LD);"2e-4e 10%-groep;  6 700 tot 13 800 euro";1446.7;29.0
58;West-Nederland (LD);"5e-8e 10%-groep; 13 800 tot 24 400 euro";2023.9;40.0
59;West-Nederland (LD);"9e-10e 10%-groep; meer dan 24 400 euro";1116.7;22.0
60;Zuid-Nederland (LD);Totaal personen met 52 weken inkomen;2389.9;100.0
61;Zuid-Nederland (LD);"1e 10%-groep; minder dan  6 700 euro";255.5;11.0
62;Zuid-Nederland (LD);"2e 10%-groep;  6 700 tot  9 100 euro";247.2;10.0
63;Zuid-Nederland (LD);"3e 10%-groep;  9 100 tot 11 600 euro";242.8;10.0
64;Zuid-Nederland (LD);"4e 10%-groep; 11 600 tot 13 800 euro";240.9;10.0
65;Zuid-Nederland (LD);"5e 10%-groep; 13 800 tot 15 800 euro";241.3;10.0
66;Zuid-Nederland (LD);"6e 10%-groep; 15 800 tot 18 200 euro";238.1;10.0
67;Zuid-Nederland (LD);"7e 10%-groep; 18 200 tot 20 900 euro";236.1;10.0
68;Zuid-Nederland (LD);"8e 10%-groep; 20 900 tot 24 400 euro";234.3;10.0
69;Zuid-Nederland (LD);"9e 10%-groep; 24 400 tot 30 400 euro";233.6;10.0
70;Zuid-Nederland (LD);"10e 10%-groep; meer dan 30 400  euro";220.1;9.0
71;Zuid-Nederland (LD);"1e 10%-groep; minder dan 6 700 euro";255.5;11.0
72;Zuid-Nederland (LD);"2e-4e 10%-groep;  6 700 tot 13 800 euro";730.9;31.0
