ID;Gewichtsklassen;Perioden;AantalSloopvoertuigen_1;GewichtSloopvoertuigen_2
0;Totaal personenauto's;2000;310323;274899
1;Totaal personenauto's;2001;303866;270614
2;Totaal personenauto's;2002;294637;264275
3;Totaal personenauto's;2003;292023;263734
4;Totaal personenauto's;2004;274573;248967
5;Totaal personenauto's;2005;231627;211872
6;Totaal personenauto's;2006;225760;208822
7;Totaal personenauto's;2007;200836;187026
8;Totaal personenauto's;2008;198272;188102
9;Totaal personenauto's;2009;246759;237579
10;Totaal personenauto's;2010;229629;226317
11;Totaal personenauto's;2011;235852;236540
12;Totaal personenauto's;2012;224102;225318
13;Totaal personenauto's;2013;219836;222663
14;Totaal personenauto's;2014;213045;217931
15;Totaal personenauto's;2015;188961;192372
16;Totaal personenauto's;2016;192967;195832
17;Totaal personenauto's;2017;211845;215131
18;Totaal personenauto's;2018;225492;230324
19;Totaal personenauto's;2019;213530;220377
20;Totaal personenauto's;2020;207145;216817
21;Totaal personenauto's;2021;206228;216036
22;Personenauto's tot 650 kg;2000;10710;6557
23;Personenauto's tot 650 kg;2001;10953;6706
24;Personenauto's tot 650 kg;2002;11846;7259
25;Personenauto's tot 650 kg;2003;12605;7732
26;Personenauto's tot 650 kg;2004;13114;8062
27;Personenauto's tot 650 kg;2005;11670;7189
28;Personenauto's tot 650 kg;2006;11657;7193
29;Personenauto's tot 650 kg;2007;11190;6917
30;Personenauto's tot 650 kg;2008;9738;6030
31;Personenauto's tot 650 kg;2009;9544;5917
32;Personenauto's tot 650 kg;2010;6731;4169
33;Personenauto's tot 650 kg;2011;5335;3308
34;Personenauto's tot 650 kg;2012;4101;2552
35;Personenauto's tot 650 kg;2013;3182;1980
36;Personenauto's tot 650 kg;2014;2529;1574
37;Personenauto's tot 650 kg;2015;1817;1104
38;Personenauto's tot 650 kg;2016;1615;988
39;Personenauto's tot 650 kg;2017;1331;811
40;Personenauto's tot 650 kg;2018;1135;682
41;Personenauto's tot 650 kg;2019;832;487
42;Personenauto's tot 650 kg;2020;745;439
43;Personenauto's tot 650 kg;2021;550;311
44;Personenauto's 650 tot 750 kg;2000;49808;35338
