ID;Sex;Age31December;Periods;Deaths_1
0;Total male and female;Total;1971 week 0 (3 days);1100
1;Total male and female;Total;1971 week 1;2458
2;Total male and female;Total;1971 week 2;2374
3;Total male and female;Total;1971 week 3;2294
4;Total male and female;Total;1971 week 4;2163
5;Total male and female;Total;1971 week 5;2154
6;Total male and female;Total;1971 week 6;2107
7;Total male and female;Total;1971 week 7;2103
8;Total male and female;Total;1971 week 8;2105
9;Total male and female;Total;1971 week 9;2154
10;Total male and female;Total;1971 week 10;2231
11;Total male and female;Total;1971 week 11;2234
12;Total male and female;Total;1971 week 12;2089
13;Total male and female;Total;1971 week 13;2147
14;Total male and female;Total;1971 week 14;2167
15;Total male and female;Total;1971 week 15;2190
16;Total male and female;Total;1971 week 16;2131
17;Total male and female;Total;1971 week 17;2072
18;Total male and female;Total;1971 week 18;2155
19;Total male and female;Total;1971 week 19;2143
20;Total male and female;Total;1971 week 20;1999
21;Total male and female;Total;1971 week 21;1915
22;Total male and female;Total;1971 week 22;2134
23;Total male and female;Total;1971 week 23;1982
24;Total male and female;Total;1971 week 24;1987
25;Total male and female;Total;1971 week 25;2054
26;Total male and female;Total;1971 week 26;1963
27;Total male and female;Total;1971 week 27;2267
28;Total male and female;Total;1971 week 28;2028
29;Total male and female;Total;1971 week 29;1988
30;Total male and female;Total;1971 week 30;1998
31;Total male and female;Total;1971 week 31;1973
32;Total male and female;Total;1971 week 32;1905
33;Total male and female;Total;1971 week 33;2029
34;Total male and female;Total;1971 week 34;1801
35;Total male and female;Total;1971 week 35;1979
36;Total male and female;Total;1971 week 36;1907
37;Total male and female;Total;1971 week 37;1993
38;Total male and female;Total;1971 week 38;2046
39;Total male and female;Total;1971 week 39;1981
40;Total male and female;Total;1971 week 40;2032
41;Total male and female;Total;1971 week 41;2010
42;Total male and female;Total;1971 week 42;2263
43;Total male and female;Total;1971 week 43;2159
44;Total male and female;Total;1971 week 44;2126
45;Total male and female;Total;1971 week 45;2185
46;Total male and female;Total;1971 week 46;2052
47;Total male and female;Total;1971 week 47;2242
48;Total male and female;Total;1971 week 48;2266
49;Total male and female;Total;1971 week 49;2142
50;Total male and female;Total;1971 week 50;2209
51;Total male and female;Total;1971 week 51;2363
52;Total male and female;Total;1971 week 52 (5 days);1694
53;Total male and female;Total;1971;110243
54;Total male and female;Total;1972 week 0 (2 days);730
55;Total male and female;Total;1972 week 1;2447
56;Total male and female;Total;1972 week 2;2433
57;Total male and female;Total;1972 week 3;2575
58;Total male and female;Total;1972 week 4;2442
59;Total male and female;Total;1972 week 5;2545
60;Total male and female;Total;1972 week 6;2424
61;Total male and female;Total;1972 week 7;2313
62;Total male and female;Total;1972 week 8;2272
63;Total male and female;Total;1972 week 9;2269
64;Total male and female;Total;1972 week 10;2177
65;Total male and female;Total;1972 week 11;2229
66;Total male and female;Total;1972 week 12;2153
67;Total male and female;Total;1972 week 13;2108
68;Total male and female;Total;1972 week 14;2169
69;Total male and female;Total;1972 week 15;2117
70;Total male and female;Total;1972 week 16;1961
71;Total male and female;Total;1972 week 17;2044
72;Total male and female;Total;1972 week 18;2084
73;Total male and female;Total;1972 week 19;2064
74;Total male and female;Total;1972 week 20;2065
75;Total male and female;Total;1972 week 21;2083
76;Total male and female;Total;1972 week 22;2134
77;Total male and female;Total;1972 week 23;2086
78;Total male and female;Total;1972 week 24;2045
79;Total male and female;Total;1972 week 25;2019
80;Total male and female;Total;1972 week 26;2100
81;Total male and female;Total;1972 week 27;1996
82;Total male and female;Total;1972 week 28;2043
83;Total male and female;Total;1972 week 29;2567
84;Total male and female;Total;1972 week 30;2015
85;Total male and female;Total;1972 week 31;1937
86;Total male and female;Total;1972 week 32;2059
87;Total male and female;Total;1972 week 33;1987
88;Total male and female;Total;1972 week 34;1923
89;Total male and female;Total;1972 week 35;2070
90;Total male and female;Total;1972 week 36;2055
91;Total male and female;Total;1972 week 37;2054
92;Total male and female;Total;1972 week 38;2073
93;Total male and female;Total;1972 week 39;1996
94;Total male and female;Total;1972 week 40;2201
95;Total male and female;Total;1972 week 41;2119
96;Total male and female;Total;1972 week 42;2110
97;Total male and female;Total;1973 week 43;2159
98;Total male and female;Total;1972 week 44;2069
99;Total male and female;Total;1972 week 45;2022
100;Total male and female;Total;1972 week 46;2188
101;Total male and female;Total;1972 week 47;2112
102;Total male and female;Total;1972 week 48;2313
103;Total male and female;Total;1972 week 49;2269
104;Total male and female;Total;1972 week 50;2290
105;Total male and female;Total;1972 week 51;2317
106;Total male and female;Total;1972 week 52;2544
107;Total male and female;Total;1972;113576
108;Total male and female;Total;1973 week 1;3156
109;Total male and female;Total;1973 week 2;2899
110;Total male and female;Total;1973 week 3;2611
111;Total male and female;Total;1973 week 4;2320
112;Total male and female;Total;1973 week 5;2301
113;Total male and female;Total;1973 week 6;2199
114;Total male and female;Total;1973 week 7;2115
115;Total male and female;Total;1973 week 8;2117
116;Total male and female;Total;1973 week 9;2139
117;Total male and female;Total;1973 week 10;2075
118;Total male and female;Total;1973 week 11;2062
119;Total male and female;Total;1973 week 12;2188
120;Total male and female;Total;1973 week 13;2050
121;Total male and female;Total;1973 week 14;2042
122;Total male and female;Total;1973 week 15;2072
123;Total male and female;Total;1973 week 16;2061
124;Total male and female;Total;1973 week 17;2081
125;Total male and female;Total;1973 week 18;2061
126;Total male and female;Total;1973 week 19;1984
127;Total male and female;Total;1973 week 20;2040
128;Total male and female;Total;1973 week 21;2066
129;Total male and female;Total;1973 week 22;2070
130;Total male and female;Total;1973 week 23;1946
131;Total male and female;Total;1973 week 24;1987
132;Total male and female;Total;1973 week 25;2071
133;Total male and female;Total;1973 week 26;2279
134;Total male and female;Total;1973 week 27;2102
135;Total male and female;Total;1973 week 28;1964
136;Total male and female;Total;1973 week 29;1923
137;Total male and female;Total;1973 week 30;1965
138;Total male and female;Total;1973 week 31;2127
139;Total male and female;Total;1973 week 32;1914
140;Total male and female;Total;1973 week 33;2146
141;Total male and female;Total;1973 week 34;1940
142;Total male and female;Total;1973 week 35;1965
143;Total male and female;Total;1973 week 36;1990
144;Total male and female;Total;1973 week 37;1895
145;Total male and female;Total;1973 week 38;1982
146;Total male and female;Total;1973 week 39;2015
147;Total male and female;Total;1973 week 40;2040
148;Total male and female;Total;1973 week 41;2013
149;Total male and female;Total;1973 week 42;2191
150;Total male and female;Total;1973 week 43;2054
151;Total male and female;Total;1973 week 44;2096
152;Total male and female;Total;1973 week 45;2039
153;Total male and female;Total;1973 week 46;2043
154;Total male and female;Total;1973 week 47;2057
155;Total male and female;Total;1973 week 48;2124
156;Total male and female;Total;1973 week 49;2196
157;Total male and female;Total;1973 week 50;2154
158;Total male and female;Total;1973 week 51;2237
159;Total male and female;Total;1973 week 52;2173
160;Total male and female;Total;1973 week 53 (1 day);345
161;Total male and female;Total;1973;110682
162;Total male and female;Total;1974 week 1 (6 days);1981
163;Total male and female;Total;1974 week 2;2274
164;Total male and female;Total;1974 week 3;2218
165;Total male and female;Total;1974 week 4;2269
166;Total male and female;Total;1974 week 5;2260
167;Total male and female;Total;1974 week 6;2266
168;Total male and female;Total;1974 week 7;2209
169;Total male and female;Total;1974 week 8;2079
170;Total male and female;Total;1974 week 9;2198
171;Total male and female;Total;1974 week 10;2154
172;Total male and female;Total;1974 week 11;2280
173;Total male and female;Total;1974 week 12;2085
174;Total male and female;Total;1974 week 13;2164
175;Total male and female;Total;1974 week 14;2027
176;Total male and female;Total;1974 week 15;2084
177;Total male and female;Total;1974 week 16;2035
178;Total male and female;Total;1974 week 17;1997
179;Total male and female;Total;1974 week 18;2063
180;Total male and female;Total;1974 week 19;2062
181;Total male and female;Total;1974 week 20;2003
182;Total male and female;Total;1974 week 21;2049
183;Total male and female;Total;1974 week 22;2051
184;Total male and female;Total;1974 week 23;2067
185;Total male and female;Total;1974 week 24;2082
186;Total male and female;Total;1974 week 25;2070
187;Total male and female;Total;1974 week 26;1973
188;Total male and female;Total;1974 week 27;1957
189;Total male and female;Total;1974 week 28;1919
190;Total male and female;Total;1974 week 29;1969
191;Total male and female;Total;1974 week 30;1890
192;Total male and female;Total;1974 week 31;1958
193;Total male and female;Total;1974 week 32;1933
194;Total male and female;Total;1974 week 33;2129
195;Total male and female;Total;1974 week 34;1962
196;Total male and female;Total;1974 week 35;1964
197;Total male and female;Total;1974 week 36;1865
198;Total male and female;Total;1974 week 37;2133
199;Total male and female;Total;1974 week 38;2003
200;Total male and female;Total;1974 week 39;2157
201;Total male and female;Total;1974 week 40;2153
202;Total male and female;Total;1974 week 41;2122
203;Total male and female;Total;1974 week 42;2116
