ID;SectorBedrijfstak;Perioden;CBSKoersindex_1;CBSHerbeleggingsindex_2
0;1;1952 december;13.2;
1;1;1953 januari;13.7;
2;1;1953 februari;13.7;
3;1;1953 maart;13.7;
4;1;1953 april;13.6;
5;1;1953 mei;13.6;
6;1;1953 juni;14.0;
7;1;1953 juli;14.4;
8;1;1953 augustus;14.3;
9;1;1953 september;14.2;
10;1;1953 oktober;14.7;
11;1;1953 november;15.2;
12;1;1953 december;15.5;
13;1;1954 januari;16.0;
14;1;1954 februari;16.6;
15;1;1954 maart;18.3;
16;1;1954 april;18.5;
17;1;1954 mei;20.0;
18;1;1954 juni;20.6;
19;1;1954 juli;20.8;
20;1;1954 augustus;21.3;
21;1;1954 september;21.7;
22;1;1954 oktober;23.9;
23;1;1954 november;25.8;
24;1;1954 december;26.0;
25;1;1955 januari;24.6;
26;1;1955 februari;25.6;
27;1;1955 maart;26.9;
28;1;1955 april;27.3;
29;1;1955 mei;27.0;
30;1;1955 juni;28.2;
31;1;1955 juli;30.1;
32;1;1955 augustus;31.2;
33;1;1955 september;30.6;
34;1;1955 oktober;28.2;
35;1;1955 november;30.7;
36;1;1955 december;30.6;
37;1;1956 januari;30.9;
38;1;1956 februari;31.1;
39;1;1956 maart;33.7;
40;1;1956 april;34.8;
41;1;1956 mei;35.0;
42;1;1956 juni;34.5;
43;1;1956 juli;35.5;
44;1;1956 augustus;33.1;
45;1;1956 september;34.0;
46;1;1956 oktober;32.9;
47;1;1956 november;29.4;
48;1;1956 december;32.4;
49;1;1957 januari;32.0;
50;1;1957 februari;33.1;
51;1;1957 maart;34.5;
52;1;1957 april;35.8;
53;1;1957 mei;38.8;
54;1;1957 juni;40.5;
55;1;1957 juli;39.9;
56;1;1957 augustus;37.6;
57;1;1957 september;34.5;
58;1;1957 oktober;31.7;
59;1;1957 november;30.6;
60;1;1957 december;28.2;
61;1;1958 januari;29.9;
62;1;1958 februari;29.4;
63;1;1958 maart;30.8;
64;1;1958 april;32.4;
65;1;1958 mei;32.8;
66;1;1958 juni;33.6;
67;1;1958 juli;33.7;
68;1;1958 augustus;33.8;
69;1;1958 september;35.1;
70;1;1958 oktober;38.7;
71;1;1958 november;39.3;
72;1;1958 december;38.1;
73;1;1959 januari;40.2;
74;1;1959 februari;37.8;
75;1;1959 maart;38.7;
76;1;1959 april;40.4;
77;1;1959 mei;42.6;
78;1;1959 juni;41.5;
79;1;1959 juli;43.3;
80;1;1959 augustus;45.3;
81;1;1959 september;42.5;
82;1;1959 oktober;43.4;
83;1;1959 november;45.5;
84;1;1959 december;48.6;
85;1;1960 januari;46.4;
86;1;1960 februari;45.1;
87;1;1960 maart;46.8;
88;1;1960 april;46.9;
89;1;1960 mei;49.5;
90;1;1960 juni;53.4;
91;1;1960 juli;50.9;
92;1;1960 augustus;53.9;
93;1;1960 september;50.7;
94;1;1960 oktober;49.2;
95;1;1960 november;49.8;
96;1;1960 december;49.7;
97;1;1961 januari;53.5;
98;1;1961 februari;55.8;
99;1;1961 maart;56.8;
100;1;1961 april;56.5;
101;1;1961 mei;52.9;
102;1;1961 juni;47.7;
103;1;1961 juli;47.8;
104;1;1961 augustus;46.7;
105;1;1961 september;46.3;
106;1;1961 oktober;48.6;
107;1;1961 november;48.9;
108;1;1961 december;49.8;
109;1;1962 januari;49.9;
110;1;1962 februari;53.0;
111;1;1962 maart;51.9;
112;1;1962 april;49.5;
113;1;1962 mei;44.0;
114;1;1962 juni;41.8;
115;1;1962 juli;43.6;
116;1;1962 augustus;43.3;
117;1;1962 september;41.8;
118;1;1962 oktober;40.8;
119;1;1962 november;44.7;
120;1;1962 december;44.6;
121;1;1963 januari;46.5;
122;1;1963 februari;46.4;
123;1;1963 maart;47.5;
124;1;1963 april;49.3;
125;1;1963 mei;50.7;
126;1;1963 juni;49.4;
127;1;1963 juli;48.8;
128;1;1963 augustus;49.2;
129;1;1963 september;48.1;
130;1;1963 oktober;47.0;
131;1;1963 november;47.9;
132;1;1963 december;48.2;
133;1;1964 januari;52.5;
134;1;1964 februari;51.7;
135;1;1964 maart;51.2;
136;1;1964 april;53.4;
137;1;1964 mei;53.4;
138;1;1964 juni;52.9;
139;1;1964 juli;53.2;
140;1;1964 augustus;53.3;
141;1;1964 september;53.4;
142;1;1964 oktober;53.7;
143;1;1964 november;52.2;
144;1;1964 december;54.8;
145;1;1965 januari;56.9;
146;1;1965 februari;56.1;
147;1;1965 maart;53.2;
148;1;1965 april;52.3;
149;1;1965 mei;51.8;
150;1;1965 juni;50.0;
151;1;1965 juli;49.2;
152;1;1965 augustus;49.5;
153;1;1965 september;50.0;
154;1;1965 oktober;50.1;
155;1;1965 november;48.6;
156;1;1965 december;48.7;
157;1;1966 januari;51.8;
158;1;1966 februari;50.3;
159;1;1966 maart;47.3;
160;1;1966 april;47.9;
161;1;1966 mei;45.4;
162;1;1966 juni;44.3;
163;1;1966 juli;42.6;
164;1;1966 augustus;37.7;
165;1;1966 september;40.1;
166;1;1966 oktober;41.2;
167;1;1966 november;38.7;
168;1;1966 december;39.3;
169;1;1967 januari;42.2;
170;1;1967 februari;42.0;
171;1;1967 maart;42.6;
172;1;1967 april;43.5;
173;1;1967 mei;41.9;
174;1;1967 juni;42.4;
175;1;1967 juli;43.9;
176;1;1967 augustus;46.4;
177;1;1967 september;48.1;
178;1;1967 oktober;47.0;
179;1;1967 november;48.0;
180;1;1967 december;50.7;
181;1;1968 januari;49.3;
182;1;1968 februari;50.2;
183;1;1968 maart;53.8;
184;1;1968 april;55.1;
185;1;1968 mei;56.4;
186;1;1968 juni;58.8;
187;1;1968 juli;58.0;
188;1;1968 augustus;60.1;
189;1;1968 september;63.7;
190;1;1968 oktober;66.9;
191;1;1968 november;68.4;
192;1;1968 december;66.4;
193;1;1969 januari;68.6;
194;1;1969 februari;66.9;
195;1;1969 maart;68.3;
196;1;1969 april;69.7;
197;1;1969 mei;70.1;
198;1;1969 juni;64.5;
199;1;1969 juli;59.5;
200;1;1969 augustus;62.3;
201;1;1969 september;61.4;
202;1;1969 oktober;63.9;
203;1;1969 november;63.1;
204;1;1969 december;61.5;
205;1;1970 januari;58.3;
206;1;1970 februari;58.8;
207;1;1970 maart;60.7;
208;1;1970 april;56.5;
209;1;1970 mei;54.6;
210;1;1970 juni;54.5;
211;1;1970 juli;59.1;
212;1;1970 augustus;62.6;
213;1;1970 september;61.3;
214;1;1970 oktober;61.1;
215;1;1970 november;54.8;
216;1;1970 december;55.8;
217;1;1971 januari;57.1;
218;1;1971 februari;57.2;
219;1;1971 maart;58.0;
220;1;1971 april;60.2;
221;1;1971 mei;60.0;
222;1;1971 juni;59.7;
223;1;1971 juli;59.7;
224;1;1971 augustus;55.8;
225;1;1971 september;51.6;
226;1;1971 oktober;49.2;
227;1;1971 november;47.5;
228;1;1971 december;49.8;
229;1;1972 januari;52.6;
230;1;1972 februari;55.3;
231;1;1972 maart;55.2;
232;1;1972 april;55.7;
233;1;1972 mei;61.8;
234;1;1972 juni;59.7;
235;1;1972 juli;63.5;
236;1;1972 augustus;64.3;
237;1;1972 september;61.0;
238;1;1972 oktober;61.3;
239;1;1972 november;62.2;
240;1;1972 december;63.1;
241;1;1973 januari;65.5;
242;1;1973 februari;64.1;
243;1;1973 maart;68.2;
244;1;1973 april;67.1;
245;1;1973 mei;63.7;
246;1;1973 juni;60.8;
247;1;1973 juli;60.5;
248;1;1973 augustus;59.0;
249;1;1973 september;56.9;
250;1;1973 oktober;56.2;
251;1;1973 november;49.4;
252;1;1973 december;51.0;
253;1;1974 januari;51.6;
254;1;1974 februari;49.3;
255;1;1974 maart;48.2;
256;1;1974 april;49.2;
257;1;1974 mei;47.2;
258;1;1974 juni;45.4;
259;1;1974 juli;45.9;
260;1;1974 augustus;41.2;
261;1;1974 september;37.0;
262;1;1974 oktober;36.5;
263;1;1974 november;36.9;
264;1;1974 december;37.3;
265;1;1975 januari;44.7;
266;1;1975 februari;46.4;
267;1;1975 maart;46.6;
268;1;1975 april;48.4;
269;1;1975 mei;45.7;
270;1;1975 juni;47.0;
271;1;1975 juli;47.8;
272;1;1975 augustus;47.2;
273;1;1975 september;44.4;
274;1;1975 oktober;46.2;
275;1;1975 november;50.6;
276;1;1975 december;52.9;
277;1;1976 januari;56.2;
278;1;1976 februari;55.7;
279;1;1976 maart;57.7;
280;1;1976 april;57.7;
281;1;1976 mei;56.8;
282;1;1976 juni;55.2;
283;1;1976 juli;54.9;
284;1;1976 augustus;52.7;
285;1;1976 september;50.5;
286;1;1976 oktober;49.1;
287;1;1976 november;50.7;
288;1;1976 december;52.6;
289;1;1977 januari;53.8;
290;1;1977 februari;54.5;
291;1;1977 maart;55.5;
292;1;1977 april;59.4;
293;1;1977 mei;56.3;
294;1;1977 juni;56.6;
295;1;1977 juli;56.6;
296;1;1977 augustus;54.3;
297;1;1977 september;55.3;
298;1;1977 oktober;55.4;
299;1;1977 november;55.9;
300;1;1977 december;54.1;
301;1;1978 januari;54.1;
302;1;1978 februari;53.1;
303;1;1978 maart;54.2;
304;1;1978 april;54.1;
305;1;1978 mei;55.7;
306;1;1978 juni;55.9;
307;1;1978 juli;57.0;
308;1;1978 augustus;59.7;
309;1;1978 september;58.2;
310;1;1978 oktober;53.3;
311;1;1978 november;54.1;
312;1;1978 december;53.6;
313;1;1979 januari;56.2;
314;1;1979 februari;54.7;
315;1;1979 maart;56.9;
316;1;1979 april;57.7;
317;1;1979 mei;55.8;
318;1;1979 juni;57.2;
319;1;1979 juli;57.2;
320;1;1979 augustus;59.0;
321;1;1979 september;59.4;
322;1;1979 oktober;57.6;
323;1;1979 november;55.9;
324;1;1979 december;55.9;
325;1;1980 januari;57.0;42.9
326;1;1980 februari;56.4;42.4
327;1;1980 maart;51.7;39.0
328;1;1980 april;54.7;41.4
329;1;1980 mei;55.4;43.7
330;1;1980 juni;56.4;44.5
331;1;1980 juli;58.7;46.4
332;1;1980 augustus;57.6;45.6
333;1;1980 september;57.4;46.4
334;1;1980 oktober;62.2;50.3
335;1;1980 november;65.0;52.6
336;1;1980 december;62.2;50.5
337;1;1981 januari;63.1;51.3
338;1;1981 februari;64.1;52.1
339;1;1981 maart;60.4;49.1
340;1;1981 april;61.2;50.0
341;1;1981 mei;58.9;50.0
342;1;1981 juni;60.4;51.3
343;1;1981 juli;60.8;51.7
344;1;1981 augustus;60.5;51.6
345;1;1981 september;52.4;45.6
346;1;1981 oktober;54.8;47.7
347;1;1981 november;58.2;50.8
348;1;1981 december;57.4;50.2
349;1;1982 januari;58.1;50.8
350;1;1982 februari;55.0;48.2
351;1;1982 maart;59.2;51.8
352;1;1982 april;62.1;54.6
353;1;1982 mei;61.1;56.1
354;1;1982 juni;57.4;52.8
355;1;1982 juli;57.4;52.8
356;1;1982 augustus;58.2;53.7
357;1;1982 september;58.4;55.0
358;1;1982 oktober;63.0;59.3
359;1;1982 november;62.3;58.8
360;1;1982 december;65.9;62.3
361;1;1983 januari;68.1;64.5
362;1;1983 februari;70.5;66.7
363;1;1983 maart;81.9;77.5
364;1;1983 april;84.0;79.9
365;1;1983 mei;83.2;81.5
366;1;1983 juni;91.0;89.2
367;1;1983 juli;93.5;91.7
368;1;1983 augustus;94.3;92.7
369;1;1983 september;94.8;94.4
370;1;1983 oktober;90.6;90.4
371;1;1983 november;95.4;95.3
372;1;1983 december;100.0;100.0
373;1;1984 januari;115.6;115.6
374;1;1984 februari;106.8;106.8
375;1;1984 maart;108.1;108.1
376;1;1984 april;108.0;108.5
377;1;1984 mei;102.3;105.4
378;1;1984 juni;104.6;107.8
379;1;1984 juli;98.4;101.4
380;1;1984 augustus;111.7;115.5
381;1;1984 september;120.7;126.2
382;1;1984 oktober;120.4;125.9
383;1;1984 november;119.3;125.0
384;1;1984 december;122.2;128.1
385;1;1985 januari;132.7;139.1
386;1;1985 februari;136.9;143.5
387;1;1985 maart;137.1;143.8
388;1;1985 april;142.4;150.1
389;1;1985 mei;138.7;149.7
390;1;1985 juni;139.6;150.7
391;1;1985 juli;140.6;151.8
392;1;1985 augustus;142.8;154.7
393;1;1985 september;137.8;150.8
394;1;1985 oktober;142.8;156.3
395;1;1985 november;149.3;163.7
396;1;1985 december;155.4;170.5
397;1;1986 januari;150.6;165.2
398;1;1986 februari;145.8;159.9
399;1;1986 maart;159.9;175.6
400;1;1986 april;159.1;175.8
401;1;1986 mei;166.1;187.7
402;1;1986 juni;164.6;186.0
403;1;1986 juli;158.0;178.7
404;1;1986 augustus;169.1;191.8
405;1;1986 september;161.5;184.7
406;1;1986 oktober;161.1;184.3
407;1;1986 november;164.9;188.8
408;1;1986 december;162.9;186.7
409;1;1987 januari;159.3;182.5
410;1;1987 februari;158.7;181.8
411;1;1987 maart;170.5;195.3
412;1;1987 april;169.7;195.5
413;1;1987 mei;173.3;203.8
414;1;1987 juni;185.6;218.3
415;1;1987 juli;194.5;228.8
416;1;1987 augustus;190.1;224.1
417;1;1987 september;185.9;220.7
418;1;1987 oktober;142.5;169.4
419;1;1987 november;124.0;147.6
420;1;1987 december;128.7;153.3
421;1;1988 januari;133.3;158.8
422;1;1988 februari;140.6;167.5
423;1;1988 maart;145.0;172.7
424;1;1988 april;149.0;178.4
425;1;1988 mei;145.0;177.9
426;1;1988 juni;154.8;190.2
427;1;1988 juli;162.6;199.7
428;1;1988 augustus;155.7;192.2
429;1;1988 september;159.5;198.9
430;1;1988 oktober;162.3;202.3
431;1;1988 november;158.0;197.3
432;1;1988 december;165.8;207.3
433;1;1989 januari;176.3;220.3
434;1;1989 februari;171.7;214.6
435;1;1989 maart;183.4;229.3
436;1;1989 april;190.3;239.5
437;1;1989 mei;189.6;243.4
438;1;1989 juni;193.4;248.5
439;1;1989 juli;200.5;257.5
440;1;1989 augustus;205.1;264.6
441;1;1989 september;203.9;265.2
442;1;1989 oktober;193.0;251.1
443;1;1989 november;197.2;256.9
444;1;1989 december;202.8;264.3
445;1;1990 januari;193.8;252.7
446;1;1990 februari;187.8;244.8
447;1;1990 maart;197.8;257.9
448;1;1990 april;191.8;252.0
449;1;1990 mei;199.6;267.7
450;1;1990 juni;198.5;266.5
451;1;1990 juli;198.6;266.6
452;1;1990 augustus;179.7;242.1
453;1;1990 september;167.6;228.2
454;1;1990 oktober;170.7;232.5
455;1;1990 november;169.1;230.7
456;1;1990 december;168.3;229.6
457;1;1991 januari;167.3;228.7
458;1;1991 februari;182.5;249.6
459;1;1991 maart;195.7;267.6
460;1;1991 april;200.7;275.5
461;1;1991 mei;201.7;282.9
462;1;1991 juni;197.5;277.2
463;1;1991 juli;200.8;281.8
464;1;1991 augustus;199.3;280.5
465;1;1991 september;193.9;275.6
466;1;1991 oktober;195.5;278.0
467;1;1991 november;191.9;273.2
468;1;1991 december;191.4;272.6
469;1;1992 januari;201.6;287.1
470;1;1992 februari;205.8;293.0
471;1;1992 maart;203.9;290.3
472;1;1992 april;212.3;303.6
473;1;1992 mei;215.1;314.4
474;1;1992 juni;205.7;301.0
475;1;1992 juli;198.6;290.8
476;1;1992 augustus;192.6;282.6
477;1;1992 september;196.8;291.9
478;1;1992 oktober;191.8;284.5
479;1;1992 november;194.3;288.7
480;1;1992 december;198.0;294.2
481;1;1993 januari;201.7;299.7
482;1;1993 februari;211.6;314.4
483;1;1993 maart;220.9;328.5
484;1;1993 april;215.8;321.7
