ID;Perioden;Jachtpassagiers_1;Jachten_2;GemiddeldAantalLigdagen_3
0;2014 januari;310;90;8.6
1;2014 februari;160;50;11.4
2;2014 maart;250;80;10.8
3;2014 1e kwartaal;730;220;10.3
4;2014 april;190;60;7.3
5;2014 mei;200;70;9.6
6;2014 juni;140;50;9.9
7;2014 2e kwartaal;530;180;8.9
8;2014 juli;170;50;10.6
9;2014 augustus;150;50;13.2
10;2014 september;150;50;10.9
11;2014 3e kwartaal;470;160;11.6
12;2014 oktober;380;110;8.2
13;2014 november;270;90;9.2
14;2014 december;250;80;9.1
15;2014 4e kwartaal;900;280;8.8
16;2014;2620;830;9.9
17;2015 januari;230;70;9.3
18;2015 februari;330;90;11.4
19;2015 maart;230;70;10.5
20;2015 1e kwartaal;790;230;10.4
21;2015 april;190;50;7.0
22;2015 mei;160;60;15.0
23;2015 juni;110;40;15.0
24;2015 2e kwartaal;460;140;12.3
25;2015 juli;200;50;11.5
26;2015 augustus;220;60;10.4
27;2015 september;130;50;10.1
28;2015 3e kwartaal;550;170;10.6
29;2015 oktober;320;100;9.1
30;2015 november;200;70;13.5
31;2015 december;190;60;9.6
32;2015 4e kwartaal;720;230;10.7
33;2015;2520;780;11.0
34;2016 januari;430;100;7.0
35;2016 februari;180;50;15.9
36;2016 maart;280;80;5.9
37;2016 1e kwartaal;890;240;9.6
38;2016 april;250;60;4.4
39;2016 mei;170;60;12.0
40;2016 juni;110;40;11.8
41;2016 2e kwartaal;530;160;9.4
42;2016 juli;160;50;13.8
43;2016 augustus;180;60;6.9
44;2016 september;120;40;7.5
45;2016 3e kwartaal;460;150;9.4
46;2016 oktober;410;120;9.7
47;2016 november;200;70;9.3
48;2016 december;180;60;10.2
49;2016 4e kwartaal;800;260;9.7
50;2016;2670;800;9.5
51;2017 januari;420;110;10.1
52;2017 februari;300;80;6.0
53;2017 maart;220;80;4.9
54;2017 1e kwartaal;940;260;7.0
55;2017 april;380;90;7.1
56;2017 mei;230;80;10.1
57;2017 juni;140;60;13.5
58;2017 2e kwartaal;740;230;10.2
59;2017 juli;240;80;14.0
60;2017 augustus;420;100;15.9
61;2017 september;280;70;12.1
62;2017 3e kwartaal;930;250;14.0
63;2017 oktober;820;160;7.0
64;2017 november;250;90;10.8
65;2017 december;350;100;7.8
66;2017 4e kwartaal;1420;340;8.5
67;2017;4040;1080;9.9
68;2018 januari;370;100;11.1
69;2018 februari;300;80;10.1
70;2018 maart;340;90;11.0
71;2018 1e kwartaal;1010;280;10.7
72;2018 april;680;130;7.6
73;2018 mei;340;110;13.5
74;2018 juni;250;80;7.7
75;2018 2w kwartaal;1270;320;9.6
76;2018 juli;250;60;12.0
77;2018 augustus;190;60;12.5
78;2018 september;220;60;12.0
79;2018 3e kwartaal;660;190;12.2
80;2018 oktober;810;170;9.6
81;2018 november;270;80;13.3
82;2018 december;210;70;9.1
83;2018 4e kwartaal;1290;320;10.7
84;2018;4230;1110;10.8
85;2019 januari;340;90;14.0
86;2019 februari;330;80;8.9
87;2019 maart;180;50;8.9
88;20189 1e kwartaal;850;220;10.6
89;2019 april;280;70;8.6
90;2019 mei;180;70;9.1
91;2019 juni;190;70;5.2
92;2019 2e kwartaal;650;210;7.6
93;2019 juli;170;50;15.9
94;2019 augustus;180;60;10.6
95;2019 september;150;40;9.0
96;2019 3e kwartaal;500;150;11.8
97;2019 oktober;570;120;9.8
98;2019 november;200;80;12.3
99;2019 december;240;70;10.6
100;20189 4e kwartaal;1010;270;10.9
101;2019;3010;850;10.2
102;2020 januari;380;100;8.6
103;2020 februari;180;60;7.2
104;2020 maart;140;50;8.8
