ID;Perioden;Musea_1;Mensjaren_2;TotaalBedrijfsopbrengsten_3;TotaalDirecteOpbrengsten_4;TotaalPublieksinkomsten_5;Entree_6;Museumkaart_7;Sponsorinkomsten_8;TotaalOverigeInkomsten_9;InkomstenWinkel_10;InkomstenHoreca_11;OverigeInkomsten_12;TotaalIndirecteOpbrengsten_13;TotaalSubsidiesOverheid_14;TotaalRijkssubsidies_15;MinOnderwijsCultuurEnWetenschappen_16;OverigeMinisteries_17;Provincie_18;Gemeente_19;LoonsubsidiesAfdrachtskortingen_20;TotaalOverigeSubsidiesBijdragen_21;TotaalPubliekeMiddelen_22;EuropeseProjecten_23;OverigePubliekeMiddelen_24;PrivateMiddelen_25;TotaleBedrijfskosten_26;TotaalArbeidskosten_27;BrutoLonen_28;SocialeLasten_29;Pensioenlasten_30;Inhuur_31;OverigePersoneleLasten_32;TotaalHuisvestingskosten_33;JaarhuurGebouwenEnTerreinen_34;OnderhoudKlein_35;GasWaterLicht_36;OverigeHuisvestingskosten_37;Afschrijvingen_38;AankoopMuseumstukken_39;TotaalAndereKosten_40;TotaalInkopenWinkel_41;TotaalInkopenHoreca_42;Tentoonstellingskosten_43;MarketingEnCommunicatie_44;OverigeKosten_45;Bedrijfsresultaat_46;FinancieelResultaat_47;SaldoReservesVoorzieningen_48;SaldoBijzonderBatenLasten_49;EindResultaat_50
0;1993;732;;258;73;40;37;3;4;29;8;3;18;185;174;77;;;17;80;;11;;;;;253;125;102;15;;8;;32;6;13;7;6;10;9;77;;;19;;58;5;-8;;;-3
1;1994;741;;278;85;49;46;3;5;31;9;3;19;193;184;85;;;19;80;;9;;;;;271;132;107;16;;9;;40;11;16;7;6;12;6;81;;;19;;62;7;-7;;;0
2;1995;744;4896.0;293;91;48;44;4;8;35;11;3;21;202;191;95;;;15;81;;11;;;;;290;140;112;18;;10;;47;16;15;8;8;13;7;83;;;22;;61;3;-4;;;-1
3;1997;942;5071.0;284;91;51;46;5;8;32;11;4;17;193;180;82;;;21;77;;13;;;;;283;147;113;15;;15;4.0;40;16;10;7;7;14;8;74;;;16;;58;1;-3;;;-2
4;1999;902;5198.0;357;110;54;48;6;8;48;17;7;25;246;225;102;;;17;102;4.0;21;;;;;370;183;134;27;;12;10.0;51;20;12;9;10;15;24;97;9.0;3.0;29;;56;-13;-4;;;-17
5;2001;873;5478.0;407;116;61;56;5;8;47;15;7;25;291;264;140;;;16;104;4.0;27;;;;;414;199;145;29;;14;11.0;79;42;11;10;16;19;16;101;8.0;4.0;34;;55;-7;-5;7.0;;-5
6;2003;828;5837.0;475;127;64;59;5;10;53;18;7;29;347;313;168;;;22;115;8.0;34;;;;;502;227;165;32;;17;13.0;97;57;13;11;16;24;34;120;9.0;3.0;43;;65;-27;-5;7.0;;-25
7;2005;775;5696.0;525;142;72;64;8;11;59;21;9;32;380;346;186;;;28;126;6.0;34;;;;;562;246;175;39;;16;16.0;105;61;12;13;19;23;47;141;12.0;5.0;45;;79;-37;-3;6.0;;-34
8;2007;773;6016.0;604;167;82;76;6;15;70;23;12;36;436;384;213;;;34;132;5.0;52;;;;;687;268;193;41;;21;13.0;122;70;11;17;24;25;92;180;15.0;6.0;52;;107;-83;0;7.0;;-76
9;2009;810;6380.0;704;196;95;82;13;19;82;24;14;45;508;440;231;;;41;164;4.0;67;;;;;702;304;221;41;;27;15.0;145;85;15;21;25;29;24;199;14.0;8.0;62;;115;2;3;13.0;;18
10;2011;788;6779.0;821;245;128;108;20;15;101;32;15;54;576;471;237;183.0;54.0;51;179;3.0;105;43.0;6.0;37.0;62.0;856;359;265;25;19.0;35;15.0;167;101;19;19;29;35;28;267;16.0;7.0;55;19.0;170;-35;-1;2.0;0.0;-35
11;2013;799;6810.0;878;295;161;126;35;21;113;29;19;65;584;488;242;199.0;43.0;44;200;2.0;96;10.0;7.0;2.0;86.0;882;361;260;28;22.0;35;17.0;196;117;21;21;37;38;40;246;15.0;7.0;69;23.0;131;-4;-3;1.0;1.0;-4
