ID;RegioS2009;Perioden;TotaalHuishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5;TotaalHuishoudens_6;Eenpersoonshuishoudens_7;Paren_8;Eenouderhuishoudens_9;OverigeHuishoudens_10;TotaalHuishoudens_11;Eenpersoonshuishoudens_12;Paren_13;Eenouderhuishoudens_14;OverigeHuishoudens_15;TotaalHuishoudens_16;Eenpersoonshuishoudens_17;Paren_18;Eenouderhuishoudens_19;OverigeHuishoudens_20;Regiocode_21
0;Nederland;2010;7354.6;2639.6;4184.0;480.8;50.3;5873.5;2027.9;3503.5;316.6;25.5;737.3;292.7;320.7;108.9;15.1;743.8;319.0;359.9;55.2;9.7;1
1;Nederland;2011;7406.5;2673.6;4195.6;486.9;50.5;5898.1;2047.7;3506.0;318.9;25.5;755.7;301.6;327.2;111.7;15.2;752.7;324.2;362.4;56.3;9.8;1
2;Nederland;2012;7459.5;2709.7;4206.6;492.4;50.9;5924.0;2069.8;3507.8;320.7;25.7;774.7;310.8;334.1;114.4;15.3;760.8;329.1;364.6;57.2;9.9;1
3;Nederland;2013;7513.4;2747.5;4217.4;497.2;51.3;5950.5;2093.4;3509.2;322.0;25.9;794.7;320.6;341.6;117.1;15.5;768.2;333.6;366.6;58.1;10.0;1
4;Nederland;2014;7566.7;2784.9;4228.2;501.9;51.8;5976.1;2117.0;3509.9;323.2;26.1;815.7;330.4;349.8;119.8;15.7;775.0;337.5;368.5;58.9;10.0;1
5;Nederland;2015;7618.8;2822.3;4238.4;505.8;52.2;6000.2;2140.4;3509.7;323.8;26.3;837.4;340.7;358.4;122.4;15.9;781.3;341.3;370.3;59.6;10.0;1
6;Nederland;2016;7669.5;2859.8;4248.2;509.0;52.6;6022.6;2163.1;3509.1;323.9;26.4;859.6;351.5;367.2;124.8;16.1;787.4;345.2;371.9;60.3;10.1;1
7;Nederland;2017;7719.2;2897.0;4257.3;511.8;53.1;6043.4;2185.6;3507.6;323.7;26.6;882.1;362.4;376.2;127.2;16.4;793.7;349.1;373.6;60.9;10.1;1
8;Nederland;2018;7767.3;2934.4;4265.6;514.0;53.4;6062.4;2207.9;3504.9;322.9;26.8;905.3;373.6;385.6;129.5;16.6;799.6;352.9;375.1;61.5;10.1;1
9;Nederland;2019;7814.5;2971.9;4273.0;515.7;53.9;6080.4;2230.5;3501.1;321.9;27.0;928.6;384.8;395.3;131.7;16.8;805.4;356.6;376.6;62.1;10.1;1
10;Nederland;2020;7860.1;3009.2;4279.7;516.8;54.3;6096.9;2252.9;3496.3;320.4;27.1;952.0;396.0;405.2;133.8;17.0;811.2;360.3;378.1;62.6;10.2;1
11;Nederland;2021;7904.3;3046.3;4285.6;517.6;54.8;6111.7;2274.6;3490.9;318.9;27.3;975.7;407.6;415.2;135.7;17.2;816.9;364.1;379.5;63.0;10.2;1
12;Nederland;2022;7946.8;3082.8;4290.6;518.3;55.2;6125.2;2296.2;3484.2;317.3;27.5;999.1;418.7;425.5;137.5;17.4;822.5;367.8;380.9;63.5;10.2;1
13;Nederland;2023;7987.2;3118.6;4294.5;518.5;55.6;6136.7;2317.2;3476.4;315.4;27.7;1022.6;429.8;435.9;139.2;17.6;827.9;371.6;382.2;63.9;10.3;1
14;Nederland;2024;8025.2;3153.3;4297.3;518.7;55.9;6146.7;2337.8;3467.6;313.5;27.8;1045.5;440.5;446.3;140.9;17.8;833.0;375.1;383.3;64.3;10.3;1
15;Nederland;2025;8060.6;3187.3;4298.6;518.4;56.2;6154.0;2357.5;3457.4;311.3;27.9;1068.3;451.1;456.8;142.5;17.9;838.2;378.7;384.5;64.7;10.3;1
16;Nederland;2026;8093.1;3220.2;4298.4;518.1;56.4;6159.0;2376.0;3445.7;309.2;28.1;1091.0;461.8;467.2;144.0;18.0;843.2;382.4;385.4;65.0;10.3;1
17;Nederland;2027;8123.2;3252.2;4296.5;517.8;56.7;6161.9;2394.3;3432.4;307.1;28.2;1113.2;472.0;477.7;145.4;18.1;848.0;385.9;386.4;65.3;10.4;1
18;Nederland;2028;8150.5;3283.1;4292.9;517.5;56.9;6162.5;2411.6;3417.6;305.1;28.3;1135.2;482.0;488.1;146.8;18.2;852.8;389.5;387.2;65.7;10.4;1
19;Nederland;2029;8174.6;3312.5;4287.6;517.3;57.1;6161.1;2427.9;3401.4;303.3;28.5;1156.2;491.7;498.2;148.1;18.2;857.3;392.9;388.0;66.0;10.4;1
20;Nederland;2030;8195.6;3340.3;4280.7;517.3;57.3;6156.7;2442.9;3383.4;301.8;28.7;1176.8;501.0;508.4;149.3;18.2;862.1;396.5;388.9;66.3;10.4;1
21;Nederland;2031;8213.8;3366.8;4272.2;517.3;57.5;6149.7;2456.5;3364.1;300.2;28.9;1197.2;510.2;518.5;150.4;18.2;866.9;400.1;389.7;66.7;10.4;1
22;Nederland;2032;8229.1;3391.4;4262.3;517.6;57.7;6140.4;2469.0;3343.3;299.1;29.0;1217.0;518.8;528.5;151.5;18.2;871.7;403.6;390.6;67.0;10.5;1
23;Nederland;2033;8241.7;3414.8;4251.1;517.8;57.9;6128.9;2480.3;3321.4;298.0;29.3;1236.2;527.3;538.2;152.5;18.2;876.5;407.2;391.4;67.4;10.5;1
24;Nederland;2034;8251.8;3436.6;4238.9;518.2;58.2;6115.7;2490.2;3299.0;297.1;29.5;1254.8;535.7;547.6;153.4;18.1;881.4;410.8;392.3;67.7;10.6;1
25;Nederland;2035;8259.6;3456.9;4225.7;518.6;58.4;6100.4;2498.9;3275.5;296.3;29.7;1272.9;543.7;556.8;154.3;18.1;886.3;414.3;393.4;68.1;10.6;1
26;Nederland;2036;8265.4;3475.6;4211.9;519.2;58.6;6083.3;2506.2;3251.5;295.6;30.0;1290.7;551.7;565.9;155.1;18.0;891.4;417.8;394.5;68.5;10.6;1
27;Nederland;2037;8269.3;3492.8;4197.6;520.0;58.8;6064.8;2512.4;3227.1;295.1;30.3;1308.0;559.3;574.8;156.0;17.9;896.5;421.2;395.8;68.9;10.7;1
28;Nederland;2038;8271.5;3508.6;4183.0;520.7;59.1;6045.1;2517.3;3202.6;294.6;30.5;1324.7;566.8;583.3;156.8;17.8;901.7;424.6;397.1;69.3;10.7;1
29;Nederland;2039;8272.4;3523.1;4168.4;521.6;59.4;6024.4;2520.8;3178.4;294.4;30.8;1341.1;574.3;591.4;157.5;17.8;906.9;427.9;398.5;69.7;10.8;1
30;Nederland;2040;8272.0;3536.2;4153.8;522.4;59.6;6002.9;2523.4;3154.3;294.1;31.0;1356.9;581.7;599.3;158.2;17.8;912.2;431.2;400.1;70.1;10.8;1
31;Noord-Nederland (LD);2010;764.4;267.0;447.6;44.7;5.1;683.2;231.8;411.9;36.2;3.3;32.3;14.5;12.1;4.7;1.0;48.9;20.7;23.7;3.7;0.8;1
32;Noord-Nederland (LD);2011;769.0;269.9;448.4;45.6;5.1;684.7;233.2;411.7;36.6;3.3;34.5;15.4;12.8;5.3;1.1;49.8;21.3;23.9;3.8;0.8;1
33;Noord-Nederland (LD);2012;774.2;273.5;449.2;46.2;5.3;686.9;235.4;411.5;36.7;3.3;36.7;16.4;13.5;5.7;1.1;50.6;21.7;24.2;3.8;0.8;1
