ID;Consignment;Countries;CPA2008;Periods;ImportOfGoodsAccordingToOwnership_1
0;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2015;358829.0
1;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2016;360987.0
2;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2017;394689.0
3;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2018;419514.0
4;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2019;436059.0
5;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2020;402667.0
6;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2021;494997.0
7;"Imports of goods; ownership prin.; total";Total;A-U All goods and services;2022;635467.0
8;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2015;19876.0
9;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2016;21457.0
10;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2017;22159.0
11;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2018;22877.0
12;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2019;23972.0
13;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2020;24594.0
14;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2021;26695.0
15;"Imports of goods; ownership prin.; total";Total;A Agriculture, forestry products;2022;29411.0
16;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2015;18995.0
17;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2016;20405.0
18;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2017;21087.0
19;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2018;21745.0
20;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2019;22868.0
21;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2020;23557.0
22;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2021;25353.0
23;"Imports of goods; ownership prin.; total";Total;01 Products of agriculture, hunting..;2022;27932.0
24;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2015;12577.0
25;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2016;12346.0
26;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2017;12176.0
27;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2018;12130.0
28;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2019;13713.0
29;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2020;15910.0
30;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2021;17935.0
31;"Imports of goods; ownership prin.; total";Total;011 Non-perennial crops;2022;14128.0
32;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2015;7289.0
33;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2016;7990.0
34;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2017;8237.0
35;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2018;8767.0
36;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2019;9168.0
37;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2020;9764.0
38;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2021;10179.0
39;"Imports of goods; ownership prin.; total";Total;012 Perennial crops;2022;10693.0
40;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2015;762.0
41;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2016;855.0
42;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2017;940.0
43;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2018;1030.0
44;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2019;1053.0
45;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2020;1149.0
46;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2021;1328.0
47;"Imports of goods; ownership prin.; total";Total;013 Planting material: live plants..;2022;1165.0
48;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2015;1467.0
49;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2016;1584.0
50;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2017;2436.0
51;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2018;1671.0
52;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2019;1751.0
53;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2020;1611.0
54;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2021;2472.0
55;"Imports of goods; ownership prin.; total";Total;014 Live animals and animal products;2022;2120.0
56;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2015;345.0
57;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2016;383.0
58;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2017;387.0
59;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2018;383.0
60;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2019;367.0
61;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2020;358.0
62;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2021;518.0
63;"Imports of goods; ownership prin.; total";Total;02 Products of forestry, logging and..;2022;475.0
