ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;Indelingswijziging_4;AantalInwoners_5;TotaalVermogenVernielingEnGeweld_6;TotaalVermogensmisdrijven_7;TotaalDiefstal_8;Fietsendiefstal_9;DiefstalOverigeVervoermiddelen_10;DiefstalUitVanafVervoermiddelen_11;ZakkenrollerijStraatroofEnBeroving_12;TotaalDiefstalUitWoningSchuurED_13;DiefstalUitNietResidentieleGebouwen_14;OverigeDiefstalInbraak_15;OverigeVermogensmisdrijven_16;TotaalVernielingTegenOpenbareOrde_17;TotaalVernieling_18;VernielingAanAuto_19;OverigeVernieling_20;OverigeVernielingTegenOpenbareOrde_21;TotaalGeweldsEnSeksueleMisdrijven_22;Mishandeling_23;BedreigingEnStalking_24;OverigeGeweldsEnSeksueleMisdrijven_25;TotaalVermogenVernielingEnGeweld_26;TotaalVermogensmisdrijven_27;TotaalDiefstalUitWoningSchuurED_28;VernielingMisdrijfTegenOpenbareOrde_29;GeweldsEnSeksueleMisdrijven_30
0;Aa en Hunze;Aa en Hunze                   ;Gemeente;GM1680    ;;25286;405.0;272.0;189.0;25.0;6.0;5.0;3.0;58.0;23.0;69.0;83.0;76.0;71.0;16.0;55.0;5.0;57.0;19.0;21.0;17.0;16.0;11.0;2.0;3.0;2.0
1;Wijk 00 Annen;Aa en Hunze                   ;Wijk    ;WK168000  ;1.0;3542;37.0;29.0;16.0;2.0;0.0;0.0;0.0;6.0;3.0;5.0;13.0;3.0;3.0;2.0;1.0;0.0;5.0;0.0;4.0;1.0;10.0;8.0;2.0;1.0;1.0
2;Annen;Aa en Hunze                   ;Buurt   ;BU16800000;1.0;3392;36.0;28.0;15.0;1.0;0.0;0.0;0.0;6.0;3.0;5.0;13.0;3.0;3.0;2.0;1.0;0.0;5.0;0.0;4.0;1.0;11.0;8.0;2.0;1.0;1.0
3;Verspreide huizen Annen;Aa en Hunze                   ;Buurt   ;BU16800009;1.0;150;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0
4;Wijk 01 Eext;Aa en Hunze                   ;Wijk    ;WK168001  ;1.0;1417;15.0;10.0;5.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;5.0;4.0;3.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;11.0;7.0;0.0;2.0;1.0
5;Eext;Aa en Hunze                   ;Buurt   ;BU16800100;1.0;1245;11.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;3.0;2.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;9.0;6.0;0.0;2.0;1.0
6;Verspreide huizen Eext;Aa en Hunze                   ;Buurt   ;BU16800109;1.0;172;4.0;3.0;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;17.0;0.0;6.0;0.0
7;Wijk 02 Anloo;Aa en Hunze                   ;Wijk    ;WK168002  ;1.0;463;9.0;6.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0;19.0;13.0;4.0;0.0;6.0
8;Anloo;Aa en Hunze                   ;Buurt   ;BU16800200;1.0;331;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;6.0;3.0;0.0;0.0;3.0
9;Verspreide huizen Anloo;Aa en Hunze                   ;Buurt   ;BU16800209;1.0;132;7.0;5.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;53.0;38.0;15.0;0.0;15.0
10;Wijk 03 Gasteren;Aa en Hunze                   ;Wijk    ;WK168003  ;1.0;409;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;12.0;5.0;0.0;7.0;0.0
11;Gasteren;Aa en Hunze                   ;Buurt   ;BU16800300;1.0;397;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;10.0;3.0;0.0;8.0;0.0
12;Verspreide huizen Gasteren;Aa en Hunze                   ;Buurt   ;BU16800309;1.0;12;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
13;Wijk 04 Anderen;Aa en Hunze                   ;Wijk    ;WK168004  ;1.0;266;3.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;11.0;8.0;4.0;0.0;4.0
14;Anderen;Aa en Hunze                   ;Buurt   ;BU16800400;1.0;238;3.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;13.0;8.0;4.0;0.0;4.0
15;Verspreide huizen Anderen;Aa en Hunze                   ;Buurt   ;BU16800409;1.0;28;;;;;;;;;;;;;;;;;;;;;;;;;
16;Wijk 05 Schipborg;Aa en Hunze                   ;Wijk    ;WK168005  ;1.0;589;6.0;4.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;10.0;7.0;0.0;0.0;3.0
17;Schipborg;Aa en Hunze                   ;Buurt   ;BU16800500;1.0;542;5.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;;;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;9.0;6.0;0.0;0.0;4.0
18;Verspreide huizen Schipborg;Aa en Hunze                   ;Buurt   ;BU16800509;1.0;47;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
19;Wijk 06 Eexterveen;Aa en Hunze                   ;Wijk    ;WK168006  ;1.0;439;7.0;5.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;16.0;11.0;2.0;2.0;2.0
20;Eexterveen;Aa en Hunze                   ;Buurt   ;BU16800600;1.0;428;7.0;5.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;16.0;12.0;2.0;2.0;2.0
