ID;StaatVanInstandhouding;Vegetatietypen_1;PlantenEnDiersoorten_2;Broedvogels_3;Watervogels_4
0;Gunstig;8;19;36;51
1;Matig ongunstig;55;35;11;32
2;Zeer ongunstig;38;46;52;17
