ID;Beroepsniveau;DienstverbandWekelijkseArbeidsduur;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal beroepsniveau;Totaal dienstverband;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal beroepsniveau;Totaal dienstverband;2003;;;;;;
2;Totaal beroepsniveau;Voltijdwerknemers;2002;3887.2;3887.2;18.28;2621.0;35.5;35.5
3;Totaal beroepsniveau;Voltijdwerknemers;2003;;;;;;
4;Totaal beroepsniveau;Deeltijdwerknemers;2002;2500.7;;15.58;1237.0;16.8;
5;Totaal beroepsniveau;Deeltijdwerknemers;2003;;;;;;
6;Totaal beroepsniveau;Flexibelwerknemers;2002;608.5;;10.85;683.0;5.1;
7;Totaal beroepsniveau;Flexibelwerknemers;2003;;;;;;
8;Totaal beroepsniveau;Totaal wekelijkse abeidsduur;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
9;Totaal beroepsniveau;Totaal wekelijkse abeidsduur;2003;;;;;;
10;Totaal beroepsniveau;< 12 uur per week;2002;796.5;;12.64;322.0;4.4;
11;Totaal beroepsniveau;< 12 uur per week;2003;;;;;;
12;Totaal beroepsniveau;12-<20 uur per week;2002;678.7;;14.18;855.0;11.2;
13;Totaal beroepsniveau;12-<20 uur per week;2003;;;;;;
14;Totaal beroepsniveau;20-<25 uur per week;2002;614.8;;15.12;1273.0;16.7;
15;Totaal beroepsniveau;20-<25 uur per week;2003;;;;;;
16;Totaal beroepsniveau;25-<30 uur per week;2002;234.5;;16.33;1712.0;22.2;
17;Totaal beroepsniveau;25-<30 uur per week;2003;;;;;;
18;Totaal beroepsniveau;30-<35 uur per week;2002;601.5;33.9;16.1;1948.0;25.6;37.0
19;Totaal beroepsniveau;30-<35 uur per week;2003;;;;;;
20;Totaal beroepsniveau;>= 35 uur  per week;2002;4070.5;3853.3;17.99;2581.0;34.7;35.5
21;Totaal beroepsniveau;>= 35 uur  per week;2003;;;;;;
22;Elementair;Totaal dienstverband;2002;617.9;246.7;11.37;1071.0;13.8;23.4
23;Elementair;Totaal dienstverband;2003;;;;;;
24;Elementair;Voltijdwerknemers;2002;246.7;246.7;12.16;1745.0;23.4;23.4
25;Elementair;Voltijdwerknemers;2003;;;;;;
26;Elementair;Deeltijdwerknemers;2002;238.4;;10.57;667.0;9.1;
27;Elementair;Deeltijdwerknemers;2003;;;;;;
28;Elementair;Flexibelwerknemers;2002;132.8;;9.33;545.0;4.5;
29;Elementair;Flexibelwerknemers;2003;;;;;;
30;Elementair;Totaal wekelijkse abeidsduur;2002;617.9;246.7;11.37;1071.0;13.8;23.4
31;Elementair;Totaal wekelijkse abeidsduur;2003;;;;;;
32;Elementair;< 12 uur per week;2002;166.9;;10.56;294.0;3.8;
33;Elementair;< 12 uur per week;2003;;;;;;
34;Elementair;12-<20 uur per week;2002;82.0;;10.18;599.0;7.1;
35;Elementair;12-<20 uur per week;2003;;;;;;
36;Elementair;20-<25 uur per week;2002;48.1;;10.45;857.0;10.7;
37;Elementair;20-<25 uur per week;2003;;;;;;
38;Elementair;25-<30 uur per week;2002;16.5;;10.57;1110.0;14.0;
39;Elementair;25-<30 uur per week;2003;;;;;;
40;Elementair;30-<35 uur per week;2002;28.1;1.5;10.39;1253.0;16.3;35.6
41;Elementair;30-<35 uur per week;2003;;;;;;
42;Elementair;>= 35 uur  per week;2002;276.4;245.2;11.82;1697.0;22.1;23.3
43;Elementair;>= 35 uur  per week;2003;;;;;;
44;Lager;Totaal dienstverband;2002;1663.0;884.6;13.21;1441.0;19.4;27.3
45;Lager;Totaal dienstverband;2003;;;;;;
46;Lager;Voltijdwerknemers;2002;884.6;884.6;13.86;1983.0;27.3;27.3
47;Lager;Voltijdwerknemers;2003;;;;;;
48;Lager;Deeltijdwerknemers;2002;588.7;;12.3;886.0;12.0;
