ID;FinancialCorporations;Periods;TotalAssets_1;MonetaryGold_2;AssetsOnTheInternMonetaryFund_3;CurrencyAndTransferableDeposits_4;Deposits_5;Bonds_6;FinancialDerivatives_7;Shares_8;ShortTermSecuritiesOtherThanShares_9;OtherEquity_10;ShortTermLoans_11;LongTermLoans_12;MortgageLoans_13;Property_14;InsuranceTechnicalReserves_15;PrepaymentsOfInsurancePremiums_16;OtherAccountsReceivablePayable_17;OtherAssets_18;TotalLiabilities_19;Currency_20;TransferableDeposits_21;Deposits_22;SavingsAccounts_23;Bonds_24;SharesAndOtherEquity_25;ShortTermSecuritiesOtherThanShares_26;ShortTermLoans_27;LongTermLoans_28;InsuranceTechnicalReserves_29;PrepaymentsOfInsurancePremiums_30;OtherAccountsReceivablePayable_31;OtherLiabilities_32
0;Institutional investors;1998;729719;;;4468;14494;215537;3952;239882;856;6073;3485;109440;38502;47501;17746.0;3303.0;24147;329;729719;;;;;638;97083;0;9084;14254;560629.0;20368.0;11585;16077
1;Institutional investors;1999;843880;;;5407;17333;222609;5011;339914;859;11300;3887;95225;41366;52755;19396.0;3579.0;24869;368;843880;;;;;1035;118253;0;12381;15238;638432.0;22648.0;17010;18882
2;Institutional investors;2000;885658;;;8006;18213;246417;5151;342127;494;13386;6461;78935;45238;65633;19672.0;4053.0;31462;410;885658;;;;;1140;135624;0;11089;22071;666743.0;24733.0;16620;7639
3;Institutional investors;2001;878770;;;7144;16903;259830;5339;328729;878;14337;6355;72449;47308;71976;18552.0;4244.0;24309;416;878770;;;;;1054;119934;0;10420;25546;662766.0;26332.0;22154;10564
4;Institutional investors;2002;823080;;;9048;24258;280993;6940;263321;857;14357;6819;63399;47760;61697;12107.0;4827.0;26267;430;823080;;;;;886;98247;0;9219;21238;634812.0;27513.0;20066;11099
5;Institutional investors;2003;897907;;;10329;22882;307945;10378;312743;1082;19235;6775;59348;44180;59990;11036.0;5108.0;26453;423;897907;;;;;1227;108811;0;12401;22267;696830.0;29820.0;16167;10384
6;Institutional investors;2004;971152;;;9008;23919;361549;12915;350180;696;22058;5730;47325;40339;59245;8574.0;5038.0;24141;435;971152;;;;;1732;118415;0;9756;15548;761291.0;31826.0;22436;10148
7;Institutional investors;2005;1108522;;;10834;25813;406405;6097;440410;125;27640;8955;44616;38398;60643;8486.0;5492.0;23930;678;1108522;;;;;2394;126816;0;17292;14786;869318.0;35917.0;33029;8970
8;Institutional investors;2006;1208227;;;11846;36721;424678;8612;480088;3233;37580;12053;43997;36307;61262;7116.0;5531.0;38456;747;1208227;;;;;2813;142319;0;40634;15452;922816.0;33183.0;39755;11255
9;Institutional investors;2007;1236049;;;13766;37840;436633;1347;492970;3246;41666;13643;42233;36090;50898;15613.0;5544.0;42509;2051;1236049;;;;;693;121194;0;25611;19390;978098.0;30935.0;45950;14178
10;Institutional investors;2008;1111638;;;20247;36924;414500;45520;323465;7220;37782;36182;38792;34832;48484;15594.0;7687.0;40666;3743;1111638;;;;;782;96464;0;62332;17352;855687.0;35740.0;42512;769
11;Institutional investors;2009;1457601;;;23673;36113;455166;11327;642245;7849;41676;47360;37206;36750;45855;14335.0;7375.0;46944;3727;1457601;;;;;1299;332519;0;81448;15110;964090.0;35988.0;46436;-19289
12;Institutional investors;2010;1580974;;;19013;33808;465035;16430;745618;7935;46451;51296;41330;41252;46323;15716.0;7999.0;39865;2903;1580974;;;;;2479;385635;0;54295;18197;1071755.0;37506.0;63700;-52593
13;Institutional investors;2011;1676384;;;18194;33294;508338;57881;759737;8781;41593;57445;34296;45700;45823;20466.0;8216.0;34329;2291;1676384;;;;;2559;406749;0;55674;18833;1133742.0;39628.0;80163;-60964
14;Institutional investors;2012;1884616;;;19403;34734;583220;69068;868152;13745;44212;59459;38345;46444;44738;20064.0;8340.0;33203;1489;1884616;;;;;2823;467686;0;48563;21121;1260150.0;43250.0;124296;-83273
15;Monetary financial institutions;1998;890942;8333.0;2681.0;28573;145179;126064;-3506;6071;14433;22065;144295;205634;159087;5299;;;25659;1076;890942;17287.0;147776.0;296036.0;124839.0;113368;64911;8400;8630;52302;;;47664;9729
16;Monetary financial institutions;1999;963972;9140.0;2855.0;23427;145298;115945;-17423;7194;18766;22464;175367;236774;186967;5489;;;31485;223;963972;17715.0;158736.0;316606.0;133042.0;131277;80059;19047;13042;53909;;;31680;8860
17;Monetary financial institutions;2000;1070104;8590.0;2092.0;41019;150273;128125;-15222;12275;9877;28953;169788;267856;226901;5816;;;33457;302;1070104;17436.0;181796.0;351749.0;137107.0;147386;85482;19058;9157;70268;;;39191;11474
18;Monetary financial institutions;2001;1200587;8958.0;2762.0;32833;219148;136059;-11974;20292;8969;25082;171897;280232;254606;6159;;;45237;327;1200587;10431.0;219084.0;418384.0;151226.0;170365;77362;29073;5517;70313;;;60463;-11631
19;Monetary financial institutions;2002;1307038;8949.0;2693.0;34905;219431;165011;-8451;17237;6525;26013;190794;306745;271634;6151;;;59040;361;1307038;17423.0;211586.0;458004.0;166164.0;187035;74178;35663;13700;75119;;;71916;-3750
