ID;Kenmerken;Perioden;VrijInOpnemenVerlof_1;ZelfOverUitvoeringWerkBeslissen_2;ZelfWerktempoKunnenRegelen_3;ZelfVolgordeWerkBepalen_4;ZelfBeslissenOverPauze_5;ZelfTemperatuurRegelen_6;ZelfVentilatieRegelen_7;LageAutonomie_8;HogeAutonomie_9;WerkSluitAanBijOpleidingErvaring_10;EentonigWerk_11;ZichKunnenOntplooienInWerk_12;ZelfOplossingenBedenken_13;LageVaardigheidsmogelijkheden_14;HogeVaardigheidsmogelijkheden_15;LageControlemogelijkheden_16;HogeControlemogelijkheden_17;HeeftWerkoverleg_18;IndienWerkoverlegTevredenMetOverleg_19;WerktZelfstandig_20;WerktOnderLeiding_21;WerktSomsZelfstSomsOnderLeiding_22;IndienWerkenOnderLeidingTevreden_23;InHoogTempoWerken_24;OnderTijdsdrukWerken_25;HoogWerktempoEnHogeTijdsdruk_26;HoogWerktempoEnOfHogeTijdsdruk_27;LageWerkdruk_28;HogeWerkdruk_29;GemiddeldRapportcijferWerkdruk_30;MoeilijkTeCombinerenOpdrachten_31;TeWeinigTijd_32;ErgVeelWerk_33;OnBetaaldOverwerk_34;HeeftProblemenDoorWerkdruk_35;ZiekteverzuimVanwegeWerkdruk_36;NaarHuisartsVanwegeWerkdruk_37;NaarSpecialistVanwegeWerkdruk_38;MedischeBehandelingVanwegeWerkdruk_39;GoedePromotiekansen_40;GoedeBeloning_41;LageWaarderingBeloning_42;HogeWaarderingBeloning_43
0;15 tot 65 jarigen;1997;69;69.0;59.0;71.0;54.0;40;46;33.0;33.0;72.0;7.0;73.0;77.0;33.0;36.0;33.0;33.0;90;83.0;54;21;23;79.0;43;35;29;49;33;33;5.9;;;;;24.0;15.0;15.0;6.0;6.0;33;68;28.0;32.0
1;15 tot 65 jarigen;1998;68;70.0;59.0;71.0;53.0;42;47;33.0;33.0;74.0;7.0;75.0;76.0;33.0;37.0;33.0;34.0;90;83.0;54;20;25;80.0;42;35;29;48;33;33;5.8;;;;;24.0;19.0;17.0;5.0;8.0;34;67;35.0;33.0
2;15 tot 65 jarigen;1999;67;70.0;65.0;68.0;53.0;38;45;35.0;32.0;73.0;7.0;73.0;77.0;33.0;36.0;33.0;33.0;90;83.0;59;16;25;79.0;42;38;30;49;36;35;5.8;13.0;26.0;51.0;39.0;27.0;21.0;18.0;5.0;7.0;34;67;31.0;32.0
3;15 tot 65 jarigen;2000;71;71.0;66.0;69.0;54.0;40;46;34.0;33.0;73.0;7.0;75.0;76.0;33.0;36.0;33.0;33.0;90;84.0;58;18;24;81.0;40;35;29;48;37;33;5.7;12.0;25.0;49.0;39.0;26.0;19.0;17.0;5.0;7.0;34;65;31.0;33.0
4;15 tot 65 jarigen;2001;73;72.0;64.0;74.0;60.0;42;47;32.0;38.0;73.0;7.0;76.0;78.0;33.0;37.0;33.0;33.0;91;83.0;52;20;26;81.0;41;32;27;46;37;30;5.6;;;;;26.0;21.0;19.0;6.0;8.0;38;69;38.0;33.0
5;15 tot 65 jarigen;2002;75;72.0;65.0;74.0;60.0;41;46;33.0;39.0;75.0;7.0;78.0;79.0;34.0;39.0;33.0;33.0;91;84.0;51;20;28;81.0;41;31;26;46;36;30;5.7;;;;;24.0;23.0;18.0;6.0;8.0;39;71;38.0;31.0
6;15 tot 65 jarigen;2003;74;;;;;40;46;;;;;;;;;;;90;83.0;52;20;27;82.0;41;33;27;47;37;31;5.6;;;;;;;;;;37;69;41.0;33.0
7;15 tot 65 jarigen;2004;76;;;;;42;47;;;;;;;;;;;90;83.0;51;19;29;80.0;41;32;27;46;37;30;5.6;;;;;;;;;;36;67;;
8;18 tot 65 jarigen;1997;69;69.0;59.0;72.0;54.0;40;46;33.0;33.0;72.0;7.0;74.0;77.0;32.0;37.0;33.0;34.0;90;83.0;55;21;23;79.0;43;35;29;49;33;33;5.9;;;;;24.0;15.0;15.0;6.0;6.0;33;68;28.0;32.0
9;18 tot 65 jarigen;1998;68;70.0;59.0;72.0;54.0;43;47;33.0;33.0;75.0;7.0;76.0;77.0;32.0;37.0;33.0;34.0;90;83.0;54;20;25;80.0;42;36;29;49;33;33;5.9;;;;;25.0;19.0;17.0;5.0;8.0;34;67;35.0;33.0
10;18 tot 65 jarigen;1999;67;71.0;65.0;68.0;54.0;39;45;34.0;32.0;73.0;7.0;74.0;78.0;33.0;36.0;33.0;34.0;90;83.0;59;15;24;79.0;42;38;30;49;36;35;5.9;13.0;26.0;51.0;39.0;27.0;21.0;18.0;5.0;7.0;34;67;31.0;32.0
11;18 tot 65 jarigen;2000;71;72.0;66.0;69.0;54.0;40;47;34.0;33.0;73.0;7.0;75.0;77.0;33.0;36.0;33.0;33.0;90;84.0;58;17;24;81.0;40;35;30;48;36;34;5.7;12.0;25.0;49.0;39.0;26.0;19.0;17.0;5.0;7.0;34;64;32.0;32.0
12;18 tot 65 jarigen;2001;73;73.0;64.0;74.0;60.0;42;47;31.0;38.0;73.0;7.0;76.0;79.0;33.0;38.0;33.0;34.0;91;83.0;53;20;26;81.0;41;32;27;46;37;30;5.7;;;;;26.0;21.0;19.0;6.0;8.0;38;69;38.0;33.0
13;18 tot 65 jarigen;2002;75;73.0;65.0;75.0;61.0;41;46;33.0;40.0;75.0;7.0;78.0;80.0;33.0;40.0;33.0;33.0;91;84.0;51;20;28;80.0;41;31;27;46;36;30;5.7;;;;;25.0;22.0;19.0;6.0;8.0;39;71;38.0;31.0
14;18 tot 65 jarigen;2003;74;;;;;40;46;;;;;;;;;;;90;83.0;52;20;27;82.0;41;33;27;47;37;31;5.6;;;;;;;;;;37;69;41.0;33.0
15;18 tot 65 jarigen;2004;76;;;;;43;48;;;;;;;;;;;90;83.0;52;19;29;80.0;41;32;27;46;37;30;5.6;;;;;;;;;;36;67;;
16;Mannen;1997;71;74.0;62.0;74.0;61.0;39;45;28.0;38.0;73.0;7.0;76.0;81.0;29.0;39.0;28.0;37.0;91;82.0;57;18;24;80.0;42;37;30;49;32;34;6.0;;;;;20.0;12.0;13.0;5.0;6.0;37;71;24.0;35.0
17;Mannen;1998;71;74.0;64.0;74.0;60.0;41;46;28.0;37.0;76.0;7.0;78.0;82.0;30.0;41.0;28.0;38.0;90;83.0;58;17;24;80.0;43;39;31;51;30;36;6.1;;;;;21.0;15.0;17.0;5.0;7.0;38;71;31.0;35.0
18;Mannen;1999;71;74.0;68.0;69.0;60.0;38;45;31.0;36.0;76.0;7.0;75.0;83.0;29.0;39.0;29.0;38.0;91;82.0;63;14;22;78.0;42;40;31;50;34;37;6.0;16.0;27.0;54.0;46.0;25.0;17.0;16.0;5.0;7.0;38;71;28.0;35.0
19;Mannen;2000;74;74.0;69.0;70.0;61.0;40;47;31.0;37.0;75.0;7.0;77.0;80.0;30.0;39.0;29.0;37.0;91;83.0;60;16;23;80.0;40;37;30;49;35;35;5.8;15.0;26.0;51.0;44.0;24.0;15.0;15.0;4.0;7.0;39;69;27.0;35.0
20;Mannen;2001;76;75.0;68.0;76.0;67.0;41;46;27.0;43.0;74.0;7.0;78.0;83.0;31.0;40.0;28.0;38.0;92;83.0;56;18;26;81.0;40;34;27;46;36;31;5.7;;;;;24.0;17.0;16.0;4.0;7.0;43;74;33.0;36.0
21;Mannen;2002;79;76.0;70.0;77.0;67.0;41;46;27.0;44.0;76.0;7.0;79.0;84.0;31.0;42.0;27.0;37.0;91;84.0;54;18;27;78.0;41;33;28;47;35;32;5.8;;;;;23.0;19.0;15.0;4.0;6.0;43;75;34.0;34.0
22;Mannen;2003;78;;;;;40;46;;;;;;;;;;;90;83.0;55;17;26;83.0;41;35;28;47;36;33;5.8;;;;;;;;;;40;73;38.0;35.0
23;Mannen;2004;80;;;;;42;48;;;;;;;;;;;90;82.0;56;15;28;79.0;41;34;28;48;35;31;5.8;;;;;;;;;;39;69;;
24;Vrouwen;1997;65;62.0;52.0;68.0;44.0;41;46;41.0;25.0;69.0;7.0;69.0;70.0;38.0;32.0;41.0;27.0;89;83.0;50;26;23;78.0;44;32;27;48;35;31;5.8;;;;;29.0;18.0;17.0;6.0;6.0;25;62;34.0;27.0
25;Vrouwen;1998;64;62.0;51.0;67.0;43.0;43;47;42.0;25.0;72.0;7.0;71.0;68.0;37.0;32.0;42.0;26.0;90;83.0;46;25;27;80.0;40;30;25;45;38;28;5.5;;;;;29.0;23.0;17.0;6.0;8.0;27;61;41.0;28.0
26;Vrouwen;1999;61;65.0;60.0;66.0;43.0;39;45;41.0;25.0;68.0;6.0;71.0;68.0;39.0;30.0;40.0;26.0;89;85.0;53;18;28;81.0;40;33;28;46;38;32;5.6;9.0;24.0;46.0;29.0;31.0;25.0;19.0;4.0;6.0;28;60;36.0;29.0
27;Vrouwen;2000;66;67.0;62.0;67.0;44.0;40;45;40.0;27.0;70.0;8.0;72.0;70.0;38.0;31.0;40.0;27.0;90;85.0;54;20;25;83.0;40;32;28;46;39;31;5.6;9.0;24.0;46.0;30.0;28.0;23.0;19.0;6.0;7.0;27;58;38.0;28.0
28;Vrouwen;2001;68;67.0;58.0;71.0;50.0;43;47;39.0;31.0;71.0;8.0;73.0;72.0;36.0;33.0;40.0;27.0;89;83.0;47;24;28;82.0;43;29;26;46;38;28;5.6;;;;;28.0;25.0;22.0;7.0;10.0;31;62;44.0;27.0
29;Vrouwen;2002;69;66.0;58.0;71.0;50.0;41;45;42.0;32.0;72.0;8.0;75.0;72.0;38.0;36.0;42.0;27.0;90;83.0;46;24;29;83.0;42;28;25;45;38;27;5.5;;;;;27.0;26.0;22.0;7.0;11.0;34;66;44.0;27.0
30;Vrouwen;2003;70;;;;;39;46;;;;;;;;;;;89;83.0;47;24;29;80.0;41;29;25;45;38;28;5.5;;;;;;;;;;32;65;46.0;31.0
31;Vrouwen;2004;72;;;;;43;46;;;;;;;;;;;90;84.0;45;24;29;81.0;41;29;25;45;40;28;5.4;;;;;;;;;;31;64;;
