ID;Perioden;TotaalAlleOverledenen_1;TotaalNieuwvormingen_2;KwaadaardigeNvVanLuchtpijpEnLong_3;KwaadaardigeNieuwvormingVanBorst_4;OverigeNieuwvormingen_5;PsychischeStoornisEnZktnZenuwstel_6;TotaalZiektenVanHartEnVaatstelsel_7;AcuutHartinfarct_8;Hersenvaatletsels_9;OverigeZiektenVanHartEnVaatstelsel_10;ZiektenVanDeAdemhalingsorganen_11;Wegverkeersongevallen_12;OverigeDoodsoorzaken_13
0;1995 januari;11974;3228;759;311;2158;565;4745;1395;1106;2244;1083;112;2241
1;1995 februari;10106;2768;657;235;1876;426;4005;1240;936;1829;873;92;1942
2;1995 maart;12069;3253;735;338;2180;514;4706;1433;1125;2148;1211;105;2280
3;1995 april;11412;2946;747;278;1921;503;4440;1361;1040;2039;1166;91;2266
4;1995 mei;11180;3158;757;305;2096;498;4304;1303;1054;1947;990;101;2129
5;1995 juni;10508;2989;661;269;2059;453;4039;1262;933;1844;856;112;2059
6;1995 juli;11288;3150;761;288;2101;533;4129;1227;1037;1865;1100;120;2256
7;1995 augustus;10928;3112;722;295;2095;582;3995;1172;1019;1804;960;102;2177
8;1995 september;10199;3048;674;264;2110;459;3856;1140;923;1793;730;84;2022
9;1995 oktober;11030;3183;731;312;2140;477;4218;1327;970;1921;907;100;2145
10;1995 november;11234;3188;698;307;2183;545;4353;1260;1040;2053;979;106;2063
11;1995 december;13747;3316;749;281;2286;617;5308;1568;1226;2514;1789;116;2601
12;1995;135675;37339;8651;3483;25205;6172;52098;15688;12409;24001;12644;1241;26181
13;1996 januari;13912;3443;729;321;2393;715;5187;1619;1172;2396;1867;82;2618
14;1996 februari;12376;3061;642;286;2133;694;4797;1418;1178;2201;1433;85;2306
15;1996 maart;12264;3105;702;263;2140;627;4767;1377;1104;2286;1256;76;2433
16;1996 april;11675;3142;744;302;2096;598;4445;1311;1055;2079;1138;114;2238
17;1996 mei;11271;3199;704;313;2182;586;4199;1253;1037;1909;1019;103;2165
18;1996 juni;10672;3085;723;302;2060;588;3863;1109;971;1783;932;108;2096
19;1996 juli;10933;3216;689;301;2226;583;3904;1188;917;1799;944;111;2175
20;1996 augustus;10379;3223;726;296;2201;524;3621;1094;874;1653;826;96;2089
21;1996 september;10187;3055;694;286;2075;512;3756;1103;872;1781;714;108;2042
22;1996 oktober;10747;3241;732;306;2203;475;4029;1190;990;1849;861;115;2026
23;1996 november;10970;3196;717;311;2168;555;4146;1230;991;1925;869;112;2092
24;1996 december;12175;3305;769;290;2246;650;4599;1366;1071;2162;1196;88;2337
25;1996;137561;38271;8571;3577;26123;7107;51313;15258;12232;23823;13055;1198;26617
26;1997 januari;14200;3411;785;325;2301;770;5330;1548;1236;2546;1967;92;2630
27;1997 februari;11676;2971;674;288;2009;618;4305;1258;1042;2005;1520;77;2185
28;1997 maart;11258;3230;744;313;2173;588;4154;1209;970;1975;1040;78;2168
29;1997 april;10872;3134;703;286;2145;564;4037;1167;989;1881;986;94;2057
30;1997 mei;11148;3198;723;286;2189;544;4078;1137;1040;1901;1019;100;2209
31;1997 juni;10690;3073;676;284;2113;574;3772;1016;969;1787;960;100;2211
32;1997 juli;10684;3071;656;294;2121;579;3834;1077;984;1773;921;112;2167
33;1997 augustus;11658;3316;722;342;2252;774;4043;1104;1076;1863;1088;129;2308
34;1997 september;10178;3107;715;292;2100;512;3720;1130;838;1752;751;85;2003
35;1997 oktober;10981;3261;766;292;2203;561;4100;1196;960;1944;920;100;2039
36;1997 november;10773;3129;732;301;2096;548;3986;1137;970;1879;929;92;2089
37;1997 december;11665;3186;723;306;2157;597;4402;1295;1072;2035;1075;92;2313
38;1997;135783;38087;8619;3609;25859;7229;49761;14274;12146;23341;13176;1151;26379
39;1998 januari;11359;3155;695;295;2165;624;4188;1185;1038;1965;1133;84;2175
40;1998 februari;10716;2968;690;238;2040;517;3961;1158;909;1894;1114;74;2082
41;1998 maart;12928;3355;781;296;2278;639;4726;1388;1091;2247;1664;93;2451
42;1998 april;12317;3306;742;327;2237;608;4497;1316;1037;2144;1578;91;2237
43;1998 mei;11641;3306;737;293;2276;642;4117;1193;1024;1900;1195;118;2263
