ID;SBI93;Perioden;GerealiseerdeInvesteringen_1
0;C Winning van delfstoffen;1995;780
1;C Winning van delfstoffen;1996;741
2;C Winning van delfstoffen;1997;1882
3;C Winning van delfstoffen;1998;1138
4;C Winning van delfstoffen;1999;857
5;C Winning van delfstoffen;2000;780
6;C Winning van delfstoffen;2000;779
7;C Winning van delfstoffen;2001;841
8;C Winning van delfstoffen;2002;1264
9;C Winning van delfstoffen;2003;1479
10;C Winning van delfstoffen;2004;848
11;D Industrie;1995;7077
12;D Industrie;1996;7776
13;D Industrie;1997;9052
14;D Industrie;1998;8741
15;D Industrie;1999;8606
16;D Industrie;2000;8600
17;D Industrie;2000;8094
18;D Industrie;2001;7369
19;D Industrie;2002;7862
20;D Industrie;2003;7238
21;D Industrie;2004;6533
22;DA Vervaardiging van voedings- en genotm;1995;1305
23;DA Vervaardiging van voedings- en genotm;1996;1431
24;DA Vervaardiging van voedings- en genotm;1997;1575
25;DA Vervaardiging van voedings- en genotm;1998;1448
26;DA Vervaardiging van voedings- en genotm;1999;1531
27;DA Vervaardiging van voedings- en genotm;2000;1531
28;DA Vervaardiging van voedings- en genotm;2000;1488
29;DA Vervaardiging van voedings- en genotm;2001;1518
30;DA Vervaardiging van voedings- en genotm;2002;1572
31;DA Vervaardiging van voedings- en genotm;2003;1479
32;DA Vervaardiging van voedings- en genotm;2004;1582
33;DF Aardolie- en steenkoolverwerkende ind;1995;204
34;DF Aardolie- en steenkoolverwerkende ind;1996;223
35;DF Aardolie- en steenkoolverwerkende ind;1997;1622
36;DF Aardolie- en steenkoolverwerkende ind;1998;364
37;DF Aardolie- en steenkoolverwerkende ind;1999;123
38;DF Aardolie- en steenkoolverwerkende ind;2000;218
39;DF Aardolie- en steenkoolverwerkende ind;2000;216
40;DF Aardolie- en steenkoolverwerkende ind;2001;130
41;DF Aardolie- en steenkoolverwerkende ind;2002;351
42;DF Aardolie- en steenkoolverwerkende ind;2003;286
43;DF Aardolie- en steenkoolverwerkende ind;2004;310
44;DG Vervaardiging van chemische producten;1995;1168
45;DG Vervaardiging van chemische producten;1996;1484
46;DG Vervaardiging van chemische producten;1997;1467
47;DG Vervaardiging van chemische producten;1998;1724
48;DG Vervaardiging van chemische producten;1999;1944
49;DG Vervaardiging van chemische producten;2000;1516
50;DG Vervaardiging van chemische producten;2000;1477
51;DG Vervaardiging van chemische producten;2001;1211
52;DG Vervaardiging van chemische producten;2002;2004
53;DG Vervaardiging van chemische producten;2003;2089
54;DG Vervaardiging van chemische producten;2004;1349
55;2700b Metaal(prod), machine-,vervrmidind;1995;2284
56;2700b Metaal(prod), machine-,vervrmidind;1996;2440
57;2700b Metaal(prod), machine-,vervrmidind;1997;2192
58;2700b Metaal(prod), machine-,vervrmidind;1998;2610
59;2700b Metaal(prod), machine-,vervrmidind;1999;2515
60;2700b Metaal(prod), machine-,vervrmidind;2000;2998
61;2700b Metaal(prod), machine-,vervrmidind;2000;2719
62;2700b Metaal(prod), machine-,vervrmidind;2001;2384
63;2700b Metaal(prod), machine-,vervrmidind;2002;1919
64;2700b Metaal(prod), machine-,vervrmidind;2003;1809
65;2700b Metaal(prod), machine-,vervrmidind;2004;1618
66;1700b Industrie geen food, chemie,metaal;1995;2037
67;1700b Industrie geen food, chemie,metaal;1996;2130
68;1700b Industrie geen food, chemie,metaal;1997;2198
69;1700b Industrie geen food, chemie,metaal;1998;2595
70;1700b Industrie geen food, chemie,metaal;1999;2493
71;1700b Industrie geen food, chemie,metaal;2000;2338
72;1700b Industrie geen food, chemie,metaal;2000;2194
73;1700b Industrie geen food, chemie,metaal;2001;2126
74;1700b Industrie geen food, chemie,metaal;2002;2017
75;1700b Industrie geen food, chemie,metaal;2003;1575
76;1700b Industrie geen food, chemie,metaal;2004;1674
77;E Openbare voorzieningsbedrijven;1995;2292
78;E Openbare voorzieningsbedrijven;1996;3513
79;E Openbare voorzieningsbedrijven;1997;1958
80;E Openbare voorzieningsbedrijven;1998;1777
81;E Openbare voorzieningsbedrijven;1999;1903
82;E Openbare voorzieningsbedrijven;2000;1230
83;E Openbare voorzieningsbedrijven;2000;1229
84;E Openbare voorzieningsbedrijven;2001;1270
85;E Openbare voorzieningsbedrijven;2002;1366
86;E Openbare voorzieningsbedrijven;2003;1441
87;E Openbare voorzieningsbedrijven;2004;1717
