ID;BedrijfstakkenBrancheSBI2008;Perioden;Uitzendkrachten_1
0;A-U Alle economische activiteiten;2008;205.0
1;A-U Alle economische activiteiten;2009;164.0
2;A-U Alle economische activiteiten;2010;166.0
3;A-U Alle economische activiteiten;2011;172.0
4;A-U Alle economische activiteiten;2012;169.0
5;A-U Alle economische activiteiten;2013;169.0
6;A Landbouw, bosbouw en visserij;2008;5.0
7;A Landbouw, bosbouw en visserij;2009;4.0
8;A Landbouw, bosbouw en visserij;2010;3.0
9;A Landbouw, bosbouw en visserij;2011;5.0
10;A Landbouw, bosbouw en visserij;2012;4.0
11;A Landbouw, bosbouw en visserij;2013;4.0
12;B Delfstoffenwinning;2008;
13;B Delfstoffenwinning;2009;
14;B Delfstoffenwinning;2010;
15;B Delfstoffenwinning;2011;
16;B Delfstoffenwinning;2012;
17;B Delfstoffenwinning;2013;
18;C Industrie;2008;41.0
19;C Industrie;2009;24.0
20;C Industrie;2010;28.0
21;C Industrie;2011;33.0
22;C Industrie;2012;30.0
23;C Industrie;2013;32.0
24;D Energievoorziening;2008;2.0
25;D Energievoorziening;2009;3.0
26;D Energievoorziening;2010;2.0
27;D Energievoorziening;2011;2.0
28;D Energievoorziening;2012;2.0
29;D Energievoorziening;2013;3.0
30;E Waterbedrijven en afvalbeheer;2008;3.0
31;E Waterbedrijven en afvalbeheer;2009;2.0
32;E Waterbedrijven en afvalbeheer;2010;2.0
33;E Waterbedrijven en afvalbeheer;2011;2.0
34;E Waterbedrijven en afvalbeheer;2012;2.0
35;E Waterbedrijven en afvalbeheer;2013;2.0
36;F Bouwnijverheid;2008;14.0
37;F Bouwnijverheid;2009;12.0
38;F Bouwnijverheid;2010;10.0
39;F Bouwnijverheid;2011;13.0
40;F Bouwnijverheid;2012;15.0
41;F Bouwnijverheid;2013;16.0
42;G Handel;2008;16.0
43;G Handel;2009;14.0
44;G Handel;2010;14.0
45;G Handel;2011;13.0
46;G Handel;2012;12.0
47;G Handel;2013;12.0
48;H Vervoer en opslag;2008;16.0
49;H Vervoer en opslag;2009;10.0
50;H Vervoer en opslag;2010;13.0
51;H Vervoer en opslag;2011;12.0
52;H Vervoer en opslag;2012;14.0
53;H Vervoer en opslag;2013;14.0
54;I Horeca;2008;4.0
55;I Horeca;2009;5.0
56;I Horeca;2010;4.0
57;I Horeca;2011;6.0
58;I Horeca;2012;4.0
59;I Horeca;2013;5.0
60;J Informatie en communicatie;2008;9.0
61;J Informatie en communicatie;2009;7.0
62;J Informatie en communicatie;2010;6.0
63;J Informatie en communicatie;2011;4.0
64;J Informatie en communicatie;2012;6.0
65;J Informatie en communicatie;2013;3.0
66;K Financiële dienstverlening;2008;10.0
67;K Financiële dienstverlening;2009;7.0
68;K Financiële dienstverlening;2010;7.0
69;K Financiële dienstverlening;2011;8.0
70;K Financiële dienstverlening;2012;7.0
71;K Financiële dienstverlening;2013;9.0
72;L Verhuur en handel van onroerend goed;2008;
73;L Verhuur en handel van onroerend goed;2009;
74;L Verhuur en handel van onroerend goed;2010;
75;L Verhuur en handel van onroerend goed;2011;
76;L Verhuur en handel van onroerend goed;2012;
77;L Verhuur en handel van onroerend goed;2013;
78;M Specialistische zakelijke diensten;2008;9.0
79;M Specialistische zakelijke diensten;2009;6.0
80;M Specialistische zakelijke diensten;2010;5.0
81;M Specialistische zakelijke diensten;2011;5.0
82;M Specialistische zakelijke diensten;2012;4.0
83;M Specialistische zakelijke diensten;2013;3.0
84;N Verhuur en overige zakelijke diensten;2008;26.0
85;N Verhuur en overige zakelijke diensten;2009;21.0
86;N Verhuur en overige zakelijke diensten;2010;19.0
87;N Verhuur en overige zakelijke diensten;2011;20.0
88;N Verhuur en overige zakelijke diensten;2012;24.0
89;N Verhuur en overige zakelijke diensten;2013;15.0
90;O Openbaar bestuur en overheidsdiensten;2008;14.0
91;O Openbaar bestuur en overheidsdiensten;2009;17.0
92;O Openbaar bestuur en overheidsdiensten;2010;15.0
93;O Openbaar bestuur en overheidsdiensten;2011;13.0
94;O Openbaar bestuur en overheidsdiensten;2012;13.0
95;O Openbaar bestuur en overheidsdiensten;2013;12.0
96;P Onderwijs;2008;5.0
97;P Onderwijs;2009;3.0
98;P Onderwijs;2010;4.0
99;P Onderwijs;2011;4.0
100;P Onderwijs;2012;3.0
101;P Onderwijs;2013;4.0
102;Q Gezondheids- en welzijnszorg;2008;10.0
103;Q Gezondheids- en welzijnszorg;2009;8.0
104;Q Gezondheids- en welzijnszorg;2010;9.0
105;Q Gezondheids- en welzijnszorg;2011;7.0
106;Q Gezondheids- en welzijnszorg;2012;6.0
107;Q Gezondheids- en welzijnszorg;2013;6.0
108;R Cultuur, sport en recreatie;2008;2.0
109;R Cultuur, sport en recreatie;2009;2.0
110;R Cultuur, sport en recreatie;2010;2.0
111;R Cultuur, sport en recreatie;2011;3.0
112;R Cultuur, sport en recreatie;2012;2.0
113;R Cultuur, sport en recreatie;2013;
114;S Overige dienstverlening;2008;2.0
115;S Overige dienstverlening;2009;2.0
116;S Overige dienstverlening;2010;2.0
117;S Overige dienstverlening;2011;2.0
118;S Overige dienstverlening;2012;2.0
119;S Overige dienstverlening;2013;2.0
120;T Huishoudens;2008;
121;T Huishoudens;2009;
122;T Huishoudens;2010;
123;T Huishoudens;2011;
124;T Huishoudens;2012;
125;T Huishoudens;2013;
126;U Extraterritoriale organisaties;2008;
127;U Extraterritoriale organisaties;2009;
128;U Extraterritoriale organisaties;2010;
129;U Extraterritoriale organisaties;2011;
130;U Extraterritoriale organisaties;2012;
131;U Extraterritoriale organisaties;2013;
132;1;2008;17.0
133;1;2009;17.0
134;1;2010;19.0
135;1;2011;20.0
136;1;2012;19.0
137;1;2013;26.0
