ID;Geboorteland;Leeftijd;Perioden;TotaalAdoptiesExclPartneradopties_1;GeadopteerdeMeisjes_2;GeadopteerdeJongens_3
0;0;Alle leeftijden;1995;730;389;341
1;0;Alle leeftijden;1996;841;450;391
2;0;Alle leeftijden;1997;740;394;346
3;0;Alle leeftijden;1998;920;520;400
4;0;Alle leeftijden;1999;1006;608;398
5;0;Alle leeftijden;2000;1199;773;426
6;0;Alle leeftijden;2001;1113;694;419
7;0;Alle leeftijden;2002;1160;761;399
8;0;Alle leeftijden;2003;1211;776;435
9;0;Alle leeftijden;2004;1378;972;406
10;0;Alle leeftijden;2005;1250;831;419
11;0;Alle leeftijden;2006;881;519;362
12;0;Alle leeftijden;2007;828;469;359
13;0;Alle leeftijden;2008;809;422;387
14;0;Alle leeftijden;2009;720;313;407
15;0;Alle leeftijden;2010;720;269;451
16;0;Alle leeftijden;2011;563;193;370
17;0;Alle leeftijden;2012;532;196;336
18;0;0 jaar;1995;300;178;122
19;0;0 jaar;1996;287;177;110
20;0;0 jaar;1997;258;137;121
21;0;0 jaar;1998;316;173;143
22;0;0 jaar;1999;352;203;149
23;0;0 jaar;2000;497;330;167
24;0;0 jaar;2001;387;229;158
25;0;0 jaar;2002;367;227;140
26;0;0 jaar;2003;364;223;141
27;0;0 jaar;2004;267;176;91
28;0;0 jaar;2005;275;172;103
29;0;0 jaar;2006;231;137;94
30;0;0 jaar;2007;181;108;73
31;0;0 jaar;2008;147;68;79
32;0;0 jaar;2009;105;55;50
33;0;0 jaar;2010;81;34;47
34;0;0 jaar;2011;100;39;61
35;0;0 jaar;2012;82;40;42
36;0;1 jaar;1995;148;78;70
37;0;1 jaar;1996;178;86;92
38;0;1 jaar;1997;178;99;79
39;0;1 jaar;1998;234;154;80
40;0;1 jaar;1999;251;187;64
41;0;1 jaar;2000;280;192;88
42;0;1 jaar;2001;409;291;118
43;0;1 jaar;2002;399;295;104
44;0;1 jaar;2003;389;282;107
45;0;1 jaar;2004;586;488;98
