ID;Geslacht;Leeftijd;Regio;AantalBewoners_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;7935565
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Friesland;399659
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Drenthe;222432
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Overijssel;520788
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Gelderland;829293
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Zeeland;247606
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Limburg;550840
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Aagtekerke;760
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Aalsmeer;8567
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Aalten;11195
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Aardenburg;2116
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Aarle-Rixtel;2642
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Abbekerk;768
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Abbenbroek;683
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Abcoude-Baambrugge;1446
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Abcoude-Proosdij;1649
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Achtkarspelen;14983
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Achttienhoven (U.);692
32;Totaal mannen en vrouwen;Totaal alle leeftijden;Adorp;1411
33;Totaal mannen en vrouwen;Totaal alle leeftijden;Aduard;2019
34;Totaal mannen en vrouwen;Totaal alle leeftijden;Aengwirden;4723
35;Totaal mannen en vrouwen;Totaal alle leeftijden;Akersloot;2004
36;Totaal mannen en vrouwen;Totaal alle leeftijden;Alblas (Oud-);1248
37;Totaal mannen en vrouwen;Totaal alle leeftijden;Alblasserdam;6189
38;Totaal mannen en vrouwen;Totaal alle leeftijden;Alem, Maren en Kessel;1223
39;Totaal mannen en vrouwen;Totaal alle leeftijden;Alkemade;6040
40;Totaal mannen en vrouwen;Totaal alle leeftijden;Alkmaar;28305
41;Totaal mannen en vrouwen;Totaal alle leeftijden;Almelo;32422
42;Totaal mannen en vrouwen;Totaal alle leeftijden;Almkerk;3705
43;Totaal mannen en vrouwen;Totaal alle leeftijden;Alphen aan den Rijn;17668
44;Totaal mannen en vrouwen;Totaal alle leeftijden;Alphen en Riel;2589
45;Totaal mannen en vrouwen;Totaal alle leeftijden;Ambij;2135
46;Totaal mannen en vrouwen;Totaal alle leeftijden;Ameide;1742
47;Totaal mannen en vrouwen;Totaal alle leeftijden;Ameland;1929
48;Totaal mannen en vrouwen;Totaal alle leeftijden;Amerongen;2820
49;Totaal mannen en vrouwen;Totaal alle leeftijden;Amersfoort;38549
50;Totaal mannen en vrouwen;Totaal alle leeftijden;Ammerstol;1011
51;Totaal mannen en vrouwen;Totaal alle leeftijden;Ammerzoden;2628
52;Totaal mannen en vrouwen;Totaal alle leeftijden;Amstenrade;1403
53;Totaal mannen en vrouwen;Totaal alle leeftijden;Amsterdam;757386
54;Totaal mannen en vrouwen;Totaal alle leeftijden;Andel;1085
