ID;Adoptieprocedure;Perioden;GewoneAdopties_1;Stiefouderadopties_2;TotaalAdopties_3
0;Totaal adopties;1995;708;347;1055
1;Totaal adopties;1996;682;345;1027
2;Totaal adopties;1997;745;303;1048
3;Totaal adopties;1998;665;272;937
4;Totaal adopties;1999;769;205;974
5;Totaal adopties;2000;860;129;989
6;Totaal adopties;2001;924;195;1119
7;Totaal adopties;2002;869;364;1233
8;Totaal adopties;2003;862;299;1161
9;Totaal adopties;2004;1116;252;1368
10;Totaal adopties;2005;1205;246;1451
11;Totaal adopties;2006;763;222;985
12;Korter dan 3 maanden;1995;398;85;483
13;Korter dan 3 maanden;1996;408;112;520
14;Korter dan 3 maanden;1997;492;123;615
15;Korter dan 3 maanden;1998;405;111;516
16;Korter dan 3 maanden;1999;432;82;514
17;Korter dan 3 maanden;2000;527;33;560
18;Korter dan 3 maanden;2001;598;77;675
19;Korter dan 3 maanden;2002;545;123;668
20;Korter dan 3 maanden;2003;581;139;720
21;Korter dan 3 maanden;2004;662;77;739
22;Korter dan 3 maanden;2005;726;120;846
23;Korter dan 3 maanden;2006;437;111;548
24;3 tot 6 maanden;1995;261;133;394
25;3 tot 6 maanden;1996;232;125;357
26;3 tot 6 maanden;1997;204;107;311
27;3 tot 6 maanden;1998;157;74;231
28;3 tot 6 maanden;1999;197;65;262
29;3 tot 6 maanden;2000;245;51;296
30;3 tot 6 maanden;2001;260;68;328
31;3 tot 6 maanden;2002;194;136;330
32;3 tot 6 maanden;2003;173;101;274
33;3 tot 6 maanden;2004;388;133;521
34;3 tot 6 maanden;2005;388;83;471
35;3 tot 6 maanden;2006;209;71;280
36;6 maanden tot 1 jaar;1995;36;93;129
37;6 maanden tot 1 jaar;1996;28;75;103
38;6 maanden tot 1 jaar;1997;44;53;97
39;6 maanden tot 1 jaar;1998;94;53;147
40;6 maanden tot 1 jaar;1999;116;39;155
41;6 maanden tot 1 jaar;2000;77;25;102
42;6 maanden tot 1 jaar;2001;48;42;90
43;6 maanden tot 1 jaar;2002;93;77;170
44;6 maanden tot 1 jaar;2003;85;45;130
45;6 maanden tot 1 jaar;2004;55;30;85
46;6 maanden tot 1 jaar;2005;79;35;114
47;6 maanden tot 1 jaar;2006;51;22;73
48;1 jaar en langer;1995;13;36;49
49;1 jaar en langer;1996;14;33;47
50;1 jaar en langer;1997;5;20;25
51;1 jaar en langer;1998;9;34;43
52;1 jaar en langer;1999;24;19;43
53;1 jaar en langer;2000;11;20;31
54;1 jaar en langer;2001;18;8;26
55;1 jaar en langer;2002;37;28;65
56;1 jaar en langer;2003;23;14;37
57;1 jaar en langer;2004;11;12;23
58;1 jaar en langer;2005;12;8;20
59;1 jaar en langer;2006;66;18;84
