ID;BedrijfstakkenBranches;Seizoencorrectie;Perioden;ProductieBedrAfgelopen3Mnd_1;ProductieBedrKomende3Mnd_2;OmzetAfgelopen3Mnd_3;OmzetKomende3Mnd_4;BuitenlandseOmzetAfgelopen3Mnd_5;BuitenlandseOmzetKomende3Mnd_6;VerkoopprijzenTarievenKomende3Mnd_7;PersoneelssterkteAfgelopen3Mnd_8;PersoneelssterkteKomende3Mnd_9;EconomischKlimaatAfgelopen3Mnd_10;WinstgevendheidAfgelopen3Mnd_11
48;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2020 4e kwartaal;3.2;0.6;7.7;-6.4;-1.5;-1.6;4.7;-7.5;-5.1;-12.7;-7.3
49;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2021 1e kwartaal;5.9;6.5;-0.5;-1.2;1.5;-0.2;8.0;-4.1;3.4;-14.9;-9.5
50;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2021 2e kwartaal;11.8;12.1;8.5;9.9;8.8;6.3;18.6;2.9;9.7;-5.0;-3.1
51;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2021 3e kwartaal;17.6;17.1;21.7;19.8;8.3;8.7;28.2;8.3;18.5;12.4;11.8
52;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2021 4e kwartaal;16.2;19.0;22.6;18.9;7.6;10.7;35.5;10.8;23.0;13.9;12.2
53;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2022 1e kwartaal;15.1;13.8;11.4;14.6;7.1;9.5;37.0;11.2;18.6;-11.4;0.2
54;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2022 2e kwartaal;13.3;9.6;20.4;17.7;8.0;8.8;49.7;12.4;19.3;-4.4;-0.7
55;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2022 3e kwartaal;9.0;8.5;17.9;4.3;8.3;6.1;41.4;6.5;16.5;-1.5;-4.3
56;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2022 4e kwartaal;5.1;4.9;10.5;4.0;5.2;1.7;47.9;6.5;13.0;-22.2;-13.0
57;Totaal (ex. financieel of nutsbedrijven);Seizoengecorrigeerde cijfers;2023 1e kwartaal;8.6;9.3;18.4;10.7;8.1;5.8;43.7;8.3;16.5;-13.6;-8.9
58;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;7.2;19.5;7.8;15.4;7.2;9.4;8.6;0.7;9.4;0.1;-0.9
59;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;20.1;26.5;12.1;25.2;12.6;10.7;-0.7;3.8;17.6;-4.3;-2.3
60;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;15.7;3.5;5.8;-6.2;5.1;-5.5;-0.2;10.6;1.1;-4.5;7.0
61;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;8.1;0.5;9.6;5.4;8.7;13.1;6.2;4.3;-1.0;12.2;6.8
62;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;1.6;21.3;-4.9;13.9;4.3;14.8;9.3;-3.8;18.6;-2.3;-0.4
63;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;26.1;23.0;29.2;17.8;19.9;13.5;-4.1;22.3;21.8;16.5;14.5
64;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;20.4;3.3;21.8;2.9;9.3;0.8;0.3;21.4;4.8;7.7;8.2
65;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;8.1;13.7;13.2;11.7;14.5;16.4;9.0;11.9;9.6;10.6;9.8
66;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;11.9;18.6;12.9;17.6;13.3;18.5;21.1;5.7;24.8;16.2;5.1
67;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;22.0;29.0;15.4;24.3;15.7;16.2;1.8;26.8;30.6;4.4;2.8
68;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;23.1;2.1;15.4;2.5;7.3;1.6;6.8;24.1;9.2;8.7;-5.9
69;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;11.5;7.4;5.7;4.3;1.8;11.7;11.6;9.9;4.0;-1.3;-8.7
70;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;6.8;16.0;6.2;12.4;8.5;11.9;20.4;6.6;15.5;-4.6;-6.7
71;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;17.0;32.1;14.9;29.7;9.7;14.0;3.9;21.0;23.5;0.5;-4.3
72;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;27.4;12.5;28.4;9.7;13.6;5.0;3.8;22.4;10.5;2.4;6.1
73;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;6.8;-3.0;7.1;-2.6;8.1;10.3;8.5;7.3;-5.7;-10.6;-5.9
74;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;2.5;2.4;1.6;6.3;3.4;11.4;19.3;4.3;12.0;-11.4;-9.5
75;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;-1.7;-20.3;0.2;-27.4;3.7;-28.7;-25.3;5.5;2.4;-32.9;-23.7
76;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;0.1;0.2;-5.1;-3.8;-4.2;-0.8;0.8;7.8;-1.9;-19.6;-14.3
77;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;0.9;-5.2;-4.5;-4.5;-5.1;0.3;1.3;3.5;-4.6;-16.6;-9.3
78;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2021 1e kwartaal;-7.7;2.8;-7.7;-1.0;0.3;3.2;8.0;0.9;7.8;-12.2;-6.5
79;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2021 2e kwartaal;15.6;23.0;15.4;23.7;8.9;15.3;13.4;6.8;15.8;9.2;1.8
80;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2021 3e kwartaal;24.0;3.1;26.6;-7.1;14.1;-0.3;10.0;14.1;12.4;7.7;2.0
81;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2021 4e kwartaal;8.8;10.2;7.5;8.8;7.6;10.7;38.7;1.5;8.4;-3.4;-6.0
82;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2022 1e kwartaal;3.3;8.9;5.4;6.7;5.2;6.9;38.3;0.7;17.4;-12.8;-12.0
83;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2022 2e kwartaal;12.2;11.8;4.2;15.2;6.8;1.7;36.5;9.5;17.5;-27.2;-24.2
84;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2022 3e kwartaal;9.0;-10.9;4.3;-15.1;0.3;-11.8;16.6;3.0;-2.5;-34.2;-27.3
85;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2022 4e kwartaal;-15.0;-11.7;-16.2;-14.0;-9.3;-1.0;36.0;-4.9;-8.2;-43.8;-35.1
86;A Landbouw, bosbouw en visserij;Oorspronkelijke, ongecorrigeerde cijfers;2023 1e kwartaal;-7.1;5.0;-1.9;1.1;-3.5;8.9;34.4;-0.9;4.6;-28.7;-21.2
87;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2016 1e kwartaal;11.2;17.2;8.3;13.2;7.1;4.6;2.4;5.6;7.0;1.2;-3.8
88;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2016 2e kwartaal;17.6;15.7;16.6;14.5;7.7;10.1;4.0;4.5;8.0;-4.9;1.6
89;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2016 3e kwartaal;9.2;10.6;-1.0;3.5;8.8;3.6;4.5;3.5;5.5;-4.9;6.7
90;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2016 4e kwartaal;13.0;6.6;11.6;8.4;10.0;9.5;3.0;5.9;6.7;12.2;6.1
91;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2017 1e kwartaal;10.6;18.9;6.0;11.7;4.2;10.0;3.1;6.3;16.2;-1.2;3.5
92;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2017 2e kwartaal;18.7;12.2;23.0;7.2;15.0;12.8;0.6;17.8;12.2;15.9;11.5
93;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2017 3e kwartaal;13.9;10.4;15.2;12.6;13.0;9.9;5.0;14.3;9.1;7.2;7.9
94;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2017 4e kwartaal;13.0;19.7;15.2;14.7;15.8;12.8;5.8;13.5;17.2;10.5;9.1
95;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2018 1e kwartaal;16.0;16.2;13.5;15.4;13.2;13.7;14.9;10.6;22.4;17.2;2.2
96;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2018 2e kwartaal;19.5;18.3;19.3;13.6;10.8;15.5;6.5;27.5;21.1;3.8;6.7
97;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2018 3e kwartaal;16.6;9.2;8.9;12.3;11.0;10.7;11.5;17.1;13.5;8.3;-6.2
98;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2018 4e kwartaal;16.4;13.4;7.8;7.4;3.1;8.0;8.4;11.5;11.6;-1.3;-9.4
99;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2019 1e kwartaal;15.8;13.6;17.2;10.2;8.4;7.1;14.2;16.8;13.1;-3.6;-2.8
100;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2019 2e kwartaal;9.5;21.3;8.3;19.1;4.8;13.4;8.6;16.4;13.9;-0.1;-7.2
101;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2019 3e kwartaal;20.9;19.6;22.1;19.5;17.3;14.1;8.5;15.3;14.8;1.9;5.8
102;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2019 4e kwartaal;11.7;3.0;9.1;0.4;9.4;6.7;5.3;8.9;1.9;-10.6;-6.6
103;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2020 1e kwartaal;10.9;0.7;9.5;6.2;2.6;7.4;12.4;16.0;9.9;-10.1;-6.5
104;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2020 2e kwartaal;-6.2;-32.4;-3.3;-40.0;-0.9;-30.1;-20.4;-2.5;-8.2;-33.6;-24.7
105;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2020 3e kwartaal;-9.1;5.9;-12.8;3.4;-1.5;5.3;5.1;0.4;1.0;-20.8;-15.5
106;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2020 4e kwartaal;6.2;2.9;-1.0;1.0;-2.3;-0.4;-1.0;7.3;5.0;-15.9;-10.1
107;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2021 1e kwartaal;-2.5;1.1;-5.4;-1.1;-0.4;-0.7;1.1;12.5;5.7;-10.9;-7.1
108;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2021 2e kwartaal;14.1;10.9;17.3;11.1;4.2;13.9;18.2;-1.2;5.3;8.4;4.4
109;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2021 3e kwartaal;14.8;8.8;18.9;0.1;16.8;5.8;14.3;6.7;15.4;6.4;0.8
110;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2021 4e kwartaal;14.2;18.3;11.1;14.3;10.4;9.9;36.4;5.3;18.1;-2.8;-6.8
111;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2022 1e kwartaal;11.3;7.5;10.2;4.7;5.4;4.5;30.6;8.3;16.3;-11.9;-10.6
112;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2022 2e kwartaal;7.8;-1.1;3.4;3.1;2.7;-1.5;41.3;5.9;10.4;-27.2;-23.2
113;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2022 3e kwartaal;1.4;-3.6;-2.9;-6.9;1.8;-4.1;21.9;-4.0;-0.1;-35.9;-29.7
114;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2022 4e kwartaal;-11.1;-4.7;-12.9;-8.0;-7.0;-3.1;33.6;-2.0;-2.4;-42.9;-35.2
115;A Landbouw, bosbouw en visserij;Seizoengecorrigeerde cijfers;2023 1e kwartaal;0.5;0.4;2.8;0.4;-2.0;5.8;27.1;5.4;0.3;-27.5;-20.2
116;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;19.2;12.0;20.8;12.7;-7.8;-9.1;-9.5;-36.4;-31.6;-36.9;-37.8
117;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;-15.9;-21.7;-16.5;-15.4;-10.1;-7.2;-14.8;-13.3;-9.8;-21.9;-13.4
118;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;-18.3;-24.7;-13.2;-10.4;-12.3;-1.3;-10.3;-23.6;-17.6;-29.2;-6.1
119;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;-36.4;-21.6;-22.6;-1.7;-36.1;-25.0;-23.0;-40.3;-58.1;-26.8;9.3
120;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;-24.7;-18.5;-3.9;7.7;-3.6;8.3;-8.2;-58.1;-43.7;0.1;-15.8
121;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;-12.1;0.8;-15.6;-3.2;16.2;20.9;-19.8;-47.5;-37.3;-4.7;-25.6
122;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;-14.1;-14.2;10.2;10.0;11.6;12.8;6.7;-48.5;-16.0;-27.2;-17.0
123;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;-37.6;-40.7;-33.0;-44.3;-3.8;-17.8;26.9;-30.3;-30.1;5.4;14.9
124;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;-38.5;3.6;-34.4;6.8;-15.4;-19.4;43.0;-48.1;-13.6;7.5;-11.0
125;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;21.8;-30.6;21.9;-28.6;-6.0;2.0;-22.3;-39.0;-32.2;7.3;-57.8
126;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;-35.6;-42.1;-36.0;-47.3;-3.6;-11.7;19.1;-45.0;-38.7;-8.6;2.5
127;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;-49.0;11.5;-39.3;25.1;-16.7;-6.7;18.3;-43.9;-34.7;-15.9;-43.4
128;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;14.2;0.0;16.8;13.4;0.4;-16.9;31.3;-27.7;-28.1;27.5;37.3
129;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;40.2;-6.8;55.3;-6.1;24.4;16.6;1.4;-19.7;18.3;8.6;51.6
130;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;-16.1;26.5;0.7;26.4;32.9;22.9;-2.6;-27.4;24.7;12.6;-15.6
131;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;-5.9;18.0;3.9;19.4;8.0;-4.2;35.3;7.3;0.1;-9.3;-34.5
132;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;-1.6;-12.3;21.3;-9.2;-9.7;-15.2;28.2;4.9;5.5;1.1;22.6
133;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;-10.4;-72.0;-40.7;-73.9;-16.1;-44.3;-6.4;-6.6;-26.0;-33.3;-44.8
134;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;-56.7;6.6;-67.2;-2.1;-39.2;6.7;-0.3;-23.7;-47.9;-58.0;-65.7
135;B Delfstoffenwinning;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;-10.3;37.5;-11.4;19.9;-7.9;-12.7;29.9;-57.5;-47.9;-48.9;-40.7
