ID;Regio;Huishoudens;Perioden;TotaalAantalParticuliereHuishoudens_1;EigenaarBewoner_2;Huurder_3;EengezinswoningKoop_4;EengezinswoningHuur_5;MeergezinswoningKoop_6;MeergezinswoningHuur_7;Bedrijfswoning_8;Wooneenheid_9;BewoondeAndereRuimte_10;Inwonend_11;Ouderenwoning_12;Bedrijfswoning_13;AndereWoning_14
0;Nederland;1;1998;6698.0;3289.0;3408.0;2738.0;1458.0;317.0;1628.0;219.0;220.0;70.0;47.0;426.0;135.0;5799.0
1;Nederland;1;1999;6759.0;3387.0;3372.0;2807.0;1332.0;374.0;1733.0;197.0;217.0;64.0;36.0;459.0;132.0;5851.0
2;Nederland;1;2000;6824.0;3442.0;3382.0;2851.0;1413.0;382.0;1662.0;197.0;202.0;73.0;45.0;439.0;119.0;5948.0
3;Nederland;1;2002;6930.0;3619.0;3310.0;3020.0;1376.0;423.0;1634.0;172.0;217.0;13.0;73.0;487.0;81.0;6059.0
4;Nederland;1;2006;7131.0;3829.0;3302.0;3158.0;1312.0;503.0;1670.0;157.0;224.0;21.0;87.0;474.0;71.0;6255.0
5;Nederland;1;2009;7313.0;4154.0;3159.0;3395.0;1246.0;589.0;1611.0;156.0;247.0;22.0;47.0;537.0;75.0;6384.0
6;Nederland;2;1998;2193.0;545.0;1648.0;357.0;421.0;148.0;969.0;34.0;190.0;34.0;40.0;277.0;19.0;1633.0
7;Nederland;2;1999;2266.0;603.0;1663.0;366.0;358.0;194.0;1053.0;38.0;189.0;37.0;30.0;306.0;22.0;1682.0
8;Nederland;2;2000;2286.0;602.0;1684.0;381.0;439.0;187.0;996.0;30.0;176.0;40.0;37.0;291.0;15.0;1728.0
9;Nederland;2;2002;2344.0;647.0;1696.0;404.0;445.0;217.0;1009.0;24.0;181.0;5.0;58.0;306.0;10.0;1783.0
10;Nederland;2;2006;2483.0;756.0;1727.0;467.0;413.0;254.0;1036.0;29.0;201.0;10.0;73.0;293.0;10.0;1896.0
11;Nederland;2;2009;2605.0;879.0;1725.0;550.0;441.0;297.0;1020.0;25.0;221.0;12.0;39.0;327.0;11.0;1996.0
12;Nederland;3;1998;2053.0;1200.0;854.0;1007.0;458.0;115.0;360.0;72.0;17.0;21.0;4.0;125.0;40.0;1846.0
13;Nederland;3;1999;2002.0;1179.0;823.0;1003.0;420.0;113.0;373.0;59.0;14.0;19.0;2.0;130.0;37.0;1801.0
14;Nederland;3;2000;2059.0;1190.0;869.0;992.0;445.0;125.0;391.0;66.0;16.0;21.0;4.0;125.0;36.0;1858.0
15;Nederland;3;2002;1993.0;1251.0;743.0;1057.0;400.0;142.0;323.0;52.0;12.0;4.0;4.0;142.0;22.0;1810.0
16;Nederland;3;2006;2074.0;1334.0;740.0;1106.0;396.0;177.0;325.0;46.0;12.0;5.0;6.0;151.0;19.0;1880.0
