ID;Beleggers;Perioden;Balanstotaal_1;TotaalOnroerendeZaken_2;EigenGebruik_3;NietInEigenGebruik_4;Obligaties_5;Aandelen_6;NietGeconsolideerdeDeelnemingen_7;TotaalLeningen_8;HypothecaireLeningen_9;NietHypothecaireLeningen_10;KortKredietUG_11;OverigeWaardepapieren_12;TermijndepositoSInEuroS_13;TermijndepositoSInAndereValuta_14;Kasmiddelen_15;LangKredietOG_16;Obligaties_17;KortKredietOG_18;GestortAandelenkapitaal_19;Agioreserve_20
0;1;1994 1e kwartaal;96.5;7.6;0.9;6.7;19.6;17.5;1.9;48.5;18.2;30.1;0.2;0.0;0.9;0.0;0.5;3.7;2.3;3.5;0.5;1.7
1;1;1994 2e kwartaal;98.8;7.4;0.7;6.7;20.6;17.4;1.8;50.2;19.0;31.0;0.2;0.0;0.9;0.1;0.4;3.7;2.5;4.4;0.5;1.8
2;1;1994 3e kwartaal;101.8;7.4;0.7;6.7;21.6;18.5;1.9;50.7;19.3;31.2;0.2;0.0;1.0;0.2;0.5;4.3;2.4;4.8;0.5;1.8
3;1;1994 4e kwartaal;103.7;7.5;0.8;6.7;21.7;19.3;1.9;51.5;20.8;30.6;0.1;0.0;1.1;0.2;0.5;5.3;2.3;2.0;0.5;2.1
4;1;1995 1e kwartaal;105.9;7.5;0.7;6.8;23.2;18.7;1.7;52.3;21.1;30.8;0.4;0.0;1.6;0.3;0.6;5.3;2.4;2.1;0.5;2.1
5;1;1995 2e kwartaal;109.8;7.5;0.7;6.8;24.6;20.6;1.7;53.1;21.5;31.3;0.3;0.0;1.4;0.5;0.4;5.6;2.4;2.1;0.5;2.1
6;1;1995 3e kwartaal;113.6;7.6;0.7;6.9;25.8;22.6;1.9;53.5;21.5;31.7;0.3;0.0;1.1;0.3;0.8;5.1;2.5;2.2;0.5;2.1
7;1;1995 4e kwartaal;115.9;7.6;0.7;6.9;27.5;24.4;2.2;52.6;17.9;34.4;0.3;0.0;0.8;0.5;0.3;4.5;2.4;2.9;0.5;2.1
8;1;1996 1e kwartaal;121.0;7.6;0.7;6.9;29.6;27.3;2.1;52.6;18.2;34.1;0.3;0.0;1.1;0.4;0.3;4.7;2.4;3.0;0.5;2.1
9;1;1996 2e kwartaal;124.4;7.7;0.7;7.0;29.9;29.5;2.2;53.0;18.5;34.2;0.3;0.0;1.1;0.4;0.6;4.8;2.4;2.2;0.5;2.1
10;1;1996 3e kwartaal;127.9;7.8;0.7;7.1;31.7;31.9;2.3;51.4;18.7;32.5;0.2;0.0;1.8;0.5;0.5;5.0;2.4;2.5;0.5;2.1
11;1;1996 4e kwartaal;132.9;8.2;0.8;7.4;34.1;35.2;2.5;51.3;19.1;31.9;0.3;0.0;1.0;0.2;0.4;4.8;2.3;3.4;0.5;2.1
12;1;1997 1e kwartaal;141.5;8.2;0.6;7.6;38.0;39.5;2.5;51.1;19.4;31.4;0.3;0.0;1.4;0.2;0.6;4.9;2.1;3.2;0.5;2.1
13;1;1997 2e kwartaal;151.4;8.4;0.7;7.7;40.3;46.6;2.9;51.2;19.6;30.9;0.7;0.0;1.4;0.2;0.4;4.8;2.1;5.5;0.5;3.5
14;1;1997 3e kwartaal;156.3;8.5;0.7;7.8;41.6;49.6;3.5;51.3;20.5;30.4;0.4;0.0;1.1;0.1;0.6;4.8;2.4;5.5;0.6;3.6
15;1;1997 4e kwartaal;156.3;8.4;0.6;7.8;42.5;49.8;3.4;50.7;20.9;29.6;0.2;0.0;0.8;0.0;0.7;5.1;2.9;4.3;0.6;3.7
16;1;1998 1e kwartaal;169.7;8.5;0.6;7.9;45.9;59.8;3.3;50.5;21.4;29.0;0.1;0.0;0.9;0.0;0.8;5.0;2.9;3.1;0.5;4.6
17;1;1998 2e kwartaal;172.7;8.6;0.6;8.0;47.6;61.4;2.0;51.3;21.8;29.4;0.1;0.0;0.8;0.0;1.0;5.2;3.3;3.7;0.5;4.7
18;1;1998 3e kwartaal;163.0;8.1;0.6;7.5;48.9;52.0;1.6;51.0;22.2;28.6;0.2;0.0;0.9;0.0;0.5;4.9;3.1;4.6;0.5;4.7
19;1;1998 4e kwartaal;215.4;10.7;0.4;10.3;69.3;61.9;0.2;65.7;25.8;39.6;0.3;0.0;6.4;0.0;1.2;1.0;0.0;0.1;1.0;2.3
20;1;1999 1e kwartaal;224.6;10.9;0.4;10.5;73.5;65.4;0.2;66.4;26.7;39.2;0.5;0.0;6.6;0.0;1.6;0.9;0.0;0.3;1.0;2.3
21;1;1999 2e kwartaal;232.9;10.4;0.4;10.0;74.3;69.9;0.2;68.5;29.2;38.8;0.5;0.0;6.7;0.0;2.9;1.1;0.0;0.2;1.0;2.3
22;1;1999 3e kwartaal;233.9;11.4;0.5;10.9;76.4;70.0;0.2;68.4;30.0;38.1;0.3;0.0;6.4;0.0;1.1;0.9;0.0;0.8;1.0;2.1
23;1;1999 4e kwartaal;244.0;11.9;0.5;11.4;76.6;78.8;0.2;67.7;29.0;38.6;0.1;0.0;6.8;0.1;1.9;0.8;1.0;0.4;1.0;2.2
24;2;1994 1e kwartaal;;;;;;;;;;;;;;;;;;;;
25;2;1994 2e kwartaal;;;;;;;;;;;;;;;;;;;;
26;2;1994 3e kwartaal;;;;;;;;;;;;;;;;;;;;
27;2;1994 4e kwartaal;225.7;19.7;0.2;19.5;58.7;48.6;2.2;93.4;11.6;80.2;1.6;0.1;1.4;0.8;0.8;0.2;0.0;0.9;0.0;0.0
28;2;1995 1e kwartaal;226.3;19.3;0.2;19.1;59.9;47.9;2.0;93.6;11.6;79.2;2.8;0.1;1.9;0.4;1.2;0.1;0.0;0.7;0.0;0.0
29;2;1995 2e kwartaal;232.6;19.5;0.2;19.3;62.5;52.0;2.0;92.7;11.6;78.1;3.0;0.0;1.6;0.3;2.0;0.2;0.0;1.2;0.0;0.0
