ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2019 maart;                                        ;        ;NL00      ;;234000.0;431560.0;760000.0;3408200.0;;;;;;;
1;Totaal;2019 juni;                                        ;        ;NL00      ;;217930.0;425470.0;754800.0;3408310.0;;;;;;;
2;Totaal;2019 september;                                        ;        ;NL00      ;;207380.0;416340.0;753710.0;3432550.0;;;;;;;
3;Totaal;2019 december;                                        ;        ;NL00      ;;221610.0;414620.0;752440.0;3452950.0;;;;;;;
4;Nederland;2019 maart;                                        ;        ;NL01      ;;230160.0;431340.0;735310.0;3065800.0;2.0;3.0;5.0;21.0;14569790.0;11494360.0;3075430.0
5;Nederland;2019 juni;                                        ;        ;NL01      ;;214670.0;425260.0;730060.0;3068780.0;2.0;3.0;5.0;21.0;14595270.0;11516690.0;3078580.0
6;Nederland;2019 september;                                        ;        ;NL01      ;;204790.0;416190.0;728970.0;3092260.0;1.0;3.0;5.0;21.0;14654160.0;11551920.0;3102240.0
7;Nederland;2019 december;                                        ;        ;NL01      ;;218270.0;414440.0;727660.0;3111050.0;2.0;3.0;5.0;21.0;14678960.0;11557680.0;3121280.0
8;Buitenland;2019 maart;                                        ;        ;NL98      ;;3830.0;200.0;24650.0;342330.0;;;;;;;
9;Buitenland;2019 juni;                                        ;        ;NL98      ;;3250.0;200.0;24700.0;339450.0;;;;;;;
10;Buitenland;2019 september;                                        ;        ;NL98      ;;2580.0;150.0;24740.0;340290.0;;;;;;;
11;Buitenland;2019 december;                                        ;        ;NL98      ;;3340.0;170.0;24780.0;341900.0;;;;;;;
12;Aa en Hunze;2019 maart;Aa en Hunze                             ;Gemeente;GM1680    ;;380.0;400.0;1090.0;6130.0;2.0;2.0;5.0;28.0;21930.0;15790.0;6140.0
13;Aa en Hunze;2019 juni;Aa en Hunze                             ;Gemeente;GM1680    ;;290.0;380.0;1090.0;6120.0;1.0;2.0;5.0;28.0;21940.0;15820.0;6130.0
14;Aa en Hunze;2019 september;Aa en Hunze                             ;Gemeente;GM1680    ;;300.0;370.0;1110.0;6170.0;1.0;2.0;5.0;28.0;22000.0;15830.0;6180.0
