ID;Vervoerstroom;ADRKlasse;Perioden;VervoerdLadinggewicht_1;Vervoersprestatie_2
194;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2014;40;2
195;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2015;17;0
196;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2016;19;0
197;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2017;24;1
198;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2018;44;3
199;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2019;112;7
200;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2020;32;2
201;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2021;35;1
202;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2022;27;1
203;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2023;7;0
204;Binnenlands vervoer;2 Gassen;2012;113758;10619
205;Binnenlands vervoer;2 Gassen;2013;124559;11546
206;Binnenlands vervoer;2 Gassen;2014;104062;9540
207;Binnenlands vervoer;2 Gassen;2015;117265;17058
208;Binnenlands vervoer;2 Gassen;2016;116393;16892
209;Binnenlands vervoer;2 Gassen;2017;108484;15340
210;Binnenlands vervoer;2 Gassen;2018;100218;13585
211;Binnenlands vervoer;2 Gassen;2019;94264;12242
212;Binnenlands vervoer;2 Gassen;2020;79603;9384
213;Binnenlands vervoer;2 Gassen;2021;78668;8776
214;Binnenlands vervoer;2 Gassen;2022;67518;7362
215;Binnenlands vervoer;2 Gassen;2023;50867;5245
216;Binnenlands vervoer;3 Brandbare vloeistoffen;2012;111125;4659
217;Binnenlands vervoer;3 Brandbare vloeistoffen;2013;104159;4701
218;Binnenlands vervoer;3 Brandbare vloeistoffen;2014;107178;4709
219;Binnenlands vervoer;3 Brandbare vloeistoffen;2015;127311;5806
220;Binnenlands vervoer;3 Brandbare vloeistoffen;2016;129770;5971
221;Binnenlands vervoer;3 Brandbare vloeistoffen;2017;133248;6061
222;Binnenlands vervoer;3 Brandbare vloeistoffen;2018;127046;5806
223;Binnenlands vervoer;3 Brandbare vloeistoffen;2019;139180;6147
224;Binnenlands vervoer;3 Brandbare vloeistoffen;2020;125473;5162
225;Binnenlands vervoer;3 Brandbare vloeistoffen;2021;132109;5415
226;Binnenlands vervoer;3 Brandbare vloeistoffen;2022;123807;5234
227;Binnenlands vervoer;3 Brandbare vloeistoffen;2023;135914;5426
228;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2012;6782;425
229;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2013;6386;355
230;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2014;6569;397
231;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2015;111;18
232;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2016;142;20
233;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2017;243;35
234;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2018;101;16
235;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2019;232;31
236;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2020;152;20
237;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2021;176;25
238;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2022;126;18
239;Binnenlands vervoer;4.1 Brandbare vaste stoffen;2023;141;20
240;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2012;2;0
241;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2013;13;1
242;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2014;85;5
243;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2015;24;2
244;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2016;57;1
245;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2017;31;2
246;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2018;155;10
247;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2019;11;0
248;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2020;19;1
249;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2021;33;2
250;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2022;3;0
251;Binnenlands vervoer;4.2 Voor zelfontbranding vatbare stoffen;2023;19;1
252;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2012;59;7
253;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2013;92;10
254;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2014;192;19
255;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2015;132;17
256;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2016;61;3
257;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2017;11;2
258;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2018;11;2
259;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2019;46;2
260;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2020;6;0
261;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2021;21;2
262;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2022;103;7
263;Binnenlands vervoer;"4.3 Stoffen;  gas ontwikkelend bij water";2023;15;2
264;Binnenlands vervoer;5.1 Oxiderende stoffen;2012;4;0
265;Binnenlands vervoer;5.1 Oxiderende stoffen;2013;200;12
266;Binnenlands vervoer;5.1 Oxiderende stoffen;2014;156;10
267;Binnenlands vervoer;5.1 Oxiderende stoffen;2015;158;13
268;Binnenlands vervoer;5.1 Oxiderende stoffen;2016;59;4
269;Binnenlands vervoer;5.1 Oxiderende stoffen;2017;30;6
270;Binnenlands vervoer;5.1 Oxiderende stoffen;2018;51;5
271;Binnenlands vervoer;5.1 Oxiderende stoffen;2019;36;5
272;Binnenlands vervoer;5.1 Oxiderende stoffen;2020;48;10
273;Binnenlands vervoer;5.1 Oxiderende stoffen;2021;66;9
274;Binnenlands vervoer;5.1 Oxiderende stoffen;2022;93;7
275;Binnenlands vervoer;5.1 Oxiderende stoffen;2023;177;12
276;Binnenlands vervoer;5.2 Organische Peroxiden;2012;0;0
277;Binnenlands vervoer;5.2 Organische Peroxiden;2013;0;0
278;Binnenlands vervoer;5.2 Organische Peroxiden;2014;0;0
279;Binnenlands vervoer;5.2 Organische Peroxiden;2015;0;0
280;Binnenlands vervoer;5.2 Organische Peroxiden;2016;0;0
281;Binnenlands vervoer;5.2 Organische Peroxiden;2017;6;0
282;Binnenlands vervoer;5.2 Organische Peroxiden;2018;0;0
283;Binnenlands vervoer;5.2 Organische Peroxiden;2019;0;0
284;Binnenlands vervoer;5.2 Organische Peroxiden;2020;0;0
285;Binnenlands vervoer;5.2 Organische Peroxiden;2021;0;0
286;Binnenlands vervoer;5.2 Organische Peroxiden;2022;0;0
287;Binnenlands vervoer;5.2 Organische Peroxiden;2023;31;1
288;Binnenlands vervoer;6.1 Giftige stoffen;2012;377;30
289;Binnenlands vervoer;6.1 Giftige stoffen;2013;695;49
290;Binnenlands vervoer;6.1 Giftige stoffen;2014;590;43
291;Binnenlands vervoer;6.1 Giftige stoffen;2015;697;64
292;Binnenlands vervoer;6.1 Giftige stoffen;2016;478;40
293;Binnenlands vervoer;6.1 Giftige stoffen;2017;512;21
294;Binnenlands vervoer;6.1 Giftige stoffen;2018;466;42
295;Binnenlands vervoer;6.1 Giftige stoffen;2019;475;38
296;Binnenlands vervoer;6.1 Giftige stoffen;2020;805;55
297;Binnenlands vervoer;6.1 Giftige stoffen;2021;629;42
298;Binnenlands vervoer;6.1 Giftige stoffen;2022;223;21
299;Binnenlands vervoer;6.1 Giftige stoffen;2023;218;20
300;Binnenlands vervoer;6.2 Infectueuze stoffen;2012;0;0
301;Binnenlands vervoer;6.2 Infectueuze stoffen;2013;0;0
302;Binnenlands vervoer;6.2 Infectueuze stoffen;2014;0;0
303;Binnenlands vervoer;6.2 Infectueuze stoffen;2015;0;0
304;Binnenlands vervoer;6.2 Infectueuze stoffen;2016;9;1
305;Binnenlands vervoer;6.2 Infectueuze stoffen;2017;3;0
306;Binnenlands vervoer;6.2 Infectueuze stoffen;2018;7;1
307;Binnenlands vervoer;6.2 Infectueuze stoffen;2019;30;1
308;Binnenlands vervoer;6.2 Infectueuze stoffen;2020;0;0
309;Binnenlands vervoer;6.2 Infectueuze stoffen;2021;10;1
310;Binnenlands vervoer;6.2 Infectueuze stoffen;2022;1;0
311;Binnenlands vervoer;6.2 Infectueuze stoffen;2023;0;0
312;Binnenlands vervoer;7 Radioactieve stoffen;2012;0;0
313;Binnenlands vervoer;7 Radioactieve stoffen;2013;0;0
314;Binnenlands vervoer;7 Radioactieve stoffen;2014;0;0
315;Binnenlands vervoer;7 Radioactieve stoffen;2015;14;1
316;Binnenlands vervoer;7 Radioactieve stoffen;2016;0;0
317;Binnenlands vervoer;7 Radioactieve stoffen;2017;0;0
318;Binnenlands vervoer;7 Radioactieve stoffen;2018;8;2
319;Binnenlands vervoer;7 Radioactieve stoffen;2019;0;0
320;Binnenlands vervoer;7 Radioactieve stoffen;2020;0;0
321;Binnenlands vervoer;7 Radioactieve stoffen;2021;0;0
322;Binnenlands vervoer;7 Radioactieve stoffen;2022;0;0
323;Binnenlands vervoer;7 Radioactieve stoffen;2023;5;1
324;Binnenlands vervoer;8 Bijtende stoffen;2012;584;38
325;Binnenlands vervoer;8 Bijtende stoffen;2013;1280;84
326;Binnenlands vervoer;8 Bijtende stoffen;2014;1412;94
327;Binnenlands vervoer;8 Bijtende stoffen;2015;1841;125
328;Binnenlands vervoer;8 Bijtende stoffen;2016;2063;142
329;Binnenlands vervoer;8 Bijtende stoffen;2017;1932;105
330;Binnenlands vervoer;8 Bijtende stoffen;2018;1955;150
331;Binnenlands vervoer;8 Bijtende stoffen;2019;1681;106
332;Binnenlands vervoer;8 Bijtende stoffen;2020;1412;140
333;Binnenlands vervoer;8 Bijtende stoffen;2021;1465;106
334;Binnenlands vervoer;8 Bijtende stoffen;2022;1344;112
335;Binnenlands vervoer;8 Bijtende stoffen;2023;1509;113
336;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2012;589;64
337;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2013;3817;353
338;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2014;5882;537
339;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2015;4069;428
340;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2016;4797;493
341;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2017;4273;423
342;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2018;4184;378
343;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2019;4780;337
344;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2020;5150;362
345;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2021;4664;344
346;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2022;6357;516
347;Binnenlands vervoer;9 Andere gevaarlijke stoffen, voorwerpen;2023;4909;421
348;Binnenlands vervoer;9.9 Klasse onbekend;2012;0;0
349;Binnenlands vervoer;9.9 Klasse onbekend;2013;138;9
350;Binnenlands vervoer;9.9 Klasse onbekend;2014;191;12
351;Binnenlands vervoer;9.9 Klasse onbekend;2015;126;12
352;Binnenlands vervoer;9.9 Klasse onbekend;2016;297;22
353;Binnenlands vervoer;9.9 Klasse onbekend;2017;231;23
354;Binnenlands vervoer;9.9 Klasse onbekend;2018;235;19
355;Binnenlands vervoer;9.9 Klasse onbekend;2019;330;19
356;Binnenlands vervoer;9.9 Klasse onbekend;2020;209;18
357;Binnenlands vervoer;9.9 Klasse onbekend;2021;129;10
358;Binnenlands vervoer;9.9 Klasse onbekend;2022;146;8
359;Binnenlands vervoer;9.9 Klasse onbekend;2023;467;16
360;Aanvoer;ADR-Klasse totaal;2012;206298;4700
361;Aanvoer;ADR-Klasse totaal;2013;199411;5337
362;Aanvoer;ADR-Klasse totaal;2014;197138;5470
363;Aanvoer;ADR-Klasse totaal;2015;228970;5444
364;Aanvoer;ADR-Klasse totaal;2016;233549;6150
365;Aanvoer;ADR-Klasse totaal;2017;244674;6783
366;Aanvoer;ADR-Klasse totaal;2018;244525;6764
367;Aanvoer;ADR-Klasse totaal;2019;245715;6154
368;Aanvoer;ADR-Klasse totaal;2020;239839;6367
369;Aanvoer;ADR-Klasse totaal;2021;244675;6405
370;Aanvoer;ADR-Klasse totaal;2022;264746;6626
371;Aanvoer;ADR-Klasse totaal;2023;251298;5866
372;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2012;95;0
373;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2013;145;1
374;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2014;166;2
375;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2015;85;1
376;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2016;135;2
377;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2017;149;2
378;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2018;204;5
379;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2019;178;3
380;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2020;170;4
381;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2021;129;3
382;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2022;183;1
383;Aanvoer;1 Ontplofbare stoffen en voorwerpen;2023;143;1
384;Aanvoer;2 Gassen;2012;18448;1642
385;Aanvoer;2 Gassen;2013;21743;1879
386;Aanvoer;2 Gassen;2014;21572;1961
387;Aanvoer;2 Gassen;2015;31645;2441
388;Aanvoer;2 Gassen;2016;34570;2826
389;Aanvoer;2 Gassen;2017;39884;3345
390;Aanvoer;2 Gassen;2018;46349;3648
391;Aanvoer;2 Gassen;2019;45223;3314
392;Aanvoer;2 Gassen;2020;46319;3363
393;Aanvoer;2 Gassen;2021;45094;3271
394;Aanvoer;2 Gassen;2022;59532;3864
395;Aanvoer;2 Gassen;2023;54466;3021
396;Aanvoer;3 Brandbare vloeistoffen;2012;178329;2185
397;Aanvoer;3 Brandbare vloeistoffen;2013;162048;2218
398;Aanvoer;3 Brandbare vloeistoffen;2014;157932;2020
399;Aanvoer;3 Brandbare vloeistoffen;2015;177165;1842
400;Aanvoer;3 Brandbare vloeistoffen;2016;179151;2221
401;Aanvoer;3 Brandbare vloeistoffen;2017;182885;2159
402;Aanvoer;3 Brandbare vloeistoffen;2018;177534;1991
403;Aanvoer;3 Brandbare vloeistoffen;2019;179150;1676
404;Aanvoer;3 Brandbare vloeistoffen;2020;172466;1894
405;Aanvoer;3 Brandbare vloeistoffen;2021;176667;1980
406;Aanvoer;3 Brandbare vloeistoffen;2022;182821;1760
407;Aanvoer;3 Brandbare vloeistoffen;2023;175002;1845
408;Aanvoer;4.1 Brandbare vaste stoffen;2012;3401;379
409;Aanvoer;4.1 Brandbare vaste stoffen;2013;4518;381
410;Aanvoer;4.1 Brandbare vaste stoffen;2014;4719;437
411;Aanvoer;4.1 Brandbare vaste stoffen;2015;1599;11
412;Aanvoer;4.1 Brandbare vaste stoffen;2016;1877;20
413;Aanvoer;4.1 Brandbare vaste stoffen;2017;2019;26
414;Aanvoer;4.1 Brandbare vaste stoffen;2018;2182;13
415;Aanvoer;4.1 Brandbare vaste stoffen;2019;2176;21
