ID;Vervoerstroom;ADRKlasse;Perioden;VervoerdLadinggewicht_1;Vervoersprestatie_2
0;Totaal;ADR-Klasse totaal;2012;702751;40690
1;Totaal;ADR-Klasse totaal;2013;710207;43520
2;Totaal;ADR-Klasse totaal;2014;679441;41151
3;Totaal;ADR-Klasse totaal;2015;690093;46299
4;Totaal;ADR-Klasse totaal;2016;709292;47273
5;Totaal;ADR-Klasse totaal;2017;723330;46093
6;Totaal;ADR-Klasse totaal;2018;705318;42952
7;Totaal;ADR-Klasse totaal;2019;710767;41792
8;Totaal;ADR-Klasse totaal;2020;659254;36533
9;Totaal;ADR-Klasse totaal;2021;680687;37106
10;Totaal;ADR-Klasse totaal;2022;682120;36018
11;Totaal;ADR-Klasse totaal;2023;657791;33012
12;Totaal;1 Ontplofbare stoffen en voorwerpen;2012;1366;1
13;Totaal;1 Ontplofbare stoffen en voorwerpen;2013;769;2
14;Totaal;1 Ontplofbare stoffen en voorwerpen;2014;701;12
15;Totaal;1 Ontplofbare stoffen en voorwerpen;2015;424;5
16;Totaal;1 Ontplofbare stoffen en voorwerpen;2016;472;4
17;Totaal;1 Ontplofbare stoffen en voorwerpen;2017;536;4
18;Totaal;1 Ontplofbare stoffen en voorwerpen;2018;657;15
19;Totaal;1 Ontplofbare stoffen en voorwerpen;2019;681;19
20;Totaal;1 Ontplofbare stoffen en voorwerpen;2020;626;12
21;Totaal;1 Ontplofbare stoffen en voorwerpen;2021;785;9
22;Totaal;1 Ontplofbare stoffen en voorwerpen;2022;576;2
23;Totaal;1 Ontplofbare stoffen en voorwerpen;2023;573;2
24;Totaal;2 Gassen;2012;225123;19116
25;Totaal;2 Gassen;2013;250365;21120
26;Totaal;2 Gassen;2014;213869;18112
27;Totaal;2 Gassen;2015;198467;23937
28;Totaal;2 Gassen;2016;203823;24470
29;Totaal;2 Gassen;2017;196088;23087
30;Totaal;2 Gassen;2018;194642;21480
31;Totaal;2 Gassen;2019;180936;19375
32;Totaal;2 Gassen;2020;159388;15803
33;Totaal;2 Gassen;2021;160462;15275
34;Totaal;2 Gassen;2022;169871;15290
35;Totaal;2 Gassen;2023;146295;12099
36;Totaal;3 Brandbare vloeistoffen;2012;448607;18995
37;Totaal;3 Brandbare vloeistoffen;2013;415455;18669
38;Totaal;3 Brandbare vloeistoffen;2014;414288;18465
39;Totaal;3 Brandbare vloeistoffen;2015;438669;19079
40;Totaal;3 Brandbare vloeistoffen;2016;448986;19495
41;Totaal;3 Brandbare vloeistoffen;2017;455095;19644
42;Totaal;3 Brandbare vloeistoffen;2018;440678;18190
43;Totaal;3 Brandbare vloeistoffen;2019;461770;19151
44;Totaal;3 Brandbare vloeistoffen;2020;433074;17573
45;Totaal;3 Brandbare vloeistoffen;2021;451907;18722
46;Totaal;3 Brandbare vloeistoffen;2022;448039;17621
47;Totaal;3 Brandbare vloeistoffen;2023;449214;17893
48;Totaal;4.1 Brandbare vaste stoffen;2012;13886;1311
49;Totaal;4.1 Brandbare vaste stoffen;2013;16411;1306
50;Totaal;4.1 Brandbare vaste stoffen;2014;16996;1466
51;Totaal;4.1 Brandbare vaste stoffen;2015;5674;84
52;Totaal;4.1 Brandbare vaste stoffen;2016;9162;100
53;Totaal;4.1 Brandbare vaste stoffen;2017;22883;143
54;Totaal;4.1 Brandbare vaste stoffen;2018;20789;94
55;Totaal;4.1 Brandbare vaste stoffen;2019;15834;113
56;Totaal;4.1 Brandbare vaste stoffen;2020;15220;96
57;Totaal;4.1 Brandbare vaste stoffen;2021;16989;92
58;Totaal;4.1 Brandbare vaste stoffen;2022;13493;89
59;Totaal;4.1 Brandbare vaste stoffen;2023;12195;73
60;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2012;363;11
61;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2013;641;46
62;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2014;1081;93
63;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2015;1163;77
64;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2016;809;28
65;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2017;744;22
66;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2018;1049;25
67;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2019;682;14
68;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2020;779;12
69;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2021;791;13
70;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2022;529;5
71;Totaal;4.2 Voor zelfontbranding vatbare stoffen;2023;614;4
72;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2012;542;23
73;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2013;2296;34
74;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2014;2347;40
75;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2015;2740;34
76;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2016;2095;12
77;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2017;2279;11
78;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2018;2692;14
79;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2019;2642;9
80;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2020;2431;3
81;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2021;2514;6
82;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2022;2924;9
83;Totaal;"4.3 Stoffen;  gas ontwikkelend bij water";2023;1532;4
84;Totaal;5.1 Oxiderende stoffen;2012;479;27
85;Totaal;5.1 Oxiderende stoffen;2013;760;53
86;Totaal;5.1 Oxiderende stoffen;2014;769;51
87;Totaal;5.1 Oxiderende stoffen;2015;1888;70
88;Totaal;5.1 Oxiderende stoffen;2016;1237;42
89;Totaal;5.1 Oxiderende stoffen;2017;1434;47
90;Totaal;5.1 Oxiderende stoffen;2018;1328;39
91;Totaal;5.1 Oxiderende stoffen;2019;1149;53
92;Totaal;5.1 Oxiderende stoffen;2020;1727;61
93;Totaal;5.1 Oxiderende stoffen;2021;1481;57
94;Totaal;5.1 Oxiderende stoffen;2022;1554;42
95;Totaal;5.1 Oxiderende stoffen;2023;1505;44
96;Totaal;5.2 Organische Peroxiden;2012;52;1
97;Totaal;5.2 Organische Peroxiden;2013;47;2
98;Totaal;5.2 Organische Peroxiden;2014;37;1
99;Totaal;5.2 Organische Peroxiden;2015;34;1
100;Totaal;5.2 Organische Peroxiden;2016;65;3
101;Totaal;5.2 Organische Peroxiden;2017;62;1
102;Totaal;5.2 Organische Peroxiden;2018;66;1
103;Totaal;5.2 Organische Peroxiden;2019;63;0
104;Totaal;5.2 Organische Peroxiden;2020;88;1
105;Totaal;5.2 Organische Peroxiden;2021;49;0
106;Totaal;5.2 Organische Peroxiden;2022;51;0
107;Totaal;5.2 Organische Peroxiden;2023;78;1
108;Totaal;6.1 Giftige stoffen;2012;2415;151
109;Totaal;6.1 Giftige stoffen;2013;2613;197
110;Totaal;6.1 Giftige stoffen;2014;2618;205
111;Totaal;6.1 Giftige stoffen;2015;3450;213
112;Totaal;6.1 Giftige stoffen;2016;3487;205
113;Totaal;6.1 Giftige stoffen;2017;3801;207
114;Totaal;6.1 Giftige stoffen;2018;3256;199
115;Totaal;6.1 Giftige stoffen;2019;3224;189
116;Totaal;6.1 Giftige stoffen;2020;4418;191
117;Totaal;6.1 Giftige stoffen;2021;3931;177
118;Totaal;6.1 Giftige stoffen;2022;2784;118
119;Totaal;6.1 Giftige stoffen;2023;3378;111
120;Totaal;6.2 Infectueuze stoffen;2012;0;0
121;Totaal;6.2 Infectueuze stoffen;2013;7;1
122;Totaal;6.2 Infectueuze stoffen;2014;0;0
123;Totaal;6.2 Infectueuze stoffen;2015;74;0
124;Totaal;6.2 Infectueuze stoffen;2016;51;2
125;Totaal;6.2 Infectueuze stoffen;2017;44;0
126;Totaal;6.2 Infectueuze stoffen;2018;43;1
127;Totaal;6.2 Infectueuze stoffen;2019;74;1
128;Totaal;6.2 Infectueuze stoffen;2020;121;0
129;Totaal;6.2 Infectueuze stoffen;2021;123;1
130;Totaal;6.2 Infectueuze stoffen;2022;92;1
131;Totaal;6.2 Infectueuze stoffen;2023;93;0
132;Totaal;7 Radioactieve stoffen;2012;12;0
133;Totaal;7 Radioactieve stoffen;2013;28;2
134;Totaal;7 Radioactieve stoffen;2014;25;1
135;Totaal;7 Radioactieve stoffen;2015;92;3
136;Totaal;7 Radioactieve stoffen;2016;23;0
137;Totaal;7 Radioactieve stoffen;2017;28;0
138;Totaal;7 Radioactieve stoffen;2018;62;5
139;Totaal;7 Radioactieve stoffen;2019;22;1
140;Totaal;7 Radioactieve stoffen;2020;44;2
141;Totaal;7 Radioactieve stoffen;2021;27;0
142;Totaal;7 Radioactieve stoffen;2022;30;1
143;Totaal;7 Radioactieve stoffen;2023;17;1
144;Totaal;8 Bijtende stoffen;2012;5091;493
145;Totaal;8 Bijtende stoffen;2013;7227;675
146;Totaal;8 Bijtende stoffen;2014;6916;681
147;Totaal;8 Bijtende stoffen;2015;10485;760
148;Totaal;8 Bijtende stoffen;2016;9923;757
149;Totaal;8 Bijtende stoffen;2017;10643;779
150;Totaal;8 Bijtende stoffen;2018;10480;775
151;Totaal;8 Bijtende stoffen;2019;10556;780
152;Totaal;8 Bijtende stoffen;2020;10380;772
153;Totaal;8 Bijtende stoffen;2021;10724;751
154;Totaal;8 Bijtende stoffen;2022;9679;681
155;Totaal;8 Bijtende stoffen;2023;9655;643
156;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2012;4815;561
157;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2013;13445;1404
158;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2014;19529;2005
159;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2015;26773;2019
160;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2016;28844;2132
161;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2017;29439;2122
162;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2018;29287;2089
163;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2019;32616;2047
164;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2020;30695;1984
165;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2021;30672;1983
166;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2022;32294;2145
167;Totaal;9 Andere gevaarlijke stoffen, voorwerpen;2023;32095;2109
168;Totaal;9.9 Klasse onbekend;2012;0;0
169;Totaal;9.9 Klasse onbekend;2013;143;9
170;Totaal;9.9 Klasse onbekend;2014;265;19
171;Totaal;9.9 Klasse onbekend;2015;160;17
172;Totaal;9.9 Klasse onbekend;2016;315;23
173;Totaal;9.9 Klasse onbekend;2017;254;26
174;Totaal;9.9 Klasse onbekend;2018;289;25
175;Totaal;9.9 Klasse onbekend;2019;518;40
176;Totaal;9.9 Klasse onbekend;2020;263;23
177;Totaal;9.9 Klasse onbekend;2021;232;20
178;Totaal;9.9 Klasse onbekend;2022;204;14
179;Totaal;9.9 Klasse onbekend;2023;547;28
180;Binnenlands vervoer;ADR-Klasse totaal;2012;233304;15843
181;Binnenlands vervoer;ADR-Klasse totaal;2013;241357;17120
182;Binnenlands vervoer;ADR-Klasse totaal;2014;226357;15368
183;Binnenlands vervoer;ADR-Klasse totaal;2015;251765;23544
184;Binnenlands vervoer;ADR-Klasse totaal;2016;254145;23589
185;Binnenlands vervoer;ADR-Klasse totaal;2017;249028;22019
186;Binnenlands vervoer;ADR-Klasse totaal;2018;234481;20019
187;Binnenlands vervoer;ADR-Klasse totaal;2019;241177;18935
188;Binnenlands vervoer;ADR-Klasse totaal;2020;212909;15154
189;Binnenlands vervoer;ADR-Klasse totaal;2021;218005;14733
190;Binnenlands vervoer;ADR-Klasse totaal;2022;199748;13286
191;Binnenlands vervoer;ADR-Klasse totaal;2023;194279;11278
192;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2012;24;1
193;Binnenlands vervoer;1 Ontplofbare stoffen en voorwerpen;2013;18;0
