ID;Afzetkanalen;Perioden;Bedrag_1;Aantal_2;Bedrag_3;Aantal_4;Bedrag_5;Aantal_6
0;Totaal afzetkanalen;1998;1656;353;4125;1364;655.0;42.0
1;Totaal afzetkanalen;1999;1636;310;4519;1263;642.0;38.0
2;Totaal afzetkanalen;2000;1406;281;5146;2365;635.0;36.0
3;Totaal afzetkanalen;2001;1252;213;4583;1739;323.0;17.0
4;Totaal afzetkanalen;2002;1167;181;4544;1506;227.0;13.0
5;Totaal afzetkanalen;2003;1132;167;4282;1419;342.0;14.0
6;Totaal afzetkanalen;2004;997;181;4887;1480;227.0;10.0
7;Totaal afzetkanalen;2005;1019;175;4580;1378;52.0;3.0
8;Totaal afzetkanalen;2006;1072;155;4056;1098;;
9;Totaal afzetkanalen;2007;1234;156;4296;1277;;
10;Totaal afzetkanalen;2008;1470;161;4036;1223;;
11;Totaal afzetkanalen;2009;1064;114;3097;762;;
12;Totaal afzetkanalen;2010;1056;121;2964;733;;
13;Totaal afzetkanalen;2011;1295;146;2766;689;;
14;Totaal afzetkanalen;2012;1166;126;2250;575;;
15;Direct writing;1998;370;120;1400;1062;120.0;6.0
16;Direct writing;1999;347;86;1816;876;60.0;4.0
17;Direct writing;2000;294;88;2301;1988;36.0;2.0
18;Direct writing;2001;176;31;1880;1363;26.0;2.0
19;Direct writing;2002;172;23;1882;1121;53.0;4.0
20;Direct writing;2003;118;14;1637;1105;85.0;4.0
21;Direct writing;2004;110;32;1837;1148;26.0;1.0
22;Direct writing;2005;136;33;1570;1064;7.0;0.0
23;Direct writing;2006;169;26;1099;758;;
24;Direct writing;2007;161;22;1248;828;;
25;Direct writing;2008;184;25;1170;903;;
26;Direct writing;2009;148;19;815;511;;
27;Direct writing;2010;166;24;1157;483;;
28;Direct writing;2011;174;21;1204;499;;
29;Direct writing;2012;184;22;1069;440;;
30;Overige eigen organisatie;1998;491;123;1190;158;275.0;17.0
31;Overige eigen organisatie;1999;483;99;1319;172;401.0;23.0
32;Overige eigen organisatie;2000;339;83;1234;140;482.0;27.0
33;Overige eigen organisatie;2001;297;69;984;118;16.0;1.0
34;Overige eigen organisatie;2002;220;48;1097;158;0.0;0.0
35;Overige eigen organisatie;2003;211;44;1051;107;0.0;0.0
36;Overige eigen organisatie;2004;195;41;1340;111;0.0;0.0
37;Overige eigen organisatie;2005;204;48;1279;101;0.0;0.0
38;Overige eigen organisatie;2006;210;39;1223;93;;
39;Overige eigen organisatie;2007;307;45;1119;90;;
40;Overige eigen organisatie;2008;344;40;1000;79;;
41;Overige eigen organisatie;2009;254;28;761;61;;
42;Overige eigen organisatie;2010;83;16;641;87;;
43;Overige eigen organisatie;2011;59;12;519;44;;
44;Overige eigen organisatie;2012;46;9;524;41;;
45;Autodealers;1998;477;68;75;11;;
46;Autodealers;1999;536;75;93;14;;
47;Autodealers;2000;457;64;67;8;;
48;Autodealers;2001;562;71;160;19;;
49;Autodealers;2002;579;64;152;16;;
50;Autodealers;2003;644;71;148;15;;
51;Autodealers;2004;546;58;127;13;;
52;Autodealers;2005;553;54;95;11;;
53;Autodealers;2006;592;52;77;8;;
54;Autodealers;2007;654;52;95;11;;
55;Autodealers;2008;762;64;86;10;;
56;Autodealers;2009;463;39;47;6;;
57;Autodealers;2010;556;52;51;6;;
58;Autodealers;2011;772;78;44;5;;
59;Autodealers;2012;724;70;40;4;;
60;Overige detailhandel;1998;58;7;6;1;;
61;Overige detailhandel;1999;56;23;164;114;;
62;Overige detailhandel;2000;121;23;211;126;;
63;Overige detailhandel;2001;83;26;178;134;;
64;Overige detailhandel;2002;66;33;197;120;;
65;Overige detailhandel;2003;55;29;181;93;;
66;Overige detailhandel;2004;60;42;223;107;;
67;Overige detailhandel;2005;58;33;243;108;;
68;Overige detailhandel;2006;52;33;297;157;;
69;Overige detailhandel;2007;67;32;350;261;;
70;Overige detailhandel;2008;121;28;226;150;;
71;Overige detailhandel;2009;37;17;125;116;;
72;Overige detailhandel;2010;39;10;111;107;;
73;Overige detailhandel;2011;47;21;95;94;;
74;Overige detailhandel;2012;29;13;56;56;;
75;Onafhankelijke bemiddelaar;1998;260;34;1454;131;260.0;19.0
76;Onafhankelijke bemiddelaar;1999;214;26;1127;88;180.0;11.0
77;Onafhankelijke bemiddelaar;2000;193;23;1332;103;118.0;7.0
78;Onafhankelijke bemiddelaar;2001;134;16;1380;104;280.0;15.0
79;Onafhankelijke bemiddelaar;2002;129;14;1216;91;174.0;9.0
80;Onafhankelijke bemiddelaar;2003;104;10;1265;99;257.0;10.0
81;Onafhankelijke bemiddelaar;2004;85;8;1359;101;201.0;8.0
82;Onafhankelijke bemiddelaar;2005;69;7;1394;93;45.0;3.0
83;Onafhankelijke bemiddelaar;2006;49;5;1359;82;;
84;Onafhankelijke bemiddelaar;2007;46;4;1485;86;;
85;Onafhankelijke bemiddelaar;2008;60;4;1553;80;;
86;Onafhankelijke bemiddelaar;2009;163;10;1349;68;;
87;Onafhankelijke bemiddelaar;2010;213;19;1004;49;;
88;Onafhankelijke bemiddelaar;2011;243;14;904;46;;
89;Onafhankelijke bemiddelaar;2012;184;12;561;34;;
