ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;BeginvoorraadGrondEnHulpstoffen_14;InkopenGrondEnHulpstoffen_15;EindvoorraadGrondEnHulpstoffen_16;TotaleInkoopwaardeHandelsgoederen_17;BeginvoorraadHandelsgoederen_18;InkoopkostenVanHandelsgoederen_19;EindvoorraadHandelsgoederen_20;TotaleOverigeInkoopwaarde_21;KostenUitbesteedWerk_22;NietEerderGenoemdeInkoopwaarde_23;TotaleArbeidskosten_24;BrutoLonenEnSalarissen_25;SocialeVerzekeringspremiesWerkgever_26;PremiesPensioenVUTInkoopsommen_27;OverigeSocialeLasten_28;TotaleOverigeBedrijfslasten_29;OverigePersoneelskosten_30;KostenVervoermiddelen_31;KostenEnergieverbruik_32;Huisvestingskosten_33;KostenMachinesEnInstallaties_34;Verkoopkosten_35;Communicatiekosten_36;KostenVanDienstverleningDoorDerden_37;NietEerderGenoemdeBedrijfslasten_38;AfschrijvingenOpVasteActiva_39;Bedrijfsresultaat_40;SaldoFinancieelResultaat_41;FinancieleBaten_42;FinancieleLasten_43;SaldoVoorzieningen_44;OnttrekkingenVrijvalVanVoorzieningen_45;ToevoegingenAanVoorzieningen_46;SaldoBuitengewoonResultaat_47;BuitengewoneBaten_48;BuitengewoneLasten_49;ResultaatVoorBelastingen_50
0;C Winning van delfstoffen;2000;245;11.31;11.1;9.1;8.93;16784.0;16698.0;7356.0;9341.0;86.0;13014.0;9651.0;417.0;26.0;415.0;24.0;8747.0;5.0;8747.0;5.0;487.0;480.0;7.0;477.0;397.0;40.0;22.0;18.0;2063.0;181.0;35.0;75.0;65.0;229.0;40.0;14.0;153.0;1271.0;822.0;3770.0;-147.0;65.0;212.0;12.0;35.0;23.0;42.0;45.0;3.0;3676.0
1;C Winning van delfstoffen;2001;245;11.06;10.82;8.9;8.71;21076.0;20721.0;8212.0;12509.0;355.0;16604.0;12836.0;489.0;40.0;484.0;34.0;11844.0;5.0;11846.0;7.0;502.0;463.0;39.0;484.0;387.0;43.0;37.0;17.0;2405.0;173.0;43.0;67.0;59.0;304.0;45.0;13.0;168.0;1533.0;879.0;4472.0;-99.0;105.0;205.0;-92.0;11.0;102.0;-11.0;33.0;44.0;4270.0
2;C Winning van delfstoffen;2002;240;10.9;10.32;9.26;8.97;19300.0;18895.0;7746.0;11149.0;405.0;15578.0;11572.0;568.0;46.0;578.0;56.0;10505.0;9.0;10511.0;14.0;499.0;449.0;50.0;612.0;448.0;47.0;64.0;53.0;2477.0;244.0;41.0;82.0;66.0;371.0;53.0;18.0;218.0;1384.0;917.0;3722.0;-188.0;111.0;299.0;1.0;46.0;45.0;49.0;70.0;21.0;3584.0
3;C Winning van delfstoffen;2003;220;10.56;10.16;9.14;8.81;20659.0;20267.0;;;393.0;16414.0;12215.0;532.0;61.0;528.0;57.0;11042.0;12.0;11037.0;6.0;641.0;551.0;90.0;581.0;449.0;42.0;75.0;13.0;2545.0;174.0;35.0;96.0;71.0;278.0;44.0;19.0;235.0;1593.0;1074.0;4245.0;-99.0;120.0;219.0;-184.0;40.0;224.0;425.0;489.0;65.0;4387.0
4;C Winning van delfstoffen;2004;225;9.99;9.57;8.64;8.37;21383.0;20956.0;;;427.0;17663.0;12970.0;577.0;53.0;582.0;57.0;11703.0;5.0;11704.0;7.0;690.0;455.0;235.0;608.0;447.0;51.0;98.0;11.0;3045.0;176.0;43.0;113.0;70.0;282.0;41.0;20.0;340.0;1960.0;1040.0;3720.0;-113.0;124.0;236.0;78.0;88.0;9.0;6.0;11.0;5.0;3691.0
5;C Winning van delfstoffen;2005;215;8.93;8.55;7.23;6.97;25411.0;25021.0;;;390.0;21081.0;16376.0;711.0;65.0;719.0;73.0;15029.0;8.0;15032.0;11.0;636.0;532.0;104.0;526.0;405.0;41.0;75.0;6.0;3335.0;226.0;60.0;112.0;67.0;372.0;40.0;17.0;316.0;2125.0;845.0;4330.0;311.0;414.0;103.0;56.0;77.0;20.0;;;9.0;
6;CA Winning van energiehoudende delfst.;2000;90;8.42;8.25;6.42;6.29;15898.0;15828.0;6630.0;9198.0;71.0;12219.0;9238.0;161.0;2.0;161.0;2.0;8620.0;4.0;8621.0;5.0;457.0;457.0;0.0;358.0;305.0;23.0;16.0;14.0;1862.0;165.0;22.0;27.0;44.0;184.0;34.0;12.0;135.0;1239.0;762.0;3679.0;-142.0;57.0;199.0;3.0;21.0;18.0;28.0;28.0;0.0;3567.0
7;CA Winning van energiehoudende delfst.;2001;85;8.24;8.06;6.37;6.25;20159.0;19823.0;7521.0;12302.0;335.0;15765.0;12340.0;182.0;8.0;178.0;3.0;11676.0;4.0;11677.0;6.0;482.0;450.0;32.0;374.0;302.0;31.0;29.0;11.0;2224.0;159.0;23.0;33.0;43.0;262.0;36.0;11.0;152.0;1505.0;826.0;4393.0;-101.0;93.0;194.0;-90.0;9.0;99.0;-3.0;23.0;26.0;4200.0
8;CA Winning van energiehoudende delfst.;2002;85;8.08;7.6;6.62;6.44;18327.0;17938.0;6959.0;10980.0;388.0;14696.0;11091.0;239.0;4.0;240.0;6.0;10365.0;6.0;10370.0;10.0;487.0;440.0;47.0;485.0;350.0;32.0;52.0;51.0;2260.0;226.0;21.0;45.0;48.0;315.0;38.0;16.0;194.0;1357.0;861.0;3631.0;-184.0;102.0;287.0;-31.0;9.0;40.0;46.0;59.0;13.0;3462.0
9;CA Winning van energiehoudende delfst.;2003;75;7.72;7.44;6.51;6.32;19707.0;19337.0;;;370.0;15543.0;11763.0;190.0;15.0;180.0;5.0;10975.0;11.0;10969.0;5.0;598.0;525.0;73.0;454.0;351.0;28.0;62.0;12.0;2317.0;155.0;15.0;52.0;45.0;223.0;31.0;17.0;213.0;1566.0;1009.0;4164.0;-90.0;113.0;203.0;-182.0;33.0;215.0;462.0;481.0;20.0;4354.0
