ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouders_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal over alle leeftijden;2005;4129414;2036630;752785;936597;403402;445511;263083;135636;46792
1;Totaal over alle leeftijden;2006;4121789;2029455;747386;943397;401551;455327;269884;137991;47452
2;Totaal over alle leeftijden;2007;4115556;2024507;743320;949096;398633;464622;276525;140095;48002
3;Totaal over alle leeftijden;2008;4110537;2021973;739607;954010;394947;473550;283102;141987;48461
4;Totaal over alle leeftijden;2009;4107200;2021256;736963;958181;390800;481990;289586;143618;48786
5;Totaal over alle leeftijden;2010;4105435;2023178;735225;961205;385827;489991;296002;144982;49007
6;Totaal over alle leeftijden;2011;4104990;2027621;733828;962939;380602;497677;302382;146162;49133
7;Totaal over alle leeftijden;2012;4105711;2034488;732394;963723;375106;505005;308686;147150;49169
8;Totaal over alle leeftijden;2013;4107321;2043656;730458;963609;369598;512051;314956;147942;49153
9;Totaal over alle leeftijden;2014;4109308;2054706;728052;962797;363753;518837;321142;148603;49092
10;Totaal over alle leeftijden;2015;4111503;2066714;725149;961644;357996;525312;327182;149126;49004
11;Totaal over alle leeftijden;2016;4113552;2078781;721934;960417;352420;531504;333051;149559;48894
12;Totaal over alle leeftijden;2017;4115164;2089905;718386;959584;347289;537390;338725;149891;48774
13;Totaal over alle leeftijden;2018;4116163;2100188;714793;958738;342444;543027;344208;150161;48658
14;Totaal over alle leeftijden;2019;4116504;2109204;711113;957983;338204;548447;349489;150390;48568
15;Totaal over alle leeftijden;2020;4116110;2118149;707367;956379;334215;553731;354553;150652;48526
16;Totaal over alle leeftijden;2021;4115027;2126816;703079;954372;330760;558865;359402;150923;48540
17;Totaal over alle leeftijden;2022;4113345;2135794;697708;951915;327928;564007;364133;151265;48609
18;Totaal over alle leeftijden;2023;4111043;2145700;691013;948812;325518;569095;368631;151736;48728
