ID;Bedrijfskenmerken;WerkzameBeroepsbevolking_1;NietCursusdeelnemers_2;Cursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;Alle economische activiteiten;6710.0;3160.0;3550.0;52.9;3130.0;88.1
1;A-F Landbouw en nijverheid;1240.0;745.0;495.0;40.1;435.0;87.9
2;B-E Nijverheid (geen bouw) en energie;735.0;455.0;280.0;38.1;260.0;92.9
3;C-E Industrie, energie, afvalbeheer;725.0;450.0;275.0;37.8;255.0;92.7
4;G-I Handel, vervoer en horeca;1375.0;870.0;505.0;36.6;450.0;88.9
5;G-N Commerciële dienstverlening;2870.0;1520.0;1355.0;47.1;1205.0;88.9
6;M-N Zakelijke dienstverlening;895.0;430.0;465.0;52.2;405.0;86.6
7;O-Q Overheid en zorg;2260.0;745.0;1515.0;67.1;1355.0;89.5
8;O-U Niet-commerciële dienstverlening;2600.0;900.0;1700.0;65.4;1490.0;87.6
9;R-U Cultuur, recreatie, overige diensten;335.0;155.0;185.0;54.3;;
10;A Landbouw, bosbouw en visserij;150.0;;;;;
11;B Delfstoffenwinning;;;;;;
12;C Industrie;650.0;425.0;225.0;34.5;205.0;91.9
13;D Energievoorziening;;;;;;
14;E Waterbedrijven en afvalbeheer;;;;;;
15;F Bouwnijverheid;;;;;;
16;G Handel;895.0;585.0;305.0;34.4;275.0;88.8
17;H Vervoer en opslag;325.0;;;;;
18;I Horeca;;;;;;
19;J Informatie en communicatie;260.0;100.0;160.0;61.1;145.0;92.5
20;K Financiële dienstverlening;290.0;100.0;190.0;64.9;170.0;91.4
21;L Verhuur en handel van onroerend goed;;;;;;
22;M Specialistische zakelijke diensten;545.0;235.0;310.0;57.2;280.0;89.4
23;N Verhuur en overige zakelijke diensten;350.0;;;;;
24;O Openbaar bestuur en overheidsdiensten;510.0;175.0;335.0;65.7;315.0;93.7
25;P Onderwijs;560.0;160.0;400.0;71.7;380.0;94.2
26;Q Gezondheids- en welzijnszorg;1190.0;410.0;780.0;65.5;665.0;85.2
27;R Cultuur, sport en recreatie;160.0;;;;;
28;S Overige dienstverlening;175.0;;;;;
29;T Huishoudens;;;;;;
30;U Extraterritoriale organisaties;;;;;;
31;SBI-code onbekend;320.0;;;;;
32;Bedrijfsgrootte: 0 tot 10 werknemers;1485.0;815.0;675.0;45.3;470.0;70.1
33;Bedrijfsgrootte: 10 tot 100 werknemers;1575.0;715.0;860.0;54.7;815.0;94.7
34;Bedrijfsgrootte: 100 of meer werknemers;2285.0;890.0;1395.0;61.0;1300.0;93.2
35;Bedrijfsgrootte:  werknemers onbekend;1670.0;930.0;735.0;44.2;610.0;83.1
