ID;Perioden;Musea_1;HeleJaarOpen_2;GedeelteVanHetJaarOpen_3;Kunst_4;Geschiedenis_5;NatuurlijkeHistorie_6;BedrijfEnTechniek_7;Volkenkunde_8;Overig_9;Tot2500Bezoeken_10;k_2500Tot10000Bezoeken_11;k_10000Tot25000Bezoeken_12;k_25000Tot50000Bezoeken_13;k_50000Tot100000Bezoeken_14;k_100000EnMeerBezoeken_15;TotaalBezoeken_16;BetaaldeBezoekenVolTarief_17;BetaaldeBezoekenReductie_18;BezoekenMetMuseumkaart_19;GratisBezoeken_20;BuitenlandseBezoeken_21;Kinderen_22;Jeugd_23;Volwassenen_24;Senioren_25;InEigenMuseum_26;InAndereRuimtenInNederland_27;InHetBuitenland_28;Museumkaart_29;Museumvereniging_30;MuseumregisterNederland_31;Overheidsinstelling_32;VerenigingStichting_33;Overig_34;TotaalAantalWerkzamePersonen_35;InLoondienst_36;OverigeBezoldigden_37;TotaalMensjaren_38;InLoondienst_39;OverigeBezoldigden_40;Personen_41;Mensjaren_42
0;2015;601;75;25;110;388;25;59;12;7;17;29;21;12;9;11;30317;12112;5180;8166;4859;8233;3.66;5.69;11.93;11.67;1963;157;40;56;71;75;10.0;86.0;4.0;13455;9092;4363;7687;6334;1353;30781;4685
1;2016;604;72;28;113;388;25;59;12;7;14;31;19;12;11;14;32010;12990;5350;8248;5422;9420;3.76;5.69;11.95;11.75;2008;130;41;61;73;77;9.0;87.0;4.0;13764;9166;4598;7455;6303;1153;30835;3883
2;2017;606;72;28;114;388;26;59;12;7;12;30;20;13;10;15;32525;13263;5411;8624;5226;9946;4.18;6.25;12.3;12.11;1940;339;109;61;74;76;;;;13775;8899;4877;7474;6323;1151;31168;3343
3;2018;616;68;32;117;395;26;59;12;7;14;28;19;12;11;16;33646;12663;5993;8766;6224;10614;4.03;6.16;13.1;12.89;1965;304;86;65;74;76;;;;14548;9434;5113;7900;6654;1245;32324;3534
4;2019;616;66;34;118;395;26;58;12;7;13;28;20;12;10;17;33895;12791;6036;9209;5858;10287;4.45;6.44;13.69;13.52;1977;330;70;65;68;75;;;;14655;9776;4879;8062;6701;1361;32425;3399
5;2020;625;0;100;122;402;28;63;10;0;28;28;15;11;8;10;14411;5145;2169;4946;2152;1891;5.03;7.54;13.73;13.64;1379;198;43;68;75;76;;;;13626;9857;3769;8198;6747;1451;24597;2561
6;2021;629;0;100;122;405;28;65;9;0;29;31;18;11;6;5;12340;4499;2070;3810;1962;1501;5.61;7.9;14.03;13.91;1247;131;31;68;76;77;;;;13045;9849;3196;7797;6614;1183;25091;2514
7;2022;627;16;84;120;403;29;64;11;0;16;30;18;15;11;9;24953;9703;3683;6971;4596;6060;5.4;7.52;14.87;14.77;1722;189;33;71;78;78;;;;14114;10353;3761;8359;7012;1347;28564;2442
8;2023;628;71;29;121;406;29;62;10;0;12;29;21;14;11;13;31569;11534;4867;9217;5951;8567;5.73;7.58;15.85;15.92;1864;305;52;71;77;78;;;;15426;10889;4537;8786;7249;1538;29852;2431
