ID;SoortMisdrijf;Perioden;TotaalGeregistreerd_1;TotaalOpgehelderd_2;TotaalGehoordeVerdachten_3;TotaalMannen_4;MeerderjarigeMannen_5;MinderjarigeMannen_6;TotaalVrouwen_7;MeerderjarigeVrouwen_8;MinderjarigeVrouwen_9;TotaalGeregistreerd_10;TotaalOpgehelderd_11;TotaalGehoordeVerdachten_12;TotaalMannen_13;MeerderjarigeMannen_14;MinderjarigeMannen_15;TotaalVrouwen_16;MeerderjarigeVrouwen_17;MinderjarigeVrouwen_18
0;0;1999;1303446;210236;279320;246619;204954;41665;32701;26021;6680;10098;1629;2164;3830;3490;7364;505;439;1235
1;0;2000;1328909;206771;282215;249547;208239;41308;32668;26331;6337;10230;1592;2172;3850;3524;7213;502;442;1161
2;0;2001;1379454;233102;294424;259238;219340;39898;35186;27757;7429;10551;1783;2252;3972;3690;6857;537;463;1339
3;0;2002;1401871;255983;319310;279658;236328;43330;39652;31838;7814;10654;1945;2427;4256;3952;7324;602;529;1383
4;0;2003;1369271;279986;345985;302041;255218;46823;43944;35375;8569;10346;2115;2614;4569;4249;7752;663;585;1487
5;0;2004;1319482;288796;360853;314762;262258;52504;46091;36986;9105;9928;2173;2715;4742;4352;8591;693;609;1560
6;0;2005;1255079;278611;349620;302140;248000;54140;47480;36590;10890;9412;2089;2622;4539;4104;8815;711;601;1859
7;0;2006;1218447;278566;358349;307636;249528;58108;50713;38432;12281;9115;2084;2681;4611;4119;9456;757;629;2091
8;0;2007;1214503;275880;353971;301825;245838;55987;52146;39236;12910;9065;2059;2642;4514;4050;9086;777;641;2193
9;Wetboek van Strafrecht totaal;1999;1159539;146945;206437;180254;140792;39462;26183;19695;6488;8983;1138;1599;2800;2397;6975;405;332;1199
10;Wetboek van Strafrecht totaal;2000;1183623;142410;207035;180989;141731;39258;26046;19820;6226;9111;1096;1594;2793;2399;6855;400;332;1140
11;Wetboek van Strafrecht totaal;2001;1223521;158545;210232;182542;144869;37673;27690;20424;7266;9358;1213;1608;2797;2437;6474;423;341;1310
12;Wetboek van Strafrecht totaal;2002;1238590;173017;229872;198819;157960;40859;31053;23417;7636;9413;1315;1747;3025;2641;6906;471;389;1351
13;Wetboek van Strafrecht totaal;2003;1189602;184481;244494;211045;166893;44152;33449;25092;8357;8988;1394;1847;3192;2778;7309;505;415;1450
14;Wetboek van Strafrecht totaal;2004;1139473;191690;255967;221247;171686;49561;34720;25857;8863;8573;1442;1926;3333;2849;8109;522;426;1519
15;Wetboek van Strafrecht totaal;2005;1076475;181302;244177;208652;157884;50768;35525;24990;10535;8073;1360;1831;3134;2613;8266;532;410;1799
16;Wetboek van Strafrecht totaal;2006;1039192;179301;249697;211413;156907;54506;38284;26394;11890;7774;1341;1868;3169;2590;8870;572;432;2025
17;Wetboek van Strafrecht totaal;2007;1031967;176494;245946;206373;154282;52091;39573;27041;12532;7703;1317;1836;3086;2542;8454;590;442;2129
18;Geweldsmisdrijven totaal;1999;87132;38821;51716;47441;39026;8415;4275;2881;1394;675;301;401;737;665;1487;66;49;258
19;Geweldsmisdrijven totaal;2000;91738;39554;53899;49528;40860;8668;4371;3140;1231;706;304;415;764;692;1514;67;53;225
20;Geweldsmisdrijven totaal;2001;101320;45178;56811;51812;42804;9008;4999;3386;1613;775;346;435;794;720;1548;76;56;291
21;Geweldsmisdrijven totaal;2002;104336;50016;61481;55786;46450;9336;5695;3998;1697;793;380;467;849;777;1578;86;66;300
22;Geweldsmisdrijven totaal;2003;106410;55892;66655;60327;50664;9663;6328;4646;1682;804;422;504;913;843;1600;96;77;292
23;Geweldsmisdrijven totaal;2004;109887;62587;75255;67584;56222;11362;7671;5739;1932;827;471;566;1018;933;1859;115;95;331
24;Geweldsmisdrijven totaal;2005;110509;65072;78275;69654;57588;12066;8621;6246;2375;829;488;587;1046;953;1965;129;103;405
25;Geweldsmisdrijven totaal;2006;109154;65231;80529;71158;58621;12537;9371;6831;2540;817;488;602;1067;968;2040;140;112;433
26;Geweldsmisdrijven totaal;2007;111888;66323;83362;73330;60167;13163;10032;7385;2647;835;495;622;1097;991;2136;149;121;450
27;Verkrachting;1999;1805;974;1175;1151;966;185;24;22;2;14;8;9;18;16;33;0;0;0
28;Verkrachting;2000;1672;862;1035;1018;854;164;17;13;4;13;7;8;16;14;29;0;0;1
29;Verkrachting;2001;1719;932;1054;1036;834;202;18;13;5;13;7;8;16;14;35;0;0;1
30;Verkrachting;2002;1600;917;1041;1017;857;160;24;15;9;12;7;8;15;14;27;0;0;2
31;Verkrachting;2003;1477;911;1054;1035;845;190;19;14;5;11;7;8;16;14;31;0;0;1
32;Verkrachting;2004;1578;973;1184;1154;889;265;30;22;8;12;7;9;17;15;43;0;0;1
33;Verkrachting;2005;1540;986;1165;1135;869;266;30;18;12;12;7;9;17;14;43;0;0;2
34;Verkrachting;2006;1434;859;976;949;781;168;27;23;4;11;6;7;14;13;27;0;0;1
35;Verkrachting;2007;1267;759;904;887;734;153;17;14;3;9;6;7;13;12;25;0;0;1
36;Feitelijke aanranding der eerbaarheid;1999;2977;1189;1441;1427;908;519;14;9;5;23;9;11;22;15;92;0;0;1
37;Feitelijke aanranding der eerbaarheid;2000;2918;1189;1431;1414;906;508;17;10;7;22;9;11;22;15;89;0;0;1
38;Feitelijke aanranding der eerbaarheid;2001;2847;1125;1307;1299;887;412;8;5;3;22;9;10;20;15;71;0;0;1
39;Feitelijke aanranding der eerbaarheid;2002;2584;1159;1329;1312;867;445;17;6;11;20;9;10;20;14;75;0;0;2
40;Feitelijke aanranding der eerbaarheid;2003;2724;1275;1478;1469;990;479;9;6;3;21;10;11;22;16;79;0;0;1
41;Feitelijke aanranding der eerbaarheid;2004;2513;1229;1418;1407;912;495;11;9;2;19;9;11;21;15;81;0;0;0
42;Feitelijke aanranding der eerbaarheid;2005;2560;1275;1411;1395;952;443;16;9;7;19;10;11;21;16;72;0;0;1
43;Feitelijke aanranding der eerbaarheid;2006;2432;1219;1364;1350;966;384;14;12;2;18;9;10;20;16;62;0;0;0
44;Feitelijke aanranding der eerbaarheid;2007;2192;1045;1214;1195;845;350;19;11;8;16;8;9;18;14;57;0;0;1
45;Overige seksuele misdrijven;1999;2534;1405;1540;1503;1308;195;37;32;5;20;11;12;23;22;34;1;1;1
46;Overige seksuele misdrijven;2000;2545;1430;1594;1558;1348;210;36;29;7;20;11;12;24;23;37;1;0;1
47;Overige seksuele misdrijven;2001;2483;1352;1444;1394;1208;186;50;38;12;19;10;11;21;20;32;1;1;2
48;Overige seksuele misdrijven;2002;2116;1185;1259;1220;1052;168;39;32;7;16;9;10;19;18;28;1;1;1
49;Overige seksuele misdrijven;2003;2134;1231;1308;1269;1079;190;39;33;6;16;9;10;19;18;31;1;1;1
50;Overige seksuele misdrijven;2004;2087;1279;1377;1314;1084;230;63;45;18;16;10;10;20;18;38;1;1;3
51;Overige seksuele misdrijven;2005;2084;1211;1326;1287;1011;276;39;34;5;16;9;10;19;17;45;1;1;1
52;Overige seksuele misdrijven;2006;2137;1221;1348;1285;1085;200;63;48;15;16;9;10;19;18;33;1;1;3
53;Overige seksuele misdrijven;2007;1971;1020;1101;1058;891;167;43;37;6;15;8;8;16;15;27;1;1;1
54;Tegen het leven en persoon;1999;18607;9221;11548;10783;9596;1187;765;628;137;144;71;89;167;163;210;12;11;25
55;Tegen het leven en persoon;2000;20271;9720;12261;11392;10156;1236;869;712;157;156;75;94;176;172;216;13;12;29
56;Tegen het leven en persoon;2001;23627;11900;13524;12554;11260;1294;970;800;170;181;91;103;192;189;222;15;13;31
57;Tegen het leven en persoon;2002;26049;13732;15566;14351;12833;1518;1215;1002;213;198;104;118;218;215;257;18;17;38
58;Tegen het leven en persoon;2003;28090;16308;17400;16042;14340;1702;1358;1112;246;212;123;131;243;239;282;21;18;43
59;Tegen het leven en persoon;2004;32139;19756;21418;19461;17230;2231;1957;1590;367;242;149;161;293;286;365;29;26;63
60;Tegen het leven en persoon;2005;31969;19632;21154;19115;16828;2287;2039;1644;395;240;147;159;287;278;372;31;27;67
61;Tegen het leven en persoon;2006;31004;18830;20908;18764;16458;2306;2144;1711;433;232;141;156;281;272;375;32;28;74
62;Tegen het leven en persoon;2007;31999;19137;21539;19336;16904;2432;2203;1761;442;239;143;161;289;278;395;33;29;75
63;Mishandeling;1999;42451;21660;28577;25586;21545;4041;2991;1882;1109;329;168;221;397;367;714;46;32;205
64;Mishandeling;2000;44340;22318;29883;26923;22751;4172;2960;2038;922;341;172;230;415;385;729;45;34;169
65;Mishandeling;2001;48641;25662;32522;29049;24335;4714;3473;2200;1273;372;196;249;445;409;810;53;37;230
66;Mishandeling;2002;50565;28091;34051;30281;25552;4729;3770;2487;1283;384;213;259;461;427;799;57;41;227
67;Mishandeling;2003;51238;31185;36959;32646;27925;4721;4313;3056;1257;387;236;279;494;465;782;65;51;218
68;Mishandeling;2004;53081;34163;41260;36322;30745;5577;4938;3580;1358;399;257;310;547;510;913;74;59;233
69;Mishandeling;2005;56107;37279;45510;39597;33084;6513;5913;4081;1832;421;280;341;595;547;1060;89;67;313
70;Mishandeling;2006;57651;39041;48748;42249;35093;7156;6499;4593;1906;431;292;365;633;579;1164;97;75;325
71;Mishandeling;2007;60711;40599;51668;44513;36594;7919;7155;5116;2039;453;303;386;666;603;1285;107;84;346
72;Diefstal met geweld;1999;17685;4011;6798;6387;4307;2080;411;279;132;137;31;53;99;73;368;6;5;24
73;Diefstal met geweld;2000;19004;3729;7187;6745;4534;2211;442;315;127;146;29;55;104;77;386;7;5;23
74;Diefstal met geweld;2001;21174;3914;6491;6050;4001;2049;441;307;134;162;30;50;93;67;352;7;5;24
