ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalCateringActiviteiten_26;Dranken_27;Food_28;NonFood_29;DoorberekendePersoneelskosten_30;ManagementFee_31;OverigeDoorberekendeKosten_32;OverigeVerleendeDiensten_33;Contractcatering_34;Partycatering_35;Inflightcatering_36;OverigeCatering_37;Bedrijfscatering_38;InstitutioneleCatering_39;OnderwijsCatering_40;LeisureCatering_41;OntvangstenVoorUitleenEnSubsidie_42;TotaalPersoneelskosten_43;BrutoLonenEnSalarissen_44;SocialeLasten_45;Pensioenpremies_46;KostenUitzendkrachten_47;KostenIngeleendPersoneel_48;OverigePersoneelskosten_49;TotaalOverigeBedrijfslasten_50;TotaalHuisvestingskosten_51;BetaaldeHurenPachtenEDVanLeasing_52;OnroerendeZaakbelastingMilieuheffing_53;Energiekosten_54;ReparatieEnOnderhoudskosten_55;Verzekeringen_56;OverigeHuisvestingskosten_57;TotaalInventarisEnMachinekosten_58;BetaaldeHurenEnKostenVanOperLease_59;Onderhoudskosten_60;OverigeInventarisEnMachinekosten_61;TotaalAutokosten_62;BetaaldeHurenEnKostenVanOperLease_63;Brandstof_64;OverigeAutokosten_65;TotaalVerkoopkosten_66;ReclameEnAdvertentiekosten_67;ReisVerblijfsEnRepresentatiekosten_68;OverigeVerkoopkosten_69;TotaalAndereKosten_70;AccountantsEnAdviesdiensten_71;KantoorbenodigdhDrukwerkVakliteratuur_72;OverigeVerzekeringen_73;OverigeKostprijsverhogendeBelastingen_74;Communicatiekosten_75;Beheerskosten_76;OverigeAutomatiseringskosten_77;NogNietEerderGenoemdeBedrijfskosten_78;TotaalAantalWerkzamePersonen_79;WerknemersOpDeLoonlijst_80;WerknemersNietOpLoonlijst_81;OverigPersoneel_82;AantalVte_83;TotaalInvesteringen_84;TotaalMaterieleVasteActiva_85;Bedrijfsruimten_86;Vervoermiddelen_87;Computers_88;OverigeMachinesApparatenED_89;OverigeMaterieleVasteActiva_90;TotaalImmaterieleVasteActiva_91
0;Totaal SBI 555;1996;23.1;1158;1141;1141;0;17;1086;41.5;43.7;2.5;12.3;134;48;9;16;20;41;71;-2;69;60.5;5.8;5.9;2.9;1141;98.6;13.6;48.7;2.7;23.4;2.6;7.2;1.4;60.3;14.6;13.0;12.1;80.3;10.6;3.1;5.6;0.2;475;75.4;10.0;1.7;8.7;2.2;2.3;134;48;56.1;1.1;15.0;16.2;1.6;10.0;9;31.6;36.0;32.5;16;51.0;18.6;30.4;20;40.7;17.4;41.9;41;25.4;9.8;3.7;0.4;11.0;28.3;3.1;18.3;325;80.9;8.8;10.4;204;34;99.6;19.7;14.2;4.7;28.9;32.1;0.4
1;Totaal SBI 555;1997;24.1;1238;1217;1217;0;21;1161;40.2;44.5;2.4;12.8;149;55;11;17;21;45;77;-11;66;61.6;5.3;5.4;2.2;1217;98.4;13.6;47.4;3.1;23.7;2.6;7.2;1.6;58.8;18.1;12.7;10.4;80.8;9.5;4.0;5.4;0.3;517;74.0;9.4;2.2;10.6;1.5;2.5;149;55;55.7;1.2;14.9;16.6;1.5;10.0;11;28.6;36.7;34.7;17;53.5;18.9;27.6;21;40.4;27.9;31.7;45;27.1;9.9;2.9;0.8;10.6;24.8;3.1;20.9;348;79.5;7.9;12.6;216;28;99.1;12.2;19.4;8.4;25.1;34.0;0.9
2;Totaal SBI 555;1998;23.7;1369;1335;1335;0;34;1269;42.5;42.1;2.3;13.0;165;57;17;18;24;48;99;-4;95;59.6;7.0;6.9;2.9;1335;98.9;13.3;47.7;2.8;23.9;2.7;7.7;1.1;57.4;18.7;12.1;11.8;84.7;8.3;2.3;3.8;0.4;535;74.9;12.1;1.8;7.6;1.5;2.4;165;57;;;;;;;17;;;;18;;;;24;;;;48;;;;;;;;;346;80.5;8.5;11.0;228;40;97.6;19.7;14.3;5.9;26.3;31.4;2.4
3;Totaal SBI 555;1999;23.1;1512;1487;1487;0;25;1402;43.5;42.5;2.4;11.7;164;61;13;20;20;51;109;-5;104;59.0;6.9;6.9;2.8;1487;99.1;12.7;47.4;3.1;25.1;2.4;7.9;0.9;60.1;16.0;11.5;12.3;81.1;9.1;3.4;5.5;0.9;595;74.2;11.9;1.7;8.1;1.4;3.4;164;61;;;;;;;13;;;;20;;;;20;;;;51;;;;;;;;;399;81.3;7.6;11.1;258;42;94.8;22.6;13.1;10.5;24.7;23.9;5.2
4;Tot 250 000 euro;1996;19.9;104;103;103;0;1;84;47.5;14.1;7.0;31.4;26;11;2;3;4;7;20;-1;19;61.2;18.1;18.5;5.0;103;97.9;31.9;63.7;1.2;0.7;0.1;0.4;2.0;12.8;32.6;0.0;54.6;94.0;0.7;5.3;0.0;0.3;12;78.4;9.4;1.1;5.7;2.4;3.3;26;11;64.5;1.1;17.9;8.5;2.0;6.0;2;51.3;25.0;23.7;3;40.1;24.3;35.7;4;39.1;8.7;52.2;7;39.6;11.4;5.5;0.0;8.3;3.6;1.2;30.6;54;51.8;46.4;1.7;31;5;100.0;16.4;30.8;2.6;35.4;14.8;0.0
5;Tot 250 000 euro;1997;20.8;111;109;109;0;2;90;47.5;13.7;6.7;32.1;29;12;2;3;4;8;21;-1;20;61.0;18.2;18.2;1.2;109;98.8;27.4;67.7;1.6;0.9;0.5;0.6;1.1;11.2;37.0;0.0;51.8;83.1;1.2;14.5;1.1;1.1;12;76.8;10.2;1.5;5.3;4.0;3.3;29;12;63.4;1.3;19.3;7.2;1.9;6.9;2;32.6;39.9;27.5;3;46.2;25.3;28.5;4;36.3;10.3;53.4;8;45.1;8.4;2.9;0.0;9.2;8.1;0.9;25.4;55;51.2;45.6;3.2;33;1;100.0;0.0;35.4;11.3;33.1;20.2;0.0
6;Tot 250 000 euro;1998;20.6;125;124;124;0;1;98;50.1;12.7;6.1;31.1;31;13;2;4;4;8;27;-1;26;60.4;20.6;20.8;5.0;124;98.8;27.3;67.5;2.1;1.0;0.3;0.6;1.2;11.7;36.3;0.0;52.0;55.1;1.6;32.7;10.5;1.4;13;80.9;11.2;2.0;2.7;1.4;3.1;31;13;;;;;;;2;;;;4;;;;4;;;;8;;;;;;;;;50;46.0;52.4;1.6;31;6;100.0;19.9;33.5;1.8;42.6;2.2;0.0
7;Tot 250 000 euro;1999;19.7;131;130;130;0;1;101;50.9;12.4;6.0;30.7;31;12;2;4;4;8;30;-1;29;60.4;22.0;22.2;3.9;130;99.2;25.7;70.5;1.7;0.7;0.3;0.3;0.8;19.4;34.6;0.0;46.0;44.1;0.6;40.6;14.7;1.6;13;78.8;11.5;1.9;5.2;1.0;3.2;31;12;;;;;;;2;;;;4;;;;4;;;;8;;;;;;;;;51;48.6;49.0;2.4;30;5;95.6;5.3;45.2;2.0;36.5;6.5;4.4
8;250 000 tot 500 000 euro;1996;2.0;70;70;70;0;0;63;45.1;23.8;4.6;26.6;17;5;1;3;4;3;7;-1;6;59.5;9.2;9.1;5.8;70;95.7;15.1;75.6;2.4;1.6;0.2;0.5;4.3;16.0;37.1;0.0;46.9;93.8;2.5;3.5;0.0;0.5;15;75.4;9.2;0.6;8.0;0.2;7.0;17;5;63.7;1.5;14.5;11.6;3.7;4.9;1;44.1;27.3;28.6;3;48.0;23.8;28.2;4;41.2;11.6;47.2;3;29.9;11.3;6.3;0.0;11.2;5.4;3.2;32.7;26;71.8;9.3;18.9;11;4;100.0;15.2;31.1;1.8;38.8;13.1;0.0
9;250 000 tot 500 000 euro;1997;2.0;60;60;60;0;0;53;43.1;25.0;4.7;27.2;14;4;2;2;3;3;7;-1;6;61.5;9.3;9.2;0.9;60;99.8;20.5;73.4;2.3;2.3;0.0;1.2;0.2;16.6;43.6;0.0;39.8;89.2;2.3;8.5;0.0;1.8;13;82.9;9.3;2.0;4.1;0.0;3.4;14;4;63.0;1.7;20.2;8.2;2.2;4.6;2;68.6;17.0;14.5;2;44.4;25.4;30.2;3;46.7;8.0;45.4;3;28.8;9.3;6.5;0.0;10.0;9.3;0.9;35.2;21;80.5;8.6;10.9;9;1;99.3;8.8;28.2;2.2;48.0;12.0;0.7
