ID;Bedrijfstakken;RegioS;Perioden;Vestigingen_1
0;A-U Alle economische activiteiten;Nederland;2006;809310.0
1;A-U Alle economische activiteiten;Nederland;2007;849225.0
2;A-U Alle economische activiteiten;Nederland;2008;886540.0
3;A-U Alle economische activiteiten;Nederland;2009;934975.0
4;A-U Alle economische activiteiten;Nederland;2010;956210.0
5;A-U Alle economische activiteiten;Aa en Hunze;2006;1360.0
6;A-U Alle economische activiteiten;Aa en Hunze;2007;1410.0
7;A-U Alle economische activiteiten;Aa en Hunze;2008;1470.0
8;A-U Alle economische activiteiten;Aa en Hunze;2009;1535.0
9;A-U Alle economische activiteiten;Aa en Hunze;2010;1580.0
10;A-U Alle economische activiteiten;Aalburg;2006;835.0
11;A-U Alle economische activiteiten;Aalburg;2007;875.0
12;A-U Alle economische activiteiten;Aalburg;2008;930.0
13;A-U Alle economische activiteiten;Aalburg;2009;985.0
14;A-U Alle economische activiteiten;Aalburg;2010;995.0
15;A-U Alle economische activiteiten;Aalsmeer;2006;1640.0
16;A-U Alle economische activiteiten;Aalsmeer;2007;1690.0
17;A-U Alle economische activiteiten;Aalsmeer;2008;1775.0
18;A-U Alle economische activiteiten;Aalsmeer;2009;1895.0
19;A-U Alle economische activiteiten;Aalsmeer;2010;1960.0
20;A-U Alle economische activiteiten;Aalten;2006;1390.0
21;A-U Alle economische activiteiten;Aalten;2007;1440.0
22;A-U Alle economische activiteiten;Aalten;2008;1460.0
23;A-U Alle economische activiteiten;Aalten;2009;1500.0
24;A-U Alle economische activiteiten;Aalten;2010;1505.0
25;A-U Alle economische activiteiten;Ter Aar;2006;590.0
26;A-U Alle economische activiteiten;Ter Aar;2007;
27;A-U Alle economische activiteiten;Ter Aar;2008;
28;A-U Alle economische activiteiten;Ter Aar;2009;
29;A-U Alle economische activiteiten;Ter Aar;2010;
30;A-U Alle economische activiteiten;Abcoude;2006;640.0
31;A-U Alle economische activiteiten;Abcoude;2007;645.0
32;A-U Alle economische activiteiten;Abcoude;2008;685.0
33;A-U Alle economische activiteiten;Abcoude;2009;725.0
34;A-U Alle economische activiteiten;Abcoude;2010;745.0
35;A-U Alle economische activiteiten;Achtkarspelen;2006;1355.0
36;A-U Alle economische activiteiten;Achtkarspelen;2007;1435.0
37;A-U Alle economische activiteiten;Achtkarspelen;2008;1555.0
38;A-U Alle economische activiteiten;Achtkarspelen;2009;1675.0
39;A-U Alle economische activiteiten;Achtkarspelen;2010;1705.0
40;A-U Alle economische activiteiten;Alblasserdam;2006;865.0
41;A-U Alle economische activiteiten;Alblasserdam;2007;935.0
42;A-U Alle economische activiteiten;Alblasserdam;2008;995.0
43;A-U Alle economische activiteiten;Alblasserdam;2009;1050.0
44;A-U Alle economische activiteiten;Alblasserdam;2010;1060.0
45;A-U Alle economische activiteiten;Albrandswaard;2006;885.0
46;A-U Alle economische activiteiten;Albrandswaard;2007;940.0
47;A-U Alle economische activiteiten;Albrandswaard;2008;1035.0
48;A-U Alle economische activiteiten;Albrandswaard;2009;1080.0
49;A-U Alle economische activiteiten;Albrandswaard;2010;1120.0
50;A-U Alle economische activiteiten;Alkemade;2006;895.0
51;A-U Alle economische activiteiten;Alkemade;2007;920.0
52;A-U Alle economische activiteiten;Alkemade;2008;955.0
53;A-U Alle economische activiteiten;Alkemade;2009;
54;A-U Alle economische activiteiten;Alkemade;2010;
55;A-U Alle economische activiteiten;Alkmaar;2006;4230.0
56;A-U Alle economische activiteiten;Alkmaar;2007;4460.0
57;A-U Alle economische activiteiten;Alkmaar;2008;4680.0
58;A-U Alle economische activiteiten;Alkmaar;2009;4980.0
59;A-U Alle economische activiteiten;Alkmaar;2010;5135.0
60;A-U Alle economische activiteiten;Almelo;2006;2640.0
61;A-U Alle economische activiteiten;Almelo;2007;2780.0
62;A-U Alle economische activiteiten;Almelo;2008;2955.0
63;A-U Alle economische activiteiten;Almelo;2009;3115.0
64;A-U Alle economische activiteiten;Almelo;2010;3215.0
65;A-U Alle economische activiteiten;Almere;2006;6275.0
66;A-U Alle economische activiteiten;Almere;2007;6940.0
67;A-U Alle economische activiteiten;Almere;2008;7670.0
68;A-U Alle economische activiteiten;Almere;2009;8345.0
69;A-U Alle economische activiteiten;Almere;2010;8560.0
70;A-U Alle economische activiteiten;Alphen aan den Rijn;2006;3190.0
71;A-U Alle economische activiteiten;Alphen aan den Rijn;2007;3440.0
72;A-U Alle economische activiteiten;Alphen aan den Rijn;2008;3585.0
73;A-U Alle economische activiteiten;Alphen aan den Rijn;2009;3815.0
74;A-U Alle economische activiteiten;Alphen aan den Rijn;2010;3935.0
75;A-U Alle economische activiteiten;Alphen-Chaam;2006;800.0
76;A-U Alle economische activiteiten;Alphen-Chaam;2007;810.0
77;A-U Alle economische activiteiten;Alphen-Chaam;2008;860.0
78;A-U Alle economische activiteiten;Alphen-Chaam;2009;875.0
79;A-U Alle economische activiteiten;Alphen-Chaam;2010;885.0
80;A-U Alle economische activiteiten;Ambt Montfort;2006;515.0
81;A-U Alle economische activiteiten;Ambt Montfort;2007;
82;A-U Alle economische activiteiten;Ambt Montfort;2008;
83;A-U Alle economische activiteiten;Ambt Montfort;2009;
84;A-U Alle economische activiteiten;Ambt Montfort;2010;
85;A-U Alle economische activiteiten;Ameland;2006;370.0
86;A-U Alle economische activiteiten;Ameland;2007;380.0
87;A-U Alle economische activiteiten;Ameland;2008;390.0
88;A-U Alle economische activiteiten;Ameland;2009;400.0
89;A-U Alle economische activiteiten;Ameland;2010;415.0
90;A-U Alle economische activiteiten;Amersfoort;2006;6110.0
91;A-U Alle economische activiteiten;Amersfoort;2007;6525.0
92;A-U Alle economische activiteiten;Amersfoort;2008;6905.0
93;A-U Alle economische activiteiten;Amersfoort;2009;7440.0
94;A-U Alle economische activiteiten;Amersfoort;2010;7755.0
95;A-U Alle economische activiteiten;Amstelveen;2006;3780.0
96;A-U Alle economische activiteiten;Amstelveen;2007;4055.0
97;A-U Alle economische activiteiten;Amstelveen;2008;4175.0
98;A-U Alle economische activiteiten;Amstelveen;2009;4405.0
99;A-U Alle economische activiteiten;Amstelveen;2010;4495.0
100;A-U Alle economische activiteiten;Amsterdam;2006;46100.0
101;A-U Alle economische activiteiten;Amsterdam;2007;48025.0
102;A-U Alle economische activiteiten;Amsterdam;2008;50020.0
103;A-U Alle economische activiteiten;Amsterdam;2009;53020.0
104;A-U Alle economische activiteiten;Amsterdam;2010;54865.0
105;A-U Alle economische activiteiten;Andijk;2006;425.0
106;A-U Alle economische activiteiten;Andijk;2007;460.0
107;A-U Alle economische activiteiten;Andijk;2008;475.0
108;A-U Alle economische activiteiten;Andijk;2009;490.0
109;A-U Alle economische activiteiten;Andijk;2010;480.0
110;A-U Alle economische activiteiten;Anna Paulowna;2006;715.0
111;A-U Alle economische activiteiten;Anna Paulowna;2007;730.0
112;A-U Alle economische activiteiten;Anna Paulowna;2008;745.0
113;A-U Alle economische activiteiten;Anna Paulowna;2009;755.0
114;A-U Alle economische activiteiten;Anna Paulowna;2010;775.0
115;A-U Alle economische activiteiten;Apeldoorn;2006;6980.0
116;A-U Alle economische activiteiten;Apeldoorn;2007;7240.0
117;A-U Alle economische activiteiten;Apeldoorn;2008;7455.0
118;A-U Alle economische activiteiten;Apeldoorn;2009;7805.0
119;A-U Alle economische activiteiten;Apeldoorn;2010;7980.0
120;A-U Alle economische activiteiten;Appingedam;2006;390.0
121;A-U Alle economische activiteiten;Appingedam;2007;410.0
122;A-U Alle economische activiteiten;Appingedam;2008;425.0
123;A-U Alle economische activiteiten;Appingedam;2009;435.0
124;A-U Alle economische activiteiten;Appingedam;2010;425.0
125;A-U Alle economische activiteiten;Arcen en Velden;2006;420.0
126;A-U Alle economische activiteiten;Arcen en Velden;2007;435.0
127;A-U Alle economische activiteiten;Arcen en Velden;2008;455.0
128;A-U Alle economische activiteiten;Arcen en Velden;2009;465.0
129;A-U Alle economische activiteiten;Arcen en Velden;2010;
130;A-U Alle economische activiteiten;Arnhem;2006;6080.0
131;A-U Alle economische activiteiten;Arnhem;2007;6425.0
132;A-U Alle economische activiteiten;Arnhem;2008;6835.0
133;A-U Alle economische activiteiten;Arnhem;2009;7430.0
134;A-U Alle economische activiteiten;Arnhem;2010;7630.0
135;A-U Alle economische activiteiten;Assen;2006;2355.0
136;A-U Alle economische activiteiten;Assen;2007;2545.0
137;A-U Alle economische activiteiten;Assen;2008;2655.0
138;A-U Alle economische activiteiten;Assen;2009;2760.0
139;A-U Alle economische activiteiten;Assen;2010;2815.0
140;A-U Alle economische activiteiten;Asten;2006;1095.0
141;A-U Alle economische activiteiten;Asten;2007;1160.0
142;A-U Alle economische activiteiten;Asten;2008;1195.0
143;A-U Alle economische activiteiten;Asten;2009;1230.0
144;A-U Alle economische activiteiten;Asten;2010;1250.0
145;A-U Alle economische activiteiten;Baarle-Nassau;2006;620.0
146;A-U Alle economische activiteiten;Baarle-Nassau;2007;665.0
147;A-U Alle economische activiteiten;Baarle-Nassau;2008;680.0
148;A-U Alle economische activiteiten;Baarle-Nassau;2009;700.0
149;A-U Alle economische activiteiten;Baarle-Nassau;2010;690.0
150;A-U Alle economische activiteiten;Baarn;2006;1500.0
151;A-U Alle economische activiteiten;Baarn;2007;1585.0
152;A-U Alle economische activiteiten;Baarn;2008;1625.0
153;A-U Alle economische activiteiten;Baarn;2009;1680.0
154;A-U Alle economische activiteiten;Baarn;2010;1740.0
155;A-U Alle economische activiteiten;Barendrecht;2006;1915.0
