ID;Jaren;TotaalAutomatiseringskosten_1;OverigeAutomatiseringskosten_2;Apparatuur_3;DatacommunicatievoorzieningLijnkosten_4;TotaleApparatuurkosten_5;LoonkostenPersoneel_6;OpleidingkostenPersoneel_7;StandaardProgrammatuur_8;InclIngehuurdAutomatiseringspersoneel_9;ExclIngehuurdAutomatiseringspersoneel_10;VoedingsEnGenotmiddelenIndustrie_11;TextielKledingEnLederindustrie_12;PapierWarenEnGrafischeIndustrie_13;AardolieChemischeKunststIndustrie_14;MetaalEnElectrotechnischeIndustrie_15;OverigeIndustrieDelfstoffenwinning11_16;OpenbareNutsbedrijven_17;Bouwnijverheid_18;Bouwinstallatiebedrijven_19;GroothandelEnTussenpersonenHierin_20;DetailhandelHorecaReparatiebedr_21;TransportOpslagEnCommunicatiebedr_22;Bankwezen_23;Verzekeringswezen_24;Computerservicebureaus_25;OverigeZakelijkeDienstverlening_26;Onderwijs_27;GezondheidEnVeterinaireDiensten_28;OverigeDienstverlening_29;LandbouwEnVisserij_30;DelfstofwIndustrieOpenbareNutsbedr_31;BouwnijverheidEnBouwinstallatieBedr_32;Handel_33;ZakelijkeDienstverlening_34;Overige_35;Totaal_36;VoedingsEnGenotmiddelenindustrie_37;TextielKledingLederindustrie_38;PaperWarenEnGrafischeIndustrie_39;AardolieChemischeVerwerkIndustrie_40;MetaalEnElektrotechnischeIndustrie_41;OverigeIndustrieDelfstoffenwinning_42;OpenbareNutsbedrijven_43;Bouwnijverheid_44;Bouwinstallatiebedrijven_45;GroothandelEnTussenpersonenHierin_46;DetailhandelHorecaReparatiebedr_47;TransportOpslagEnCommunicatiebedr_48;Bankwezen_49;Verzekeringswezen_50;Computerservicebureaus_51;OverigeZakelijkeDienstverlening_52;Onderwijs_53;GezondheidEnVeterinaireDiensten_54;LandbouwEnVisserij_55;OverigeDienstverlening_56;Totaal_57;DelfstoffenIndustrieOpenbareNutsbedr_58;BouwnijverheidEnBouwinstallatiebedr_59;Handel_60;ZakelijkeDienstverlening_61;OverigeBedrijfstakken_62;Tussen227En908Euro_63;Tussen908En4538Euro_64;Tussen4538En9076Euro_65;Tussen9076En22689Euro_66;Tussen22689En90756Euro_67;Tussen90756En453780Euro_68;Vanaf453780EuroEnMeer_69;Terminals_70;StandAlonePCS_71;GekoppeldePCS_72;Servers_73;MiniMainframesTot200000KB_74;MiniMainframesVanaf200000KB_75;Tussen227En908Euro_76;Tussen908En4538Euro_77;Tussen4538En9076Euro_78;Tussen9076En22689Euro_79;Tussen22689En90756Euro_80;Tussen90756En453780Euro_81;Vanaf453780EuroEnMeer_82;Terminals_83;StandAlonePCS_84;GekoppeldePCS_85;Servers_86;MiniMainframesTot200000KB_87;MiniMainframesVanaf200000KB_88;Tussen227En908Euro_89;Tussen908En4538Euro_90;Tussen4538En9076Euro_91;Tussen9076En22689Euro_92;Tussen22689En90756Euro_93;Tussen90756En453780Euro_94;Van453780EuroEnMeer_95;Terminals_96;StandAlonePCS_97;GekoppeldePCS_98;Servers_99;MiniMainframesTot200000KB_100;MiniMainframesVanaf200000KB_101;Tussen227En908Euro_102;Tussen908En4538Euro_103;Tussen4538En9076Euro_104;Tussen9076En22689Euro_105;Tussen22689En90756Euro_106;Tussen90756En453780Euro_107;Van453780EuroEnMeer_108;Terminals_109;StandAlonePCS_110;GekoppeldePCS_111;Servers_112;MiniMainframesTot200000KB_113;MiniMainframesVanaf200000KB_114;Tussen227En908Euro_115;Tussen908En4538Euro_116;Tussen4538En9076Euro_117;Tussen9076En22689Euro_118;Tussen22689En90756Euro_119;Tussen90756En453780Euro_120;Van453780EuroEnMeer_121;Terminals_122;StandAlonePCS_123;GekoppeldePCS_124;Servers_125;MiniMainframesTot200000KB_126;MiniMainframesVanaf200000KB_127;Tussen227En908Euro_128;Tussen908En4538Euro_129;Tussen4538En9076Euro_130;Tussen9076En22689Euro_131;Tussen22689En90756Euro_132;Tussen90756En453780Euro_133;Van453780EuroEnMeer_134;Terminals_135;StandAlonePCS_136;Servers_137;GekoppeldePCS_138;MiniMainframesTot200000KB_139;MiniMainframesVanaf200000KB_140
0;1979;2210.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567.0;40.0;345.0;1089.0;172.0;;;;;;;;;;;;;;;;;;;;;;44650.0;11600.0;700.0;8400.0;21250.0;2650.0;;;;2850.0;5200.0;2530.0;555.0;37400.0;;;;;;;;;560.0;1400.0;950.0;150.0;10500.0;;;;;;;;;160.0;190.0;20.0;5.0;300.0;;;;;;;;;840.0;1640.0;680.0;80.0;7500.0;;;;;;;;;980.0;1360.0;700.0;285.0;16400.0;;;;;;;;;300.0;580.0;185.0;40.0;2650.0;;;;;
1;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1981;2727.0;;695.0;;;;;37.0;;;;;;;;;;;;;;;;;;;;;;;799.0;54.0;358.0;1334.0;182.0;;;;;;;;;;;;;;;;;;;;;;54800.0;14550.0;1200.0;9850.0;25450.0;3700.0;;;;4400.0;6400.0;3350.0;680.0;59000.0;;;;;;;;;780.0;1740.0;1060.0;155.0;17600.0;;;;;;;;;160.0;195.0;35.0;5.0;780.0;;;;;;;;;1100.0;1890.0;890.0;90.0;10600.0;;;;;;;;;1800.0;1920.0;1120.0;370.0;24900.0;;;;;;;;;460.0;710.0;260.0;60.0;5100.0;;;;;
3;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1983;3530.0;585.0;930.0;;;1670.0;54.0;145.0;145.0;;118.0;21.0;73.0;200.0;522.0;60.0;;42.0;24.0;413.0;177.0;172.0;377.0;236.0;526.0;390.0;22.0;45.0;113.0;5.0;989.0;64.0;590.0;1697.0;191.0;;;;;;;;;;;;;;;;;;;;;;66300.0;14500.0;2300.0;13800.0;31600.0;4150.0;;;7600.0;9100.0;10900.0;4330.0;1010.0;131200.0;;;;;;;;1650.0;1950.0;2800.0;1220.0;255.0;37700.0;;;;;;;;580.0;410.0;390.0;80.0;0.0;1600.0;;;;;;;;1550.0;2050.0;3350.0;1130.0;210.0;24300.0;;;;;;;;2950.0;3450.0;3650.0;1530.0;490.0;57100.0;;;;;;;;870.0;1200.0;700.0;335.0;50.0;10500.0;;;;;
5;1984;4060.0;;;;;;;;;;109.0;40.0;76.0;246.0;602.0;51.0;;44.0;19.0;434.0;154.0;200.0;569.0;257.0;548.0;425.0;33.0;65.0;180.0;7.0;1043.0;60.0;585.0;2085.0;285.0;803.0;21.0;3.0;11.0;54.0;182.0;19.0;;6.0;1.0;82.0;29.0;28.0;113.0;54.0;59.0;86.0;14.0;16.0;2.0;25.0;68730.0;15125.0;1510.0;12950.0;34020.0;5115.0;;;15065.0;12810.0;13145.0;4980.0;905.0;164180.0;;;;;;;;4040.0;3300.0;3500.0;1445.0;260.0;47265.0;;;;;;;;1030.0;810.0;440.0;80.0;0.0;2040.0;;;;;;;;1690.0;2565.0;3745.0;1135.0;110.0;28075.0;;;;;;;;6310.0;4920.0;4450.0;1855.0;465.0;72060.0;;;;;;;;1995.0;1220.0;1010.0;460.0;80.0;14745.0;;;;;
6;1985;4664.0;563.0;1480.0;;;1966.0;131.0;241.0;284.0;;129.0;33.0;106.0;287.0;550.0;64.0;;43.0;25.0;662.0;205.0;243.0;623.0;291.0;570.0;482.0;59.0;66.0;216.0;9.0;1078.0;64.0;864.0;2307.0;350.0;1151.0;25.0;5.0;21.0;77.0;270.0;17.0;;10.0;2.0;95.0;29.0;55.0;216.0;48.0;89.0;90.0;23.0;29.0;3.0;47.0;72055.0;14700.0;1465.0;15695.0;34385.0;5805.0;;21195.0;25185.0;14705.0;14770.0;5555.0;1105.0;221505.0;;;;;;;5000.0;6005.0;3755.0;3430.0;1580.0;350.0;57315.0;;;;;;;490.0;2145.0;900.0;395.0;85.0;0.0;2980.0;;;;;;;2595.0;4360.0;3680.0;4290.0;1260.0;145.0;45020.0;;;;;;;8260.0;10360.0;4920.0;4915.0;2120.0;510.0;93340.0;;;;;;;4850.0;2315.0;1450.0;1745.0;505.0;95.0;22845.0;;;;;
7;1986;5332.0;771.0;1538.0;;;2292.0;96.0;256.0;372.0;;136.0;23.0;107.0;333.0;545.0;87.0;;49.0;29.0;663.0;198.0;246.0;908.0;427.0;680.0;502.0;64.0;87.0;234.0;15.0;1230.0;78.0;861.0;2764.0;400.0;1401.0;26.0;4.0;23.0;75.0;205.0;23.0;;11.0;7.0;213.0;35.0;59.0;310.0;64.0;77.0;135.0;22.0;22.0;0.0;89.0;82056.0;15547.0;1772.0;15745.0;42955.0;6037.0;;48361.0;39241.0;16540.0;16070.0;7593.0;970.0;253137.0;;;;;;;10918.0;12784.0;4704.0;3752.0;1464.0;277.0;65213.0;;;;;;;2184.0;1123.0;1367.0;785.0;133.0;3.0;4589.0;;;;;;;6446.0;6111.0;3732.0;4488.0;1365.0;132.0;49956.0;;;;;;;20719.0;14484.0;4327.0;5726.0;3859.0;477.0;108944.0;;;;;;;8094.0;4739.0;2410.0;1319.0;772.0;91.0;24435.0;;;;;
8;1987;5214.0;604.0;1657.0;;;2123.0;130.0;262.0;438.0;;149.0;21.0;111.0;323.0;550.0;113.0;;61.0;18.0;845.0;183.0;236.0;743.0;326.0;659.0;479.0;65.0;79.0;238.0;15.0;1267.0;79.0;1028.0;2444.0;396.0;1230.0;34.0;5.0;32.0;74.0;122.0;35.0;;13.0;5.0;192.0;46.0;37.0;273.0;95.0;67.0;102.0;22.0;25.0;3.0;49.0;70998.0;14211.0;1291.0;14168.0;35511.0;5817.0;;91231.0;55930.0;24062.0;18266.0;5173.0;1169.0;292979.0;;;;;;;14521.0;19515.0;7966.0;2595.0;1348.0;351.0;75495.0;;;;;;;6486.0;2408.0;1344.0;901.0;97.0;5.0;5230.0;;;;;;;11047.0;7445.0;5557.0;6001.0;1325.0;237.0;65603.0;;;;;;;36246.0;20932.0;7371.0;6676.0;1895.0;466.0;109850.0;;;;;;;22931.0;5630.0;1824.0;2093.0;508.0;110.0;36801.0;;;;;
9;1988;5702.0;615.0;1805.0;306.0;2111.0;2161.0;117.0;249.0;450.0;;158.0;24.0;129.0;346.0;567.0;140.0;;78.0;22.0;849.0;245.0;258.0;889.0;373.0;781.0;438.0;67.0;91.0;229.0;18.0;1364.0;100.0;1095.0;2739.0;405.0;1353.0;44.0;5.0;29.0;64.0;121.0;28.0;;15.0;5.0;216.0;50.0;89.0;287.0;62.0;77.0;111.0;34.0;29.0;10.0;75.0;69642.0;15297.0;1543.0;13161.0;34882.0;4759.0;;153734.0;66174.0;25851.0;17525.0;5132.0;1105.0;326817.0;;;;;;;24504.0;25400.0;8559.0;3324.0;1332.0;379.0;87107.0;;;;;;;7574.0;2532.0;1454.0;798.0;131.0;5.0;6709.0;;;;;;;20089.0;7200.0;6135.0;5650.0;1269.0;251.0;77500.0;;;;;;;54667.0;23907.0;7043.0;6017.0;1910.0;399.0;122893.0;;;;;;;46900.0;7135.0;2660.0;1736.0;490.0;71.0;32608.0;;;;;
