ID;Vervoerstromen;SoortLading;Perioden;VervoerdLadinggewicht_1;Vervoersprestatie_2;VervoerdeContainereenheden_3
0;Totaal;Totaal;2012 januari;26723;3627;381.0
1;Totaal;Totaal;2012 februari;24919;3386;387.0
2;Totaal;Totaal;2012 maart;31068;4174;408.0
3;Totaal;Totaal;2012 1e kwartaal;82711;11189;1177.0
4;Totaal;Totaal;2012 april;28066;3809;375.0
5;Totaal;Totaal;2012 mei;28753;3899;393.0
6;Totaal;Totaal;2012 juni;29949;4067;408.0
7;Totaal;Totaal;2012 2e kwartaal;86769;11776;1176.0
8;Totaal;Totaal;2012 juli;28142;3878;410.0
9;Totaal;Totaal;2012 augustus;27599;3766;407.0
10;Totaal;Totaal;2012 september;29250;3972;382.0
11;Totaal;Totaal;2012 3e kwartaal;84992;11616;1200.0
12;Totaal;Totaal;2012 oktober;30795;4169;372.0
13;Totaal;Totaal;2012 november;29911;4113;374.0
14;Totaal;Totaal;2012 december;27134;3727;350.0
15;Totaal;Totaal;2012 4e kwartaal;87841;12010;1097.0
16;Totaal;Totaal;2012;342314;46593;4652.0
17;Totaal;Totaal;2013 januari;26658;3692;375.0
18;Totaal;Totaal;2013 februari;27078;3707;382.0
19;Totaal;Totaal;2013 maart;30505;4177;409.0
20;Totaal;Totaal;2013 1e kwartaal;84241;11577;1167.0
21;Totaal;Totaal;2013 april;29270;3987;394.0
22;Totaal;Totaal;2013 mei;30533;4141;407.0
23;Totaal;Totaal;2013 juni;30128;4112;394.0
24;Totaal;Totaal;2013 2e kwartaal;89931;12240;1197.0
25;Totaal;Totaal;2013 juli;29242;4015;414.0
26;Totaal;Totaal;2013 augustus;27485;3790;411.0
27;Totaal;Totaal;2013 september;29332;4000;400.0
28;Totaal;Totaal;2013 3e kwartaal;86059;11806;1226.0
29;Totaal;Totaal;2013 oktober;29971;4120;393.0
30;Totaal;Totaal;2013 november;29795;4102;408.0
31;Totaal;Totaal;2013 december;27818;3771;378.0
32;Totaal;Totaal;2013 4e kwartaal;87585;11994;1180.0
33;Totaal;Totaal;2013;347819;47618;4772.0
34;Totaal;Totaal;2014 januari;30598;4137;430.0
35;Totaal;Totaal;2014 februari;28411;3830;398.0
36;Totaal;Totaal;2014 maart;30790;4165;451.0
37;Totaal;Totaal;2014 1e kwartaal;89800;12133;1281.0
38;Totaal;Totaal;2014 april;29739;3997;418.0
39;Totaal;Totaal;2014 mei;31234;4218;443.0
40;Totaal;Totaal;2014 juni;28731;3822;424.0
41;Totaal;Totaal;2014 2e kwartaal;89705;12037;1286.0
42;Totaal;Totaal;2014 juli;30267;4070;438.0
43;Totaal;Totaal;2014 augustus;27724;3782;427.0
44;Totaal;Totaal;2014 september;30226;4051;429.0
45;Totaal;Totaal;2014 3e kwartaal;88218;11904;1295.0
46;Totaal;Totaal;2014 oktober;32058;4352;436.0
47;Totaal;Totaal;2014 november;30035;4077;424.0
48;Totaal;Totaal;2014 december;27207;3661;401.0
49;Totaal;Totaal;2014 4e kwartaal;89302;12091;1263.0
50;Totaal;Totaal;2014;357027;48167;5126.0
51;Totaal;Totaal;2015 januari;29728;4049;433.0
52;Totaal;Totaal;2015 februari;28355;3834;429.0
53;Totaal;Totaal;2015 maart;32188;4315;478.0
54;Totaal;Totaal;2015 1e kwartaal;90271;12199;1342.0
55;Totaal;Totaal;2015 april;29964;4025;429.0
56;Totaal;Totaal;2015 mei;29107;3914;433.0
57;Totaal;Totaal;2015 juni;30638;4110;445.0
58;Totaal;Totaal;2015 2e kwartaal;89709;12051;1308.0
59;Totaal;Totaal;2015 juli;29379;3945;441.0
60;Totaal;Totaal;2015 augustus;26659;3587;419.0
61;Totaal;Totaal;2015 september;28788;3809;401.0
62;Totaal;Totaal;2015 3e kwartaal;84827;11343;1261.0
63;Totaal;Totaal;2015 oktober;28996;3880;410.0
64;Totaal;Totaal;2015 november;28244;3740;376.0
65;Totaal;Totaal;2015 december;27038;3624;397.0
66;Totaal;Totaal;2015 4e kwartaal;84279;11245;1183.0
67;Totaal;Totaal;2015;349088;46839;5096.0
68;Totaal;Totaal;2016 januari;29037;3948;416.0
69;Totaal;Totaal;2016 februari;29026;3902;411.0
70;Totaal;Totaal;2016 maart;30988;4188;452.0
71;Totaal;Totaal;2016 1e kwartaal;89051;12039;1280.0
72;Totaal;Totaal;2016 april;30551;4115;429.0
73;Totaal;Totaal;2016 mei;30793;4119;430.0
74;Totaal;Totaal;2016 juni;30290;4055;431.0
75;Totaal;Totaal;2016 2e kwartaal;91635;12289;1291.0
76;Totaal;Totaal;2016 juli;30451;4085;438.0
77;Totaal;Totaal;2016 augustus;27590;3760;425.0
78;Totaal;Totaal;2016 september;29394;3910;419.0
79;Totaal;Totaal;2016 3e kwartaal;87435;11756;1284.0
80;Totaal;Totaal;2016 oktober;29198;3905;424.0
81;Totaal;Totaal;2016 november;30671;4123;419.0
82;Totaal;Totaal;2016 december;26184;3490;399.0
83;Totaal;Totaal;2016 4e kwartaal;86054;11520;1243.0
84;Totaal;Totaal;2016;354177;47606;5100.0
85;Totaal;Totaal;2017 januari;26411;3525;408.0
86;Totaal;Totaal;2017 februari;28867;3887;399.0
87;Totaal;Totaal;2017 maart;32708;4391;461.0
88;Totaal;Totaal;2017 1e kwartaal;87987;11805;1269.0
89;Totaal;Totaal;2017 april;28666;3858;431.0
90;Totaal;Totaal;2017 mei;32197;4277;457.0
91;Totaal;Totaal;2017 juni;30553;4048;436.0
92;Totaal;Totaal;2017 2e kwartaal;91417;12185;1324.0
93;Totaal;Totaal;2017 juli;30578;4098;458.0
94;Totaal;Totaal;2017 augustus;28935;3921;465.0
95;Totaal;Totaal;2017 september;29741;3930;457.0
96;Totaal;Totaal;2017 3e kwartaal;89255;11950;1381.0
97;Totaal;Totaal;2017 oktober;31017;4086;475.0
98;Totaal;Totaal;2017 november;31261;4142;456.0
99;Totaal;Totaal;2017 december;28127;3756;411.0
100;Totaal;Totaal;2017 4e kwartaal;90406;11985;1344.0
101;Totaal;Totaal;2017;359067;47926;5319.0
102;Totaal;Totaal;2018 januari;28693;3856;439.0
103;Totaal;Totaal;2018 februari;29095;3901;448.0
104;Totaal;Totaal;2018 maart;32093;4263;477.0
105;Totaal;Totaal;2018 1e kwartaal;89882;12021;1365.0
106;Totaal;Totaal;2018 april;30335;4044;430.0
107;Totaal;Totaal;2018 mei;31539;4177;453.0
108;Totaal;Totaal;2018 juni;30954;4109;459.0
109;Totaal;Totaal;2018 2e kwartaal;92829;12331;1343.0
110;Totaal;Totaal;2018 juli;30019;3950;446.0
111;Totaal;Totaal;2018 augustus;26139;3397;432.0
112;Totaal;Totaal;2018 september;27451;3575;416.0
113;Totaal;Totaal;2018 3e kwartaal;83610;10923;1294.0
114;Totaal;Totaal;2018 oktober;27716;3524;404.0
115;Totaal;Totaal;2018 november;27212;3434;372.0
116;Totaal;Totaal;2018 december;27937;3620;354.0
117;Totaal;Totaal;2018 4e kwartaal;82866;10579;1131.0
118;Totaal;Totaal;2018;349189;45855;5135.0
119;Totaal;Totaal;2019 januari;30759;4062;421.0
120;Totaal;Totaal;2019 februari;29431;3880;424.0
121;Totaal;Totaal;2019 maart;29283;3978;445.0
122;Totaal;Totaal;2019 1e kwartaal;89474;11921;1291.0
123;Totaal;Totaal;2019 april;28875;3934;402.0
124;Totaal;Totaal;2019 mei;30986;4151;444.0
125;Totaal;Totaal;2019 juni;29055;3873;404.0
126;Totaal;Totaal;2019 2e kwartaal;88917;11959;1251.0
127;Totaal;Totaal;2019 juli;29817;3937;436.0
128;Totaal;Totaal;2019 augustus;26484;3516;423.0
129;Totaal;Totaal;2019 september;27387;3601;419.0
130;Totaal;Totaal;2019 3e kwartaal;83689;11055;1278.0
131;Totaal;Totaal;2019 oktober;29654;3875;431.0
132;Totaal;Totaal;2019 november;28748;3792;427.0
133;Totaal;Totaal;2019 december;27057;3569;390.0
134;Totaal;Totaal;2019 4e kwartaal;85460;11237;1248.0
135;Totaal;Totaal;2019;347541;46174;5070.0
136;Totaal;Totaal;2020 januari;27232;3580;438.0
137;Totaal;Totaal;2020 februari;27634;3641;404.0
138;Totaal;Totaal;2020 maart;29772;3903;440.0
139;Totaal;Totaal;2020 1e kwartaal;84640;11125;1282.0
140;Totaal;Totaal;2020 april;26930;3476;403.0
141;Totaal;Totaal;2020 mei;28163;3704;398.0
142;Totaal;Totaal;2020 juni;28263;3704;390.0
143;Totaal;Totaal;2020 2e kwartaal;83358;10885;1192.0
144;Totaal;Totaal;2020 juli;27448;3613;444.0
145;Totaal;Totaal;2020 augustus;25026;3316;438.0
146;Totaal;Totaal;2020 september;28582;3718;461.0
147;Totaal;Totaal;2020 3e kwartaal;81058;10647;1345.0
148;Totaal;Totaal;2020 oktober;30807;4037;458.0
149;Totaal;Totaal;2020 november;28740;3801;423.0
150;Totaal;Totaal;2020 december;27156;3589;403.0
151;Totaal;Totaal;2020 4e kwartaal;86704;11429;1286.0
152;Totaal;Totaal;2020;335760;44089;5106.0
153;Totaal;Totaal;2021 januari;30377;4024;490.0
154;Totaal;Totaal;2021 februari;25538;3343;392.0
155;Totaal;Totaal;2021 maart;32155;4216;461.0
156;Totaal;Totaal;2021 1e kwartaal;88071;11584;1344.0
157;Totaal;Totaal;2021 april;29484;3826;439.0
158;Totaal;Totaal;2021 mei;31445;4092;474.0
159;Totaal;Totaal;2021 juni;31448;4037;444.0
160;Totaal;Totaal;2021 2e kwartaal;92378;11956;1358.0
161;Totaal;Totaal;2021 juli;30080;3881;420.0
162;Totaal;Totaal;2021 augustus;27793;3639;450.0
163;Totaal;Totaal;2021 september;29827;3879;437.0
164;Totaal;Totaal;2021 3e kwartaal;87701;11400;1308.0
165;Totaal;Totaal;2021 oktober;29964;3875;452.0
166;Totaal;Totaal;2021 november;30206;3920;441.0
167;Totaal;Totaal;2021 december;29185;3841;404.0
168;Totaal;Totaal;2021 4e kwartaal;89355;11637;1299.0
169;Totaal;Totaal;2021;357507;46578;5310.0
