ID;LeeftijdVoertuig;BrandstofsoortVoertuig;Perioden;KilometersNederlandsePersonenautoS_1;GemiddeldJaarkilometrage_2;NederlandsePersonenautoSInGebruik_3
0;Totaal;Totaal;2018;120338.8;13198.0;9117964.0
1;Totaal;Totaal;2019;121231.5;13060.0;9282552.0
2;Totaal;Totaal;2020;99650.6;10660.0;9348088.0
3;Totaal;Totaal;2021;105424.8;11115.0;9484581.0
4;Totaal;Totaal;2022;114616.7;12024.0;9532220.0
5;Totaal;Totaal;2023;119551.6;12353.0;9677567.0
6;Totaal;Benzine/benzine hybride/ethanol;2018;80590.6;10919.0;7381104.0
7;Totaal;Benzine/benzine hybride/ethanol;2019;83430.3;11032.0;7562649.0
8;Totaal;Benzine/benzine hybride/ethanol;2020;71570.1;9323.0;7677099.0
9;Totaal;Benzine/benzine hybride/ethanol;2021;77245.8;9867.0;7828607.0
10;Totaal;Benzine/benzine hybride/ethanol;2022;84048.0;10686.0;7865004.0
11;Totaal;Benzine/benzine hybride/ethanol;2023;88065.7;11116.0;7922464.0
12;Totaal;Diesel/diesel hybrides;2018;34175.9;23646.0;1445326.0
13;Totaal;Diesel/diesel hybrides;2019;31798.9;23137.0;1374392.0
14;Totaal;Diesel/diesel hybrides;2020;22519.2;17944.0;1254966.0
15;Totaal;Diesel/diesel hybrides;2021;20616.0;18147.0;1136039.0
16;Totaal;Diesel/diesel hybrides;2022;19707.2;19258.0;1023340.0
17;Totaal;Diesel/diesel hybrides;2023;16814.2;18547.0;906587.0
18;Totaal;LPG/ LPG hybrides;2018;2080.9;15593.0;133446.0
19;Totaal;LPG/ LPG hybrides;2019;1848.2;15163.0;121893.0
20;Totaal;LPG/ LPG hybrides;2020;1380.1;12224.0;112905.0
21;Totaal;LPG/ LPG hybrides;2021;1362.8;12715.0;107177.0
22;Totaal;LPG/ LPG hybrides;2022;1394.7;13516.0;103185.0
23;Totaal;LPG/ LPG hybrides;2023;1377.4;13618.0;101146.0
24;Totaal;Full elektrisch/waterstof;2018;657.6;14392.0;45691.0
25;Totaal;Full elektrisch/waterstof;2019;1458.1;13612.0;107121.0
26;Totaal;Full elektrisch/waterstof;2020;2208.7;12478.0;177005.0
27;Totaal;Full elektrisch/waterstof;2021;3766.0;15032.0;250522.0
28;Totaal;Full elektrisch/waterstof;2022;6031.1;17857.0;337754.0
29;Totaal;Full elektrisch/waterstof;2023;8469.9;18242.0;464307.0
30;Totaal;Plug-in hybrides;2018;2567.4;25176.0;101979.0
31;Totaal;Plug-in hybrides;2019;2401.1;22922.0;104748.0
32;Totaal;Plug-in hybrides;2020;1783.9;15423.0;115663.0
33;Totaal;Plug-in hybrides;2021;2247.0;14716.0;152690.0
34;Totaal;Plug-in hybrides;2022;3249.0;16750.0;193964.0
35;Totaal;Plug-in hybrides;2023;4652.1;16946.0;274527.0
36;Totaal;CNG/CNG hybrides/LNG;2018;266.4;25571.0;10419.0
37;Totaal;CNG/CNG hybrides/LNG;2019;294.9;25097.0;11749.0
38;Totaal;CNG/CNG hybrides/LNG;2020;188.6;18043.0;10450.0
39;Totaal;CNG/CNG hybrides/LNG;2021;187.3;19619.0;9547.0
40;Totaal;CNG/CNG hybrides/LNG;2022;186.7;20808.0;8973.0
41;Totaal;CNG/CNG hybrides/LNG;2023;172.3;20190.0;8536.0
42;0 jaar;Totaal;2018;5450.2;12296.0;443263.0
43;0 jaar;Totaal;2019;5307.8;11884.0;446631.0
44;0 jaar;Totaal;2020;2821.4;8013.0;352115.0
