ID;Bedrijfstype;RegioS;Perioden;TotaalMestnummers_1;MetOverschrijdingVerliesnorm_2;Veebezetting_3;OppervlakteCultuurgrond_4;FosfaatUitKunstmest_5;Fosfaatoverschot_6;Stikstofoverschot_7;ToelaatbaarStikstofoverschot_8;Mestnummers_9;OppervlakteCultuurgrond_10;Fosfaatoverschot_11;FosfaatUitKunstmest_12;BelastbaarFosfaatoverschot_13;OpgelegdeHeffing_14;Mestnummers_15;OppervlakteCultuurgrond_16;Stikstofoverschot_17;ToelaatbaarStikstofoverschot_18;BelastbaarStikstofoverschot_19;OpgelegdeHeffing_20;MestnummersMetPositiefFosfaatsaldo_21;MestnummersMetPositiefStikstofsaldo_22;OppCultuurgrondMetFosfaatsaldo_23;OppCultuurgrondMetStikstofsaldo_24;Fosfaatsaldo_25;Stikstofsaldo_26;TotaalMestnummers_27;MetOverschrijdingVerliesnorm_28;Veebezetting_29;OppervlakteCultuurgrond_30;FosfaatUitKunstmest_31;Fosfaatoverschot_32;Stikstofoverschot_33;ToelaatbaarStikstofoverschot_34;Mestnummers_35;OppervlakteCultuurgrond_36;Fosfaatoverschot_37;FosfaatUitKunstmest_38;BelastbaarFosfaatoverschot_39;OpgelegdeHeffing_40;Mestnummers_41;OppervlakteCultuurgrond_42;Stikstofoverschot_43;ToelaatbaarStikstofoverschot_44;BelastbaarStikstofoverschot_45;OpgelegdeHeffing_46
0;Totaal landbouw;Nederland;1998;37347;43.0;;641536;16.0;28.0;282.0;378.0;38.0;176211;112.0;10.0;72.0;2577.0;22.0;90158;676.0;491.0;185.0;997.0;49.0;70.0;318119.0;497198.0;47.0;142.0;4365.0;43.0;;63542;10.0;18.0;86.0;273.0;40.0;20706;79.0;8.0;40.0;1768.0;16.0;8137;442.0;331.0;111.0;859.0
1;Totaal landbouw;Nederland;1999;37679;39.0;;712644;21.0;16.0;279.0;364.0;28.0;152613;89.0;13.0;49.0;2133.0;23.0;150393;510.0;406.0;104.0;1031.0;49.0;67.0;344200.0;509241.0;69.0;216.0;3693.0;35.0;;53640;12.0;15.0;92.0;265.0;32.0;12492;77.0;10.0;37.0;1472.0;11.0;8690;400.0;266.0;134.0;1094.0
2;Totaal landbouw;Nederland;2000;44359;32.0;;1028794;17.0;14.0;210.0;303.0;25.0;166653;81.0;12.0;47.0;5124.0;17.0;130862;476.0;380.0;96.0;1090.0;38.0;64.0;348488.0;710520.0;82.0;238.0;3991.0;29.0;;60780;9.0;12.0;67.0;246.0;26.0;11833;63.0;9.0;28.0;2363.0;11.0;5104;412.0;295.0;117.0;918.0
3;Totaal landbouw;Nederland;2001*;66812;21.0;;1714149;18.0;5.0;146.0;243.0;15.0;160864;71.0;11.0;37.0;4801.0;13.0;173094;398.0;321.0;78.0;1067.0;18.0;59.0;276544.0;1096870.0;87.0;215.0;8654.0;14.0;;189280;7.0;1.0;3.0;180.0;11.0;13343;62.0;8.0;31.0;1800.0;6.0;7744;337.0;219.0;118.0;1207.0
4;Totaal landbouw;Nederland;2002*;63085;24.0;;1713001;21.0;1.0;139.0;219.0;16.0;204821;73.0;11.0;47.0;7431.0;15.0;229008;393.0;268.0;125.0;5550.0;;;;;;;7460.0;11.0;;138733;9.0;-7.0;-8.0;194.0;8.0;10708;63.0;9.0;39.0;5199.0;5.0;7252;286.0;182.0;104.0;4062.0
5;Totaal landbouw;Noord-Nederland;1998;39267;92.0;;703922;62.0;30.0;691.0;993.0;19.0;11926;82.0;16.0;42.0;3173.0;17.0;11707;443.0;359.0;84.0;1299.0;48.0;76.0;36211.0;73530.0;55.0;134.0;714.0;35.0;;15422;9.0;19.0;60.0;244.0;31.0;4556;75.0;7.0;36.0;2729.0;14.0;1601;385.0;299.0;87.0;958.0
6;Totaal landbouw;Noord-Nederland;1999;3421;28.0;;119232;30.0;9.0;213.0;296.0;16.0;14217;66.0;21.0;26.0;2379.0;19.0;20373;395.0;332.0;63.0;1295.0;45.0;72.0;42875.0;88275.0;71.0;183.0;585.0;28.0;;12031;11.0;13.0;91.0;255.0;24.0;2052;76.0;9.0;36.0;2031.0;7.0;800;394.0;339.0;54.0;764.0
7;Totaal landbouw;Noord-Nederland;2000;6194;17.0;;258966;21.0;9.0;172.0;258.0;10.0;16370;68.0;17.0;33.0;6708.0;12.0;25225;355.0;295.0;61.0;1375.0;26.0;74.0;52326.0;195985.0;73.0;169.0;705.0;21.0;;16323;10.0;10.0;75.0;238.0;15.0;1555;64.0;9.0;29.0;2553.0;10.0;1294;350.0;287.0;63.0;772.0
8;Totaal landbouw;Noord-Nederland;2001*;11837;12.0;;493899;19.0;4.0;129.0;219.0;6.0;20651;56.0;14.0;22.0;4468.0;9.0;42251;304.0;260.0;44.0;1135.0;11.0;71.0;47968.0;356100.0;70.0;171.0;1697.0;10.0;;48882;8.0;-3.0;8.0;198.0;7.0;2879;49.0;6.0;17.0;1889.0;5.0;1981;273.0;214.0;59.0;970.0
9;Totaal landbouw;Noord-Nederland;2002*;11420;17.0;;490899;21.0;-7.0;104.0;196.0;7.0;27483;52.0;18.0;26.0;8055.0;14.0;65590;275.0;223.0;52.0;3945.0;;;;;;;1528.0;9.0;;37123;10.0;-8.0;-17.0;200.0;5.0;2252;52.0;4.0;32.0;6440.0;5.0;2609;246.0;164.0;82.0;5072.0
