ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenInMaterieleVasteActiva_1;GrondEnTerreinen_2;Bedrijfsgebouwen_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweMaterieleVasteActiva_9;BestaandeMaterieleVasteActiva_10;VerkoopVanMaterieleVasteActiva_11
0;Business Economy, B-N, excl. K, incl. 95;2009;41888.48;722.42;5783.3;3447.31;7821.22;1789.57;11980.89;10343.79;38313.96;3574.53;6895.34
1;Business Economy, B-N, excl. K, incl. 95;2010;39705.1;643.53;3860.74;4884.8;7741.35;1562.26;11427.55;9584.88;36931.94;2773.16;6268.11
2;Business Economy, B-N, excl. K, incl. 95;2011;49444.9;665.33;4971.04;7133.44;10330.21;1903.65;12951.31;11489.92;46241.02;3203.88;8526.51
3;Business Economy, B-N, excl. K, incl. 95;2012;47633.93;916.47;12963.97;4813.67;9457.18;2399.78;13799.79;3283.07;43572.26;4061.67;8531.06
4;Business Economy, B-N, excl. K, incl. 95;2013;46383.88;934.33;12220.92;5440.6;9863.11;2256.37;12703.31;2965.24;43308.31;3075.57;7118.83
5;Business Economy, B-N, excl. K, incl. 95;2014;46144.21;736.1;10938.14;5767.71;9251.03;2241.37;14115.02;3094.85;41981.36;4162.85;10047.12
6;Business Economy, B-N, excl. K, incl. 95;2015;50663.83;842.07;10342.23;6645.81;11873.08;3297.53;14386.01;3277.1;47201.66;3462.17;9330.96
7;Business Economy, B-N, excl. K, incl. 95;2016;47187.61;952.05;11097.75;5286.24;12430.14;2619.59;11471.14;3330.7;43440.73;3746.88;8585.6
8;Business Economy, B-N, excl. K, incl. 95;2017;51855.94;1265.19;12982.5;4350.16;14084.02;2334.15;13130.92;3709.0;45307.07;6548.87;7971.1
9;Business Economy, B-N, excl. K, incl. 95;2018;56693.4;1963.15;14936.02;4525.86;14114.7;2540.84;14882.26;3730.57;49621.45;7071.95;13651.28
10;Business Economy, B-N, excl. K, incl. 95;2019;65522.48;1327.36;17604.84;6438.82;17722.83;2694.75;15247.78;4486.09;59499.28;6023.19;11028.15
11;Business Economy, B-N, excl. K, incl. 95;2020;62675.07;1541.91;19272.19;6135.5;13300.95;3582.27;14516.11;4326.14;55321.93;7353.15;14159.39
12;Business Economy, B-N, excl. K, incl. 95;2021;64142.57;1337.35;17537.05;6193.86;14103.12;4401.43;15209.94;5359.82;57509.45;6633.11;11784.91
13;Business Economy, B-N, excl. K, incl. 95;2022;73954.36;2483.22;20613.61;6680.18;16385.34;4901.99;16869.69;6020.35;65184.62;8769.74;14900.82
14;Business Economy, B-N, excl. K, incl. 95;2023;;;;;;;;;;;
15;B-E Nijverheid (geen bouw) en energie;2009;12042.1;122.65;1293.14;1868.59;492.61;286.4;7210.64;768.08;11486.59;555.51;568.04
16;B-E Nijverheid (geen bouw) en energie;2010;12642.56;144.24;1061.75;2830.35;572.11;261.35;6980.78;791.98;12113.22;529.33;616.22
17;B-E Nijverheid (geen bouw) en energie;2011;15913.9;162.47;1613.29;4846.17;721.37;316.65;7455.38;798.57;15344.77;569.13;595.04
18;B-E Nijverheid (geen bouw) en energie;2012;14640.73;136.37;1241.21;1781.37;508.17;291.99;9996.18;685.43;14066.9;573.82;443.17
19;B-E Nijverheid (geen bouw) en energie;2013;14312.14;150.02;1272.1;2296.06;722.94;287.23;9003.93;579.86;13928.98;383.16;429.0
20;B-E Nijverheid (geen bouw) en energie;2014;16264.74;133.89;1812.72;2724.08;539.56;296.83;10036.9;720.77;15916.51;348.23;507.55
21;B-E Nijverheid (geen bouw) en energie;2015;16544.24;186.49;1486.69;3610.53;758.89;283.91;9462.33;755.4;16068.33;475.91;496.49
22;B-E Nijverheid (geen bouw) en energie;2016;12568.23;137.97;1425.66;2455.17;624.96;331.0;6963.92;629.55;12137.94;430.29;383.65
23;B-E Nijverheid (geen bouw) en energie;2017;12970.15;255.21;1463.7;2429.19;548.53;366.61;7241.35;665.57;12411.88;558.28;208.9
24;B-E Nijverheid (geen bouw) en energie;2018;15369.41;314.39;2166.92;2455.0;528.1;324.32;8786.15;794.53;14574.19;795.21;452.3
25;B-E Nijverheid (geen bouw) en energie;2019;19130.42;264.41;2461.73;3897.03;2212.24;404.0;8773.37;1117.64;18411.48;718.95;690.82
26;B-E Nijverheid (geen bouw) en energie;2020;15895.77;209.73;2051.77;3393.86;711.03;336.24;8229.73;963.41;15251.16;644.61;1027.73
27;B-E Nijverheid (geen bouw) en energie;2021;16570.9;325.08;2398.75;3371.79;589.36;395.66;8457.3;1032.97;15801.91;768.99;696.67
28;B-E Nijverheid (geen bouw) en energie;2022;18850.73;277.79;2609.15;3991.56;773.41;426.28;9652.49;1120.05;18111.33;739.4;809.35
29;B-E Nijverheid (geen bouw) en energie;2023;20348.52;;;;;;;;;;
30;B-F Nijverheid en energie;2009;14073.01;190.53;1616.1;1896.87;996.98;361.07;8048.45;963.01;13212.44;860.57;956.7
31;B-F Nijverheid en energie;2010;14432.92;201.55;1298.41;2853.15;1237.86;317.52;7506.06;1018.38;13631.62;801.3;928.41
32;B-F Nijverheid en energie;2011;17939.51;220.01;1856.5;4862.01;1553.46;392.22;8053.63;1001.68;17164.67;774.84;982.15
