ID;Huishoudkenmerken;Perioden;ToegangTotPC_1;Desktop_2;Laptop_3;WelToegangInternet_4;GeenToegangInternet_5;EldersInternetten_6;WilNietGeenInteresse_7;FinancieleRedenen_8;OnvoldoendeKennisFysiekeBeperking_9;PrivacyEnVeiligheid_10;AndereReden_11;TotaalGeenBreedband_12;AnaloogModem_13;ISDN_14;MobieleTelefoonWAPGPRS_15;TotaalBreedband_16;ADSL_17;Kabel_18;TotaalGeenBreedband_19;AnaloogModem_20;ISDN_21;MobieleTelefoonWAPGPRS_22;TotaalBreedband_23;ADSL_24;Kabel_25;PersonalComputer_26;PCDesktop_27;Laptop_28;MobieleTelefoon_29;AndereApparatuur_30;PersonalComputer_31;PCDesktop_32;Laptop_33;MobieleTelefoon_34;AndereApparatuur_35
16;Eenpersoonshuishouden;2012;87.0;58.0;58.0;86.0;14.0;2.0;12.0;3.0;2.0;1.0;1.0;13.0;;;;73.0;;;15.0;;;;85.0;;;85.0;53.0;56.0;38.0;21.0;99.0;62.0;66.0;44.0;25.0
17;Eenpersoonshuishouden;2013;88.0;54.0;58.0;88.0;12.0;1.0;7.0;3.0;3.0;1.0;1.0;7.0;;;;81.0;;;7.0;;;;93.0;;;87.0;53.0;56.0;45.0;37.0;99.0;60.0;64.0;51.0;42.0
18;[Lid van een] eenoudergezin;2005;81.0;76.0;29.0;76.0;24.0;1.0;15.0;2.0;3.0;0.0;5.0;29.0;23.0;6.0;1.0;47.0;30.0;19.0;38.0;30.0;8.0;2.0;62.0;39.0;25.0;76.0;70.0;21.0;9.0;2.0;99.0;92.0;27.0;12.0;3.0
19;[Lid van een] eenoudergezin;2006;83.0;76.0;33.0;78.0;22.0;2.0;16.0;2.0;3.0;1.0;2.0;16.0;10.0;4.0;2.0;62.0;42.0;21.0;20.0;13.0;6.0;2.0;80.0;54.0;27.0;77.0;71.0;24.0;8.0;5.0;100.0;92.0;30.0;11.0;6.0
20;[Lid van een] eenoudergezin;2007;86.0;78.0;37.0;82.0;18.0;1.0;12.0;2.0;3.0;0.0;2.0;10.0;6.0;3.0;1.0;72.0;49.0;25.0;12.0;7.0;4.0;2.0;88.0;60.0;31.0;82.0;74.0;31.0;14.0;9.0;99.0;90.0;38.0;17.0;11.0
21;[Lid van een] eenoudergezin;2008;88.0;79.0;49.0;87.0;13.0;1.0;9.0;1.0;2.0;0.0;2.0;14.0;5.0;6.0;1.0;73.0;47.0;30.0;16.0;5.0;7.0;1.0;84.0;55.0;35.0;85.0;75.0;44.0;16.0;11.0;98.0;87.0;51.0;18.0;12.0
22;[Lid van een] eenoudergezin;2009;91.0;78.0;58.0;90.0;10.0;0.0;8.0;1.0;1.0;0.0;1.0;14.0;4.0;6.0;1.0;76.0;54.0;28.0;15.0;5.0;6.0;1.0;85.0;61.0;32.0;89.0;74.0;54.0;20.0;16.0;100.0;83.0;60.0;23.0;18.0
23;[Lid van een] eenoudergezin;2010;91.0;74.0;62.0;89.0;11.0;1.0;9.0;0.0;2.0;0.0;1.0;12.0;3.0;4.0;2.0;78.0;52.0;31.0;13.0;3.0;4.0;2.0;87.0;58.0;35.0;89.0;71.0;58.0;27.0;18.0;99.0;80.0;65.0;31.0;20.0
24;[Lid van een] eenoudergezin;2011;94.0;76.0;69.0;94.0;6.0;0.0;5.0;0.0;1.0;0.0;1.0;11.0;;;;82.0;;;11.0;;;;88.0;;;93.0;73.0;66.0;39.0;23.0;99.0;78.0;71.0;41.0;24.0
25;[Lid van een] eenoudergezin;2012;98.0;76.0;85.0;96.0;4.0;0.0;1.0;1.0;0.0;0.0;1.0;6.0;;;;90.0;;;7.0;;;;93.0;;;96.0;71.0;83.0;76.0;43.0;99.0;73.0;86.0;79.0;45.0
26;[Lid van een] eenoudergezin;2013;100.0;67.0;85.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;98.0;;;2.0;;;;98.0;;;100.0;64.0;82.0;69.0;69.0;100.0;64.0;82.0;69.0;69.0
27;[Lid van een] paar zonder kinderen;2005;91.0;85.0;26.0;83.0;17.0;1.0;9.0;5.0;2.0;0.0;4.0;17.0;12.0;4.0;2.0;66.0;38.0;29.0;21.0;14.0;5.0;2.0;79.0;46.0;36.0;82.0;77.0;18.0;11.0;3.0;100.0;93.0;22.0;13.0;4.0
28;[Lid van een] paar zonder kinderen;2006;88.0;86.0;34.0;86.0;14.0;4.0;7.0;2.0;2.0;0.0;2.0;11.0;6.0;2.0;5.0;75.0;43.0;34.0;12.0;7.0;3.0;5.0;88.0;50.0;40.0;86.0;84.0;23.0;12.0;5.0;100.0;98.0;26.0;14.0;6.0
29;[Lid van een] paar zonder kinderen;2007;95.0;89.0;40.0;93.0;7.0;0.0;4.0;0.0;1.0;0.0;2.0;6.0;2.0;3.0;1.0;86.0;46.0;42.0;7.0;2.0;4.0;2.0;93.0;50.0;46.0;92.0;84.0;36.0;25.0;15.0;100.0;91.0;39.0;27.0;16.0
30;[Lid van een] paar zonder kinderen;2008;93.0;89.0;50.0;91.0;9.0;2.0;1.0;2.0;0.0;0.0;4.0;12.0;7.0;5.0;1.0;79.0;45.0;38.0;13.0;7.0;5.0;2.0;87.0;49.0;42.0;90.0;83.0;47.0;20.0;17.0;99.0;91.0;51.0;22.0;19.0
31;[Lid van een] paar zonder kinderen;2009;97.0;87.0;63.0;96.0;4.0;1.0;2.0;1.0;0.0;0.0;1.0;15.0;5.0;3.0;1.0;81.0;55.0;34.0;15.0;5.0;3.0;1.0;85.0;58.0;35.0;95.0;83.0;56.0;32.0;29.0;100.0;87.0;59.0;34.0;31.0
32;[Lid van een] paar zonder kinderen;2010;98.0;84.0;70.0;98.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;2.0;95.0;56.0;41.0;3.0;0.0;1.0;2.0;97.0;58.0;42.0;98.0;84.0;67.0;36.0;32.0;100.0;86.0;69.0;37.0;33.0
33;[Lid van een] paar zonder kinderen;2011;98.0;76.0;78.0;98.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;10.0;;;;88.0;;;10.0;;;;90.0;;;95.0;73.0;74.0;60.0;45.0;97.0;74.0;76.0;61.0;46.0
34;[Lid van een] paar zonder kinderen;2012;95.0;76.0;71.0;94.0;6.0;0.0;4.0;1.0;1.0;0.0;1.0;15.0;;;;79.0;;;16.0;;;;84.0;;;93.0;73.0;68.0;40.0;26.0;99.0;77.0;72.0;42.0;27.0
35;[Lid van een] paar zonder kinderen;2013;95.0;70.0;76.0;96.0;4.0;1.0;3.0;1.0;1.0;0.0;0.0;10.0;;;;86.0;;;10.0;;;;90.0;;;94.0;67.0;74.0;58.0;56.0;98.0;70.0;78.0;61.0;59.0
36;[Lid van een] paar met kinderen;2005;95.0;93.0;40.0;92.0;8.0;1.0;3.0;1.0;1.0;0.0;2.0;23.0;16.0;7.0;3.0;69.0;43.0;28.0;25.0;18.0;7.0;3.0;75.0;47.0;31.0;92.0;89.0;27.0;12.0;6.0;100.0;96.0;29.0;13.0;6.0
37;[Lid van een] paar met kinderen;2006;97.0;94.0;46.0;95.0;5.0;1.0;2.0;1.0;0.0;0.0;2.0;14.0;7.0;6.0;2.0;81.0;55.0;29.0;14.0;7.0;6.0;2.0;86.0;58.0;30.0;95.0;90.0;35.0;15.0;7.0;100.0;95.0;37.0;16.0;7.0
38;[Lid van een] paar met kinderen;2007;98.0;93.0;55.0;96.0;4.0;1.0;1.0;1.0;0.0;0.0;1.0;9.0;4.0;5.0;1.0;87.0;62.0;28.0;9.0;4.0;5.0;1.0;91.0;64.0;29.0;96.0;90.0;48.0;22.0;15.0;100.0;93.0;49.0;22.0;15.0
39;[Lid van een] paar met kinderen;2008;99.0;91.0;64.0;98.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;12.0;4.0;7.0;1.0;86.0;55.0;35.0;12.0;4.0;7.0;1.0;88.0;56.0;35.0;98.0;88.0;59.0;27.0;19.0;99.0;90.0;60.0;27.0;19.0
40;[Lid van een] paar met kinderen;2009;99.0;92.0;74.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;3.0;7.0;1.0;85.0;61.0;33.0;14.0;3.0;7.0;1.0;86.0;62.0;33.0;98.0;89.0;70.0;34.0;30.0;99.0;90.0;71.0;35.0;30.0
41;[Lid van een] paar met kinderen;2010;99.0;88.0;82.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;2.0;2.0;94.0;63.0;33.0;6.0;1.0;2.0;2.0;94.0;64.0;34.0;99.0;87.0;79.0;45.0;35.0;99.0;88.0;80.0;45.0;36.0
42;[Lid van een] paar met kinderen;2011;99.0;87.0;87.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;;;;89.0;;;9.0;;;;90.0;;;99.0;84.0;84.0;63.0;44.0;100.0;85.0;85.0;64.0;44.0
43;[Lid van een] paar met kinderen;2012;99.0;84.0;89.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;;;;90.0;;;10.0;;;;90.0;;;98.0;81.0;88.0;77.0;50.0;99.0;81.0;89.0;77.0;51.0
44;[Lid van een] paar met kinderen;2013;99.0;76.0;88.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;;;;91.0;;;9.0;;;;91.0;;;99.0;74.0;88.0;89.0;78.0;99.0;74.0;88.0;90.0;78.0
45;[Lid van een] ander huishouden;2005;96.0;93.0;49.0;93.0;7.0;0.0;2.0;0.0;0.0;0.0;5.0;19.0;10.0;9.0;4.0;75.0;32.0;43.0;20.0;11.0;10.0;5.0;80.0;35.0;46.0;93.0;90.0;33.0;12.0;6.0;99.0;97.0;35.0;13.0;6.0
46;[Lid van een] ander huishouden;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;[Lid van een] ander huishouden;2007;88.0;84.0;51.0;91.0;9.0;0.0;9.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;88.0;49.0;39.0;;;;;97.0;54.0;43.0;91.0;87.0;46.0;23.0;9.0;;;;;
48;[Lid van een] ander huishouden;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;[Lid van een] ander huishouden;2009;95.0;45.0;91.0;95.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;27.0;0.0;0.0;6.0;69.0;58.0;36.0;28.0;0.0;0.0;6.0;72.0;62.0;38.0;95.0;45.0;91.0;33.0;18.0;100.0;47.0;95.0;35.0;19.0
50;[Lid van een] ander huishouden;2010;100.0;63.0;92.0;95.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;17.0;0.0;6.0;6.0;79.0;53.0;30.0;17.0;0.0;6.0;6.0;83.0;55.0;32.0;95.0;60.0;87.0;39.0;7.0;99.0;63.0;92.0;40.0;7.0
51;[Lid van een] ander huishouden;2011;100.0;72.0;91.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;93.0;;;1.0;;;;93.0;;;100.0;72.0;91.0;85.0;59.0;100.0;72.0;91.0;85.0;59.0
52;[Lid van een] ander huishouden;2012;97.0;59.0;90.0;96.0;4.0;0.0;2.0;2.0;0.0;1.0;0.0;5.0;;;;91.0;;;6.0;;;;94.0;;;96.0;58.0;89.0;77.0;38.0;100.0;60.0;92.0;80.0;40.0
53;[Lid van een] ander huishouden;2013;99.0;80.0;91.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;;;;90.0;;;9.0;;;;91.0;;;99.0;77.0;90.0;87.0;73.0;99.0;77.0;90.0;87.0;74.0
54;Gest. besteedbaar huish.inkomen 1e 20%;2005;76.0;72.0;22.0;70.0;30.0;2.0;16.0;7.0;4.0;1.0;7.0;20.0;15.0;4.0;3.0;50.0;28.0;23.0;29.0;22.0;6.0;4.0;71.0;41.0;33.0;69.0;66.0;15.0;11.0;3.0;99.0;94.0;22.0;16.0;5.0
55;Gest. besteedbaar huish.inkomen 1e 20%;2006;75.0;69.0;25.0;70.0;30.0;4.0;15.0;5.0;5.0;0.0;4.0;12.0;7.0;4.0;1.0;57.0;37.0;22.0;18.0;11.0;6.0;2.0;82.0;53.0;32.0;70.0;66.0;18.0;9.0;3.0;100.0;94.0;26.0;13.0;5.0
56;Gest. besteedbaar huish.inkomen 1e 20%;2007;77.0;69.0;28.0;72.0;28.0;3.0;17.0;4.0;5.0;1.0;2.0;8.0;3.0;3.0;1.0;64.0;40.0;25.0;12.0;4.0;4.0;2.0;88.0;56.0;35.0;72.0;62.0;24.0;12.0;8.0;100.0;87.0;33.0;16.0;11.0
57;Gest. besteedbaar huish.inkomen 1e 20%;2008;76.0;66.0;36.0;75.0;25.0;2.0;14.0;5.0;5.0;0.0;3.0;13.0;6.0;5.0;1.0;62.0;37.0;27.0;18.0;8.0;7.0;1.0;82.0;50.0;36.0;72.0;60.0;34.0;14.0;9.0;96.0;80.0;45.0;19.0;11.0
58;Gest. besteedbaar huish.inkomen 1e 20%;2009;82.0;69.0;46.0;81.0;19.0;0.0;13.0;4.0;3.0;0.0;2.0;11.0;3.0;3.0;0.0;70.0;49.0;28.0;14.0;3.0;4.0;0.0;86.0;62.0;35.0;80.0;64.0;43.0;20.0;18.0;99.0;79.0;53.0;25.0;22.0
59;Gest. besteedbaar huish.inkomen 1e 20%;2010;83.0;63.0;51.0;82.0;18.0;3.0;14.0;3.0;4.0;1.0;0.0;10.0;2.0;3.0;2.0;72.0;47.0;29.0;12.0;3.0;3.0;2.0;88.0;58.0;36.0;81.0;60.0;48.0;21.0;18.0;99.0;74.0;59.0;26.0;22.0
60;Gest. besteedbaar huish.inkomen 1e 20%;2011;88.0;61.0;66.0;87.0;13.0;1.0;9.0;2.0;4.0;2.0;0.0;10.0;;;;76.0;;;12.0;;;;87.0;;;86.0;56.0;64.0;42.0;24.0;98.0;65.0;73.0;48.0;28.0
61;Gest. besteedbaar huish.inkomen 1e 20%;2012;87.0;62.0;66.0;86.0;14.0;0.0;10.0;4.0;3.0;1.0;2.0;10.0;;;;76.0;;;12.0;;;;88.0;;;85.0;58.0;64.0;47.0;28.0;99.0;68.0;75.0;55.0;32.0
62;Gest. besteedbaar huish.inkomen 1e 20%;2013;90.0;63.0;66.0;91.0;9.0;0.0;6.0;4.0;1.0;1.0;0.0;8.0;;;;83.0;;;8.0;;;;92.0;;;88.0;60.0;64.0;55.0;50.0;98.0;66.0;71.0;60.0;55.0
63;Gest. besteedbaar huish.inkomen 2e 20%;2005;77.0;74.0;19.0;72.0;28.0;2.0;17.0;5.0;4.0;0.0;5.0;21.0;16.0;5.0;2.0;51.0;32.0;20.0;29.0;23.0;6.0;3.0;71.0;45.0;27.0;71.0;68.0;12.0;9.0;2.0;99.0;95.0;17.0;12.0;3.0
64;Gest. besteedbaar huish.inkomen 2e 20%;2006;78.0;70.0;28.0;75.0;25.0;2.0;17.0;2.0;3.0;0.0;3.0;13.0;10.0;2.0;1.0;62.0;37.0;26.0;17.0;14.0;3.0;1.0;83.0;50.0;34.0;74.0;65.0;22.0;9.0;5.0;99.0;87.0;29.0;12.0;6.0
65;Gest. besteedbaar huish.inkomen 2e 20%;2007;81.0;71.0;35.0;77.0;23.0;2.0;15.0;4.0;4.0;1.0;3.0;9.0;7.0;1.0;1.0;68.0;45.0;24.0;12.0;9.0;2.0;1.0;88.0;59.0;32.0;76.0;66.0;29.0;14.0;6.0;99.0;85.0;38.0;19.0;8.0
66;Gest. besteedbaar huish.inkomen 2e 20%;2008;85.0;76.0;42.0;82.0;18.0;3.0;11.0;1.0;3.0;0.0;3.0;10.0;3.0;6.0;1.0;72.0;40.0;36.0;12.0;4.0;7.0;1.0;88.0;49.0;44.0;81.0;70.0;37.0;16.0;14.0;98.0;86.0;45.0;20.0;17.0
67;Gest. besteedbaar huish.inkomen 2e 20%;2009;86.0;73.0;49.0;84.0;16.0;1.0;11.0;3.0;2.0;1.0;2.0;13.0;5.0;4.0;1.0;70.0;51.0;25.0;16.0;6.0;5.0;2.0;84.0;61.0;30.0;83.0;69.0;45.0;22.0;16.0;99.0;82.0;53.0;26.0;19.0
68;Gest. besteedbaar huish.inkomen 2e 20%;2010;89.0;71.0;58.0;86.0;14.0;2.0;10.0;2.0;2.0;0.0;1.0;6.0;1.0;2.0;2.0;80.0;51.0;32.0;7.0;2.0;2.0;2.0;93.0;60.0;37.0;86.0;67.0;56.0;29.0;18.0;100.0;77.0;65.0;33.0;21.0
69;Gest. besteedbaar huish.inkomen 2e 20%;2011;90.0;71.0;63.0;89.0;11.0;1.0;8.0;0.0;1.0;0.0;1.0;8.0;;;;80.0;;;9.0;;;;90.0;;;88.0;67.0;60.0;38.0;23.0;99.0;75.0;67.0;42.0;25.0
70;Gest. besteedbaar huish.inkomen 2e 20%;2012;92.0;67.0;69.0;91.0;9.0;1.0;7.0;1.0;1.0;1.0;1.0;14.0;;;;78.0;;;15.0;;;;85.0;;;91.0;63.0;67.0;48.0;28.0;99.0;69.0;74.0;52.0;31.0
71;Gest. besteedbaar huish.inkomen 2e 20%;2013;91.0;59.0;70.0;91.0;9.0;0.0;6.0;2.0;3.0;1.0;1.0;10.0;;;;81.0;;;11.0;;;;89.0;;;90.0;56.0;68.0;57.0;43.0;99.0;62.0;75.0;63.0;47.0
72;Gest. besteedbaar huish.inkomen 3e 20%;2005;82.0;78.0;28.0;79.0;21.0;3.0;12.0;2.0;2.0;1.0;6.0;25.0;20.0;6.0;1.0;54.0;34.0;21.0;31.0;25.0;7.0;2.0;69.0;44.0;26.0;78.0;74.0;20.0;8.0;2.0;100.0;94.0;26.0;10.0;3.0
73;Gest. besteedbaar huish.inkomen 3e 20%;2006;86.0;80.0;33.0;81.0;19.0;2.0;13.0;3.0;2.0;1.0;2.0;14.0;9.0;4.0;3.0;67.0;43.0;25.0;17.0;11.0;5.0;3.0;83.0;53.0;31.0;81.0;74.0;24.0;11.0;3.0;99.0;91.0;30.0;14.0;4.0
74;Gest. besteedbaar huish.inkomen 3e 20%;2007;86.0;78.0;38.0;82.0;18.0;2.0;11.0;2.0;2.0;1.0;3.0;9.0;4.0;4.0;1.0;73.0;45.0;29.0;11.0;5.0;5.0;1.0;89.0;55.0;35.0;82.0;74.0;33.0;16.0;10.0;100.0;90.0;40.0;20.0;12.0
75;Gest. besteedbaar huish.inkomen 3e 20%;2008;89.0;79.0;49.0;88.0;12.0;1.0;6.0;1.0;1.0;0.0;4.0;12.0;5.0;5.0;1.0;76.0;47.0;31.0;14.0;6.0;6.0;1.0;86.0;54.0;36.0;87.0;75.0;45.0;19.0;12.0;99.0;86.0;51.0;21.0;13.0
76;Gest. besteedbaar huish.inkomen 3e 20%;2009;92.0;80.0;57.0;90.0;10.0;1.0;7.0;1.0;1.0;1.0;1.0;13.0;4.0;5.0;1.0;77.0;54.0;30.0;15.0;5.0;5.0;1.0;85.0;60.0;34.0;90.0;76.0;53.0;25.0;19.0;100.0;85.0;58.0;28.0;21.0
77;Gest. besteedbaar huish.inkomen 3e 20%;2010;94.0;81.0;65.0;94.0;6.0;1.0;5.0;0.0;2.0;0.0;1.0;7.0;2.0;3.0;2.0;87.0;60.0;31.0;7.0;2.0;3.0;2.0;93.0;64.0;33.0;93.0;79.0;62.0;34.0;26.0;100.0;84.0;66.0;36.0;28.0
78;Gest. besteedbaar huish.inkomen 3e 20%;2011;96.0;75.0;69.0;95.0;5.0;1.0;2.0;0.0;0.0;1.0;1.0;9.0;;;;85.0;;;10.0;;;;89.0;;;94.0;72.0;68.0;43.0;29.0;99.0;75.0;71.0;45.0;31.0
79;Gest. besteedbaar huish.inkomen 3e 20%;2012;95.0;72.0;77.0;95.0;5.0;1.0;4.0;1.0;0.0;0.0;0.0;10.0;;;;85.0;;;11.0;;;;89.0;;;93.0;67.0;75.0;56.0;36.0;99.0;71.0;79.0;59.0;38.0
80;Gest. besteedbaar huish.inkomen 3e 20%;2013;97.0;72.0;77.0;96.0;4.0;1.0;2.0;0.0;1.0;0.0;0.0;9.0;;;;88.0;;;9.0;;;;91.0;;;96.0;71.0;76.0;66.0;61.0;99.0;73.0;79.0;69.0;63.0
81;Gest. besteedbaar huish.inkomen 4e 20%;2005;89.0;83.0;32.0;85.0;15.0;2.0;9.0;1.0;1.0;0.0;3.0;27.0;21.0;6.0;2.0;57.0;35.0;24.0;32.0;25.0;7.0;2.0;68.0;41.0;29.0;84.0;77.0;22.0;7.0;2.0;100.0;91.0;27.0;8.0;3.0
82;Gest. besteedbaar huish.inkomen 4e 20%;2006;90.0;83.0;35.0;86.0;14.0;1.0;10.0;1.0;3.0;0.0;2.0;16.0;11.0;4.0;2.0;70.0;48.0;24.0;18.0;13.0;5.0;2.0;82.0;56.0;28.0;85.0;77.0;27.0;11.0;4.0;100.0;90.0;32.0;12.0;5.0
83;Gest. besteedbaar huish.inkomen 4e 20%;2007;92.0;84.0;46.0;90.0;10.0;2.0;6.0;0.0;1.0;0.0;2.0;8.0;5.0;3.0;1.0;81.0;55.0;29.0;9.0;5.0;3.0;1.0;91.0;62.0;32.0;89.0;79.0;39.0;18.0;13.0;100.0;88.0;44.0;20.0;14.0
84;Gest. besteedbaar huish.inkomen 4e 20%;2008;94.0;85.0;60.0;93.0;7.0;1.0;4.0;1.0;2.0;0.0;1.0;13.0;5.0;6.0;2.0;80.0;49.0;35.0;14.0;5.0;7.0;2.0;86.0;53.0;38.0;92.0;80.0;55.0;25.0;16.0;99.0;86.0;59.0;27.0;17.0
85;Gest. besteedbaar huish.inkomen 4e 20%;2009;95.0;81.0;67.0;95.0;5.0;0.0;4.0;0.0;1.0;0.0;1.0;13.0;2.0;5.0;2.0;82.0;55.0;34.0;14.0;2.0;5.0;2.0;86.0;59.0;36.0;94.0;78.0;63.0;27.0;24.0;99.0;82.0;67.0;28.0;25.0
86;Gest. besteedbaar huish.inkomen 4e 20%;2010;97.0;75.0;77.0;97.0;3.0;0.0;3.0;0.0;1.0;0.0;0.0;7.0;2.0;3.0;2.0;89.0;60.0;32.0;8.0;2.0;3.0;2.0;92.0;62.0;34.0;96.0;74.0;73.0;37.0;27.0;99.0;76.0;75.0;38.0;28.0
