ID;RegioSEnGrootteklasse;Perioden;AantalMusea_1;MetMuseumkaart_2;LidMuseumvereniging_3;AangeslotenBijHetMuseumregister_4;Overheidsinstelling_5;StichtingVereniging_6;Overig_7;MuseaZonderOperationelePCS_8;MuseaMetOperationelePCS_9;MuseaZonderOnderlingGekoppeldePCS_10;GedeelteGekoppeld_11;AllemaalGekoppeld_12;MuseaZonderToegangTotInternet_13;OpMinderDanDeHelftVanDePCS_14;OpMeerDanDeHelftVanDePCS_15;Totaal_16;MetEigenWebsite_17;GebruiktWebsiteVanDerden_18;MuseaMetInfoOverCollectieOpWebsite_19;MuseaDieBinnen2JaarWebsiteWillen_20
0;Nederland;2001;873;50;45.0;29;17;73;10;14;86;61;20;18;28;32;40;76;59;17;35;13
1;Nederland;2003;828;49;48.0;40;16;77;7;18;82;64;18;18;30;30;40;72;62;10;33;4
2;Nederland;2005;775;47;51.0;46;15;77;8;16;84;56;19;25;25;23;52;84;73;11;39;7
3;Nederland;2007;773;47;51.0;49;12;80;8;8;92;53;18;29;25;16;59;89;80;9;51;4
4;Nederland;2009;810;46;53.0;49;11;80;9;6;94;52;19;30;20;11;69;89;82;7;52;6
5;Noord-Nederland;2001;160;47;37.0;27;12;76;13;16;84;62;19;19;21;45;34;75;52;23;25;15
6;Noord-Nederland;2003;145;46;44.0;35;9;85;6;25;75;70;19;11;30;31;39;68;57;12;25;4
7;Noord-Nederland;2005;147;44;50.0;40;9;76;15;25;75;69;14;17;30;19;51;79;66;13;31;8
8;Noord-Nederland;2007;141;43;43.0;40;9;76;16;11;89;66;18;17;31;11;58;90;79;11;46;6
9;Noord-Nederland;2009;142;41;52.0;42;7;80;13;10;90;65;13;23;21;3;76;92;83;9;52;9
10;Oost-Nederland;2001;208;42;38.0;32;15;73;12;17;83;78;10;12;41;23;36;64;50;15;23;17
11;Oost-Nederland;2003;193;42;38.0;46;13;78;9;20;80;66;19;15;33;26;41;69;57;12;28;3
12;Oost-Nederland;2005;182;33;37.0;50;12;81;7;14;86;60;18;22;30;21;49;83;69;14;35;11
13;Oost-Nederland;2007;171;36;39.0;51;10;84;6;9;91;55;17;28;31;15;54;88;76;12;49;4
14;Oost-Nederland;2009;188;34;50.0;56;8;81;11;6;94;50;20;30;21;10;68;86;78;8;54;7
15;West-Nederland;2001;387;57;53.0;29;18;75;7;9;91;53;26;21;24;32;44;83;66;17;44;10
16;West-Nederland;2003;369;57;57.0;42;18;76;6;15;85;62;17;21;30;27;43;74;66;9;39;5
17;West-Nederland;2005;336;56;60.0;48;18;77;5;14;86;50;22;28;22;23;55;88;78;10;44;6
18;West-Nederland;2007;337;55;57.0;46;14;81;5;6;94;47;18;35;20;18;63;90;82;8;54;4
19;West-Nederland;2009;351;55;57.0;49;12;81;7;5;95;48;20;32;18;13;68;89;83;6;52;5
20;Zuid-Nederland;2001;118;44;34.0;23;21;64;14;19;81;61;22;18;35;33;33;76;61;16;40;9
21;Zuid-Nederland;2003;121;43;40.0;31;21;72;6;13;87;62;19;19;28;44;29;73;65;8;37;3
22;Zuid-Nederland;2005;110;43;46.0;44;16;78;6;18;82;50;22;28;21;30;49;83;76;7;45;5
23;Zuid-Nederland;2007;124;43;46.0;40;15;77;7;10;90;55;18;27;24;16;59;87;79;8;52;3
24;Zuid-Nederland;2009;129;46;46.0;46;14;77;9;5;95;51;20;29;19;15;67;91;84;6;50;4
25;Groningen;2001;53;30;38.0;22;11;67;22;17;83;55;25;20;15;35;50;74;54;20;31;13
26;Groningen;2003;53;32;38.0;28;9;79;11;34;66;66;17;17;20;29;51;69;51;18;22;6
27;Groningen;2005;54;30;37.0;32;9;72;19;32;68;65;14;22;22;16;62;81;66;15;32;6
28;Groningen;2007;50;30;28.0;32;4;74;22;14;86;70;9;21;35;7;58;84;74;10;48;10
29;Groningen;2009;49;35;54.0;34;6;73;20;12;88;70;12;19;23;0;77;92;84;8;65;8
30;Friesland;2001;72;64;33.0;37;16;77;8;7;93;68;20;12;28;52;20;79;50;29;20;16
31;Friesland;2003;61;62;48.0;44;13;85;2;18;82;68;24;8;30;36;34;66;54;13;20;5
32;Friesland;2005;62;61;63.0;45;11;76;13;21;79;63;20;16;31;20;49;81;66;15;29;11
33;Friesland;2007;62;53;56.0;52;13;77;10;11;89;56;29;15;27;11;62;93;79;15;39;3
34;Friesland;2009;64;48;52.0;50;8;81;11;6;94;57;17;27;22;3;75;91;78;13;35;13
35;Drenthe;2001;35;37;43.0;15;3;86;10;32;68;62;8;31;15;46;38;70;55;15;25;15
36;Drenthe;2003;31;39;44.0;29;0;97;3;23;77;79;13;8;46;25;29;72;72;0;38;0
37;Drenthe;2005;31;32;45.0;42;0;86;13;19;81;84;4;12;40;20;40;73;67;7;33;7
38;Drenthe;2007;29;41;41.0;31;7;76;17;16;84;78;7;15;33;19;48;93;89;4;56;4
