ID;Jaren;Totaal_1;Totaal_2;Totaal_3;TekortenDKPHComplexen_4;OverigeImmaterieleVasteActiva_5;Totaal_6;InExploitatie_7;InOntwikkeling_8;TenDiensteVanDeExploitatie_9;Totaal_10;TeVerrekenenDKPH_11;TeVorderenBWS_12;Deelnemingen_13;Effecten_14;OverigeVorderingen_15;Totaal_16;Voorraden_17;Totaal_18;Huurdebiteuren_19;Gemeenten_20;OverigeVorderingen_21;OverlopendeActiva_22;Effecten_23;LiquideMiddelen_24;PMTeOntvangenLeningen_25;Totaal_26;Totaal_27;Kapitaal_28;Herwaarderingsreserve_29;WettelijkeEnStatutaireReserves_30;OverigeReserves_31;Egalisatierekening_32;Totaal_33;Onderhoud_34;Overige_35;Totaal_36;Overheid_37;Kredietinstellingen_38;Waarborgsommen_39;OverigeSchulden_40;Totaal_41;Kredietinstellingen_42;Gemeenten_43;Leveranciers_44;BelastingenEnPremies_45;VerplichtingenOnrEnRoerendeZaken_46;OverlopendePassiva_47;OverigeSchulden_48;PMOvereengekomenLeningen_49;Totaal_50;Huren_51;Vergoedingen_52;Overheidsbijdragen_53;VerrekeningDKPHComplexen_54;Overige_55;Totaal_56;AfschrijvingenMaterieleEnImmatActiva_57;OverigeMutatiesMatEnImmatVActiva_58;Erfpacht_59;LonenEnSalarissen_60;SocialeLasten_61;LastenOnderhoud_62;Overige_63;Bedrijfsresultaat_64;Totaal_65;Rentebaten_66;Rentelasten_67;Totaal_68;Waardeveranderingen_69;ResultaatDeelnemingen_70;OverigeOpbrengst_71;ResultaatGewoneBedrijfsuitoefening_72;Totaal_73;BuitengewoneBaten_74;BuitengewoneLasten_75;Jaarresultaat_76
0;1995;81074;73173;515;515;0;67115;63563;3030;522;5542;14;506;138;1685;3199;7901;56;1339;148;256;483;452;353;6153;389;81074;6654;55;226;1;6372;3717;4215;3999;216;59995;11821;40828;153;7193;6494;567;219;557;59;1661;2502;929;389;9188;7513;433;685;73;484;5072;887;248;42;616;80;1859;1341;4116;-4325;1026;5351;104;12;5;87;-106;-482;1168;1650;-588
1;1996;81020;75415;471;471;0;67852;64384;2782;687;7091;40;702;162;1957;4229;5606;95;1296;130;215;385;566;420;3794;344;81020;6929;15;287;5;6622;3319;4191;3971;220;60555;12589;43169;187;4609;6026;674;110;538;85;1443;2518;657;344;9649;7902;471;687;35;555;5120;930;65;40;644;90;1910;1441;4528;-4518;549;5067;141;3;3;135;150;174;458;284;325
2;1997;81495;76255;395;281;114;68127;64916;2549;662;7732;15;850;118;2232;4517;5240;159;1338;106;201;368;664;496;3247;483;81495;7386;252;354;1;6779;2854;4271;3845;425;60717;13217;46847;169;483;6268;816;207;565;80;1484;2665;450;483;10058;8246;481;641;34;656;5547;999;216;39;697;110;2003;1482;4511;-4660;505;5165;242;5;5;232;93;330;754;424;423
3;1998;82252;77418;320;287;33;68807;65559;2549;699;8291;7;864;123;2283;5015;4834;161;1494;104;225;534;632;324;2854;358;82252;7967;93;648;12;7213;2294;4329;3893;436;60931;12636;48005;192;98;6731;1238;126;556;81;1507;2754;468;358;10462;8603;492;589;39;740;5879;1059;175;39;703;141;2158;1604;4584;-4594;509;5103;287;33;5;249;277;342;771;429;619
4;1999;82543;77826;136;110;26;69229;65534;2944;751;8462;9;840;152;2425;5036;4717;227;1427;117;185;499;626;250;2813;478;82543;8710;63;570;1;8076;1841;4220;3754;466;60571;11810;48505;150;106;7200;1236;78;646;93;1704;2753;690;478;10751;8851;493;500;46;862;6266;1128;226;36;769;161;2248;1708;4231;-4441;458;4899;211;-12;9;214;255;377;707;330;631
5;2000;83196;78619;90;78;13;70575;66227;3520;828;7953;1;805;145;2337;4664;4577;303;1421;131;166;550;575;335;2518;476;83196;9461;123;654;2;8681;1484;4143;3591;552;59927;10427;49242;133;124;8182;1699;107;756;116;1921;2845;738;476;10863;9155;511;432;17;719;6575;1206;266;35;829;164;2343;1732;4100;-4346;444;4790;245;0;3;242;188;455;789;334;643
