ID;Perioden;BouwkostenTotaal_1;Looncomponent_2;Materiaalcomponent_3
0;1995 januari;99.2;98.4;99.9
1;1995 februari;99.4;98.4;100.1
2;1995 maart;99.4;98.4;100.2
3;1995 april;99.9;99.7;100.1
4;1995 mei;99.9;99.7;100.1
5;1995 juni;100.0;99.8;100.0
6;1995 juli;100.5;100.9;100.2
7;1995 augustus;100.4;100.9;100.1
8;1995 september;100.5;100.9;100.1
9;1995 oktober;100.2;100.9;99.7
10;1995 november;100.4;100.7;99.8
11;1995 december;100.4;100.7;99.7
12;1995;100.0;100.0;100.0
13;1996 januari;100.6;102.1;99.3
14;1996 februari;100.5;102.1;99.2
15;1996 maart;100.6;102.1;99.3
16;1996 april;100.7;102.3;99.5
17;1996 mei;100.8;102.3;99.6
18;1996 juni;100.6;102.3;99.3
19;1996 juli;100.8;102.7;99.3
20;1996 augustus;100.8;102.7;99.3
21;1996 september;100.8;102.7;99.3
22;1996 oktober;101.0;102.7;99.6
23;1996 november;100.9;102.9;99.4
24;1996 december;101.0;102.9;99.5
25;1996;100.7;102.5;99.4
26;1997 januari;101.7;103.8;100.1
27;1997 februari;101.8;103.8;100.3
28;1997 maart;101.8;103.8;100.3
29;1997 april;102.2;104.2;100.6
30;1997 mei;102.2;104.2;100.6
31;1997 juni;102.6;104.9;100.7
32;1997 juli;102.9;105.5;100.9
33;1997 augustus;103.0;105.5;101.0
34;1997 september;103.0;105.5;101.0
35;1997 oktober;103.0;105.5;101.1
36;1997 november;103.2;105.5;101.4
37;1997 december;103.1;105.5;101.3
38;1997;102.6;104.8;100.8
39;1998 januari;104.9;108.2;102.3
40;1998 februari;104.9;108.2;102.4
41;1998 maart;104.9;108.2;102.4
42;1998 april;105.2;108.6;102.6
43;1998 mei;105.3;108.6;102.7
44;1998 juni;105.4;108.6;102.8
45;1998 juli;105.3;108.8;102.5
46;1998 augustus;105.3;108.8;102.5
47;1998 september;105.2;108.8;102.4
48;1998 oktober;105.7;110.1;102.2
49;1998 november;105.7;109.9;102.3
50;1998 december;105.6;109.9;102.2
51;1998;105.3;108.9;102.4
52;1999 januari;106.0;110.4;102.5
53;1999 februari;106.0;110.4;102.5
54;1999 maart;106.1;110.5;102.6
55;1999 april;106.7;111.6;102.9
56;1999 mei;106.7;111.6;102.9
57;1999 juni;106.8;111.6;103.0
58;1999 juli;107.7;113.4;103.2
59;1999 augustus;107.7;113.4;103.2
60;1999 september;107.8;113.4;103.3
61;1999 oktober;107.9;113.6;103.5
62;1999 november;108.0;113.6;103.6
63;1999 december;108.4;113.6;104.4
64;1999;107.1;112.3;103.2
65;2000 januari;109.6;113.9;106.1
66;2000 februari;109.6;113.9;106.2
67;2000 maart;109.7;113.9;106.3
68;2000 april;110.2;114.0;107.1
69;2000 mei;110.2;114.0;107.1
70;2000 juni;110.3;114.3;107.2
71;2000 juli;111.9;116.0;108.6
72;2000 augustus;111.9;116.0;108.6
73;2000 september;112.0;116.0;108.9
74;2000 oktober;112.3;116.0;109.3
75;2000 november;112.3;116.0;109.3
76;2000 december;112.3;116.0;109.3
77;2000;111.0;115.0;107.8
78;2001 januari;114.5;117.1;112.4
79;2001 februari;114.7;117.1;112.8
80;2001 maart;114.6;117.1;112.7
81;2001 april;116.3;120.7;112.9
82;2001 mei;116.8;121.7;112.9
83;2001 juni;117.4;123.0;113.0
84;2001 juli;117.8;123.8;113.1
85;2001 augustus;117.9;123.8;113.2
86;2001 september;117.9;123.8;113.3
87;2001 oktober;118.0;123.9;113.3
88;2001 november;118.0;123.9;113.3
89;2001 december;118.1;123.9;113.6
90;2001;116.8;121.6;113.0
91;2002 januari;119.9;126.0;115.2
92;2002 februari;120.0;126.0;115.3
93;2002 maart;120.6;127.0;115.5
94;2002 april;120.7;127.0;115.7
95;2002 mei;120.7;127.0;115.8
96;2002 juni;120.8;127.3;115.7
97;2002 juli;122.1;130.0;115.9
98;2002 augustus;122.1;130.0;115.8
99;2002 september;122.1;130.0;115.9
100;2002 oktober;122.1;130.0;115.9
101;2002 november;122.0;129.6;116.1
102;2002 december;121.9;129.6;115.9
103;2002;121.3;128.3;115.7
104;2003 januari;123.3;131.8;116.7
105;2003 februari;123.3;131.8;116.7
106;2003 maart;123.4;131.8;116.8
107;2003 april;123.5;132.1;116.8
108;2003 mei;123.6;132.1;116.9
109;2003 juni;123.7;132.2;117.0
110;2003 juli;124.4;134.0;116.9
111;2003 augustus;124.5;134.0;117.1
112;2003 september;124.5;134.0;117.0
113;2003 oktober;123.8;132.8;116.8
114;2003 november;123.8;132.8;116.8
115;2003 december;123.8;132.8;116.7
116;2003;123.8;132.7;116.9
117;2004 januari;124.4;133.8;116.9
118;2004 februari;125.2;134.8;117.6
119;2004 maart;125.6;134.8;118.4
120;2004 april;125.4;133.6;118.9
121;2004 mei;125.3;133.6;118.8
122;2004 juni;125.7;133.8;119.3
123;2004 juli;127.0;135.9;119.9
124;2004 augustus;127.1;135.9;120.1
125;2004 september;127.0;136.1;119.8
126;2004 oktober;127.3;136.1;120.4
127;2004 november;127.1;136.1;120.1
128;2004 december;127.0;136.1;119.9
129;2004;126.2;135.0;119.2
