ID;BedrijfstakkenSBI93;Perioden;BanenWerkzamePersonen_1;ArbeidsvolumeWerkzamePersonen_2;Werknemers_3;ArbeidsvolumeWerknemers_4;TotaleBedrijfsopbrengsten_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;TotaleBedrijfslasten_8;TotaleInkoopwaardeOmzet_9;TotalePersoneleKosten_10;BrutoLonenEnSalarissen_11;SocialeVerzekeringspremiesWerkgever_12;PremiesPensioenVUTInkoopsommen_13;OverigeSocialeLasten_14;OverigePersoneleKosten_15;TotaleOverigeBedrijfslasten_16;Energiekosten_17;Huisvestingskosten_18;KostenApparatuurEnInventaris_19;KostenVervoermiddelen_20;Verkoopkosten_21;Communicatiekosten_22;KostenVanDienstverleningDoorDerden_23;NietEerderGenoemdeBedrijfslasten_24;AfschrijvingenOpVasteActiva_25;Bedrijfsresultaat_26;SaldoFinancieleBatenEnLasten_27;SaldoVoorzieningen_28;SaldoBuitengewoneBatenEnLasten_29;ResultaatVoorBelastingen_30
0;52 Detailhandel en reparatie voor ..;2006;781.4;478.2;661.1;372.9;84768.0;83992.0;777.0;79277.0;55221.0;11410.0;8655.0;1211.0;587.0;114.0;844.0;10617.0;670.0;4103.0;339.0;542.0;2097.0;296.0;859.0;1710.0;2030.0;5491.0;-245.0;5.0;52.0;5323.0
1;52 Detailhandel en reparatie voor ..;2007;829.0;502.6;696.0;387.9;89837.0;88971.0;866.0;84266.0;58992.0;11947.0;9032.0;1240.0;616.0;84.0;975.0;11346.0;719.0;4488.0;358.0;536.0;2167.0;298.0;966.0;1814.0;1980.0;5571.0;-309.0;-9.0;269.0;5521.0
2;52 Detailhandel en reparatie voor ..;2008;839.4;509.0;702.3;392.1;93932.0;93084.0;848.0;88373.0;61778.0;12513.0;9447.0;1340.0;618.0;84.0;1023.0;11992.0;762.0;4647.0;387.0;594.0;2343.0;298.0;975.0;1986.0;2091.0;5559.0;-348.0;-8.0;296.0;5500.0
3;521 Supermarkten, warenhuizen en ..;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;521 Supermarkten, warenhuizen en ..;2007;290.3;131.1;273.8;118.4;30086.0;29825.0;261.0;29287.0;22093.0;3646.0;2711.0;371.0;193.0;14.0;357.0;2925.0;239.0;1097.0;123.0;110.0;485.0;51.0;286.0;536.0;624.0;799.0;-95.0;10.0;33.0;747.0
5;521 Supermarkten, warenhuizen en ..;2008;296.5;136.8;279.1;123.9;32593.0;32309.0;283.0;31452.0;23781.0;3916.0;2898.0;418.0;193.0;13.0;394.0;3082.0;250.0;1126.0;137.0;134.0;532.0;49.0;268.0;586.0;673.0;1141.0;-92.0;-6.0;23.0;1066.0
6;5211 Supermarkten en dergelijke ..;2006;241.5;109.5;227.6;98.8;25520.0;25300.0;221.0;24683.0;19061.0;2924.0;2172.0;309.0;163.0;16.0;264.0;2209.0;181.0;740.0;97.0;112.0;367.0;44.0;192.0;475.0;489.0;837.0;-27.0;-9.0;-15.0;804.0
7;5211 Supermarkten en dergelijke ..;2007;252.8;109.9;237.6;98.2;26955.0;26708.0;247.0;26302.0;20337.0;3028.0;2240.0;311.0;161.0;13.0;302.0;2424.0;201.0;844.0;104.0;97.0;412.0;46.0;233.0;488.0;514.0;653.0;-60.0;10.0;35.0;637.0
8;5211 Supermarkten en dergelijke ..;2008;257.5;115.0;242.8;103.6;29365.0;29090.0;275.0;28408.0;22015.0;3271.0;2411.0;353.0;163.0;12.0;332.0;2556.0;210.0;862.0;117.0;119.0;454.0;44.0;219.0;531.0;566.0;957.0;-37.0;-7.0;17.0;930.0
9;5212 Warenhuizen en dergelijke ..;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
