ID;BeroepsEnEigenVervoer;Vervoerstromen;Goederensoort;Perioden;VervoerdLadinggewicht_1
0;Beroeps- en eigen vervoer;Totaal;Totaal;1975;
1;Beroeps- en eigen vervoer;Totaal;Totaal;1976;
2;Beroeps- en eigen vervoer;Totaal;Totaal;1977;
3;Beroeps- en eigen vervoer;Totaal;Totaal;1978;
4;Beroeps- en eigen vervoer;Totaal;Totaal;1979;
5;Beroeps- en eigen vervoer;Totaal;Totaal;1980;
6;Beroeps- en eigen vervoer;Totaal;Totaal;1981;
7;Beroeps- en eigen vervoer;Totaal;Totaal;1982;
8;Beroeps- en eigen vervoer;Totaal;Totaal;1983;
9;Beroeps- en eigen vervoer;Totaal;Totaal;1984;
10;Beroeps- en eigen vervoer;Totaal;Totaal;1985;
11;Beroeps- en eigen vervoer;Totaal;Totaal;1986;
12;Beroeps- en eigen vervoer;Totaal;Totaal;1987;
13;Beroeps- en eigen vervoer;Totaal;Totaal;1988;
14;Beroeps- en eigen vervoer;Totaal;Totaal;1989;
15;Beroeps- en eigen vervoer;Totaal;Totaal;1990;
16;Beroeps- en eigen vervoer;Totaal;Totaal;1991;
17;Beroeps- en eigen vervoer;Totaal;Totaal;1992;
18;Beroeps- en eigen vervoer;Totaal;Totaal;1993;
19;Beroeps- en eigen vervoer;Totaal;Totaal;1994;
20;Beroeps- en eigen vervoer;Totaal;Totaal;1995;
21;Beroeps- en eigen vervoer;Totaal;Totaal;1996;
22;Beroeps- en eigen vervoer;Totaal;Totaal;1997;584441.0
23;Beroeps- en eigen vervoer;Totaal;Totaal;1998;598510.0
24;Beroeps- en eigen vervoer;Totaal;Totaal;1999;667002.0
25;Beroeps- en eigen vervoer;Totaal;Totaal;2000;640579.0
26;Beroeps- en eigen vervoer;Totaal;Totaal;2001;650092.0
27;Beroeps- en eigen vervoer;Totaal;Totaal;2002;624668.0
28;Beroeps- en eigen vervoer;Totaal;Totaal;2003;628812.0
29;Beroeps- en eigen vervoer;Totaal;Totaal;2004;672318.0
30;Beroeps- en eigen vervoer;Totaal;Totaal;2005;674947.0
31;Beroeps- en eigen vervoer;Totaal;Totaal;2006;680409.0
32;Beroeps- en eigen vervoer;Totaal;Totaal;2007;700291.0
33;Beroeps- en eigen vervoer;Totaal;Totaal;2008;682134.0
34;Beroeps- en eigen vervoer;Totaal;Totaal;2009;675315.0
35;Beroeps- en eigen vervoer;Totaal;Totaal;2010;657702.0
36;Beroeps- en eigen vervoer;Totaal;Totaal;2011;657859.0
37;Beroeps- en eigen vervoer;Totaal;Totaal;2012;631705.0
38;Beroeps- en eigen vervoer;Totaal;Totaal;2013;642050.0
39;Beroeps- en eigen vervoer;Totaal;Totaal;2014;639692.0
40;Beroeps- en eigen vervoer;Totaal;Totaal;2015;641440.0
41;Beroeps- en eigen vervoer;Totaal;Totaal;2016;656417.0
42;Beroeps- en eigen vervoer;Totaal;Totaal;2017;665992.0
43;Beroeps- en eigen vervoer;Totaal;Totaal;2018;680169.0
44;Beroeps- en eigen vervoer;Totaal;Totaal;2019;688739.0
45;Beroeps- en eigen vervoer;Totaal;Totaal;2020;684241.0
46;Beroeps- en eigen vervoer;Totaal;Totaal;2021;699323.0
47;Beroeps- en eigen vervoer;Totaal;Totaal;2022;690726.0
48;Beroeps- en eigen vervoer;Totaal;Totaal;2023;642195.0
49;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1975;
50;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1976;
51;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1977;
52;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1978;
53;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1979;
54;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1980;
55;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1981;
56;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1982;
57;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1983;
58;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1984;
59;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1985;
60;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1986;
61;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1987;
62;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1988;
63;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1989;
64;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1990;
65;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1991;
66;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1992;
67;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1993;
68;Beroeps- en eigen vervoer;Totaal;0 Landbouwproducten en levende dieren;1994;
