ID;SBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;CumulatieveOmzetontwikkeling_3
0;I Vervoer, opslag en communicatie;2003 1e kwartaal;94;;
1;I Vervoer, opslag en communicatie;2003 2e kwartaal;100;;
2;I Vervoer, opslag en communicatie;2003 3e kwartaal;102;;
3;I Vervoer, opslag en communicatie;2003 4e kwartaal;103;;
4;I Vervoer, opslag en communicatie;2003;100;;
5;I Vervoer, opslag en communicatie;2004 1e kwartaal;98;3.9;3.9
6;I Vervoer, opslag en communicatie;2004 2e kwartaal;104;4.1;4.0
7;I Vervoer, opslag en communicatie;2004 3e kwartaal;108;5.7;4.6
8;I Vervoer, opslag en communicatie;2004 4e kwartaal;110;6.5;5.1
9;I Vervoer, opslag en communicatie;2004;105;5.1;5.1
10;I Vervoer, opslag en communicatie;2005 1e kwartaal;103;5.1;5.1
11;I Vervoer, opslag en communicatie;2005 2e kwartaal;112;7.0;6.1
12;I Vervoer, opslag en communicatie;2005 3e kwartaal;115;5.7;5.9
13;I Vervoer, opslag en communicatie;2005 4e kwartaal;115;5.1;5.7
14;I Vervoer, opslag en communicatie;2005;111;5.7;5.7
15;I Vervoer, opslag en communicatie;2006 1e kwartaal;110;7.2;7.2
16;I Vervoer, opslag en communicatie;2006 2e kwartaal;117;4.8;6.0
17;I Vervoer, opslag en communicatie;2006 3e kwartaal;120;4.6;5.5
18;I Vervoer, opslag en communicatie;2006 4e kwartaal;121;4.8;5.3
19;I Vervoer, opslag en communicatie;2006;117;5.3;5.3
20;I Vervoer, opslag en communicatie;2007 1e kwartaal;117;6.1;6.1
21;I Vervoer, opslag en communicatie;2007 2e kwartaal;125;6.7;6.4
22;I Vervoer, opslag en communicatie;2007 3e kwartaal;128;6.8;6.5
23;I Vervoer, opslag en communicatie;2007 4e kwartaal;127;5.3;6.2
24;I Vervoer, opslag en communicatie;2007;124;6.2;6.2
25;I Vervoer, opslag en communicatie;2008 1e kwartaal;121;3.4;3.4
26;I Vervoer, opslag en communicatie;2008 2e kwartaal;129;3.0;3.2
27;I Vervoer, opslag en communicatie;2008 3e kwartaal;130;1.8;2.7
28;I Vervoer, opslag en communicatie;2008 4e kwartaal;127;0.2;2.1
29;I Vervoer, opslag en communicatie;2008;127;2.1;2.1
30;60 Vervoer over land;2003 1e kwartaal;94;;
31;60 Vervoer over land;2003 2e kwartaal;102;;
32;60 Vervoer over land;2003 3e kwartaal;98;;
33;60 Vervoer over land;2003 4e kwartaal;106;;
34;60 Vervoer over land;2003;100;;
35;60 Vervoer over land;2004 1e kwartaal;98;4.5;4.5
36;60 Vervoer over land;2004 2e kwartaal;109;6.2;5.4
37;60 Vervoer over land;2004 3e kwartaal;104;6.1;5.6
38;60 Vervoer over land;2004 4e kwartaal;116;9.8;6.7
39;60 Vervoer over land;2004;107;6.7;6.7
40;60 Vervoer over land;2005 1e kwartaal;102;3.9;3.9
41;60 Vervoer over land;2005 2e kwartaal;114;4.8;4.4
42;60 Vervoer over land;2005 3e kwartaal;110;6.1;4.9
43;60 Vervoer over land;2005 4e kwartaal;122;4.9;4.9
44;60 Vervoer over land;2005;112;4.9;4.9
45;60 Vervoer over land;2006 1e kwartaal;113;10.4;10.4
46;60 Vervoer over land;2006 2e kwartaal;126;10.5;10.4
47;60 Vervoer over land;2006 3e kwartaal;121;9.8;10.2
48;60 Vervoer over land;2006 4e kwartaal;131;7.8;9.6
49;60 Vervoer over land;2006;123;9.6;9.6
50;60 Vervoer over land;2007 1e kwartaal;123;9.3;9.3
51;60 Vervoer over land;2007 2e kwartaal;135;7.6;8.4
52;60 Vervoer over land;2007 3e kwartaal;130;7.6;8.1
53;60 Vervoer over land;2007 4e kwartaal;138;5.5;7.4
54;60 Vervoer over land;2007;132;7.4;7.4
55;60 Vervoer over land;2008 1e kwartaal;131;6.2;6.2
56;60 Vervoer over land;2008 2e kwartaal;143;5.5;5.8
57;60 Vervoer over land;2008 3e kwartaal;138;6.0;5.9
58;60 Vervoer over land;2008 4e kwartaal;140;1.4;4.7
59;60 Vervoer over land;2008;138;4.7;4.7
60;601 Vervoer per spoor;2003 1e kwartaal;96;;
61;601 Vervoer per spoor;2003 2e kwartaal;104;;
62;601 Vervoer per spoor;2003 3e kwartaal;95;;
63;601 Vervoer per spoor;2003 4e kwartaal;106;;
64;601 Vervoer per spoor;2003;100;;
65;601 Vervoer per spoor;2004 1e kwartaal;105;9.7;9.7
66;601 Vervoer per spoor;2004 2e kwartaal;118;13.7;11.7
67;601 Vervoer per spoor;2004 3e kwartaal;106;11.5;11.7
68;601 Vervoer per spoor;2004 4e kwartaal;120;12.9;12.0
69;601 Vervoer per spoor;2004;112;12.0;12.0
