ID;Perioden;TotaalActiva_1;ImmaterieleActiva_2;OnroerendeZaken_3;NietGeconsolideerdeDeelnemingen_4;Aandelen_5;Obligaties_6;BelangenInBeleggingspools_7;HypothecaireLeningen_8;LeningenOpSchuldbekentenis_9;Polisbeleningen_10;DepositoSBijKredietinstellingen_11;OverigeBeleggingen_12;DepotsBijVerzekeraars_13;BeleggingenVoorRisicoPolishouders_14;KortlopendeVorderingen_15;OverigeActiva_16;OverlopendeActiva_17;TotaalPassiva_18;GestortEnOpgevraagdKapitaal_19;Agio_20;Herwaarderingsreserve_21;WettelijkeEnStatutaireReserves_22;OverigeReserves_23;OnverdeeldeWinst_24;AchtergesteldeSchulden_25;TotaalTechnVoorzRisicoVerzekeraars_26;VoorNietVerdiendePremies_27;VoorLevensverzekering_28;VoorTeBetalenSchadenUitkeringen_29;VoorWinstverdelingEnKortingen_30;OverigeTechnischeVoorziening_31;TechnVoorzieningenRisicoPolishouders_32;BedrijfseconomischeVoorzieningen_33;DepotsVanHerverzekeraars_34;KortlopendeSchulden_35;OverlopendePassiva_36;TotaalLasten_37;TotaalTechnischeRekening_38;UitkeringenEigenRekening_39;WijzigingOverigeTVEigenRekening_40;WinstdelingEnKortingen_41;Bedrijfskosten_42;Beleggingslasten_43;NietGerealiseerdVerliesOpBeleggingen_44;GeboektTenGunsteVanReserves_45;OverigeTechnischeLastenEigenRekening_46;AanNTRToegerekendeBeleggingsopbrengst_47;ResultaatTechnischeRekening_48;TotaalNietTechnischeRekening_49;AndereLasten_50;AandeelVanDerdenInResultaat_51;BelastingenResultaat_52;BuitengewoneLasten_53;BelastingenBuitengewoonResultaat_54;ResultaatNaBelastingen_55;TotaalBaten_56;TotaalTechnischeRekening_57;VerdiendePremiesEigenRekening_58;OpbrengstenUitBeleggingen_59;NietGerealiseerdeWinstOpBeleggingen_60;GeboektTenLasteVanReserves_61;OverigeTechnischeBatenEigenRekening_62;TotaalNietTechnischeRekening_63;ResultaatTechnischeRekening_64;ToegerekendeOpbrengstUitBeleggingen_65;AndereBaten_66;BuitengewoneBaten_67
0;1975;17632;;1241;;624;584;;3824;5748;127.0;;3887;;;1597;;;17632;153;;;;1192;1.0;;14866;;14700;39.0;127.0;;;;;1420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1976;19624;;1394;;604;587;;4265;6611;138.0;;4319;;;1706;;;19624;153;;;;1410;0.0;;16558;;16371;40.0;147.0;;;;;1503;;3679.0;3237.0;672.0;1772.0;209.0;557.0;;17.0;10.0;;;;442.0;144.0;;;;;298.0;3679.0;3623.0;2271.0;1312.0;24.0;16.0;;56.0;;;56.0;
2;1977;22102;;1571;;635;638;;5276;6956;132.0;;4973;;;1921;;;22102;201;;;;1683;-2.0;;18386;;18174;44.0;168.0;;;;;1834;;3979.0;3448.0;787.0;1799.0;234.0;605.0;;20.0;3.0;;;;531.0;184.0;;;;;347.0;3979.0;3942.0;2403.0;1511.0;24.0;4.0;;37.0;;;37.0;
3;1978;24777;;1777;;695;691;;5896;7883;130.0;;5691;;;2014;;;24777;201;;;;2027;-1.0;;20321;;20078;54.0;189.0;;;;;2229;;4279.0;3630.0;815.0;1899.0;257.0;633.0;;21.0;5.0;;;;649.0;245.0;;;;;404.0;4279.0;4246.0;2508.0;1708.0;26.0;4.0;;33.0;;;33.0;
4;1979;27345;;1912;;852;736;;6488;8593;134.0;;6454;;;2176;;;27345;201;;;;2093;-1.0;;22493;;22209;63.0;221.0;;;;;2559;;4766.0;4012.0;906.0;2138.0;278.0;664.0;;21.0;5.0;;;;754.0;283.0;;;;;471.0;4766.0;4735.0;2794.0;1910.0;25.0;6.0;;31.0;;;31.0;
5;1980;30303;;2195;40.0;929;680;;7472;10008;123.0;120.0;7093;;;1498;145.0;;30303;223;;;;2406;;278.0;23525;;23525;;;;;148.0;255.0;3468;;5370.0;4429.0;1165.0;2207.0;324.0;701.0;;28.0;4.0;;;;941.0;399.0;;;;;542.0;5370.0;5330.0;3072.0;2178.0;64.0;16.0;;40.0;;;40.0;
6;1981;32528;;2285;41.0;895;807;;7568;10973;84.0;143.0;7954;;;1616;162.0;;32528;245;;;;2514;;292.0;25192;;25192;;;;;136.0;304.0;3845;;6291.0;5142.0;1918.0;1982.0;420.0;775.0;;47.0;;;;;1149.0;707.0;;89.0;;;353.0;6291.0;6188.0;3633.0;2518.0;37.0;;;103.0;;;103.0;
7;1982;36111;;2286;49.0;994;1065;;7644;13089;75.0;145.0;8752;;;1770;242.0;;36111;247;;;;2851;;425.0;27885;;27885;;;;;162.0;354.0;4187;;7102.0;5784.0;1310.0;3204.0;381.0;827.0;;62.0;;;;;1318.0;850.0;;118.0;;;350.0;7102.0;6974.0;4044.0;2839.0;91.0;;;128.0;;;128.0;
8;1983;41271;;2311;69.0;1522;1289;;7991;15299;65.0;159.0;10392;;;1938;236.0;;41271;264;;;;3337;;495.0;31116;;31116;;;;;185.0;427.0;5447;;8279.0;6412.0;1433.0;3630.0;468.0;849.0;;32.0;;;;;1867.0;1339.0;;140.0;;;388.0;8279.0;8110.0;4332.0;3229.0;549.0;;;170.0;;;170.0;
9;1984;45679;;2344;30.0;1603;1758;;8163;16991;64.0;150.0;12153;;;2138;285.0;;45679;296;;;;3784;;576.0;34592;;34592;;;;;202.0;497.0;5732;;8680.0;6813.0;1635.0;3778.0;511.0;857.0;;32.0;;;;;1866.0;1304.0;;141.0;;;421.0;8680.0;8492.0;4633.0;3571.0;288.0;;;188.0;;;188.0;
10;1984 na rapportagewijziging;46984;;4749;30.0;3259;3495;;10156;18901;72.0;150.0;3563;;;2256;353.0;;46984;264;;;;3423;;1490.0;37294;;36819;;;475.0;;293.0;133.0;4087;;10098.0;7894.0;2017.0;3684.0;1260.0;926.0;;7.0;;;;;2204.0;1520.0;11.0;149.0;35.0;;489.0;10098.0;9948.0;4913.0;3898.0;1137.0;;;150.0;;;130.0;20.0
11;1985;52482;;4932;42.0;4489;4117;;11079;20817;66.0;134.0;3941;;;2642;223.0;;52482;271;;;;4686;;1608.0;41075;;40540;;;535.0;;313.0;138.0;4391;;9638.0;8400.0;2078.0;3969.0;1325.0;999.0;;29.0;;;;;1238.0;557.0;11.0;150.0;22.0;;498.0;9638.0;9449.0;5175.0;4259.0;15.0;;;189.0;;;132.0;57.0
12;1986;57866;;5051;51.0;4966;4596;;11901;23537;59.0;263.0;4246;;;2898;298.0;;57866;286;;;;5008;;1901.0;45430;;44530;;;900.0;;306.0;223.0;4712;;10454.0;8988.0;2295.0;4008.0;1345.0;1084.0;;;;;;256.0;1466.0;666.0;10.0;167.0;92.0;;531.0;10454.0;8988.0;5669.0;4441.0;-1122.0;;;1466.0;256.0;;1120.0;90.0
13;1987;61150;;5276;30.0;4381;4838;;12932;25222;64.0;350.0;4393;;;3217;447.0;;61150;301;;;;4228;;2060.0;49544;;48522;;;1022.0;;203.0;241.0;4573;;15041.0;12533.0;2449.0;5250.0;1455.0;1198.0;;;;;;2181.0;2508.0;1703.0;4.0;152.0;104.0;;545.0;15041.0;12533.0;6515.0;4877.0;1141.0;;;2508.0;2181.0;;294.0;33.0
14;1988;69902;;5980;39.0;6044;5993;;14409;27730;60.0;504.0;4984;;;3676;483.0;;69902;333;;;;5231;;3719.0;54818;;53614;;;1204.0;;;291.0;5510;;15996.0;13637.0;2768.0;5836.0;1581.0;1327.0;;;;;;2125.0;2359.0;1510.0;1.0;174.0;19.0;;655.0;15996.0;13637.0;7451.0;5393.0;793.0;;;2359.0;2125.0;;150.0;84.0
15;1989;78717;;6263;33.0;7725;6689;;15512;31693;63.0;656.0;5363;;;4161;559.0;;78717;366;;;;6213;;4477.0;61786;;60362;;;1424.0;;;345.0;5530;;15733.0;13722.0;3496.0;6619.0;1659.0;1467.0;;;;;;481.0;2011.0;1104.0;9.0;171.0;20.0;;707.0;15733.0;13722.0;9295.0;5863.0;-1436.0;;;2011.0;481.0;;1469.0;61.0
16;1990;84518;;6744;30.0;6960;8600;;16085;33032;64.0;1148.0;6440;;;4882;533.0;;84518;406;;;;5146;;4561.0;67687;;66249;;;1438.0;;;383.0;6335;;19793.0;17625.0;3487.0;8607.0;1997.0;1638.0;;;;;;1896.0;2168.0;1114.0;9.0;186.0;44.0;;815.0;19793.0;17625.0;10577.0;6016.0;1032.0;;;2168.0;1896.0;;243.0;29.0
