ID;Overheidssectoren;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3
0;Totaal overheid;1997 1e kwartaal;9.4;13.9;13.4
1;Totaal overheid;1997 2e kwartaal;11.6;15.6;13.3
2;Totaal overheid;1997 3e kwartaal;10.7;18.3;19.3
3;Totaal overheid;1997 4e kwartaal;10.6;13.0;12.6
4;Totaal overheid;1997 jaargem. /jaartotaal;;61.0;59.0
5;Totaal overheid;1998 1e kwartaal;12.1;16.7;15.3
6;Totaal overheid;1998 2e kwartaal;14.3;16.6;14.5
7;Totaal overheid;1998 3e kwartaal;12.6;20.6;22.3
8;Totaal overheid;1998 4e kwartaal;13.6;15.1;14.0
9;Totaal overheid;1998 jaargem. /jaartotaal;12.8;69.0;66.0
10;Totaal overheid;1999 1e kwartaal;13.8;18.1;17.7
11;Totaal overheid;1999 2e kwartaal;16.8;19.4;16.3
12;Totaal overheid;1999 3e kwartaal;14.8;20.9;23.1
13;Totaal overheid;1999 4e kwartaal;17.2;16.3;14.0
14;Totaal overheid;1999 jaargem. /jaartotaal;15.2;75.0;71.0
15;Totaal overheid;2000 1e kwartaal;16.2;17.3;18.2
16;Totaal overheid;2000 2e kwartaal;18.2;19.5;17.5
17;Totaal overheid;2000 3e kwartaal;15.4;22.8;25.5
18;Totaal overheid;2000 4e kwartaal;16.9;18.5;17.0
19;Totaal overheid;2000 jaargem. /jaartotaal;16.7;78.0;78.0
20;Totaal overheid;2001 1e kwartaal;16.4;18.8;19.3
21;Totaal overheid;2001 2e kwartaal;17.8;22.0;20.5
22;Totaal overheid;2001 3e kwartaal;16.1;21.8;23.8
23;Totaal overheid;2001 4e kwartaal;17.6;18.5;16.8
24;Totaal overheid;2001 jaargem. /jaartotaal;16.9;81.0;80.0
25;Totaal overheid;2002 1e kwartaal;16.7;18.4;19.4
26;Totaal overheid;2002 2e kwartaal;17.5;19.3;18.2
27;Totaal overheid;2002 3e kwartaal;13.1;19.8;24.4
28;Totaal overheid;2002 4e kwartaal;14.2;14.0;12.6
29;Totaal overheid;2002 jaargem. /jaartotaal;15.8;72.0;75.0
30;Totaal overheid;2003 1e kwartaal;11.5;12.3;15.0
31;Totaal overheid;2003 2e kwartaal;12.2;13.9;13.0
32;Totaal overheid;2003 3e kwartaal;9.6;14.1;16.7
33;Totaal overheid;2003 4e kwartaal;9.5;10.4;10.4
