ID;Perioden;Woningen_1;Wooneenheden_2;Recreatiewoningen_3;IndexWoningen2012100_4
0;2012 januari;2620;250;67;79.9
1;2012 februari;3409;700;8;104.0
2;2012 maart;3061;555;26;93.3
3;2012 april;2609;0;61;79.5
4;2012 mei;4022;271;84;122.6
5;2012 juni;3949;0;30;120.4
6;2012 juli;5049;0;69;154.0
7;2012 augustus;2397;0;47;73.1
8;2012 september;3223;0;34;98.3
9;2012 oktober;3625;0;17;110.5
10;2012 november;2934;56;39;89.5
11;2012 december;2456;630;54;74.9
12;2013 januari;1903;0;113;58.0
13;2013 februari;2585;698;34;78.8
14;2013 maart;1790;0;6;54.6
15;2013 april;2918;233;41;89.0
16;2013 mei;2457;349;20;74.9
17;2013 juni;1607;42;11;49.0
18;2013 juli;2382;0;46;72.6
19;2013 augustus;1737;0;10;53.0
20;2013 september;1974;0;17;60.2
21;2013 oktober;3033;80;12;92.5
22;2013 november;2573;700;34;78.5
23;2013 december;2274;329;5;69.3
24;2014 januari;2599;0;82;79.3
25;2014 februari;2486;0;39;75.8
26;2014 maart;2923;0;54;89.1
27;2014 april;3097;711;24;94.4
28;2014 mei;3113;0;27;94.9
29;2014 juni;2629;0;68;80.2
30;2014 juli;4273;0;20;130.3
31;2014 augustus;2686;0;39;81.9
32;2014 september;5348;0;30;163.1
33;2014 oktober;4224;0;15;128.8
34;2014 november;3731;0;161;113.8
35;2014 december;4211;0;63;128.4
36;2015 januari;4108;0;116;125.3
37;2015 februari;7540;0;156;229.9
38;2015 maart;6665;0;87;203.2
39;2015 april;6785;0;112;206.9
40;2015 mei;4370;612;14;133.2
41;2015 juni;4142;0;29;126.3
42;2015 juli;3780;0;54;115.3
43;2015 augustus;2989;0;16;91.1
44;2015 september;3976;381;61;121.2
45;2015 oktober;3604;18;94;109.9
46;2015 november;3591;44;33;109.5
47;2015 december;4049;42;72;123.5
48;2016 januari;3172;0;90;96.7
49;2016 februari;3541;0;44;108.0
50;2016 maart;4286;461;117;130.7
51;2016 april;3510;0;112;107.0
52;2016 mei;4461;8;66;136.0
53;2016 juni;4634;15;20;141.3
54;2016 juli;4472;58;48;136.4
55;2016 augustus;3665;0;54;111.7
56;2016 september;5565;0;106;169.7
57;2016 oktober;6034;77;51;184.0
58;2016 november;4810;0;98;146.7
59;2016 december;5417;0;20;165.2
60;2017 januari;4800;0;202;146.4
61;2017 februari;4532;0;44;138.2
62;2017 maart;7462;256;55;227.5
63;2017 april;5986;0;103;182.5
64;2017 mei;5163;0;31;157.4
65;2017 juni;4903;0;41;149.5
66;2017 juli;6831;325;78;208.3
67;2017 augustus;5561;0;32;169.6
68;2017 september;7104;0;86;216.6
69;2017 oktober;6580;0;62;200.6
70;2017 november;5838;0;66;178.0
71;2017 december;4981;0;24;151.9
72;2018 januari;4523;0;147;137.9
73;2018 februari;6063;10;154;184.9
74;2018 maart;6365;16;131;194.1
75;2018 april;4172;0;38;127.2
76;2018 mei;4524;0;25;137.9
77;2018 juni;6283;0;98;191.6
78;2018 juli;5986;0;162;182.5
79;2018 augustus;4779;0;99;145.7
80;2018 september;6467;0;44;197.2
81;2018 oktober;9583;0;248;292.2
82;2018 november;5674;0;80;173.0
83;2018 december;5615;0;20;171.2
84;2019 januari;4070;0;16;124.1
85;2019 februari;3941;0;95;120.2
86;2019 maart;5116;0;32;156.0
87;2019 april;5464;0;138;166.6
88;2019 mei;3861;0;72;117.7
89;2019 juni;4270;0;70;130.2
90;2019 juli;5211;0;91;158.9
91;2019 augustus;2960;0;51;90.3
92;2019 september;5177;0;56;157.9
93;2019 oktober;6803;0;115;207.4
