ID;TypeInstelling;Perioden;AantalBedrijven_1;TotaalBedrijfsopbrengsten_2;NettoOmzet_3;TotaalOverigeBedrijfsopbrengsten_4;SubsidiesEnBijdragen_5;OverigeBedrijfsopbrengstenNietEerd_6;TotaalBedrijfslasten_7;TotaalArbeidskosten_8;LonenEnSalarissen_9;Pensioenlasten_10;SocialeLasten_11;AfschrijvingenOpVasteActiva_12;TotaalOverigeBedrijfslasten_13;TotaalAnderePersoneelskosten_14;KostenUitzendkrachtenEnOverigeInleen_15;OverigePersoneelskosten_16;OverigeBedrijfslastenNietEerderGe_17;Bedrijfsresultaat_18;FinancieleBaten_19;FinancieleLasten_20;FinancieelResultaat_21;VrijvalVoorzieningen_22;ToevoegingenVoorzieningen_23;SaldoVoorzieningen_24;BuitengewoneBaten_25;BuitengewoneLasten_26;BuitengewoonResultaat_27;ResultaatVoorBelastingen_28
0;85331 Kinderopvang;2001;2390;1104;760;344;326;18;1079;778;;;;26;276;43;;;233;24;3.0;7.0;-4;;;;9.0;13.0;-5;15
1;85331 Kinderopvang;2002;2370;1283;968;315;300;15;1237;869;;;;34;335;58;;;277;46;3.0;9.0;-6;;;;6.0;14.0;-9;31
2;85331 Kinderopvang;2003;2780;1487;1189;298;282;16;1394;965;792.0;45.0;163.0;40;388;66;20.0;46.0;322;93;9.0;12.0;-3;4.0;8.0;-4.0;7.0;3.0;3;90
3;85331 Kinderopvang;2004;2865;1730;1532;197;182;15;1622;1096;893.0;60.0;143.0;56;470;73;15.0;58.0;397;108;;;-6;;;0.0;;;2;104
4;85331 Kinderopvang;2005;3015;1856;1666;190;173;17;1770;1195;965.0;77.0;153.0;64;510;69;19.0;50.0;441;86;;;-7;;;0.0;;;2;81
5;85331 Kinderopvang;2006 oud;3285;2049;1841;208;188;19;1910;1285;1044.0;86.0;154.0;68;556;67;19.0;48.0;489;139;;;-5;;;-2.0;;;3;137
6;85331 Kinderopvang;2006 nieuw;2710;2093;1862;230;211;19;1952;1320;1077.0;87.0;156.0;69;562;68;19.0;49.0;494;141;;;-5;7.0;9.0;-2.0;;;3;139
7;85331 Kinderopvang;2007;3025;2419;2196;223;209;14;2253;1515;1247.0;97.0;171.0;70;669;96;34.0;62.0;573;166;;;-3;6.0;8.0;-2.0;;;2;166
8;85331 Kinderopvang;2008;3125;2930;2697;233;217;16;2702;1799;1472.0;119.0;208.0;82;820;119;45.0;74.0;701;228;;;-3;5.0;9.0;-4.0;;;1;222
9;85335 Welzijn Ouderen;2001;310;122;49;72;68;5;124;48;;;;3;72;7;;;65;-2;0.0;1.0;-1;;;;1.0;1.0;0;-3
10;85335 Welzijn Ouderen;2002;270;119;43;76;74;3;119;50;;;;3;66;7;;;59;1;0.0;1.0;0;;;;1.0;2.0;-1;0
