ID;ClimateSector;Emission;Periods;EmissionsOfGreenhouseGases_1
0;Total climate sectors;Total greenhouse gases;2019 1st quarter;54.1
1;Total climate sectors;Total greenhouse gases;2019 2nd quarter;41.7
2;Total climate sectors;Total greenhouse gases;2019 3rd quarter;38.8
3;Total climate sectors;Total greenhouse gases;2019 4th quarter;50.6
4;Total climate sectors;Total greenhouse gases;2019;185.3
5;Total climate sectors;Total greenhouse gases;2020 1st quarter;48.5
6;Total climate sectors;Total greenhouse gases;2020 2nd quarter;35.9
7;Total climate sectors;Total greenhouse gases;2020 3rd quarter;37.9
8;Total climate sectors;Total greenhouse gases;2020 4th quarter;46.0
9;Total climate sectors;Total greenhouse gases;2020;168.3
10;Total climate sectors;Total greenhouse gases;2021 1st quarter;49.2
11;Total climate sectors;Total greenhouse gases;2021 2nd quarter;39.4
12;Total climate sectors;Total greenhouse gases;2021 3rd quarter;36.2
13;Total climate sectors;Total greenhouse gases;2021 4th quarter;45.7
14;Total climate sectors;Total greenhouse gases;2021;170.6
15;Total climate sectors;Total greenhouse gases;2022 1st quarter;44.4
16;Total climate sectors;Total greenhouse gases;2022 2nd quarter;36.5
17;Total climate sectors;Total greenhouse gases;2022 3rd quarter;35.2
18;Total climate sectors;Total greenhouse gases;2022 4th quarter;40.9
19;Total climate sectors;Total greenhouse gases;2022;157.0
20;Total climate sectors;Total greenhouse gases;2023 1st quarter;42.2
21;Total climate sectors;Total greenhouse gases;2023 2nd quarter;34.1
22;Total climate sectors;Total greenhouse gases;2023 3rd quarter;31.5
23;Total climate sectors;Total greenhouse gases;2023 4th quarter;38.6
24;Total climate sectors;Total greenhouse gases;2023;146.4
25;Total climate sectors;Total greenhouse gases;2024 1st quarter;40.5
26;Total climate sectors;Total greenhouse gases;2024 2nd quarter;32.4
27;Total climate sectors;Total greenhouse gases;2024 3rd quarter;31.2
28;Total climate sectors;Total greenhouse gases;2024 4th quarter;40.0
29;Total climate sectors;Total greenhouse gases;2024;144.2
30;Total climate sectors;Carbon dioxide (CO2);2019 1st quarter;46.6
31;Total climate sectors;Carbon dioxide (CO2);2019 2nd quarter;34.6
32;Total climate sectors;Carbon dioxide (CO2);2019 3rd quarter;31.8
33;Total climate sectors;Carbon dioxide (CO2);2019 4th quarter;43.3
34;Total climate sectors;Carbon dioxide (CO2);2019;156.2
35;Total climate sectors;Carbon dioxide (CO2);2020 1st quarter;41.1
36;Total climate sectors;Carbon dioxide (CO2);2020 2nd quarter;29.0
37;Total climate sectors;Carbon dioxide (CO2);2020 3rd quarter;31.1
38;Total climate sectors;Carbon dioxide (CO2);2020 4th quarter;38.8
39;Total climate sectors;Carbon dioxide (CO2);2020;140.0
40;Total climate sectors;Carbon dioxide (CO2);2021 1st quarter;42.1
41;Total climate sectors;Carbon dioxide (CO2);2021 2nd quarter;32.6
42;Total climate sectors;Carbon dioxide (CO2);2021 3rd quarter;29.5
43;Total climate sectors;Carbon dioxide (CO2);2021 4th quarter;38.8
44;Total climate sectors;Carbon dioxide (CO2);2021;143.1
45;Total climate sectors;Carbon dioxide (CO2);2022 1st quarter;37.6
46;Total climate sectors;Carbon dioxide (CO2);2022 2nd quarter;30.0
47;Total climate sectors;Carbon dioxide (CO2);2022 3rd quarter;28.8
48;Total climate sectors;Carbon dioxide (CO2);2022 4th quarter;34.4
49;Total climate sectors;Carbon dioxide (CO2);2022;130.8
50;Total climate sectors;Carbon dioxide (CO2);2023 1st quarter;35.6
51;Total climate sectors;Carbon dioxide (CO2);2023 2nd quarter;27.7
52;Total climate sectors;Carbon dioxide (CO2);2023 3rd quarter;25.2
53;Total climate sectors;Carbon dioxide (CO2);2023 4th quarter;32.1
54;Total climate sectors;Carbon dioxide (CO2);2023;120.6
55;Total climate sectors;Carbon dioxide (CO2);2024 1st quarter;33.9
56;Total climate sectors;Carbon dioxide (CO2);2024 2nd quarter;26.0
57;Total climate sectors;Carbon dioxide (CO2);2024 3rd quarter;24.9
58;Total climate sectors;Carbon dioxide (CO2);2024 4th quarter;33.5
59;Total climate sectors;Carbon dioxide (CO2);2024;118.3
60;Total climate sectors;Other greenhouse gases;2019 1st quarter;7.5
61;Total climate sectors;Other greenhouse gases;2019 2nd quarter;7.1
62;Total climate sectors;Other greenhouse gases;2019 3rd quarter;7.0
63;Total climate sectors;Other greenhouse gases;2019 4th quarter;7.4
64;Total climate sectors;Other greenhouse gases;2019;29.1
65;Total climate sectors;Other greenhouse gases;2020 1st quarter;7.3
66;Total climate sectors;Other greenhouse gases;2020 2nd quarter;6.9
67;Total climate sectors;Other greenhouse gases;2020 3rd quarter;6.8
