ID;Persoonskenmerken;Cijfersoort;Perioden;WelEens_1;Vaak_2;WelEens_3;Vaak_4;VoeltZichSAvondsInBuurtOnveilig_5;VoeltZichSAvondsNietOpGemak_6;RondomUitgaansgelegenheden_7;RondomPlekkenWaarJongerenRondhangen_8;InHetCentrum_9;WinkelcentrumEigenBuurt_10;InHetOpenbaarVervoer_11;BijHetTreinstation_12;InEigenHuis_13;KansOpWoninginbraak_14;KansOpMishandeling_15;KansOpPortemonneediefstal_16;DoetSAvondsNietOpen_17;RijdtOfLooptOm_18;KinderenMogenErgensNietNaarToe_19
0;1100;Waarde;2008;25.5;2.1;15.4;1.8;22.7;43.2;22.4;13.6;17.7;26.0;5.3;5.3;1.5;5.5;8.3;4.0;3.6;4.0;2.5
1;1100;Waarde;2009;25.8;2.4;17.0;2.0;25.2;45.5;23.2;15.0;19.2;26.3;6.6;5.8;1.7;5.3;10.0;4.0;4.0;4.3;2.4
2;1100;Betrouwbaarheidsmarge;2008;0.7;0.2;0.6;0.2;0.8;0.9;0.8;0.6;0.7;0.8;0.4;0.4;0.2;0.3;0.4;0.4;0.4;0.3;0.3
3;1100;Betrouwbaarheidsmarge;2009;0.4;0.1;0.3;0.1;0.6;0.6;0.6;0.5;0.5;0.6;0.3;0.2;0.1;0.2;0.3;0.2;0.2;0.2;0.2
4;20920;Waarde;2008;32.7;3.1;20.2;3.0;29.8;53.5;24.1;16.3;20.9;35.4;7.5;5.2;2.4;6.4;5.6;8.5;2.2;5.8;7.3
5;20920;Waarde;2009;30.8;2.3;17.7;1.6;30.9;56.7;22.6;13.7;23.3;32.7;7.6;4.4;2.1;6.1;8.1;8.2;2.6;6.1;5.6
6;20920;Betrouwbaarheidsmarge;2008;4.0;1.7;3.5;1.9;4.1;4.6;4.1;3.9;4.0;4.6;2.8;2.5;1.0;2.3;1.9;3.2;1.8;2.4;2.7
7;20920;Betrouwbaarheidsmarge;2009;2.0;0.6;1.6;0.5;2.9;3.2;2.6;2.0;2.6;2.9;1.5;0.9;0.5;1.1;1.3;1.5;0.6;1.0;1.1
8;20930;Waarde;2008;32.7;2.8;20.2;2.4;34.6;54.6;26.9;15.3;26.0;38.9;7.8;5.4;2.0;6.5;6.1;5.4;1.2;6.3;4.5
9;20930;Waarde;2009;34.8;3.1;22.2;2.7;36.8;56.0;25.9;15.5;26.1;35.3;8.4;6.3;2.5;6.0;7.3;5.3;1.9;5.9;4.7
10;20930;Betrouwbaarheidsmarge;2008;2.5;0.8;2.1;0.9;3.0;3.2;2.9;2.2;2.9;3.1;1.7;1.4;0.5;1.4;1.2;1.4;0.5;1.5;1.4
11;20930;Betrouwbaarheidsmarge;2009;1.5;0.5;1.3;0.5;2.2;2.4;2.1;1.7;2.1;2.2;1.3;0.8;0.6;0.7;0.8;0.7;0.4;0.8;0.7
12;20940;Waarde;2008;30.0;1.8;18.4;1.3;30.3;50.3;24.8;14.6;22.1;30.5;6.5;6.6;1.4;4.1;6.4;4.0;4.1;4.1;2.5
13;20940;Waarde;2009;30.5;2.3;20.7;2.0;33.2;54.3;26.2;16.7;23.7;31.5;8.2;6.1;1.7;4.1;7.6;3.7;4.5;4.1;2.5
14;20940;Betrouwbaarheidsmarge;2008;2.1;0.4;1.8;0.3;2.6;2.7;2.4;2.0;2.3;2.5;1.5;1.3;0.6;0.9;1.3;1.1;1.2;1.0;0.8
15;20940;Betrouwbaarheidsmarge;2009;1.2;0.3;1.0;0.3;1.7;1.8;1.7;1.4;1.6;1.7;1.0;0.6;0.3;0.4;0.7;0.6;0.6;0.5;0.4
16;20950;Waarde;2008;25.9;2.3;15.1;2.0;25.9;46.9;24.5;14.2;18.4;25.8;5.1;6.0;1.8;5.0;6.2;3.6;7.6;3.0;1.7
17;20950;Waarde;2009;26.2;2.3;17.8;2.1;28.6;49.6;25.9;15.9;18.4;26.1;6.6;6.8;1.8;4.7;7.8;3.3;8.8;3.7;1.9
18;20950;Betrouwbaarheidsmarge;2008;1.5;0.5;1.1;0.5;1.8;2.1;1.8;1.5;1.6;1.8;0.9;0.8;0.5;0.7;0.9;0.7;1.1;0.6;0.5
19;20950;Betrouwbaarheidsmarge;2009;0.9;0.3;0.8;0.3;1.3;1.5;1.3;1.0;1.1;1.3;0.7;0.5;0.3;0.5;0.6;0.4;0.7;0.5;0.3
20;20960;Waarde;2008;24.7;1.8;14.7;1.7;21.8;43.0;24.0;13.5;16.1;25.2;4.2;5.9;1.6;5.5;6.7;2.8;4.6;2.9;1.6
21;20960;Waarde;2009;25.2;2.3;16.5;2.0;25.5;45.4;24.4;15.5;20.0;26.5;5.3;6.5;1.7;5.1;8.4;3.4;5.1;3.5;1.5
