ID;KenmerkenLeasevoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
0;Lease personen- en bestelauto's;2001 3e kwartaal;80.1;;;;75.3;;;
1;Lease personen- en bestelauto's;2001 4e kwartaal;79.7;-0.5;;;74.4;-1.3;;
2;Lease personen- en bestelauto's;2001;;;;;;;;
3;Lease personen- en bestelauto's;2002 1e kwartaal;81.1;1.8;;;75.7;1.8;;
4;Lease personen- en bestelauto's;2002 2e kwartaal;81.9;1.0;;;77.0;1.8;;
5;Lease personen- en bestelauto's;2002 3e kwartaal;81.7;-0.2;2.1;;76.6;-0.5;1.7;
6;Lease personen- en bestelauto's;2002 4e kwartaal;81.6;-0.1;2.5;;76.5;-0.1;2.9;
7;Lease personen- en bestelauto's;2002;81.6;;;;76.5;;;
8;Lease personen- en bestelauto's;2003 1e kwartaal;82.8;1.4;2.1;;78.4;2.5;3.6;
9;Lease personen- en bestelauto's;2003 2e kwartaal;82.7;-0.1;0.9;;77.5;-1.2;0.6;
10;Lease personen- en bestelauto's;2003 3e kwartaal;83.6;1.1;2.3;;78.7;1.5;2.7;
11;Lease personen- en bestelauto's;2003 4e kwartaal;84.7;1.3;3.7;;79.4;0.8;3.7;
12;Lease personen- en bestelauto's;2003 ;83.4;;2.2;;78.5;;2.7;
13;Lease personen- en bestelauto's;2004 1e kwartaal;85.8;1.3;3.6;;80.7;1.6;2.8;
14;Lease personen- en bestelauto's;2004 2e kwartaal;86.5;0.8;4.6;;82.4;2.2;6.3;
15;Lease personen- en bestelauto's;2004 3e kwartaal;86.4;0.0;3.4;;82.8;0.4;5.2;
16;Lease personen- en bestelauto's;2004 4e kwartaal;86.5;0.1;2.2;;83.4;0.7;5.1;
17;Lease personen- en bestelauto's;2004;86.3;;3.5;;82.3;;4.8;
18;Lease personen- en bestelauto's;2005 1e kwartaal;88.9;2.8;3.7;;85.0;2.0;5.4;
19;Lease personen- en bestelauto's;2005 2e kwartaal;89.8;1.0;3.9;;86.9;2.2;5.5;
20;Lease personen- en bestelauto's;2005 3e kwartaal;90.3;0.6;4.5;;88.8;2.2;7.3;
21;Lease personen- en bestelauto's;2005 4e kwartaal;91.2;1.0;5.4;;89.5;0.8;7.4;
22;Lease personen- en bestelauto's;2005;90.1;;4.4;;87.6;;6.4;
23;Lease personen- en bestelauto's;2006 1e kwartaal;92.3;1.2;3.8;;91.1;1.7;7.1;
24;Lease personen- en bestelauto's;2006 2e kwartaal;93.2;0.9;3.7;;92.5;1.5;6.4;
25;Lease personen- en bestelauto's;2006 3e kwartaal;93.3;0.2;3.3;;92.9;0.4;4.5;
26;Lease personen- en bestelauto's;2006 4e kwartaal;93.8;0.5;2.8;;91.6;-1.4;2.2;
27;Lease personen- en bestelauto's;2006;93.1;;3.4;;92.0;;5.1;
28;Lease personen- en bestelauto's;2007 1e kwartaal;94.8;1.1;2.7;;92.6;1.2;1.7;
29;Lease personen- en bestelauto's;2007 2e kwartaal;95.2;0.5;2.2;;94.2;1.8;1.9;
30;Lease personen- en bestelauto's;2007 3e kwartaal;95.5;0.3;2.3;;94.2;-0.1;1.4;
31;Lease personen- en bestelauto's;2007 4e kwartaal;95.4;-0.1;1.8;;95.1;1.0;3.9;
32;Lease personen- en bestelauto's;2007;95.2;;2.3;;94.0;;2.2;
33;Lease personen- en bestelauto's;2008 1e kwartaal;94.3;-1.2;-0.6;;94.4;-0.7;1.9;
34;Lease personen- en bestelauto's;2008 2e kwartaal;95.3;1.0;0.0;;96.9;2.6;2.8;
35;Lease personen- en bestelauto's;2008 3e kwartaal;96.4;1.2;1.0;;98.5;1.7;4.7;
36;Lease personen- en bestelauto's;2008 4e kwartaal;96.0;-0.4;0.6;;96.3;-2.3;1.3;
37;Lease personen- en bestelauto's;2008;95.5;;0.3;;96.5;;2.7;
38;Lease personen- en bestelauto's;2009 1e kwartaal;97.0;1.0;2.9;;96.2;-0.1;1.9;
39;Lease personen- en bestelauto's;2009 2e kwartaal;97.4;0.5;2.3;;96.9;0.7;0.0;
40;Lease personen- en bestelauto's;2009 3e kwartaal;98.1;0.6;1.7;;98.1;1.3;-0.4;
41;Lease personen- en bestelauto's;2009 4e kwartaal;98.0;0.0;2.1;;98.6;0.5;2.4;
42;Lease personen- en bestelauto's;2009;97.6;;2.2;;97.5;;1.0;
43;Lease personen- en bestelauto's;2010 1e kwartaal;99.0;1.0;2.1;;99.6;1.0;3.6;
44;Lease personen- en bestelauto's;2010 2e kwartaal;98.5;-0.5;1.1;;100.4;0.7;3.6;
45;Lease personen- en bestelauto's;2010 3e kwartaal;98.1;-0.4;0.0;;99.7;-0.7;1.6;
46;Lease personen- en bestelauto's;2010 4e kwartaal;98.4;0.4;0.4;;100.4;0.7;1.8;
47;Lease personen- en bestelauto's;2010;98.5;;0.9;;100.0;;2.6;
48;Lease personen- en bestelauto's;2011 1e kwartaal;100.0;1.6;1.0;;103.1;2.7;3.5;
49;Lease personen- en bestelauto's;2011 2e kwartaal;100.4;0.4;1.9;;104.4;1.2;4.0;
50;Lease personen- en bestelauto's;2011 3e kwartaal;99.7;-0.7;1.6;;103.4;-0.9;3.7;
51;Lease personen- en bestelauto's;2011 4e kwartaal;99.7;0.0;1.3;;103.2;-0.2;2.8;
52;Lease personen- en bestelauto's;2011;99.9;;1.4;;103.5;;3.5;
53;Lease personen- en bestelauto's;2012 1e kwartaal;99.6;-0.1;-0.4;;104.0;0.8;0.9;
54;Lease personen- en bestelauto's;2012 2e kwartaal;99.7;0.1;-0.7;;104.2;0.1;-0.2;
55;Lease personen- en bestelauto's;2012 3e kwartaal;100.3;0.6;0.6;;104.6;0.4;1.1;
56;Lease personen- en bestelauto's;2012 4e kwartaal;100.3;0.0;0.5;;104.4;-0.1;1.2;
57;Lease personen- en bestelauto's;2012;100.0;;0.0;;104.3;;0.7;
58;Lease personen- en bestelauto's;2013 1e kwartaal;101.3;1.0;1.6;;104.9;0.5;0.9;
59;Lease personen- en bestelauto's;2013 2e kwartaal;101.0;-0.3;1.3;;103.9;-1.0;-0.2;
60;Lease personen- en bestelauto's;2013 3e kwartaal;101.0;0.1;0.7;;104.3;0.4;-0.2;
61;Lease personen- en bestelauto's;2013 4e kwartaal;100.7;-0.3;0.5;;103.0;-1.3;-1.3;
62;Lease personen- en bestelauto's;2013;101.0;;1.0;;104.1;;-0.2;
63;Lease personen- en bestelauto's;2014 1e kwartaal;101.6;0.9;0.4;;104.1;1.0;-0.8;
64;Lease personen- en bestelauto's;2014 2e kwartaal;101.0;-0.6;0.0;;103.8;-0.3;-0.1;
