ID;Perioden;ConsumentenvertrouwenEurozone_1;ProducentenvertrouwenIndustrieEurozone_2;BrutoBinnenlandsProductMpEurozone_3
0;1999, januari;0;-10;
1;1999, februari;0;-11;
2;1999, maart;-2;-11;
3;1999, 1e kwartaal;-1;-11;2.1
4;1999, april;-5;-10;
5;1999, mei;-6;-10;
6;1999, juni;-6;-9;
7;1999, 2e kwartaal;-6;-10;2.4
8;1999, juli;-4;-8;
9;1999, augustus;-4;-7;
10;1999, september;-4;-5;
11;1999, 3e kwartaal;-4;-7;3.1
12;1999, oktober;-2;-3;
13;1999, november;-1;-1;
14;1999, december;0;0;
15;1999, 4e kwartaal;-1;-1;4.1
16;1999;-3;-7;3.0
17;2000, januari;1;0;
18;2000, februari;1;2;
19;2000, maart;2;4;
20;2000, 1e kwartaal;1;2;4.4
21;2000, april;2;4;
22;2000, mei;2;6;
23;2000, juni;1;5;
24;2000, 2e kwartaal;2;5;4.7
25;2000, juli;2;5;
26;2000, augustus;2;5;
27;2000, september;-1;5;
28;2000, 3e kwartaal;1;5;3.8
29;2000, oktober;0;4;
30;2000, november;1;4;
31;2000, december;2;2;
32;2000, 4e kwartaal;1;3;3.3
33;2000;1;4;3.9
34;2001, januari;2;1;
35;2001, februari;1;0;
36;2001, maart;1;-3;
37;2001, 1e kwartaal;1;-1;2.9
38;2001, april;0;-5;
39;2001, mei;-2;-7;
40;2001, juni;-3;-8;
41;2001, 2e kwartaal;-2;-7;2.1
42;2001, juli;-6;-10;
43;2001, augustus;-9;-11;
44;2001, september;-9;-15;
45;2001, 3e kwartaal;-8;-12;1.7
46;2001, oktober;-10;-17;
47;2001, november;-13;-19;
48;2001, december;-11;-16;
49;2001, 4e kwartaal;-11;-17;1.0
50;2001;-5;-9;1.9
51;2002, januari;-11;-15;
52;2002, februari;-10;-13;
53;2002, maart;-9;-11;
54;2002, 1e kwartaal;-10;-13;0.5
55;2002, april;-9;-11;
56;2002, mei;-8;-9;
57;2002, juni;-9;-10;
58;2002, 2e kwartaal;-9;-10;0.8
59;2002, juli;-10;-12;
60;2002, augustus;-11;-13;
61;2002, september;-9;-10;
62;2002, 3e kwartaal;-10;-12;1.1
63;2002, oktober;-12;-10;
64;2002, november;-14;-10;
65;2002, december;-16;-11;
66;2002, 4e kwartaal;-14;-10;1.1
67;2002;-11;-11;0.9
68;2003, januari;-18;-11;
69;2003, februari;-19;-11;
70;2003, maart;-21;-12;
71;2003, 1e kwartaal;-19;-11;1.0
72;2003, april;-19;-12;
73;2003, mei;-20;-12;
74;2003, juni;-19;-13;
75;2003, 2e kwartaal;-19;-12;0.5
76;2003, juli;-19;-14;
77;2003, augustus;-17;-11;
78;2003, september;-17;-9;
79;2003, 3e kwartaal;-18;-11;0.6
80;2003, oktober;-17;-9;
81;2003, november;-16;-7;
82;2003, december;-16;-9;
83;2003, 4e kwartaal;-16;-8;1.0
84;2003;-18;-11;0.8
85;2004, januari;-15;-7;
86;2004, februari;-14;-7;
87;2004, maart;-14;-7;
88;2004, 1e kwartaal;-14;-7;1.6
89;2004, april;-14;-5;
90;2004, mei;-15;-5;
91;2004, juni;-14;-5;
92;2004, 2e kwartaal;-14;-5;2.0
93;2004, juli;-15;-4;
94;2004, augustus;-14;-4;
95;2004, september;-13;-3;
96;2004, 3e kwartaal;-14;-4;1.7
97;2004, oktober;-13;-3;
98;2004, november;-13;-4;
99;2004, december;-13;-4;
100;2004, 4e kwartaal;-13;-4;1.5
101;2004;-14;-5;1.9
102;2005, januari;-13;-5;
103;2005, februari;-13;-7;
104;2005, maart;-14;-8;
105;2005, 1e kwartaal;-13;-7;1.2
106;2005, april;-13;-10;
107;2005, mei;-15;-11;
108;2005, juni;-15;-10;
109;2005, 2e kwartaal;-14;-10;1.3
110;2005, juli;-15;-8;
111;2005, augustus;-15;-8;
112;2005, september;-14;-7;
113;2005, 3e kwartaal;-15;-8;1.7
114;2005, oktober;-13;-6;
115;2005, november;-13;-6;
116;2005, december;-11;-5;
117;2005, 4e kwartaal;-12;-6;1.8
118;2005;-14;-8;1.4
119;2006, januari;-11;-4;
120;2006, februari;-10;-2;
121;2006, maart;-11;-1;
122;2006, 1e kwartaal;-11;-2;2.2
123;2006, april;-11;2;
124;2006, mei;-9;2;
125;2006, juni;-9;3;
126;2006, 2e kwartaal;-10;2;2.8
127;2006, juli;-8;4;
128;2006, augustus;-9;2;
129;2006, september;-8;4;
130;2006, 3e kwartaal;-8;3;2.7
131;2006, oktober;-8;5;
132;2006, november;-7;6;
133;2006, december;-6;6;
134;2006, 4e kwartaal;-7;6;
135;2006;-9;2;
